ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ວູ້ດຶກດາມ ໄດ້ລົງຢ້ຽມຢາມຖາມຂ່າວ ແລະ ມອບຂອງຂວັນໃຫ້ແກ່ຄົນເຈັບທີ່ພວມປິ່ນປົວຢູ່ໂຮງໝໍ 103	Phó Thủ tướng Vũ Đức Đam chào xã giao Chủ tịch nước Nguyễn Tấn Dũng
ຕອນເຊົ້າວັນທີ 24 ມັງກອນ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ວູ້ດຶກດາມ ໄດ້ລົງຢ້ຽມຢາມຖາມຂ່າວ ແລະມອບຂອງຂວັນໃຫ້ແກ່ຄົນເຈັບທີ່ພວມປິ່ນປົວຢູ່ໂຮງໝໍ 103 ແລະສູນຟອກໝາກໄຂ່ຫຼັງເບັກມາຍ.	Sáng 24/1, Phó Thủ tướng Chính phủ Vũ Đức Đam đã đến chào xã giao và tặng quà các bệnh nhân đang điều trị tại Bệnh viện 103 và Trung tâm Thận Beckmai.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ວູ້ດຶກດາມ ໄດ້ສະເໜີໂຮງໝໍຈົ່ງເອົາໃຈໃສ່ເບິ່ງແຍງດູແລຊີວິດຂອງຄົນເຈັບໃນຊຸມວັນບຸນເຕັດ.	Phó Thủ tướng Vũ Đức Đam đôn đốc bệnh viện chăm sóc bệnh nhân trong dịp Tết.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ວູ້ດຶກດາມ ໄດ້ລົງຢ້ຽມຢາມຖາມຂ່າວ ແລະມອບຂອງຂວັນໃຫ້ແກ່ຄົນເຈັບ.	Phó Thủ tướng Vũ Đức Đam thăm hỏi bệnh nhân và tặng quà bệnh nhân.
ແລະກໍໃນຕອນເຊົ້າວັນດຽວກັນ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ວູ້ດຶກດາມ ໄດ້ເປັນປະທານການເຮັດວຽກກັບຄະນະຊີ້ນຳ ແລະປ້ອງກັນ ແລະຕ້ານໂລກລະບາດໃໝ່ທີ່ເປັນອັນຕະລາຍຢູ່ກະຊວງສາທາລະນະສຸກ.	Trước đó cùng ngày, Phó Thủ tướng Chính phủ Vũ Đức Đam đã chủ trì cuộc họp với Ban Chỉ đạo phòng, chống dịch Bộ Y tế.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ວູ້ດຶກດາມ ໄດ້ຊີ້ນຳການຕ້ານໂລກລະບາດໃຫ້ມີປະສິດທິຜົນ ຂະນະທີ່ໄດ້ຮັບຮູ້ມີ 2 ກໍລະນີຕິດພະຍາດອັກເສບປອດມໍລະນະຍ້ອນເຊື້ອໄວຣັດສາຍພັນໃໝ່ ໂກໂຣນາ.	Phó Thủ tướng Chính phủ Vũ Đức Đam đã nhấn mạnh công tác chống dịch khi có hai trường hợp viêm phổi mới được báo cáo.
ນັ້ນແມ່ນ 2 ພໍ່ລູກຊາວຈີນມາທ່ອງທ່ຽວຢູ່ຫວຽດນາມ.	Đây là hai phụ huynh người Trung Quốc sang thăm Việt Nam.
ປະຈຸບັນ ພວກເຂົາພວມປິ່ນປົວຢູ່ໂຮງໝໍເຈິໄຣ້, ນະຄອນໂຮ່ຈິມິນ.	Họ đang được điều trị tại bệnh viện Hoàng Gia TP.
ທ່ານຮອງລັດຖະມົນຕີກະຊວງສາທາລະນະສຸກ ໂດ້ຊວນຕ້ວຽນ ໃຫ້ຮູ້ວ່າ:	Thứ trưởng Bộ Y tế Đỗ Xuân Tiến cho biết:
“ກະຊວງສາທາລະນະສຸກໄດ້ຊີ້ນຳບັນດາຮາກຖານສາທາລະນະສຸກໃນທົ່ວປະເທດ, ຢູ່ຂົງເຂດໃດມີຄົນເຈັບ ຫຼືສົງໄສຕິດພະຍາດ ແມ່ນຕ້ອງລ້ອມເຂດ, ປິ່ນປົວ, ດັບມອດໂລກລະບາດໃນທັນທີ່.	“Bộ Y tế đã chỉ đạo các cơ sở y tế trên cả nước lập tức giám sát, xử lý, dập dịch ở địa bàn nào có bệnh nhân hoặc ca bệnh nghi ngờ.
ພ້ອມກັນນັ້ນ, ທາງກະຊວງສາທາລະນະສຸກ ໄດ້ຊີ້ນຳຈັດແຈງບັນດາເຂດແຍກຢູ່ຕ່າງຫາກດ້ວຍບັນດາຂັ້ນຕອນຢ່າງຮັດກຸ່ມ ເພື່ອສະກັດກັ້ນການຕິດພະຍາດຈາກຄົນເຈັບສູ່ແພດໝໍ.	Đồng thời, Bộ Y tế đã chỉ đạo thành lập các khu vực riêng biệt với quy trình nghiêm ngặt để ngăn chặn dịch bệnh lây lan từ bệnh nhân sang bác sĩ.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
