ຮຽນ ພໍ່ແມ່ພີ່ນ້ອງຮ່ວມຊາດ, ສະຫາຍ ແລະ ນັກຮົບໃນທົ່ວປະເທດ!	Kính thưa các bậc cha mẹ, đồng bào, đồng chí và chiến sĩ cả nước!
ຈຸດເວລາສົ່ງທ້າຍປີເກົ່າຕ້ອນຮັບປີໃໝ່ທີ່່ສັກກະລະບູຊາໄດ້ມາຮອດແລ້ວ, ລະດູບານໃໝ່ປີຊວດພວມວຽນມາສູ່ທຸກແຖບຖິ່ນໃນທົ່ວປະເທດຊາດທີ່ຮັກແພງຂອງພວກເຮົາ.	Giao thừa đang đến với chúng ta, và năm mới đã đến với tất cả chúng ta trên đất nước thân yêu của chúng ta.
ທ່ານເລຂາທິການໃຫຍ່ ປະທານປະເທດຫວຽດນາມ ຫງວຽນຟູ້ຈ້ອງ.	Tổng Bí thư Nguyễn Phú Trọng
ພາບ: vov.vn.	Ảnh: vov.vn.
ໂດຍຕາງໜ້າການນຳພັກ ແລະ ລັດຫວຽດນາມ, ຂ້າພະເຈົ້າຂໍສົ່ງຄຳອວຍພອນປີໃໝ່ທີ່ຈົບງາມທີ່ສຸດດ້ວຍອາລົມຈິດຄວາມຮັກແພງເຖິງພໍ່ແມ່ພີ່ນ້ອງຮ່ວມຊາດ, ສະຫາຍ ແລະ ນັກຮົບໃນທົ່ວປະເທດ, ປະຊາຄົມຊາວຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດ.	Thay mặt Đảng và Nhà nước Việt Nam, tôi xin chúc các bậc cha mẹ, đồng bào, đồng chí, cựu chiến binh cả nước và cộng đồng người Việt Nam ở nước ngoài một năm mới An khang Thịnh vượng.
ຂ້າພະເຈົ້າຂໍສົ່ງຄຳອວຍພອນສັນຕິພາບ, ມິດຕະພາບ, ການຮ່ວມມື ແລະ ພັດທະນາແບບຍືນຍົງເຖິງເພື່ອນມິດ, ປະຊາຊົນຢູ່ທຸກໆປະເທດໃນໂລກ.	Tôi gửi lời chúc hòa bình, hữu nghị, hợp tác và phát triển bền vững tới bạn bè và nhân dân trên toàn thế giới.
ປີກຸນ 2019 ຫາກໍ່ຜ່ານພົ້ນໄປດ້ວຍບັນດາເຫດການທີ່ສຳຄັນ.	Năm 2019 vừa qua với những sự kiện quan trọng.
ປະເທດຫວຽດນາມ ໄດ້ບັນລຸບັນດາຜົນງານທີ່ຍິ່ງໃຫຍ່ ແລະ ສຳຄັນໃນເກືອບທຸກໆຂົງເຂດ, ອັນໄດ້ສ້າງຄວາມປະທັບໃຈອັນດີງາມ ແລະ ນຳບັນດາບົດຮຽນທີ່ປະເສີດເລີດລ້ຳມາສູ່ພວກເຮົາ.	Việt Nam đã đạt được những thành tựu to lớn và quan trọng trên hầu hết các lĩnh vực, điều này đã để lại ấn tượng khó phai mờ và mang lại cho chúng ta nhiều bài học kinh nghiệm tuyệt vời.
ຕາງໜ້າໃຫ້ການນຳພັກ, ລັດຫວຽດນາມ, ຂ້າພະເຈົ້າຂໍສະແດງຄວາມຊົມເຊີຍ ແລະ ຂອບໃຈພໍ່ແມ່ພີ່ນ້ອງ, ສະຫາຍ ແລະ ນັກຮົບໃນທົ່ວປະເທດກ່ຽວກັບບັນດາຜົນງານ ແລະ ການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງດັ່ງກ່າວ.	Thay mặt Đảng và Nhà nước Việt Nam, tôi xin gửi lời chúc mừng và cảm ơn tới các bậc cha mẹ, người thân, đồng chí và các cựu chiến binh cả nước đã có những thành tích và đóng góp to lớn.
ກ້າວເຂົ້າສູ່ປີໃໝ່ປີຊວດ 2020 ເຊິ່ງແມ່ນປີທີ່ມີເຫດການສຳຄັນຍິ່ງຫຼາຍເຫດການຂອງພັກກອມມູນິດ ຫວຽດນາມ ແລະ ຊາດຫວຽດນາມ, ແມ່ນປີດຳເນີນກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກຂັ້ນຕ່າງໆກ້າວໄປສູ່ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດຄັ້ງທີ XIII ຂອງພັກ, ດ້ວຍຄວາມຕັດສິນໃຈຢ່າງສູງ ແລະ ຄວາມເຊື່ອໝັ້ນໃໝ່, ທົ່ວພັກ, ທົ່ວກອງທັບ ແລະ ທົ່ວປວງຊົນ ຫວຽດນາມ ສືບຕໍ່ເສີມຂະຫຍາຍມູນເຊື້ອສາມັກຄີເປັນຈິດໜຶ່ງໃຈດຽວຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກສິ່ງທ້າທາຍນາໆປະການ, ພ້ອມກັນກະທຳຢ່າງຂ້ຽວຂາດ, ປະຕິບັດບັນດາເປົ້າໝາຍໜ້າທີ່ເຊິ່ງໄດ້ວາງອອກຢ່າງມີໄຊ, ສ້າງທ່ວງທ່າ ແລະ ກຳລັງໜູນຊຸກຍູ້ປະເທດຊາດພັດທະນາຢ່າງວ່ອງໄວ ແລະ ຍືນຍົງໃນໄລຍະຕໍ່ໄປ.	Bước sang năm mới Canh Tý, 2020 là năm đánh dấu những dấu mốc rất quan trọng của Đảng Cộng sản Việt Nam và Đại hội Đảng bộ Việt Nam là năm đại hội đại biểu toàn quốc lần thứ XIII của Đảng, với sự quyết tâm và tự tin của Đảng bộ mới, Quân và dân Việt Nam tiếp tục phát huy tình đoàn kết truyền thống, vượt qua khó khăn thử thách trước cộng đồng quốc tế, cùng nhau đi trước răng long, hoàn thành thắng lợi mục tiêu đã đề ra, tạo động lực và động lực thúc đẩy đất nước phát triển nhanh và bền vững trong giai đoạn tiếp theo.
ຂໍອວຍພອນຊາວຫວຽດນາມ ແຕ່ລະຄອບຄົວ, ແຕ່ລະຄົນປີໃໝ່ ຈົ່ງມີສຸຂະພາບເຂັ້ມແຂງ, ມີຄວາມເບີກບານມ່ວນຊື່ນ, ມີຄວາມຜາສຸກ ແລະ ປະສົບຜົນສຳເລັດ.	Xin kính chúc mọi gia đình Việt Nam, mọi năm luôn dồi dào sức khỏe, an vui, hạnh phúc và thành đạt.
ຊົມເຊີຍລະດູບານໃໝ່, ໄຊຊະນະໃໝ່.	Chúc mừng xuân mới, thắng lợi mới.
ໂດຍຮຽນແຕ່ງກາບກອນຕາມລຸງໂຮ່, ຂ້າພະເຈົ້າມີຄຳກອນດັ່ງນີ້:	Qua việc học làm thơ theo lời Bác, em có những bài thơ sau:
ປີຜ່ານມາໄດ້ຮັບໄຊຊະນະສະງ່າງາມ.	Năm ngoái là một thắng lợi vẻ vang.
ປີນີ້ປະເທດຊາດຈະຮັບໄຊຊະນະຍິ່ງໃຫຍ່ກວ່າເກົ່າ.	Năm nay quốc gia sẽ thắng lớn hơn nữa.
ສັນຕິພາບ, ຄວາມອີ່ມໜຳສຳລານ, ຜາສຸກ	Hòa bình, mãn nguyện, hạnh phúc
ໂດ່ງດັງຊື່ສຽງປະເທດຊາດຫວຽດນາມ.	Việt Nam nổi tiếng.
ດ້ວຍຄວາມຮັກແພງ.	Với tình yêu.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
