ກປ.ອອນໄລ - ປີຊວດ 2020 ເປັນຂີດໝາຍແຫ່ງການຄອງຄອຍ.	KPR Online - Năm 2020 là một dấu hiệu của sự mong đợi.
ແຕ່ດົນນານມາແລ້ວ, ພວກເຮົາໄດ້ວາງຄາດໝາຍຮອດປີ 2020 ປະເທດຈະກ້າວຂຶ້ນ, ມີການປ່ຽນແປງທາງດ້ານຄຸນນະພາບ.	Nhưng từ lâu, chúng ta đã đặt ra mục tiêu đến năm 2020 đất nước sẽ tiến bộ, có sự thay đổi về chất.
ຕົວຈິງ, ມາຮອດປັດຈຸບັນ, ວິທີຕີລາຄາ ແລະຮັບຮູ້ຂອງສາກົນກ່ຽວກັບຫວຽດນາມ ໄດ້ສະແດງໃຫ້ເຫັນຄວາມນິຍົມຊົມຊອບ ແລະນັບຖືຢ່າງຈະແຈ້ງ, ເຮັດໃຫ້ພວກເຮົາມີຄວາມເອກອ້າງທະນົງໃຈກ່ຽວກັບຄວາມກ້າວໜ້າຢ່າງແຮງຂອງປະເທດ.	Thực tế cho thấy, từ trước đến nay, sự hiểu biết và cảm nhận của quốc tế về Việt Nam đã thể hiện rõ sự đánh giá cao và coi trọng, cho chúng ta cảm giác tự hào về sự tiến bộ mạnh mẽ của đất nước.
“ເມກດໍາປົກຄຸມໄປທົ່ວໂລກແຕ່ດວງຕາເວັນຍັງສ່ອງແສງຢູ່ຫວຽດນາມ , ນັ້ນແມ່ນຄຳຕີລາຄາຂອງທະນາຄານໂລກ ທີ່ສະແດງໃຫ້ເຫັນສິ່ງນັ້ນຢ່າງຈະແຈ້ງ.	Ngân hàng Thế giới cho biết: “Mây đen bao phủ thế giới, nhưng mặt trời vẫn chiếu sáng Việt Nam.
ຄວາມດຸເດືອດ, ຄາດເດົາໄດ້ຍາກຂອງເສດຖະກິດ-ການເມືອງໂລກໃນປີຜ່ານມາ ພຽງແຕ່ຊຸກຍູ້ຄຸນນະທາດພິເສດຂອງຄົນຫວຽດນາມ: ກໍາລັງແຮງຫົວຄິດປະດິດສ້າງ, ຈິດໃຈປະເອີບໃຈ ແລະຄຸນນະທາດຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ.	Sự xáo trộn kinh tế và chính trị toàn cầu trong năm qua chỉ càng làm nổi bật những phẩm chất đặc biệt của người Việt Nam: sức mạnh đổi mới, tinh thần lạc quan và khả năng vượt qua nghịch cảnh.
ໝາກຜົນທີ່ບັນລຸໄດ້ແມ່ນເປັນໜ້າຊື່ນຊົມ: ພື້ນຖານເສດຖະກິດມີສະຖຽນລະພາບ ແລະມີການເຕີບໂຕເປັນໜ້າປະທັບໃຈ, ພັດທະນາໄວແຕ່ມີຄວາມຍືນຍົງ, ໃນຂະນະນັ້ນເສດຖະກິດໂລກມີຄວາມເສົ້າໝອງ.	Kết quả rất đáng mừng: nền kinh tế ổn định và tăng trưởng ấn tượng, phát triển nhanh nhưng bền vững, trong khi kinh tế toàn cầu đang suy thoái.
ກໍາລັງໜູນເຕີບໂຕຂອງເສດຖະກິດຫວຽດນາມ ອີງໃສ່ບັນດາຂະແໜງອຸດສາຫະກໍາປຸງແຕ່ງ, ປະດິດສ້າງດ້ວຍລະດັບວິທະຍາສາດເຕັກໂນໂລຢີນັບມື້ນັບສູງຂຶ້ນ, ສໍາຜັດກັບບັນດາເຕັກໂນໂລຢີທັນສະໄໝທີ່ສຸດໃນໂລກ.	Tăng trưởng kinh tế Việt Nam dựa vào công nghiệp chế biến, đổi mới với trình độ khoa học công nghệ ngày càng cao, tiếp cận với công nghệ tiên tiến nhất của thế giới.
ຜົນສໍາເລັດຂອງຫວຽດນາມບໍ່ພຽງແຕ່ໃນການພັດທະນາເສດຖະກິດເທົ່ານັ້ນ ຫາກຍັງສະແດງໃຫ້ເຫັນທັງນໍ້າໃຈຮັບຜິດຊອບສູງ, ໜ້າໄວ້ເນື້ອເຊື່ອໃຈ, ປະກອບສ່ວນຕັ້ງໜ້າເຂົ້າໃນວຽກງານລວມຂອງໂລກ.	Thành công của Việt Nam không chỉ trong phát triển kinh tế mà còn thể hiện tinh thần trách nhiệm cao, đáng tin cậy, đóng góp vào hội nhập toàn cầu.
ຫວຽດນາມ ໄດ້ຮັບຄວາມໄວ້ເນື້ອເຊື່ອໃຈຈາກປະຊາຄົມສາກົນ ເມື່ອໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ດ້ວຍບັດສະໜັບສະໜູນເກືອບ 100%;	Việt Nam giành được sự tín nhiệm của cộng đồng quốc tế khi được bầu làm Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc với tỷ lệ phiếu bầu gần như 100%;
ຈັດສົ່ງໂຮງໝໍກາງສະໜາມໄປເຂົ້າຮ່ວມກໍາລັງຮັກສາສັນຕິພາບຂອງສະຫະປະຊາຊາດ.	Cử Văn phòng Trung ương tham gia lực lượng gìn giữ hòa bình của Liên hợp quốc.
ພ້ອມກັນນັ້ນ, ຫວຽດນາມ ໄດ້ຮັບການຄັດເລືອກເປັນບ່ອນຈັດຕັ້ງກອງປະຊຸມສຸດຍອດລະຫວ່າງ ອາເມລິກາ - ສປປ.ເກົາຫຼີ - ໜຶ່ງໃນບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງເຖິງຄວາມໝັ້ນຄົງ, ສັນຕິພາບຢູ່ພາກພື້ນກໍຄືໃນໂລກ...	Đồng thời, Việt Nam đã được chọn là nơi tổ chức Hội nghị cấp cao Hoa Kỳ-CHDCND Triều Tiên, một trong những cuộc gặp về an ninh và hòa bình ở khu vực và trên thế giới.
