ກປ.ອອນໄລ - ມາຮອດປະຈຸບັນ, ພັກກອມມູນິດຫວຽດນາມ ມີອາຍຸຄົບຮອບ 90 ລະດູບານໃໝ່.	KR Online - Đảng Cộng sản Việt Nam vẫn đang kỷ niệm 90 năm thành lập.
ພັກປະຕິບັດການປະຕິວັດເພື່ອຄວາມເປັນທຳອັນສູງສົ່ງ: ຈາກການປະຕິວັດຊາດປະຊາທິປະໄຕປະຊາຊົນກ້າວໄປເຖິງການປະຕິວັດສັງຄົມນິຍົມ.	Đảng Cách mạng vì Công lý thần thánh: Từ Cách mạng Dân chủ Dân tộc đến Cách mạng Xã hội Chủ nghĩa.
ການປະຕິວັດຊາດປະຊາທິປະໄຕປະຊາຊົນ (ການປະຕິວັດປົດປ່ອຍຊາດ) ໄດ້ສຳເລັດ ແລະປະຊາຊົນເຮົາພວມດຳເນີນການປະຕິວັດສັງຄົມນິຍົມໃນຂອບເຂດທົ່ວປະເທດຢູ່ໃນໄລຍະຂ້າມຜ່ານກ້າວຂຶ້ນສັງຄົມນິຍົມ.	Cách mạng dân tộc dân chủ nhân dân (Cách mạng giải phóng dân tộc) đã thành công và nhân dân ta đang tiến hành cuộc cách mạng xã hội chủ nghĩa trên phạm vi cả nước trong thời kỳ quá độ lên chủ nghĩa xã hội.
ພາຍຫຼັງເກືອບ 35 ປີທີ່ປະຕິບັດກິດຈະການປ່ຽນແປງໃໝ່ປະເທດຊາດ (ເລີ່ມຕົ້ນແຕ່ກອງປະຊຸມໃຫຍ່ຄັ້ງທີ VI ຂອງພັກປີ 1986) ພາຍໃຕ້ການນໍາພາຂອງພັກ, ມາຮອດປະຈຸບັນມີການຫັນປ່ຽນໃຫຍ່ນັບທັງດ້ານປະລິມານ ແລະຄຸນນະພາບ.	Sau gần 35 năm thực hiện các hoạt động chuyển đổi đất nước (bắt đầu từ Đại hội VI của Đảng năm 1986) dưới sự lãnh đạo của Đảng đã có những chuyển biến lớn cả về lượng và chất.
ຍັງບໍ່ທັນມີເວລາໃດທີ່ປະເທດຫວຽດນາມ ໃຫຍ່ໂຕ ແລະສວຍງາມຄືໃນປະຈຸບັນນີ້.	Chưa có lúc nào đất nước Việt Nam rộng lớn và tươi đẹp như ngày hôm nay.
ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນໄດ້ຮັບການປົວແປງໃຫ້ດີຂຶ້ນຢ່າງເຫັນໄດ້ຊັດ.	Sinh kế của người dân rõ ràng đã được cải thiện.
ປີ 2019 ເສດຖະກິດ-ສັງຄົມຫວຽດນາມ ພັດທະນາຢ່າງວ່ອງໄວ: ລວມຍອດຜະລິດຕະພັນພາຍໃນປະເທດ (GDP) ເພີ່ມຂຶ້ນ 7,02%...	Năm 2019, kinh tế - xã hội Việt Nam phát triển nhanh: tổng sản phẩm trong nước (GDP) tăng 7,02% ...
ວັດທະນະທໍາ, ສັງຄົມ, ກິລາກໍ່ມີບັນດາບາດກ້າວພັດທະນາຢ່າງວ່ອງໄວ.	Văn hóa, xã hội, thể dục thể thao phát triển nhanh chóng.
ປີ 2020 ເສດຖະກິດໝັ້ນໝາຍວ່າຈະມີຫຼາຍແງ່ຫວັງ.	Đến năm 2020, nền kinh tế có vẻ đầy hứa hẹn.
ນັ້ນແມ່ນໝາກຜົນຂອງການນຳພາຢ່າງສະຫຼາດສ່ອງໃສທີ່ມີລັກສະນະລວມໝູ່ຂອງພັກກອມມູນິດຫວຽດນາມ ແລະການອອກແຮງງານຢ່າງດຸໝັ່ນຂະຫຍັນພຽນ, ມີຫົວຄິດປະດິດສ້າງຂອງປະຊາຊົນເຮົາ.	Đó là kết quả của sự lãnh đạo sáng suốt, sáng suốt của Đảng Cộng sản Việt Nam và sự lao động cần cù, đổi mới của nhân dân ta.
ປະທານ ໂຮ່ຈິມິນ ກັບບັນດາຜູ້ແທນແມ່ຍິງບັນດາເຜົ່າແຂວງຮ່າຢາງ ມາຢ້ຽມຢາມນະຄອນຫຼວງຮ່າໂນ້ຍ (ເດືອນ ພະຈິກ 1965).	Chủ tịch Hồ Chí Minh và đoàn đại biểu phụ nữ tỉnh Hà Giang thăm Hà Nội (11/1965).
ພາບ: ເອກະສານ.	Ảnh: Tệp
ພັກ ໄດ້ເລີ່ມຕົ້ນປະຕິບັດກິດຈະການປ່ຽນແປງໃໝ່, ປະຊາຊົນປະຕິບັດກິດຈະການປ່ຽນແປງໃໝ່ບັນລຸໄດ້ໝາກຜົນສຳຄັນຫຼາຍຢ່າງໃນທຸກຂົງເຂດຂອງຊີວິດສັງຄົມ.	Đảng bắt tay vào thực hiện các hoạt động đổi, nhân dân tiến hành các hoạt động đổi mới đạt được nhiều kết quả to lớn trên mọi lĩnh vực của đời sống xã hội.
ການປ່ຽນແປງໃໝ່ຕາມເສັ້ນທາງສັງຄົມນິຍົມແມ່ນພາລະກິດຍັງບໍ່ທັນມີມາກ່ອນຢູ່ຫວຽດນາມ.	Chuyển đổi theo con đường chủ nghĩa xã hội là nhiệm vụ chưa từng có ở Việt Nam.
ຕໍ່ໜ້າພຶດຕິກຳຕົວຈິງທີ່ໃໝ່ອ່ຽມນີ້, ແນວຄວາມຄິດ, ການອະທິບາຍຂອງພະນັກງານ, ສະມາຊິກພັກມີຄວາມແຕກຕ່າງກັນແມ່ນເລື່ອງທຳມະດາ.	Việc các đảng viên có những ý kiến và giải thích khác nhau chống lại kiểu hành vi thực tế này là điều đương nhiên.
ຍ້ອນແນວນັ້ນ, ໃນການດຳເນີນຊີວິດພາຍໃນພັກຕ້ອງເສີມຂະຫຍາຍປະຊາທິປະໄຕ ແລະຮັບປະກັນລັກສະນະລວມສູນເພື່ອພ້ອມກັນຊອກເຫັນບັນດາຮູບການ, ມາດຕະການດີທີ່ສຸດເພື່ອແນໃສ່ປະຕິບັດແນວທາງ, ນະໂຍບາຍຂອງພັກ ແລະລັດ ໃຫ້ບັນລຸໄດ້ໝາກຜົນສູງສຸດ.	Vì vậy, trong tiến hành sinh hoạt trong Đảng phải tăng cường dân chủ, bảo đảm tính tập trung để tìm ra những hình thức, biện pháp tốt nhất nhằm thực hiện các chủ trương, chính sách của Đảng và nhà nước đạt kết quả cao nhất.
ຫຼັກການລວມສູນປະຊາທິປະໄຕແມ່ນເງື່ອນໄຂກ່ຽວກັບດ້ານການຈັດຕັ້ງໃນການຮັບປະກັນການສ້າງກຳລັງແຮງຂອງພັກເຮົາ-ພັກຍາມໃດກໍ່ຖືລັດທິມາກ-ເລນິນ, ແນວຄິດໂຮ່ຈິມິນ ເປັນພື້ນຖານແນວຄິດ ແລະເຂັມທິດໃຫ້ແກ່ການກະທຳ;	Nguyên tắc tập trung dân chủ là điều kiện tổ chức bảo đảm sức mạnh của đảng ta - Đảng luôn coi chủ nghĩa Mác - Lê-nin, tư tưởng Hồ Chí Minh là cơ sở tư tưởng và la bàn cho hành động;
ຖືການລວມສູນປະຊາທິປະໄຕເປັນຫຼັກການຈັດຕັ້ງພື້ນຖານໃນທຸກການເຄື່ອນໄຫວຂອງພັກ ແລະໃນການດຳເນີນຊີວິດພັກ.	Củng cố dân chủ là nguyên tắc cơ bản trong mọi hoạt động của Đảng và trong sinh hoạt Đảng.
ນີ້ແມ່ນບັນຫາອັນເປັນຕາຍຂອງພັກ ແລະກໍແມ່ນບັນຫາອັນເປັນຕາຍຂອງລະບອບສັງຄົມນິຍົມຢູ່ຫວຽດນາມ.	Đây là vấn đề chết người của đảng và vấn đề chết người của chế độ xã hội chủ nghĩa ở Việt Nam.
ເມື່ອກາຍເປັນພັກກຳອຳນາດ, ພັກຕ້ອງນຳພາລັດ, ຮັບຜິດຊອບຕໍ່ປະຫວັດສາດ, ຮັບປະກັນການພັດທະນາຂອງຊາດ, ຮັບປະກັນຜົນປະໂຫຍດອັນຊອບທຳຂອງປະຊາຊົນທຸກຊ້ັນວັນນະ ແລະພົນລະເມືອງທຸກຄົນ.	Khi đã trở thành một đảng cầm quyền thì phải lãnh đạo nhà nước, chịu trách nhiệm trước lịch sử, bảo đảm sự phát triển của dân tộc, bảo đảm lợi ích chính đáng của nhân dân các cấp, mọi công dân.
