ກປ.ອອນໄລ - ວັນທີ 5 ມີນາ, ຄະນະປະຈໍາລັດຖະບານ ໄດ້ມີການປະຊຸມກ່ຽວກັບວຽກງານປ້ອງກັນ ແລະຕ້ານພະຍາດໂຄວິດ-19.	KPR Online - Ngày 5/3, Thường trực Chính phủ họp bàn về công tác phòng, chống dịch bệnh Kovi-19.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເປັນປະທານກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc chủ trì cuộc họp.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດຂອງຫວຽດນາມ ໃນໄລຍະຜ່ານມາໄດ້ປະຕິບັດຢ່າງຄົບຊຸດ, ຂ້ຽວຂາດ, ຕໍ່ເນື່ອງ, ທັນການ ແລະມີປະສິດທິຜົນ.	Phát biểu chỉ đạo tại buổi làm việc, Thủ tướng Chính phủ Nguyễn Xuân Phúc nhấn mạnh, công tác phòng, chống dịch bệnh của Việt Nam trong thời gian qua toàn diện, sâu rộng, liên tục, kịp thời và hiệu quả.
ວຽກງານແຍກຕົວບັນດາກໍລະນີຜູ້ສົງໄສຕິດເຊື້ອພະຍາດໂຄວິດ-19 ໄດ້ປະຕິບັດແຕ່ຫົວທີ, ໃນນັ້ນກໍາລັງປະກອບອາວຸດ, ພິເສດແມ່ນກອງທັບໄດ້ຈັດບັນດາເຂດພັກເຊົາສຳເລັດເພື່ອຮັບໃຊ້ໃຫ້ແກ່ການແຍກຕົວ ສະນັ້ນໝາກຜົນໃນການຕ້ານເຊື້ອພະຍາດ ຈຶ່ງບັນລຸໄດ້ປະສິດທິຜົນສູງ.	Thực hiện cách ly các trường hợp nghi nhiễm HIV-19 ngay từ đầu, cùng với lực lượng vũ trang, đặc biệt là quân đội, thành công xây dựng các hầm trú ẩn làm đơn vị cách ly nên công tác phòng chống vi rút đạt hiệu quả cao.
ຫຼາຍມາດຕະການໄດ້ນໍາໃຊ້ຢ່າງມີປະສິດທິຜົນ, ໃນນັ້ນມີການນໍາໃຊ້ວິທະຍາສາດເຕັກໂນໂລຢີເພື່ອປ້ອງກັນ, ກວດພົບພະຍາດ.	Nhiều biện pháp đã được đưa ra, trong đó có việc sử dụng khoa học công nghệ để phòng và chẩn đoán bệnh.
ບັນດາທ້ອງຖິ່ນທີ່ໄດ້ຮັບໜ້າທີ່ລ້ວນແຕ່ປະຕິບັດຢ່າງເຂັ້ມງວດແຜນນະໂຍບາຍຂອງນາຍົກລັດຖະມົນຕີ, ຄະນະຊີ້ນໍາແຫ່ງຊາດກ່ຽວກັບການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ຢ່າງທັນການດ້ວຍຈິດໃຈ “ຕ້ານພະຍາດຄືຕ້ານສັດຕູ.	Các địa phương bị thiệt hại đã thực hiện nghiêm túc chủ trương của Thủ tướng Chính phủ, của Ban Chỉ đạo Quốc gia phòng, chống dịch bệnh Iowa-19 kịp thời với tinh thần “đánh giặc là đánh giặc”.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມກ່ຽວກັບການປ້ອງກັນ ແລະຕ້ານພະຍາດໂຄວິດ-19.	Thủ tướng Nguyễn Xuân Phúc phát biểu chỉ đạo Hội nghị về phòng, chống chỉ số IQ 19.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາຍົກລັດຖະມົນຕີ ໄດ້ຍ້ອງຍໍຊົມເຊີຍຕໍ່ບັນດາຄວາມມານະພະຍາຍາມຂອງບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນ, ພິເສດແມ່ນບັນດາ “ນັກຮົບເສື້ອຂາວ , ກອງທັບ, ຕໍາຫຼວດ, ບັນດາສະມາຊິກຄະນະຊີ້ນໍາ.	Thủ tướng biểu dương nỗ lực của các bộ, ban, ngành, địa phương, nhất là các “chiến sĩ áo trắng, quân đội, công an và các thành viên ban chỉ đạo.
ທ່ານນາຍົກລັດຖະມົນຕີ ກໍຕີລາຄາສູງຕໍ່ການເປັນເຈົ້າການຂອງບາງກະຊວງ, ຂະແໜງການ, ໃນນັ້ນ, ກະຊວງປ້ອງກັນປະເທດໄດ້ຈັດຕັ້ງການຝຶກຊ້ອມໃນຂອບເຂດ ທົ່ວປະເທດກ່ຽວກັບການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ກະກຽມບັນດາໂຮງໝໍຊົ່ວຄາວ, ຮາກຖານຮັບເອົາ 30.000 ກວ່າບ່ອນພັກເຊົາໃຫ້ແກ່ວຽກງານແຍກຕົວດ້ວຍຈິດໃຈກຽມພ້ອມສູງ.	Thủ tướng biểu dương lãnh đạo một số bộ, ban, ngành, trong đó có Bộ Quốc phòng đã tổ chức diễn tập toàn quốc phòng, chống dịch Quito-19, chuẩn bị nơi trú ẩn tạm thời và tìm được hơn 30.000 nơi trú ẩn.
ສະຕິຄວາມຮັບຜິດຊອບໃນການປ້ອງກັນສຸຂະພາບ, ຊີວິດຂອງປະຊາຊົນໄດ້ຮັບການຍົກສູງຂຶ້ນ, ການປະພຶດທີ່ມີມະນຸດສະທໍາກັບຜູ້ແຍກຕົວ, ພິເສດແມ່ນກັບຊາວຕ່າງປະເທດ.	Ý thức về trách nhiệm bảo vệ sức khỏe, đời sống của người dân được nâng cao, ứng xử nhân đạo với lực lượng ly khai, nhất là với người nước ngoài.
