ກປ.ອອນໄລ - ວັນທີ 6 ມີນາ, ຢູ່ຮ່າໂນ້ຍ, ທ່ານ ຟ້າມບິ່ງມິນ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ ໄດ້ຕ້ອນຮັບທ່ານ V.	Ngày 6/3, tại Hà Nội, Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh đã tiếp V.
Titov ຮອງລັດຖະມົນຕີຜູ້ທີ 1 ກະຊວງການຕ່າງປະເທດລັດເຊຍ ເນື່ອງໃນໂອກາດທ່ານມາເຂົ້າຮ່ວມການເຈລະຈາຍຸດທະສາດທາງການທູດ-ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ ຫວຽດນາມ-ລັດເຊຍ ຄັ້ງທີ 11 ຢູ່ຫວຽດນາມ.	Thứ trưởng Ngoại giao thứ nhất Nga Titov bên lề Đối thoại Chiến lược-Ngoại giao-Quốc phòng-An ninh Việt-Nga lần thứ 11 tại Việt Nam
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຟ້າມບິ່ງມິນ ສະແດງຄວາມປິຕິຊົມຊື່ນຕໍ່ການພັດທະນາທີ່ດີງາມຂອງການຮ່ວມມືຫວຽດນາມ-ລັດເຊຍ, ເນັ້ນໜັກວ່າຫວຽດນາມ ຖືເປັນສໍາຄັນຄວາມສະໜິດຕິດພັນອັນຍາວນານ ແລະນໍ້າໃຈມິດຕະພາບລະຫວ່າງປະຊາຊົນສອງປະເທດ, ຕີລາຄາສູງບົດບາດຂອງການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານ ຫວຽດນາມ-ລັດເຊຍ ໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງຫວຽດນາມ.	Tại buổi tiếp, ông Phạm Bình Minh biểu dương sự phát triển tích cực của quan hệ hợp tác Việt-Nga, nhấn mạnh Việt Nam coi trọng mối quan hệ gắn bó, hữu nghị lâu đời giữa nhân dân hai nước, đồng thời ca ngợi vai trò của Đối tác chiến lược toàn diện Việt-Nga trong Việt-Nga. chính sách toàn diện.
ທ່ານ ຟ້າມບິ່ງມິນ ຫວັງວ່າ ສອງຝ່າຍສືບຕໍ່ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນເພື່ອແກ້ໄຂບັນດາຄວາມຫຍຸ້ງຍາກ, ບັນຫາທີ່ຍັງຄົງຄ້າງຢ່າງທັນການ;	Đồng chí Phạm Bình Minh mong muốn hai bên tiếp tục phối hợp chặt chẽ để giải quyết kịp thời các vấn đề còn tồn đọng;
ຊຸກຍູ້ບັນດາທິດທາງໃໝ່ເພື່ອແນໃສ່ນໍາການຮ່ວມມືສອງຝ່າຍໃນທຸກໆຂົງເຂດໃຫ້ສົມກັບຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານ.	Khuyến khích các hướng đi mới nhằm gắn kết hợp tác song phương trên mọi lĩnh vực với quan hệ đối tác chiến lược toàn diện.
ທ່ານ ຟ້າມບິ່ງມິນ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ ຕ້ອນຮັບທ່ານ V.	Ông Phạm Bình Minh, Phó Thủ tướng Chính phủ, Bộ trưởng Bộ Ngoại giao Việt Nam đã đón tiếp Mr.
Titov ຮອງລັດຖະມົນຕີຜູ້ທີ 1 ກະຊວງການຕ່າງປະເທດລັດເຊຍ.	Titov, Thứ trưởng Thứ nhất Bộ Ngoại giao Nga
ພາບ: ດວ່ານກາ.	Ảnh: Doan Ka
ທ່ານ ຟ້າມບິ່ງມິນ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ ເນັ້ນໜັກວ່າ ສອງຝ່າຍຄວນສືບຕໍ່ເສີມຂະຫຍາຍການສົມທົບກັນຢ່າງແໜ້ນແຟ້ນລະຫວ່າງສອງປະເທດໃນບັນດາເວທີປາໄສຫຼາຍຝ່າຍ;	Phạm Bình Minh, Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Việt Nam nhấn mạnh, hai nước cần tiếp tục tăng cường hợp tác mạnh mẽ giữa hai nước tại các diễn đàn đa phương;
ສືບຕໍ່ເພີ່ມທະວີການແລກປ່ຽນບັນດາບັນຫາໃນພາກພື້ນ ແລະສາກົນ, ບັນດາບັນຫາກ່ຽວກັບສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງ, ຫວັງວ່າລັດເຊຍ ສືບຕໍ່ຍູ້ແຮງການຮ່ວມມືກັບອາຊຽນ, ເສີມຂະຫຍາຍບົດບາດ ແລະທັດສະນະສໍາຄັນຂອງຕົນປະກອບສ່ວນຢ່າງຕັ້ງໜ້າເຂົ້າໃນສັນຕິພາບ, ສະຖຽນລະພາບໃນພາກພື້ນ ແລະໃນໂລກ.	Tiếp tục tăng cường trao đổi về các vấn đề khu vực và quốc tế, các vấn đề liên quan đến hòa bình và an ninh, mong rằng Nga tiếp tục tăng cường hợp tác với ASEAN, tăng cường vai trò và tập trung đóng góp vào hòa bình, ổn định của khu vực và toàn cầu.
ທ່ານ V.	Anh V.
