ຕອນຄໍ່າວັນທີ 6 ມີນາ, ກະຊວງສາທາລະນະສຸກຫວຽດນາມ ໄດ້ໃຫ້ຂ່າວກ່ຽວກັບຜູ້ຕິດໂລກພະຍາດ Covid-19 ຜູ້ທີ 17 ຢູ່ຫວຽດນາມ.	Tối 6/3, Bộ Y tế Việt Nam đã có báo cáo về trường hợp nhiễm Covid-19 thứ 17 tại Việt Nam.
ຜູ້ຕິດໂລກລະບາດຄົນດັ່ງກ່າວແມ່ນຜູ້ຍິງເກີດປີ 1993, ພັກເຊົາຢູ່ເມືອງບາດິ່ງ, ຮ່າໂນ້ຍ ແລະປັດຈຸບັນກໍາລັງໄດ້ແຍກຕົວອອກຢູ່ຕ່າງຫາກ ແລະໄດ້ຮັບການປິ່ນປົວຢູ່ໂຮງໝໍພະຍາດເຂດຮ້ອນສູນກາງ.	Nạn nhân là một phụ nữ sinh năm 1993, ngụ tại Ba Đình, Hà Nội, hiện đang được điều trị tại Bệnh viện Nhiệt đới Trung ương.
ຜູ້ຕິດໂລກລະບາດຜູ້ທີ 17 ໄດ້ແຍກຕົວອອກຢູ່ຕ່າງຫາກ ແລະໄດ້ຮັບການປິ່ນປົວຢູ່ໂຮງໝໍພະຍາດເຂດຮ້ອນສູນກາງ.	Ổ dịch thứ 17 được cách ly và điều trị tại Bệnh viện Nhiệt đới Trung ương.
ພາບ: vov.vn.	Ảnh: vov.vn.
ພາຍຫຼັງໄດ້ຮັບຂ່າວກ່ຽວກັບກໍລະນີຕິດໂລກພະຍາດດັ່ງກ່າວ, ການນໍາພະແນກສາທາລະນະສຸກຮ່າໂນ້ຍ, ການນໍາສູນຄວບຄຸມໂລກພະຍາດຮ່າໂນ້ຍ, ປະທານຄະນະກໍາມະການປະຊາຊົນເມືອງບາດິ່ງ, ບັນດາກໍາລັງຂອງຂະແໜງສາທາລະນະສຸກ ແລະເມືອງບາດິ່ງ ໄດ້ລົງໄປບໍລິເວນເຮືອນພັກເຊົາຂອງຄົນເຈັບເພື່ອຊີ້ນໍາປະຕິບັດວຽກງານສະກັດກັ້ນ ແລະຕ້ານໂລກລະບາດ.	Sau khi nhận được tin bùng phát, Sở Y tế Hà Nội, Trung tâm Kiểm soát bệnh tật Hà Nội, Chủ tịch UBND quận Ba Đình, Phòng Y tế quận Ba Đình đã xuống khu điều trị nội trú để triển khai công tác chống dịch.
ພະແນກສາທາລະນະສຸກຮ່າໂນ້ຍ ກໍໄດ້ຈັດຕັ້ງການສີດຢາຂ້າເຊື້ອຢູ່ເຮືອນພັກເຊົາຂອງຄົນເຈັບ ແລະບັນດາເຂດອ້ອມຂ້າງ, ໂຮງໝໍ ແລະເຮືອນພັກເຊົາຂອງຜູ້ທີ່ໄດ້ເຂົ້າໃກ້ຄົນເຈັບ.	Sở Y tế Hà Nội cũng tổ chức tiêu độc khử trùng tại nhà người bệnh và các khu vực lân cận, bệnh viện, nhà khách.
ຜູ້ທີ່ໄດ້ເຂົ້າໃກ້ກັບຄົນເຈັບທັງໝົດກໍໄດ້ສົ່ງໄປແຍກຕົວຢູ່ຕ່າງຫາກທີ່ໂຮງໝໍພະຍາດເຂດຮ້ອນສູນກາງແລ້ວເອົາຕົວຢ່າງໄປວິໄຈ.	Những người tiếp xúc với tất cả các bệnh nhân đều được đưa đến một trung tâm riêng tại Bệnh viện Nhiệt đới Trung ương để lấy mẫu xét nghiệm.
ສ່ວນຜູ້ທີ່ໄດ້ເຂົ້າໃກ້ກັບຜູ້ທີ່ໄດ້ສໍາຜັດກັບຄົນເຈັບນັ້ນກໍໄດ້ເຮັດບັນຊີລາຍຊື່ ແລະຮຽກຮ້ອງໃຫ້ປະຕິບັດການແຍກຕົວຢູ່ກັບບ່ອນພັກເຊົາຕາມຂໍ້ກໍານົດ.	Những người tiếp xúc gần với bệnh nhân đã lập danh sách và yêu cầu đưa họ ra khỏi nơi tạm trú theo đúng quy định.
ທາງກະຊວງສາທາລະນະສຸກ ສະເໜີໃຫ້ກະຊວງການຕ່າງປະເທດຫວຽດນາມ ຕິດຕໍ່ພົວພັນກັບບັນດາອົງການການທູດຂອງ ອັງກິດ, ຝລັ່ງ ເພື່ອແຈ້ງຂ່າວກ່ຽວກັບການເດີນທາງ, ບ່ອນຢູ່ຂອງຄົນເຈັບດັ່ງກ່າວເພື່ອໃຫ້ເຂົາເຈົ້າມີມາດຕະການຄວບຄຸມ.	Bộ Y tế đã yêu cầu Bộ Ngoại giao Việt Nam liên lạc với các đại sứ quán Anh, Pháp cung cấp thông tin về việc đi lại, nơi ở của những bệnh nhân này để có biện pháp kiểm soát.
ສ່ວນຄະນະຊີ້ນໍາແຫ່ງຊາດ ກໍໄດ້ຊີ້ນໍາບັນດາກະຊວງ, ຂະແໜງການກ່ຽວຂ້ອງເພື່ອກວດກາຄືນໃໝ່ບັນຊີລາຍຊື່ຜູ້ທີ່ຂີ່ເຮືອບິນລໍາດຽວກັນກັບຄົນເຈັບ (ເຮືອບິນໝາຍເລກ VN0054 ໃນວັນທີ 2 ມີນາຜ່ານມາຂອງບໍລິສັດການບິນ VietnamAirlines) ເຊິ່ງໄດ້ເຂົ້າເມືອງຫວຽດນາມ, ຢັ້ງຢືນບ່ອນພັກອາໄສຂອງຜູ້ຄົນດັ່ງກ່າວເພື່ອແຈ້ງໃຫ້ອໍານາດການປົກຄອງທ້ອງຖິ່ນຮັບຊາບ ແລະຈັດຕັ້ງປະຕິບັດການແຍກຕົວຢູ່ຕ່າງຫາກ, ຕິດຕາມກວດສຸຂະພາບຢ່າງທັນການຕາມຂໍ້ກໍານົດ.	Ban Chỉ đạo quốc gia đã chỉ đạo các bộ, ban ngành liên quan rà soát danh sách hành khách đi cùng tàu bay Vietnam Airlines (VN0054) ngày 2/3 đã nhập cảnh vào Việt Nam.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
