ກປ.ອອນໄລ - ລະບົບແຈ້ງອາການສຸຂະພາບທາງການທ່ອງທ່ຽວໂດຍບໍລິສັດໃຫຍ່ Viettel Solutions ຜັນຂະຫຍາຍສະຫງວນໃຫ້ບັນດາສະໜາມບິນ, ດ່ານຊາຍແດນ ແລະ 100% ຮາກຖານພັກເຊົາ, ຮ້ານອາຫານໃນທົ່ວປະເທດ, ກ່ຽວຂ້ອງເຖິງເຊື້ອພະຍາດ Covid-19.	LỚN - Giải pháp hệ thống thông báo sức khỏe du lịch, nhà hàng, nhà hàng của Covid-19.
ຕອນເຊົ້າວັນທີ 15 ມີນາ, ຢູ່ຮ່າໂນ້ຍ, ກະຊວງສາທາລະນະສຸກຫວຽດນາມ ໄດ້ສົມທົບກັບກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ, ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ແລະກະຊວງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີຫວຽດນາມ ຈັດຕັ້ງພິທີເປີດຕົວລະບົບແຈ້ງອາການສຸຂະພາບທາງການທ່ອງທ່ຽວໂດຍບໍລິສັດໃຫຍ່ Viettel Solutions ຜັນຂະຫຍາຍ ເຊິ່ງໄດ້ສະຫງວນໃຫ້ບັນດາສະໜາມບິນ, ດ່ານຊາຍແດນ ແລະ 100% ຮາກຖານພັກເຊົາ, ຮ້ານອາຫານໃນທົ່ວປະເທດ, ກ່ຽວຂ້ອງເຖິງເຊື້ອພະຍາດ Covid-19.	Ngày 15 tháng 3, tại Hà Nội, Bộ Y tế và Việt Nam, Bộ Thông tin và Kỹ thuật Chỉnh sửa]
ບັນຍາກາດທີ່ພິທີເປີດຕົວ.	Một bầu không khí được phóng.
ພາບ: ທ໊າຍເຊີນ.	Ảnh: Hack được mời.
ການສ້າງລະບົບແຈ້ງອາການສຸຂະພາບເພື່ອແນໃສ່ໜູນຊ່ວຍຄະນະຊີ້ນໍາແຫ່ງຊາດກ່ຽວກັບການປ້ອງກັນ, ສະກັດກັ້ນເຊື້ອພະຍາດ Covid-19 ໃນການເປັນເຈົ້າການເກັບກຳໄດ້ຂໍ້ມູນການເດີນທາງຂອງຜູ້ໂດຍສານພາຍໃນ ແລະສາກົນເມື່ອມາຢ້ຽມຢາມຢູ່ຫວຽດນາມ.	Tạo một hệ thống thông báo lành mạnh để giúp hỗ trợ Ban chỉ đạo quốc gia, chặn các bộ sưu tập Covid-19 và quốc tế tại Việt Nam.
ລະບົບຈະໄດ້ຮັບການປະມວນເຂົ້າໃນແອບ ພີ ເຄຊັ່ນ Vietnam Health Declarations ເພື່ອໃຫ້ບັນດາຮາກຖານດໍາເນີນທຸລະກິດ ແລະນັກທ່ອງທ່ຽວນໍາໃຊ້ໄດ້ຢ່າງສະດວກ.	Hệ thống sẽ được xử lý trong các bài tuyên bố sức khỏe của Healthnat Healthnam để tiến hành kinh doanh và khách du lịch có thể dễ dàng sử dụng.
ຕາມນັ້ນແລ້ວ, ລະບົບຈະໄດ້ນໍາໃຊ້ 100% ຢູ່ຮາກຖານການທ່ອງທ່ຽວໃນທົ່ວປະເທດ, ລວມມີທັງບັນດາສະຖານທີ່ເຂົ້າເມືອງ (ສະໜາມບິນ, ດ່ານຊາຍແດນ);	Theo đó, hệ thống sẽ sử dụng 100% tại phòng trong cả nước, bao gồm các địa điểm nhập cư (sân bay, xuyên biên giới);
ສະຖານທີ່ກິນດື່ມ (ຮ້ານອາຫານ, ໂຮງແຮມ...	Nơi ăn uống (nhà hàng, khách sạn ...
);	);
ສະຖານທີ່ພັກເຊົາ (ໂຮງແຮມ, ເຮືອນພັກ);	Địa điểm (khách sạn, nhà khách);
ເຂດລະຫຼິ້ນບັນເທີງ, ຫໍປະຊຸມ;	Khu vực giải trí, hội trường;
ບໍລິສັດຂົນສົ່ງຜູ້ໂດຍສານທີ່ກໍາລັງເຄື່ອນໄຫວໃນທົ່ວປະເທດ.	Công ty vận tải hành khách trên toàn quốc.
ແອບ ພີ ເຄຊັ່ນ Vietnam Health Declarations ໄດ້ເປີດຕົວໃນວັນທີ 9 ມີນາ ຢ່າງເປັນທາງການແມ່ນສະຫງວນໃຫ້ຜູ້ເຂົ້າເມືອງຫວຽດນາມ ນໍາໃຊ້ເພື່ອແຈ້ງອາການສຸຂະພາບ (ໜູນຊ່ວຍດ້ວຍ 12 ພາສາ).	Tuyên bố y tế Việt Nam đưa vào ngày 9 tháng 3 được sử dụng để nhận thấy (các) khỏe mạnh
ການປະມວນໃບແຈ້ງອາການສຸຂະພາບທາງການທ່ອງທ່ຽວຢູ່ໃນແອບ ພີ ເຄຊັ່ນນີ້ຈະໜູນຊ່ວຍໃຫ້ຄະນະຊີ້ນໍາການປ້ອງກັນ, ສະກັດກັ້ນເຊື້ອພະຍາດ Covid-19 ພົບເຫັນແຫຼ່ງຕິດພະຍາດ ແລະສາມາດຄວບຄຸມໄດ້ການເຄື່ອນໄຫວທ່ອງທ່ຽວໃນຈຸດເວລາເຊື້ອພະຍາດ Covid-19 ພວມມີການຜັນແປຢູ່ຫວຽດນາມ ຢ່າງສັບສົນ.	Việc xử lý sức khỏe du lịch, theo cách này, tiềm năng của Covid-19 của sự vượt trội ở Việt Nam.
ປະຊາຊົນກໍ່ສາມາດເຂົ້າຫາເວັບໄຊ suckhoetoandan.vn/khaiyte ຫຼື tokhaiyte.vn ແລະເຮັດຕາມການແນະນໍາເພື່ອປະຕິບັດການແຈ້ງອາການສຸຂະພາບທາງເອເລັກໂນນິກ.	Mọi người có thể truy cập trang web SuckhOetoandan.vn/khaiyte hoặc tokhaiyte.vn và đưa ra khuyến nghị để thực hiện thông báo sodic.
ໂດຍ: ຈາງຫງວຽນ.	Bởi: phẳng của số tê.
