ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 23 ມີນາ, ຢູ່ຫໍສະພາແຫ່ງຊາດ, ຄະນະປະຈໍາສະພາແຫ່ງຊາດ ໄດ້ໄຂວາລະປະຊຸມຄັ້ງທີ 43.	Sáng 23/3, tại Hội trường Quốc hội, Ủy ban Thường vụ Quốc hội họp phiên thứ 43.
ຕາມລາຍການເຮັດວຽກ, ທີ່ວາລະປະຊຸມ, ຄະນະປະຈໍາສະພາແຫ່ງຊາດ ໃຫ້ຄໍາເຫັນກ່ຽວກັບບັນດາບັນຫາຍັງມີຄໍາຄິດເຫັນແຕກຕ່າງກັນຂອງຮ່າງກົດໝາຍ 6 ສະບັບ.	Theo chương trình, tại phiên họp, Ủy ban Thường vụ Quốc hội cho ý kiến về những vấn đề còn ý kiến khác nhau của 6 dự thảo luật.
ນອກຈາກນັ້ນ, ຄະນະປະຈໍາສະພາແຫ່ງຊາດ ກໍ່ໃຫ້ຄໍາເຫັນກ່ຽວກັບຮ່າງກົດໝາຍວ່າດ້ວຍການປ້ອງກັນຊາຍແດນຫວຽດນາມ.	Ngoài ra, Ủy ban Thường vụ Quốc hội cho ý kiến về dự thảo luật bảo vệ biên giới Việt Nam.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ກ່າວຄໍາເຫັນໄຂວາລະປະຊຸມ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngên phát biểu chỉ đạo kỳ họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຄະນະປະຈໍາສະພາແຫ່ງຊາດ ກໍ່ໃຫ້ຄໍາເຫັນກ່ຽວກັບການດັດປັບອັດຕາສ່ວນງົບປະມານຮັບປະກັນໃຫ້ການເຄື່ອນໄຫວສໍາລັບກົມໃຫຍ່ພາສີອາກອນ ແລະກົມໃຫຍ່ພາສີ ໄລຍະ 2016-2020;	Ủy ban Thường vụ Quốc hội cũng cho ý kiến về việc điều chỉnh tỷ lệ ngân sách bảo đảm hoạt động cho Tổng cục Thuế và Tổng cục Thuế giai đoạn 2016-2020;
ເລື່ອງດັດປັບສົ່ງງົບປະມານສ່ວນໜຶ່ງເພື່ອຮັບປະກັນການເຄື່ອນໄຫວຂອງກົມໃຫຍ່ພາສີອາກອນ ໄປສູ່ກົມສະສົມແຫ່ງລັດ, ຄະນະກໍາມະການຫຼັກຊັບແຫ່ງລັດ ແລະສະຖາບັນການເງິນ;	V / v điều chỉnh một phần kinh phí bảo đảm hoạt động của Tổng cục Thuế cho Vụ Kho bạc Nhà nước, Ủy ban Chứng khoán Nhà nước và các tổ chức tài chính;
ກົນໄກຄຸ້ມຄອງການເງິນ ແລະລາຍຮັບຕິດພັນກັບລັກສະນະພິເສດສະເພາະຂອງບັນດາອົງການຄຸ້ມຄອງການບໍລິຫານຂອງລັດ;	Cơ chế quản lý tài chính và thu ngân sách gắn với tính chất đặc thù của quản lý hành chính nhà nước;
ຮ່າງດໍາລັດຂອງລັດຖະບານສະບັບປັບປຸງ, ເພີ່ມເຕີມບາງມາດຕາຂອງດໍາລັດເລກທີ 165/2016/NĐ-CP ລົງວັນທີ 24 ທັນວາ 2016 ກໍານົດລະອຽດກ່ຽວກັບການຄຸ້ມຄອງ, ນໍາໃຊ້ງົບປະມານຂອງລັດສຳລັບການເຄື່ອນໄຫວຈໍານວນໜຶ່ງທີ່ຂຶ້ນກັບຂົງເຂດການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ;	Dự thảo Nghị định của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 165/2016 / NĐ-CP ngày 24 tháng 12 năm 2016 quy định chi tiết việc quản lý, sử dụng ngân sách nhà nước đối với một số hoạt động liên quan đến quốc phòng, an ninh;
ການດັດປັບແຜນລາຍຈ່າຍງົບປະມານຂອງລັດປີ 2020 ຂອງຫ້ອງວ່າການສູນກາງພັກ ແລະກະຊວງການຕ່າງປະເທດ.	Điều chỉnh kế hoạch chi ngân sách nhà nước năm 2020 của Ban Chấp hành Trung ương Đảng và Bộ Ngoại giao.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
