ກປ.ອອນໄລ - ໃນໜ້າເວັບໄຊ Thayer Consultancy, ທ່ານ ສຈ.	Miễn phí - Trên trang web Tư vấn Mushan, Giáo sư
Carl Thayer ສັງກັດຢູ່ມະຫາວິທະຍາໄລ New South Wales (ອົດສະຕາລີ) ໄດ້ຕີລາຄາສູງກໍາລັງຄວາມສາມາດຂອງລັດຖະບານຫວຽດນາມ ໃນວຽກງານປ້ອງກັນ ແລະຕ້ານໂລກພະຍາດ Covid-19 ພວມແຜ່ລະບາດຢ່າງກວ້າງຂວາງ ແລະເຮັດໃຫ້ທົ່ວໂລກມີຜູ້ເສຍຊີວິດເກືອບ 17.000 ຄົນ.	Carl Thayer cắn tại New South Wales (Úc) đã được chính phủ Việt Nam đánh giá cao sự bảo vệ và quỷ dữ của Quỷ gần 17.000 người chết.
ຕາມທ່ານ ສຈ.	Theo bạn
Carl Thayer ແລ້ວ, ໃນຕະຫຼອດໄລຍະ 2 ເດືອນຜ່ານມາ, ອາດສາມາດເຫັນໄດ້ຢ່າງຈະແຈ້ງວ່າ ລັດຖະບານຫວຽດນາມ ໄດ້ມີການກະທຳ “ວ່ອງໄວ ແລະຂ້ຽວຂາດ ພາຍຫຼັງຮັບຮູ້ໄດ້ຄວາມສ່ຽງນາບຂູ່ເຖິງສຸຂະພາບຂອງປະຊາຊົນ.	Carl Thayer đã, trong suốt 2 tháng qua, có thể thấy rõ rằng chính phủ Việt Nam có tổng hợp, nguy cơ nhận ra sức khỏe.
ຂໍຍົກຕົວຢ່າງໜຶ່ງແມ່ນບັນດາກໍລະນີຕິດເຊື້ອພະຍາດ Covid-19 ທໍາອິດຢູ່ແຂວງຫວິງຟຸກ ໄດ້ຮັບການແຍກປ່ຽວ ແລະປິ່ນປົວຢ່າງທັນທີ, ໃນຂະນະນັ້ນທ່ົວຕາແສງເຊິນໂລຍ, ເມືອງບິ່ງຊວຽນ ຂອງແຂວງນີ້ຖືກປິດລ້ອມເພື່ອແນໃສ່ສະກັດກັ້ນການແຜ່ລະບາດຂອງໄວຣັດ SARS-CoV-2.	Ví dụ, ví dụ là trường hợp đầu tiên trong máy giặt VICHEL, trong khi Bhius, tỉnh SARS-COV-2.
ມາຮອດປະຈຸບັນ, ບັນດາກໍລະນີຕິດເຊື້ອພະຍາດ Covid-19 ຢູ່ແຂວງຫວິງຟຸກ ລ້ວນແຕ່ເຊົາພະຍາດ.	Cho đến nay, các trường hợp Covid-19 đang trong bệnh.
ພາລະກອນການແພດສີດຢາຂ້າເຊື້ອພາຍໃນເຮືອບິນຂອງ Vietnam Airlines ຢູ່ສະໜາມບິນໂນ້ຍບ່າຍ.	Các mặt hàng y tế trong dược liệu thông trong các hãng hàng không Việt Nam tại sân bay Đảo.
ພາບ: Reuters.	Ảnh: Reuters.
ທ່ານ ສຈ.	Giáo sư
Carl Thayer ໃຫ້ຮູ້ວ່າ, ລັດຖະບານຫວຽດນາມ ໄດ້ສ້າງຕັ້ງຄະນະຊີ້ນໍາແຫ່ງຊາດກ່ຽວກັບການປ້ອງກັນ, ຕ້ານໂລກພະຍາດ Covid-19.	Carl Tharay biết, chính phủ Việt Nam đã thiết lập các vùng trợ cấp quốc gia về bảo vệ, chống lại Covid-19.
ພ້ອມກັບການຕັດສິນໃຫ້ນັກຮຽນ, ນັກສຶກສາຢຸດຕິການຮຽນຊົ່ວຄາວ, ນອກຈາກນັ້ນລັດຖະບານຫວຽດນາມ ໄດ້ຜັນຂະຫຍາຍຫຼາຍບາດກ້າວເພື່ອແນໃສ່ແຍກປ່ຽວບັນດາກໍລະນີສົງໄສວ່າຕິດເຊື້ອພະຍາດ Covid-19, ທັງພົນລະເມືອງຫວຽດນາມ ແລະຄົນຕ່າງປະເທດອີກດ້ວຍ.	Với quyết định cho sinh viên, học sinh ngừng học tạm thời, bị nhiễm Crovid-19, cả người Việt Nam và người nước ngoài.
ທ່ານ ສຈ.	Giáo sư
Carl Thayer ເນັ້ນໜັກວ່າ “ຫວຽດນາມ ໄດ້ຢຸດຕິການອອກວິຊາຊົ່ວຄາວສຳລັບຄົນຕ່າງປະເທດເຂົ້າເມືອງຫວຽດນາມ, ຮັດແໜ້ນການຄວບຄຸມຊາຍແດນ.	Trao đổi Carl Thayer rằng "Việt Nam đã kết thúc cho một Coam tạm thời, hãy vào cặp vợ chồng nước ngoài, vào biên giới.
ບໍລິສັດການບິນແຫ່ງຊາດ Vietnam Airlines ຢຸດຕິຊົ່ວຄາວບັນດາຖ້ຽວບິນສາກົນ.	Công ty hàng không quốc gia Airline Công ty kết thúc chuyến bay quốc tế.
