ກປ.ອອນໄລ - 2019 ແມ່ນປີໄດ້ຮັບຜົນສໍາເລັດຂອງກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel).	Pro online - 2019 là thành công của công ty công nghiệp - Truyền thông quân sự (Viettel).
ນີ້ແມ່ນປີທໍາອິດທີ່ປະຕິບັດຍຸດທະສາດ “ສ້າງສັງຄົມດີຈີຕອນ , Viettel ໄດ້ປະຕິບັດສໍາເລັດ 100% ແຜນການຜະລິດດໍາເນີນທຸລະກິດປີ 2019 ດ້ວຍຍອດລາຍຮັບກວ່າ 251 ພັນຕື້ດົ່ງ, ກວມເອົາ 50% ລາຍຮັບທົ່ວຂະແໜງໂທລະຄົມມະນາຄົມ.	Đây là năm đầu tiên để thực hành "xây dựng một xã hội học tiếng Việt, Viettel, đã hoàn thành kế hoạch sản xuất kinh doanh năm 2019 với 50% viễn thông.
ຜົນກໍາໄລບັນລຸກວ່າ 39 ພັນຕື້ດົ່ງ, ເຕີບໂຕ 5,5%;	Lợi nhuận 39 nghìn tỷ đồng, tăng 5,5%;
ມອບງົບປະມານຂອງລັດກວ່າ 38 ພັນຕື້ດົ່ງ, ເຕີບໂຕ 2,7%.	Với ngân sách hơn 38 nghìn tỷ đồng, tăng 2,7%.
ກໍ່ໃນປີ 2019, ກຸ່ມບໍລິສັດ Viettel ໄດ້ຮັບການເຊີດຊູດ້ວຍ 10 ລາຍການຂອງລາງວັນດໍາເນີນທຸລະກິດສາກົນ 2019 (International Business Awards - IBA Stevie Awards).	Thực sự vào năm 2019, Tập đoàn Viettel đã được nâng lên với 10 phần thưởng kinh doanh quốc tế 2019 (Giải thưởng IBA Stevie).
ນີ້ແມ່ນຈໍານວນລາງວັນຫຼາຍທີ່ສຸດເຊິ່ງວິສາຫະກິດຫວຽດນາມ ຍາດມາໄດ້ຢູ່ IBA Stevie Awards ນັບແຕ່ກ່ອນມາຮອດປະຈຸບັນ.	Đây là số phần thưởng nhất, doanh nghiệp Việt Nam đã thuộc giải thưởng IBA Stevie kể từ đó.
“ປີພິເສດ ນັ້ນແມ່ນໝາກຜົນແຫ່ງຄວາມມານະພະຍາຍາມ, ຫົວຄິດປະດິດສ້າງຂອງແຕ່ລະຄົນໃນກຸ່ມບໍລິສັດ Viettel.	"Năm thêm là kết quả của từng nỗ lực, đổi mới của nhóm sáng tạo.
ໃນນັ້ນ, ມີບັນດາ “ຜູ້ພິເສດ.	Trong số này, có "chuyên gia.
“ຜູ້ພິເສດ ຢູ່ມຽນມາ	Chuyên gia ở Miến Điện
ພາຍຫຼັງ 8 ປີທີ່ເຮັດວຽກໃຫ້ບັນດາບໍລິສັດໂທລະຄົມມະນາຄົມສາກົນຢູ່ສິງກະໂປ ແລະມາເລເຊຍ, ອ້າຍ Kuang Htet Lu ກັບຄືນມຽນມາເພ່ືອເຮັດວຽກ.	Sau 8 năm làm việc cho Công ty Viễn thông Quốc tế tại Singapore và Malaysia, Kuang Hatt Lu trở về làm việc.
ພາຍຫຼັງສອງປີອີກທີ່ເຮັດວຽກຢູ່ສອງບໍລິສັດໂທລະຄົມມະນາຄົມພາຍໃນປະເທດ, ອ້າຍ Lu ໄດ້ຕັດສິນຈະສະໜິດຕິດພັນກັບ Mytel (ບໍລິສັດ Viettel ມຽນມາ, ບໍລິສັດໃຫຍ່ Viettel Global).	Sau hai năm, làm việc trên hai công ty viễn thông trong nước, Burnet Lu, Burmetel Global.
ແບ່ງປັນກ່ຽວກັບສາຍເຫດທີ່ມາເຮັດວຽກໃຫ້ Mytel, ອ້າຍ Lu ໃຫ້ຮູ້ວ່າ: Mytel ຍັງມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢ່າງຢູ່ມຽນມາ ແລະເຮັດວຽກຢູ່ທີ່ນີ້ຈະນໍາມາເຊິ່ງຫຼາຍບົດຮຽນຈາກສິ່ງທ້າທາຍໃໝ່.	Chia sẻ về nguyên nhân của công việc cho myel, Anh Lu biết rằng: Mytel cũng có nhiều tiềm năng ở Miến Điện và làm việc ở đây để mang lại nhiều bài học từ những thử thách mới.
