ກປ.ອອນໄລ - ໂລກລະບາດ ໂຄວິດ-19 ຍັງແຜ່ລະບາດ “ຢ່າງຮ້າຍແຮງ ແລະອາດຈະເຮັດໃຫ້ໂລກຕົກເຂົ້າສູ່ສະພາບ “ແຕກຕື່ນ, ລົ້ມຫາຍຕາຍຈາກ.	Đại dịch Kovid-19 tiếp tục lây lan "nghiêm trọng và có khả năng làm cả thế giới lao dốc"
ໃນສະພາບການນັ້ນ, ສານຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ທີ່ຝາກເຖິງກອງປະຊຸມທາງອອນລາຍບັນດາລັດຖະມົນຕີສາທາລະນະສຸກພາກພື້ນປາຊີຟິກຕາເວັນຕົກດ້ວຍຫົວຂໍ້ “ສາມັກຄີຕ້ານພະຍາດ ໂຄວິດ-19 ໄດ້ດຶງດູດຄວາມສົນໃຈເມື່ອເຈາະຈີ້ມ ແລະປຸກລຸກກໍາລັງແຮງຄວາມສາມັກຄີ, ການຮ່ວມມືໃນທົ່ວໂລກໃນບັ້ນຮົບຕ້ານໂລກລະບາດທີ່ອັນຕະລາຍນີ້.	Trong bối cảnh đó, thông điệp của Thủ tướng Chính phủ Nguyễn Xuân Phúc gửi tới Hội nghị trực tuyến các Bộ trưởng Y tế Tây Thái Bình Dương mang tên “Thống nhất chống Queti-19 thu hút đoàn kết toàn cầu, hợp tác toàn cầu và hợp tác toàn cầu”.
ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ແນະນໍາກ່ຽວກັບວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດ ໂຄວິດ-19 ຂອງຫວຽດນາມ ຄືດັ່ງບາດກ້າວບຸກທະລຸຢ່າງປະທັບໃຈຕໍ່ກັບສະພາບຮ້າຍແຮງຂອງໂລກລະບາດ.	Nguyễn Xuân Phúc giới thiệu sơ lược về công tác phòng, chống dịch bệnh Kovi-19 của Việt Nam là bước đột phá ấn tượng về dịch bệnh.
ຄວາມຈິງແລ້ວ, ໃນຂະນະທີ່ຫຼາຍປະເທດກໍາລັງປະສົບກັບຄວາມຫຍຸ້ງຍາກເພື່ອຮັບມືກັບພະຍາດ-19, ເລື່ອງຫວຽດນາມ ກໍາລັງຄວບຄຸມໄດ້ສະພາບການ, ຍັງບໍ່ທັນມີກໍລະນີໃດເສຍຊີວິດ ແລະປ່ິນປົວຫາຍດີໄດ້ເກືອບ 50% ກໍລະນີຕິດເຊື້ອໄວຣັດ SARS-CoV-2 ແມ່ນຫຼັກຖານພິສຸດໃຫ້ເຫັນຢ່າງຈະແຈ້ງທີ່ສຸດກ່ຽວກັບປະສິດທິຜົນຂອງຮູບແບບ ປ້ອງກັນ, ຕ້ານພະຍາດໃນເງື່ອນໄຂປະເທດໜຶ່ງກັບແຫຼ່ງກໍາລັງທີ່ຈຳກັດແຕ່ມີຄວາມຕັດສິິນໃຈດ້ານການເມືອງ ແລະຄວາມມານະພະຍາຍາມສູງ.	Trên thực tế, trong khi nhiều quốc gia đang phải vật lộn với dịch bệnh-19 thì Việt Nam đang kiểm soát được tình hình, với gần 50% trường hợp tử vong và điều trị nhiễm vi rút SARS-CoV-2.
ສິ່ງເຫຼ່ົານີ້ໄດ້ຮັບການຮັບຮອງຈາກລັດຖະບານຫຼາຍປະເທດກໍ່ຄືສື່ມວນຊົນສາກົນ ແລະສາມາດກາຍເປັນບົດຮຽນທີ່ມີຜົນປະໂຫຍດ ເພື່ອນໍາໃຊ້ເຂົ້າບັນດາວິກິດການທີ່ຄ້າຍຄືກັນໃນອະນາຄົດ.	Những điều này đã được nhiều chính phủ cũng như các phương tiện truyền thông quốc tế tán thành và có thể trở thành những bài học hữu ích để áp dụng cho các cuộc khủng hoảng tương tự trong tương lai.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ.	Thủ tướng Chính phủ Việt Nam Nguyễn Xuân Phúc.
ພາບ: baochinhphu.vn.	Ảnh: baochinhphu.vn.
ຈາກບົດຮຽນ ແລະໝາກຜົນທີ່ເປັນໄປໄດ້ນັ້ນ, ຊາວຫວຽດນາມ ກໍ່ມຸ່ງໄປເຖິງສ່ວນທີ່ຍັງເຫຼືອຂອງໂລກດ້ວຍການຮ່ວມມື, ການແບ່ງປັນທັງດ້ານວັດຖຸ ແລະຈິດໃຈ.	Từ những bài học kinh nghiệm và những kết quả có thể đạt được, người Việt Nam đang vươn ra thế giới bằng sự hợp tác, chia sẻ vật chất và tình cảm.
ກົງກັບເວລາດໍາເນີນກອງປະຊຸມທາງອອນລາຍບັນດາລັດຖະມົນຕີສາທາລະນະສຸກພາກພື້ນປາຊີຟິກຕາເວັນຕົກ, ອຸປະກອນຖ້ຽວທໍາອິດໃນສອງຖ້ຽວດ້ວຍໂສ້ງເສື້ອກັນພະຍາດ DuPont 450.000 ຊຸດທີ່ຜະລິດຢູ່ຫວຽດນາມ ໄດ້ມາຮອດນະຄອນ Dallas, ລັດ Texas ຂອງອາເມລິກາ ແລ້ວ, ແລະ ທ່ານ Donald Trump ປະທານທິບໍດີອາເມລິກາ ຂຽນໄວ້ຢູ່ສື່ສັງຄົມອອນລາຍ Twitter ວ່າ: “ສິ່ງເຫຼົ່ານີ້ມີໄດ້ແມ່ນຍ້ອນອີ່ງບັນດາຄູ່ຮ່ວມມືແມ່ນສອງບໍລິສັດ DuPont ແລະ FedEx ແລະບັນດາເພື່ອນມິດຢູ່ຫວຽດນາມ.	Vào thời điểm diễn ra cuộc họp trực tuyến của các Bộ trưởng Y tế Tây Thái Bình Dương, hai chuyến thiết bị đầu tiên với 450.000 áo khoác DuPont do Việt Nam sản xuất đã đến Dallas, Texas, Hoa Kỳ. "
ຂໍຂອບໃຈເພື່ອນມິດທຸກຄົນ!	Cảm ơn tất cả những người bạn!
ກ່ອນໜ້ານັ້ນ, ຫວຽດນາມ ໄດ້ແບ່ງປັນບົດຮຽນ, ໜູນຊ່ວຍວັດຖຸ, ອຸປະກອນການແພດໃຫ້ແກ່ຫຼາຍປະເທດ, ໃນນັ້ນມີບັນດາປະເທດ, ຄື: ລາວ, ກໍາປູເຈຍ, ຈີນ ແລະບາງປະເທດເອີລົບ ທີ່ກໍາລັງຖືກຜົນສະທ້ອນຈາກໂລກລະບາດຢ່າງໜັກໜ່ວງ, ຄື: ຝະລັ່ງ, ເຢຍລະມັນ, ອີຕາລີ, ແອັດສະປາຍ ແລະອັງກິດ...	Trước đó, Việt Nam đã chia sẻ bài học và tài liệu tới nhiều nước, trong đó có Lào, Campuchia, Trung Quốc và một số nước châu Âu đang bị ảnh hưởng nặng nề của dịch như Pháp, Đức, Ý, Tây Ban Nha và Vương quốc Anh.
