ກປ.ອອນໄລ - ຫວຽດນາມ ໄດ້ມອບອຸປະກອນການແພດໃຫ້ຫຼາຍປະເທດໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19...	Việt Nam đã tài trợ trang thiết bị y tế cho nhiều quốc gia để phòng, chống dịch bệnh - 19 ...
ເພື່ອໜູນຊ່ວຍບັນດາປະເທດໃນພາກພື້ນ ແລະໂລກ ຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກຮັບມືກັບພະຍາດໂຄວິດ-19, ຫວຽດນາມ ໄດ້ມີການກະທໍາຢ່າງແທດຈິງ, ໜູນຊ່ວຍບັນດາວັດຖຸ, ອຸປະກອນການແພດ.	Để giúp các nước trong khu vực và trên thế giới vượt qua khủng hoảng Kovid-19, Việt Nam đã có những biện pháp thiết thực cung cấp vật tư, thiết bị y tế.
ຫວຽດນາມ ໄດ້ມອບຊຸດປ້ອງກັນພະຍາດໂຄວິດ-19, ຜ້າອັດປາກ-ອັດດັງ, ລະບົບວິເຄາະ ແລະຊຸດວິເຄາະໄວຣັດ SARS-CoV-2, ລວມຍອດມູນຄ່າກວ່າ 7 ຕື້ດົ່ງໃຫ້ສອງປະເທດລາວ ແລະກໍາປູເຈຍ.	Việt Nam đã tài trợ hơn 7 tỷ đồng vắc xin Kovi-19, khẩu trang, bộ phân tích, kiểm tra vi rút SARS-CoV-2 và bộ phân tích vi rút cho Lào và Campuchia.
ຫວຽດນາມ ມອບອຸປະກອນວິເຄະໃຫ້ ອິນໂດເນເຊຍ;	Việt Nam tặng thiết bị cho Indonesia;
ມອບເງິນ 50.000 ໂດລາສະຫະລັດໃຫ້ມຽນມາ ເພື່ອໜູນຊ່ວຍປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19;	Tài trợ 50.000 đô la Mỹ cho Myanmar để giúp ngăn ngừa và kiểm soát bệnh Kovi-19;
ມອບເຂົ້າສານ 5.000 ໂຕນໃຫ້ພັກ, ລັດ ແລະປະຊາຊົນກູບາ.	Quyên góp 5.000 tấn gạo cho đảng, nhà nước và nhân dân Cuba.
ທ່ານ ບຸ່ຍແທັງເຊີນ ຮອງລັດຖະມົນຕີຜູ້ປະຈໍາການກະຊວງການຕ່າງປະເທດຫວຽດນາມ ມອບອຸປະກອນການແພດຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໃຫ້ທ່ານ Daniel Kritenbrink ເອກອັກຄະລັດຖະທູດອາເມລິກາ ປະຈໍາ ຫວຽດນາມ.	Thứ trưởng Ngoại giao Bùi Thanh Sơn tặng trang thiết bị y tế của Thủ tướng Nguyễn Xuân Phúc cho Đại sứ Hoa Kỳ tại Việt Nam Daniel Kritenbrink.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່ອນໜ້ານັ້ນ, ເມື່ອພະຍາດໂຄວິດ-19 ແຜ່ລະບາດຢູ່ ຈີນ, ພັກ, ລັດຖະບານ ແລະປະຊາຊົນຫວຽດນາມ ໄດ້ມອບວັດຖຸ, ອຸປະກອນການແພດ ລວມມີ: ໂສ້ງເສື້ອຂ້າເຊື້ອ, ຖົງມື, ຜ້າອັດປາກ-ອັດດັງ ດ້ວຍຍອດມູນຄ່າ 500.000 ໂດລາສະຫະລັດໃຫ້ພັກ, ລັດຖະບານ ແລະປະຊາຊົນຈີນ.	Trước đó, khi dịch Kovi-19 bùng phát tại Trung Quốc, Đảng, Chính phủ và nhân dân Việt Nam đã tặng Đảng, Chính phủ và nhân dân Trung Quốc vật tư y tế gồm thuốc khử trùng, găng tay, khẩu trang trị giá 500.000 USD.
ສະພາກາແດງຫວຽດນາມ ໄດ້ຂົນຂວາຍບັນດາອົງການຈັດຕັ້ງ, ສ່ວນບຸກຄົນໜູນຊ່ວຍ ອຸປະກອນການແພດ ດ້ວຍຍອດມູນຄ່າ 100.000 ໂດລາສະຫະລັດໃຫ້ປະຊາຊົນຈີນ ເພື່ອຮັບໃຊ້ວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19.	Hội Chữ thập đỏ Việt Nam đã vận động các tổ chức, cá nhân tài trợ trang thiết bị y tế trị giá 100.000 USD cho nhân dân Trung Quốc để góp phần phòng, chống dịch bệnh.
ຫວຽດນາມ ກໍ່ໄດ້ສະຫງວນແຫຼ່ງກໍາລັງສ່ວນໜຶ່ງຂອງຕົນ, ເພື່ອຊ່ວຍເຫຼືອລັດຖະບານບັນດາປະເທດຍີ່ປຸ່ນ, ລັດເຊຍ, ຝະລັ່ງ, ເຢຍລະມັນ, ອີຕາລີ, ແອັດສະປາຍ ແລະອັງກິດ, ອາເມລິກາ, ຊູແອັດ...	Việt Nam đã dành một số nguồn lực để hỗ trợ chính phủ Nhật Bản, Nga, Pháp, Đức, Ý, Tây Ban Nha và Anh, Hoa Kỳ, Thụy Điển ...
