ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 22 ເມສາ, ຢູ່ຮ່າໂນ້ຍ, ໄດ້ດຳເນີນກອງປະຊຸມທາງໄກ ຄັ້ງທີ 3 ລະຫວ່າງ ຫວຽດນາມ ແລະກູບາ ກ່ຽວກັບການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19.	Chiều tối 22/4, tại Hà Nội, đã diễn ra cuộc gặp gỡ đường dài Việt Nam - Cuba lần thứ ba.
ທ່ານພົນຈັດຕະວາ ຫງວຽນຊວນກຽນ, ຫົວໜ້າກົມເສນາຮັກ, ກອງທັບປະຊາຊົນຫວຽດນາມ ແລະທ່ານ Alfredo Gonzalez Leono ຮອງລັດຖະມົນຕີສາທາລະນະສຸກກູບາ ຮ່ວມເປັນປະທານກອງປະຊຸມ.	Trung tướng Nguyễn Xuân Kiên, Tổng Tham mưu trưởng Quân đội nhân dân Việt Nam và Alfredo Gonzalez Leono, Thứ trưởng Bộ Y tế Cuba đồng chủ trì buổi làm việc.
ກອງປະຊຸມມີການເຂົ້າຮ່ວມຂອງຊ່ຽວຊານ, ນັກຄົ້ນຄວ້າທັງພາຍໃນ ແລະນອກກອງທັບຂອງສອງປະເທດ.	Cuộc họp có sự tham gia của các chuyên gia, nhà nghiên cứu trong và ngoài quân đội hai nước.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ຫງວຽນຫາຍ.	Ảnh: Nguyễn Hải
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພົນຈັດຕະວາ ຫງວຽນຊວນກຽນ ໃຫ້ຮູ້ວ່າ ສອງຝ່າຍໄດ້ແລກປ່ຽນບົດຮຽນຕ່າງໆກ່ຽວກັບລະບົບການຈັດຕັ້ງ ແລະມາດຕະການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ແຜນການປິ່ນປົວພະຍາດສໍາເລັດໃນການປ່ິນປົວບັນດາກໍລະນີຕິດເຊື້ອ SARS-CoV-2 ຢູ່ຫວຽດນາມ;	Phát biểu chỉ đạo, Chuẩn tướng Nguyễn Xuân Kiên cho biết, hai bên đã trao đổi về công tác tổ chức, biện pháp phòng, chống dịch bệnh 19, phương án điều trị thành công ca bệnh SARS-CoV-2 tại Việt Nam;
ຊຸດ kit ກວດຫາເຊື້ອພະຍາດໂຄວິດ-19 ໂດຍໄວ;	Bộ phát hiện nhanh Kovid-19;
ສະເໜີໃຫ້ຜັນຂະຫຍາຍການຄົ້ນຄວ້າຢາຕ້ານທານຕໍ່ພະຍາດບາງປະເພດ, ເພີ່ມທະວີຕ້ານທານຕໍ່ພະຍາດ ແລະກຽມພ້ອມຮ່ວມມືໃນການຜະລິດຢາ, ທົດລອງ, ຄັດກອງຢູ່ສູນຕ່າງໆ.	Triển khai nghiên cứu một số loại thuốc kháng khuẩn, tăng sức đề kháng với bệnh tật và sẵn sàng hợp tác sản xuất thuốc, thử nghiệm và sàng lọc tại các trung tâm.
ທີ່ກອງປະຊຸມ, ສອງຝ່າຍສືບຕໍ່ແລກປ່ຽນບາງເນື້ອໃນ, ລວມມີ: ການຮ່ວມມືຄົ້ນຄວ້າກ່ຽວກັບແຜນການປິ່ນປົວພະຍາດສໍາຮອງ, ປິ່ນປົວໃຫ້ແກ່ຄົນຕິດເຊື້ອ SARS-CoV-2 ທັງສອງຝ່າຍສາມາດນຳໃຊ້ຮ່ວມກັນ;	Tại buổi làm việc, hai bên tiếp tục trao đổi một số nội dung, bao gồm: hợp tác nghiên cứu phương án điều trị thay thế, phương pháp điều trị cho người mắc bệnh SARS-CoV-2 mà hai bên có thể chia sẻ;
ສືບຕໍ່ແລກປ່ຽນກ່ຽວກັບແຜນການປິ່ນປົວພະຍາດຢ່າງລະອຽດໃຫ້ແກ່ບັນດາເປົ້າໝາຍ ແລະລະດັບຂອງການຕິດເຊື້ອ;	Tiếp tục trao đổi kế hoạch điều trị chi tiết về chỉ tiêu và mức độ lây nhiễm;
ສືບຕໍ່ແລກປ່ຽນກ່ຽວກັບວິທີການຄັດກອງ, ແຍກປ່ຽວ, ຄວບຄຸມ ແລະການຄາດຄະເນໂລກລະບາດໃນໄລຍະຈະມາເຖິງ.	Tiếp tục thảo luận về cách thức sàng lọc, cách ly, kiểm soát và dự đoán dịch bệnh trong tương lai.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
