ກປ.ອອນໄລ - ວັນທີ 15 ພຶດສະພາ, ກອງປະຊຸມທາງໄກເຈົ້າໜ້າທີ່ອາວຸໂສປ້ອງກັນປະເທດອາຊຽນ (ADSOM) ໄດ້ໄຂຂຶ້ນພາຍໃຕ້ການເປັນປະທານຂອງທ່ານພົນໂທ ຫງວຽນຈີ໊ວີ້ງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ, ຫົວໜ້າ ADSOM ຫວຽດນາມ.	Phòng thủ ASEAN 15, Bộ trưởng Quốc phòng ASEAN Nguyễn Tấn Seninia Hoa (ADSOM)
ທີ່ກອງປະຊຸມ, ບັນດາຜູ້ແທນໄດ້ປຶກສາຫາລືກ່ຽວກັບການຮ່ວມມືດ້ານປ້ອງກັນຊາດອາຊຽນ ໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ລວມມີ: ແບ່ງປັນບົດຮຽນຂອງກອງທັບບັນດາປະເທດອາຊຽນໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19;	Tại cuộc họp, các đại biểu đã thảo luận về sự hợp tác bảo vệ ASEAN, chống đối thủ môn của ASEAN, kháng chiến, chống an toàn
ປຶກສາຫາລືທິດທາງຮ່ວມມືຮັບມືກັບພະຍາດໃນອະນາຄົດ.	Thảo luận về sự hợp tác hướng dẫn với các bệnh trong tương lai.
ກອງປະຊຸມກໍ່ປຶກສາຫາລືກ່ຽວກັບການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນອາຊຽນ ລວມມີ: ແບ່ງປັນທັດສະນະກ່ຽວກັບສະພາບການຂອງໂລກ, ພາກພື້ນໃນສະພາບພະຍາດໂຄວິດ-19 ແລະສະໄໝຫຼັງພະຍາດ, ປຶກສາຫາລື, ກໍານົດທິດການຮ່ວມມືດ້ານປ້ອງກັນຊາດອາຊຽນໃນໄລຍະຈະມາເຖິງ.	Cuộc họp thảo luận về sự hợp tác đại diện trong ASEAN, điều kiện khu vực đã thảo luận về sự hợp tác bảo vệ ASEAN trong thời gian tới.
ທ່ານພົນໂທ ຫງວຽນຈີ໊ວີ້ງ ກ່າວຄໍາເຫັນໄຂກອງປະຊຸມ.	Melghan Nguyệt Tân Shani Kisk nhìn thấy cuộc họp.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ທີ່ກອງປະຊຸມ, ທ່ານພົນໂທ ຫງວຽນຈີ໊ວີ້ງ ເນັ້ນໜັກວ່າ ເມື່ອພະຍາດໂຄວິດ-19 ແຜ່ລະບາດ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມຢ່າງຕັ້ງໜ້າໃນຄວາມມານະພະຍາຍາມລວມຂອງລັດຖະບານຫວຽດນາມ ໃນການປ້ອງກັນ, ຕ້ານພະຍາດ.	Tại hội nghị, ông Nguyệt Nguyệt Giang nhấn mạnh khi Bộ Quốc phòng Việt Nam tham gia vào các nỗ lực tổng hợp, chống bệnh.
ຄຽງຂ້າງນັ້ນກໍ່ຮ່ວມມືສອງຝ່າຍຢ່າງຕັ້ງໜ້າກັບກະຊວງປ້ອງກັນປະເທດຕ່າງໆເພື່ອແນໃສ່ແບ່ງປັນບົດຮຽນ, ໜູນຊ່ວຍເຊິ່ງກັນ ແລະກັນໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19.	Đến lúc đó, hợp tác song phương với Bộ Quốc phòng để chia sẻ một bài học, hỗ trợ lẫn nhau trong việc bảo vệ, kháng chiến.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມທາງໄກ ADSOM.	Gián học tham dự buổi giới thiệu của ADSOM.
ພາບ: ຈ້ອງຫາຍ.	Ảnh: Chăm sóc.
ຕີລາຄາສູງຕໍ່ປະຕິກິລິຍາຢ່າງວ່ອງໄວຂອງສູນການແພດອາຊຽນ ໃນການຜັນຂະຫຍາຍການຝຶກຊ້ອມແກ້ໄຂກໍລະນີ (TTX) ທາງໄກໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ທ່ານພົນໂທ ຫງວຽນຈີ໊ວີ້ງ ຢືນຢັນວ່າ ນີ້ແມ່ນການເຄື່ອນໄຫວດຶງດູດຄວາມເອົາໃຈໃສ່ຈາກປະເທດຕ່າງໆ.	Trung tâm y tế Trung tâm y tế nhanh chóng (TTX), Trung tâm chống trung tâm, Melghania.
