ກປ.ອອນໄລ - ວັນທີ 22 ພຶດສະພາ, ທີ່ກອງຮັກສາສັນຕິພາບ ສປຊ ຢູ່ ສ.	KPR Online - Ngày 22 tháng 5, tại Lực lượng Gìn giữ Hòa bình Liên hợp quốc ở Israel.
ອາຟຣິກາກາງ (MINUSCA), ກຸ່ມພົນລະເຮືອນຂອງ ສປຊ ໄດ້ປຸກລະດົມຂະບວນການປ້ອງກັນ, ຕ້ານເຊື້ອພະຍາດໂຄວິດ-19 ໃນບັນດາສໍານັກງານສື່ມວນຊົນທັງໝົດຂອງ ສ.	Cộng hòa Trung Phi (MINUSCA), một nhóm xã hội dân sự của Liên hợp quốc, đã phát động chiến dịch ngăn chặn và chống lại virus 19-trên tất cả các phương tiện truyền thông trong nước.
ອາຟຣິກາກາງ ຢູ່ນະຄອນຫຼວງ Bangui.	Trung Phi ở thủ đô Bangui.
ເຂົ້າຮ່ວມ ແລະຮ່ວມແຮງຮ່ວມໃຈແບ່ງປັນກັບປະຊາຄົມ, ທ່ານນາງພັນໂທ ຫງວຽນທິລຽນ ພະນັກງານກົມຮັກສາກັນຕິພາບຫວຽດນາມ ຮັບດໍາລົງຕໍາແໜ່ງເປັນນາຍທະຫານເສນາທິການຝຶກຊ້ອມຢູ່ MINUSCA ໄດ້ຫຍິບຜ້າອັດປາກ-ອັດດັງເກືອບ 300 ອັນເພື່ອມອບໃຫ້ບັນດາສໍານັກງານສື່ມວນຊົນຢູ່ພິທີປຸກລະດົມ.	Tham gia lực lượng và chia sẻ với cộng đồng, Trung tá Nguyễn Thị Liên, nhân viên Lực lượng gìn giữ hòa bình Việt Nam phụ trách huấn luyện MINUSCA, đã may gần 300 chiếc khẩu trang để tặng giới truyền thông tại chiến dịch.
ທ່ານນາງພັນໂທ ຫງວຽນທິລຽນ ມອບຜ້າອັດປາກ-ອັດດັງໃຫ້ແກ່ທ່ານ Coiarles Bambara ຜູ້ອໍານວຍການສື່ມວນຊົນ ແລະໂຄສົກຂອງກຸ່ມພົນລະເຮືອນຢູ່ MINUSCA.	Trung tá Nguyễn Thị Liên trao mặt nạ cho Coiarles Bambara, Giám đốc Truyền thông và Người phát ngôn của Nhóm Xã hội Dân sự tại MINUSCA.
ພາບ: ກົມຮັກສາສັນຕິພາບຫວຽດນາມ.	Ảnh: Cục Gìn giữ hòa bình Việt Nam
ກ່ອນໜ້ານັ້ນ, ທ່ານນາງພັນໂທ ຫງວຽນທິລຽນ ໄດ້ຮັບໃບຍ້ອງຍໍຈາກການນໍາ MINUSCA ເພື່ອຮັບຮູ້ຕໍ່ການກະທຳອັນສູງສົ່ງ ແລະຈົບງາມເມື່ອຫຍິບຜ້າອັດປາກ-ອັດດັງ 400 ອັນມອບໃຫ້ພາລະກອນທັງໝົດຂອງສໍານັກບັນຊາຂອງ MINUSCA ແລະປະຊາຊົນຈໍານວນໜຶ່ງຄົນຢູ່ Bangui.	Trước đó, Trung tá Nguyễn Thị Liên đã nhận bằng khen của lãnh đạo MINUSCA vì công nhận nghĩa cử cao đẹp khi may 400 chiếc khẩu trang cho toàn bộ đoàn công tác của trụ sở MINUSCA và một số người dân tại Bangui.
ໃນໃບຍ້ອງຍໍ, ທ່ານພົນຕີ Daniel Traore ຜູ້ບັນຊາການກໍາລັງການທະຫານຂອງ MINUSCA ຢັ້ງຢືນວ່າ ຄວາມເມດຕາ ແລະເຈດຕະນາດີຂອງທ່ານນາງພັນໂທ ຫງວຽນທິລຽນ ສະແດງໃຫ້ເຫັນບັນດາຄຸນຄ່າຕົ້ນຕໍຂອງ ສປຊ.	Trong thư khen, Thiếu tướng Daniel Traore, Tư lệnh Lực lượng Quân sự MINUSCA khẳng định, lòng nhân ái và thiện chí của Trung tá Nguyễn Thị Liên thể hiện những giá trị cốt lõi của Liên hợp quốc.
ທ່ານຢັ້ງຢືນວ່າ ທ່ານນາງພັນໂທ ຫງວຽນທິລຽນ ສົມເປັນທູດຜູ້ດີເລີດຂອງຫວຽດນາມ.	Đồng chí khẳng định Trung tá Nguyễn Thị Liên Som là đại sứ xuất sắc của Việt Nam.
ການໃສ່ຜ້າອັດປາກ-ອັດດັງເພື່ອປ້ອງກັນ, ຕ້ານເຊື້ອພະຍາດໄດ້ກາຍເປັນຂໍ້ກໍານົດທີ່ບັງຄັບຢູ່ ສ.	Đeo khẩu trang để chống lại vi trùng đã trở thành một yêu cầu bắt buộc ở Lào.
ອາຟຣິກາກາງ.	Trung Phi.
