ກປ.ອອນໄລ - ສັນຍາການຄ້າເສລີຫວຽດນາມ-ສະຫະພາບເອີລົບ (EVFTA) ໄດ້ຍື່ນສະເໜີຕໍ່ສະພາແຫ່ງຊາດ ພິຈາລະນາໃຫ້ສັດຕະຍາບັນ.	Tìm - Hiệp định thương mại tự do của Việt Nam (EVFTA) đã nộp cho Quốc hội được coi là tội phạm.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ P.Aliberti ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າສະຫະພາບເອີລົບ (ອີຢູ) ປະຈຳ ຫວຽດນາມ ໄດ້ແບ່ງປັນກັບໜັງສືພິມປະຊາຊົນຫວຽດນາມ ກ່ຽວກັບບັນດາຜົນກະທົບຂອງ EVFTA ທີ່ມີຕໍ່ຫວຽດນາມ ຖ້າຫາກວ່າສັນຍາໄດ້ຮັບການປະຕິບັດ.	Nhân dịp này, Đại sứ P.Aliberti, người đứng đầu đại diện Cộng hòa Evfta của Việt Nam, với tác động của Việt Nam nếu hợp đồng được thực hiện.
ຂໍແນະນໍາກັບເພື່ອນຜູ້ອ່ານ.	Đó là khuyến cáo cho độc giả.
ນັກຂ່າວ: ຂໍທ່ານເອກອັກຄະລັດຖະທູດໃຫ້ຮູ້ກ່ຽວກັບເລື່ອງ EVFTA ໄດ້ຮັບການປະຕິບັດນັ້ນ ຈະມີຄວາມໝາຍແນວໃດຕໍ່ກັບຫວຽດນາມ ແລະອີຢູ ໃນສະພາບການປະຈຸບັນ?	Nhà báo: Đại sứ có thể biết về câu chuyện Evfta sẽ được thực hiện về Việt Nam và EU trong bối cảnh không?
ທ່ານ P.Aliberti: ໃນຈຸດເວລາເລີ່ມຕົ້ນຂອງປີ 2020, ພວກຂ້າພະເຈົ້າຫວັງວ່າຈະແມ່ນປີທີ່ມີຜົນງານຫຼາຍຢ່າງຂອງຫວຽດນາມ ກ່ຽວກັບການເຕີບໂຕດ້ານເສດຖະກິດເມື່ອ EVFTA ໄດ້ຮັບການປະຕິບັດ.	Ông P.AALIBERTI: Tại điểm bắt đầu từ năm 2020, chúng tôi mong muốn một hiệu suất tăng trưởng kinh tế đa tiếng Việt khi Evfta được thực hiện.
ແຕ່ພະຍາດໂຄວິດ-19 ເກີດຂຶ້ນໃນໄລຍະຜ່ານມາ, ກໍ່ສົ່ງຜົນກະທົບໃນທົ່ວໂລກ.	Nhưng adat -19 xảy ra trong quá khứ, nó ảnh hưởng đến toàn cầu.
ສະນັ້ນ, ການປະຕິບັດສັນຍານີ້ຍັງມີຄວາມໝາຍສຳຄັນກວ່າ, ນັ້ນແມ່ນເພີ່ມບ້ວງເງິນໜູນຊ່ວຍຂອງ ລັດຖະບານຫວຽດນາມ ກັບພື້ນຖານເສດຖະກິດ.	Do đó, hợp đồng này cũng quan trọng hơn, đó là thêm một hỗ trợ bóng rổ cho những điều cơ bản kinh tế.
ເຖິງວ່າມີສິ່ງທ້າທາຍເກີດຂຶ້ນຫຼາຍຢ່າງກໍ່ຕາມ, ແຕ່ການປະຕິບັດສັນຍາຍັງຈະນໍາມາເຊິ່ງສົ່ງຜົນກະທົບຢ່າງຕັ້ງໜ້າໃຫ້ແກ່ການພັດທະນາເສດຖະກິດຂອງຫວຽດນາມ ຢູ່ຈຸດເວລານີ້ ກໍ່ຄືໃນອະນາຄົດ.	Mặc dù có rất nhiều thách thức, nhưng hiệu suất cũng sẽ được đưa đến sự phát triển kinh tế của Việt Nam tại thời điểm này.
ທ່ານ P.Aliberti ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າສະຫະພາບເອີລົບ (ອີຢູ) ປະຈຳ ຫວຽດນາມ.	Đại sứ ông P.AALIBERTI, người đứng đầu Ủy ban đại diện EU (EU) Việt Nam.
ພາບ: nhandan.com.vn.	Ảnh: nhandan.com.vn.
ຫວຽດນາມ ແມ່ນໜຶ່ງໃນບັນດາຄູ່ຮ່ວມມືທີ່ໃກ້ຊິດຕິດແທດທີ່ສຸດຂອງອີຢູ ໃນພາກພື້ນ.	Việt Nam là một trong những đối tác liền kề trong khu vực.
ພວກຂ້າພະເຈົ້າຢາກບັນລຸໄດ້ຜົນງານຫຼາຍຢ່າງໃນຈຸດເວລານີ້ເມື່ອຫວຽດນາມ ແລະອີຢູ ສະເຫຼີມສະຫຼອງ 30 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ ແລະຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງບົດບາດເປັນປະທານອາຊຽນ.	Chúng tôi muốn đạt được rất nhiều công việc tại thời điểm này khi Việt Nam và Việt Nam kỷ niệm 10 năm mối quan hệ ngoại giao
ອີຢູ ຢາກຮັບຮອງເອົາບັນດາສັນຍາການຄ້າເສລີ (FTA) ກັບບັນດາປະເທດສະມາຊິກອາຊຽນ ເພື່ອສົ່ງສານທີ່ວ່າ, ລະບົບການຄ້າຫຼາຍຝ່າຍຍັງສືບຕໍ່ເດີນແມ່ນແລ່ນສະດວກດີ.	EU sẽ áp dụng các thỏa thuận thương mại tự do (FTA) với các hiệp định thương mại ASEAN để gửi tòa án, hệ thống thương mại đa phương tiếp tục.
ພວກຂ້າພະເຈົ້າກໍ່ມຸ່ງໄປເຖິງອະນາຄົດທີ່ຍາວໄກກວ່າແມ່ນ FTA ລະຫວ່າງ ອີຢູ ແລະອາຊຽນ.	Chúng tôi cũng đi đến tương lai dài, FTA giữa EU và ASEAN.
ນີ້ຈະແມ່ນກໍາລັງໜູນເພື່ອຊຸກຍູ້ການພັດທະນາຂອງການຄ້າຫຼາຍຝ່າຍ.	Điều này sẽ là để khuyến khích phát triển nhiều thương mại.
ບໍ່ພຽງແຕ່ມີບັນດາຜົນປະໂຫຍດດ້ານເສດຖະກິດການຄ້າເທົ່ານັ້ນ, ການພົວພັນດ້ານການເມືອງ, ອີຢູ ກໍ່ຢາກໄດ້ຮັບການສະໜັບສະໜູນຈາກຫວຽດນາມ ໃນການຕັ້ງໜ້າຊຸກຍູ້ສາຍພົວພັນກັບອາຊຽນ.	Không chỉ có một lợi ích kinh tế thương mại, quan hệ chính trị, Việt Nam được Việt Nam hỗ trợ.
ນັກຂ່າວ: ຂໍທ່ານເອກອັກຄະລັດຖະທູດ ຕີລາຄາບັນດາກາລະໂອກາດເຊິ່ງ EVFTA ນໍາມາໃຫ້ຫວຽດນາມ ແລະເຮັດແນວໃດເພື່ອນໍາໃຊ້ຜົນປະໂຫຍດນີ້ຢ່າງມີປະສິດທິຜົນ?	Nhà báo: Đại sứ có thể tham gia các cơ hội của Việt Nam để sử dụng cơ hội EVFTA vì lợi ích không?
ທ່ານ P.Aliberti: ສັນຍາໄດ້ຮັບການປະຕິບັດຈະສ້າງພື້ນຖານສໍາຄັນເພື່ອໃຫ້ສອງຝ່າຍຊຸກຍູ້ການພົວພັນໃນບັນດາຂົງເຂດທີ່ກ່ຽວຂ້ອງ.	P.AALIBERTI: Hợp đồng đã được thực hiện để xây dựng một cơ sở quan trọng đến hai bên để đẩy các mối quan hệ trong các khu vực có liên quan.
ກາລະໂອກາດທີ່ EVFTA ນໍາມາໃຫ້ທໍາອິດແມ່ນຜູ້ບໍລິໂພກຫວຽດນາມ ຈະມີກາລະໂອກາດໄດ້ສໍາຜັດກັບການຈັດຊື້, ນໍາໃຊ້ສິນຄ້າທີ່ມີຄຸນນະພາບສູງດ້ວຍລາຄາພໍດີງາມ.	Các cơ hội EVFTA đầu tiên là cơ hội để tiêu tốn cơ hội chạm vào việc mua sắm, sử dụng hàng hóa chất lượng cao.
