ວັນທີ 1 ມິຖຸນາ, ທ່ານ Donald trump ປະທານາທິບໍດີອາເມລິກາ ໄດ້ມີການແລກປ່ຽນທາງໂທລະສັບກັບທ່ານ V.	Ngày 1/6, Tổng thống Mỹ Donald Trump đã có cuộc điện đàm với V.
Putin ປະທານາທິບໍດີລັດເຊຍ ກ່ຽວກັບບັນດາແຜນການສຳລັບກອງປະຊຸມສຸດຍອດກຸ່ມ 7 ປະເທດອຸດສາຫະກຳພັດທະນາ (G7).	Tổng thống Nga Vladimir Putin về kế hoạch cho Hội nghị thượng đỉnh Nhóm Bảy người (G7).
ທຳນຽບຂາວໃຫ້ຮູ້ວ່າ ການນຳອາເມລິກາ ແລະລັດເຊຍ ໄດ້ປຶກສາຫາລືກ່ຽວກັບວິວັດທະນາການຈັດຕັ້ງກອງປະຊຸມກຸ່ມ G7.	Nhà Trắng cho biết các nhà lãnh đạo Mỹ và Nga đã thảo luận về diễn biến của hội nghị thượng đỉnh G7.
ໃນຂະນະນັ້ນ, ຖະແຫຼງການຂອງວັງ Kremlin ໃຫ້ຮູ້ວ່າ ທ່ານປະທານາທິບໍດີ Donald Trump ໄດ້ເວົ້າກັບທ່ານປະທານາທິບໍດີ V.	Trong khi đó, thông cáo của Điện Kremlin cho biết Tổng thống Donald Trump đã điện đàm với Tổng thống V.
Putin ກ່ຽວກັບແນວຄວາມຄິດຈະເຊີນລັດເຊຍ, ອົດສະຕາລີ, ອິນເດຍ ແລະສ.ເກົາຫຼີ ເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດ G7 ຢູ່ອາເມລິກາ.	Putin về ý tưởng mời Nga, Australia, Ấn Độ và Hàn Quốc tham dự hội nghị thượng đỉnh G7 ở Mỹ.
ນອກຈາກນັ້ນ, ການນຳສອງທ່ານກໍ່ປຶກສາຫາລືກ່ຽວກັບບັນດາຄວາມມານະພະຍາຍາມໃນການເຮັດໃຫ້ໂລກລະບາດ Covid – 19 ຖືກປະລາໄຊ ແລະເປີດພື້ນຖານເສດຖະກິດຄືນໃໝ່.	Ngoài ra, hai nhà lãnh đạo đã thảo luận về nỗ lực tiêu diệt dịch bệnh Covid-19 và mở cửa trở lại nền kinh tế.
ວັງ Kremlin ໃຫ້ຮູ້ຕື່ມອີກວ່າ ການນຳສອງທ່ານກໍ່ໄດ້ປຶກສາຫາລືກ່ຽວກັບຂໍ້ຕົກລົງ OPEC+ ທີ່ກ່ຽວຂ້ອງເຖິງການຫຼຸດປະລິມານນ້ຳມັນດີບລົງ.	Điện Kremlin cho biết thêm, hai nhà lãnh đạo cũng đã thảo luận về thỏa thuận OPEC + về việc giảm giá dầu.
ທ່ານ Donald trump ປະທານາທິບໍດີອາເມລິກາ ແລະທ່ານ V.	Donald Trump, Tổng thống Hoa Kỳ; và V.
Putin ປະທານາທິບໍດີລັດເຊຍ.	Putin, Tổng thống Nga
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່ອນໜ້ານັ້ນ, ທ່ານ Trump ໄດ້ປະກາດວ່າຈະເລື່ອນວັນເວລາຈັດຕັ້ງກອງປະຊຸມ G7 ແຕ່ວັນທີ 10 ມິຖຸນາ ມາເປັນເດືອນກັນຍາ ຫຼື ດົນກວ່ານັ້ນ ແລະຄາດວ່າຈະເຊີນຕື່ມອີກ 4 ປະເທດເຂົ້າຮ່ວມກອງປະຊຸມ.	Trước đó, Trump tuyên bố sẽ hoãn hội nghị thượng đỉnh G7 từ ngày 10/6 đến tháng 9 hoặc muộn hơn và mời thêm 4 nước tham dự.
ທັງ 4 ປະເທດເຊິ່ງທ່ານ Trump ຢາກເຊີນລ້ວນແຕ່ນອນໃນກຸ່ມ 20 ພື້ນຖານເສດຖະກິດພັດທະນາແຖວໜ້າໂລກ (G20).	Bốn quốc gia mà Trump muốn mời đều nằm trong Nhóm 20 (G20).
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
