ກປ.ອອນໄລ - ແຕ່ວັນທີ 30 ພຶດສະພາ ຫາວັນທີ 1 ມິຖຸນາ, ໜ່ວຍຊາວໜຸ່ມໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 2 ຂອງຫວຽດນາມ ທີ່ພວມປະຕິບັດໜ້າທີ່ຢູ່ຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ຢູ່ ສ.ຊູດັງໃຕ້ ໄດ້ປຸກລະດົມຂະບວນການປູກຕົ້ນໄມ້ ແລະຈັດຕັ້ງການແຂ່ງຂັນບານເຕະ, ບານສົ່ງເພື່ອຂໍ່ານັບຮັບຕ້ອນກອງປະຊຸມໃຫຍ່ຜູ້ແທນອົງຄະນະພັກກົມຮັກສາສັນຕິພາບຫວຽດນາມ ຄັ້ງທີ II ແລະສະເຫຼີມສະຫຼອງ 6 ປີແຫ່ງວັນສ້າງຕັ້ງກົມ (27-5-2014 / 27-5-2020).	(VOVworld) - Từ ngày 30/5 đến 1/6, đội tuyển trẻ Việt Nam lần thứ 2 ກາງ -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 - 201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 -201 - 201
ເຖິງວ່າພວມສຸມໃສ່ວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ແຕ່ໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 2 ຍັງຮັບປະກັນບັນດາກິດຈະກຳຂະບວນການ , ຝຶກຝົນຫຼໍ່ຫຼອມກໍາລັງກາຍເພື່ອແນໃສ່ຍົກສູງຊີວິດທາງດ້ານຈິດໃຈ ກໍ່ຄືສຸຂະພາບໃຫ້ແກ່ພະນັກງານ, ພາລະກອນທົ່ວໂຮງໝໍ.	Mặc dù trọng tâm là công tác phòng, chống dịch bệnh Kovi-19 nhưng Bệnh viện ĐKKV số 2 vẫn đảm bảo các hoạt động quy trình, rèn luyện thể chất nhằm nâng cao thể chất và tinh thần cho cán bộ, nhân viên trong toàn bệnh viện.
ພາຍຫຼັງຮັບເອົາພື້ນຖານດ້ານວັດຖຸທີ່ກົມກອງຈາກໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 1 ທີ່ໄດ້ປະຕິບັດສໍາເລັດໜ້າທີ່ໃນປີ 2019, ພະນັກງານ, ພາລະກອນໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 2 ໄດ້ກໍານົດຕ້ອງສຸມໃສ່ເພີ່ມພູນຜະລິດຜົນປູກຜັກ ແລະດ້ອກໄມ້, ຕົ້ນໄມ້ຫຼາຍຕື່ມອີກແນໃສ່ຮັບປະກັນຮັກສາທັດສະນີຍະພາບ, ສະພາບແວດລ້ອມຢູ່ກົມກອງ, ພ້ອມທັງປະກອບສ່ວນປັບປຸງຄາບອາຫານປະຈໍາວັນ.	Sau khi tiếp nhận cơ sở vật chất từ Cục mìn số 1, hoàn thành công tác vào năm 2019, tập thể cán bộ, nhân viên Cục bom mìn số 2 xác định tập trung tăng gia sản xuất rau màu, trồng thêm cây xanh để đảm bảo. Sở Cảnh quan.
ບັນດາພາລະກອນຂອງໂຮງໝໍໄດ້ຮັບມືກັບເງື່ອນໄຂດິນຟ້າອາກາດທີ່ຮ້າຍແຮງ, ແດດຮ້ອນ ແລະຂາດນໍ້າເພື່ອປູກຜັກ ແລະ ຕົ້ນໄມ້ໃນບໍລິເວນກົມກອງ, ເຊິ່ງໄດ້ຮັບຄວາມຊົມເຊີຍຈາກບັນດາກົມກອງອື່ນໆ.	Nhiệm vụ của nhà máy là chống chọi với thời tiết khắc nghiệt, nắng nóng và thiếu nước để trồng rau và cây xanh trên địa bàn đã được các ban ngành khen ngợi.
ບັນດາສະມາຊິກໃນໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 2 ເຂົ້າຮ່ວມຂະບວນການປູກຕົ້ນໄມ້ຢ່າງສຸດຈິດສຸດໃຈ.	Các thành viên của Phân trại số 2 đã tận tình tham gia trồng cây.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຂະບວນການປຸກຕົ້ນໄມ້ໃນຄັ້ງນີ້ແມ່ນສຸມໃສ່ປູກຕົ້ນໄມ້ຕື່ມອີກຈໍານວນໜຶ່ງທັງຢູູ່ໃນ ແລະອ້ອມຂ້າງໂຮງໝໍ.	Quá trình trồng cây hiện nay tập trung vào việc trồng thêm một số cây xanh cả trong và xung quanh nhà máy.
ຕາມທ່ານພັນໂທ ຫວໍວັນຮ໊ຽນ, ຜູ້ອໍານວຍການໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 2 ແລ້ວ, ການປູກຕົ້ນໄມ້ໃນເງື່ອນໄຂອຸນຫະພູມ 40 ອົງສາ C ແມ່ນສິ່ງທີ່ຫຍຸ້ງຍາກ, ແຕ່ເພື່ອໃຫ້ຕົ້ນໄມ້ພັດທະນາງອກງາມມັນຍິ່ງຫຍຸ້ງຍາກກວ່າອີກ.	Theo Trung tá Võ Văn Hiền, Giám đốc Bệnh viện dã chiến Trung ương 2, trồng cây ở nhiệt độ 40 độ C đã khó nhưng để cây phát triển tốt còn khó hơn.
ແຕ່ດ້ວຍຄວາມດຸໝັ່ນຫ້າວຫັນ, ອົດທົນ ແລະຄ່ອງແຄ່ວຂອງຖັນແຖວພາລະກອນໂຮງໝໍ, ຜ່ານ 6 ກວ່າເດືອນແຫ່ງການປະຕິບັດໜ້າທີ່ຢູ່ບໍລິເວນ, ຍ້ອນມີຄວາມຕັ້ງໜ້າປູກຜັກ, ດອກໄມ້, ຕົ້ນໄມ້ຂອງພວກອ້າຍນ້ອງ, ທັດສະນີຍະພາບທີ່ກົມກອງໄດ້ຮັບການປັບປຸງ.	Nhưng với sự cần cù, kiên trì, nhanh nhẹn của cán bộ công nhân viên xí nghiệp, qua hơn 6 tháng làm công việc nước trên địa bàn, nhờ anh em đồng cam cộng khổ trồng rau, hoa, cây xanh mà cảnh quan của Phòng đã cải thiện.
ທັດສະນະຂອງຜູ້ບັນຊາການ ແລະພະນັກງານ, ພາລະກອນໂຮງໝໍແມ່ນສ້າງສະພາບແວດລ້ອມທີ່ຂຽວ, ສະອາດ, ສວຍງາມບໍ່ພຽງແຕ່ໃຫ້ໂຮງໝໍກາງສະໜາມຂັ້ນສອງ ເລກ 2 ເທົ່ານັ້ນ ຫາກຍັງໃຫ້ບັນດາໂຮງໝໍອື່ນອີກຂອງຫວຽດນາມ.	Theo quan điểm của chỉ huy và nhân viên, sứ mệnh của nhà máy là tạo ra một môi trường xanh, sạch, đẹp không chỉ cho Chiến tranh thế giới thứ hai mà còn cho các bệnh viện khác ở Việt Nam.
ບັນດາສະມາຊິກແຂ່ງຂັນບານເຕະຢ່າງສຸດຈິດສຸດໃຈ.	Các thành viên của đội bóng đá hết lòng.
