ກປ.ອອນໄລ - ວັນທີ 19 ມິຖຸນາ 2020, ຫວຽດນາມ ແລະນິວຊີແລນ ສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ.	Ngày 19 tháng 6 năm 2020 - Việt Nam và New Zealand kỷ niệm 45 năm thiết lập quan hệ ngoại giao.
ໃນໄລຍະກວ່າ 4 ທົດສະວັດຜ່ານມາ, ການພົວພັນລະຫວ່າງສອງປະເທດໄດ້ຮັບການພັດທະນາຢ່າງແຮງໃນຫຼາຍຂົງເຂດ ແລະພວມກ້າວໄປເຖິງຍົກລະດັບການພົວພັນຂຶ້ນເປັນຄູ່ຮ່ວມມືຍຸດທະສາດ.	Trong hơn 4 thập kỷ qua, quan hệ hai nước đã phát triển mạnh mẽ trên nhiều lĩnh vực và đang tiến tới nâng cấp quan hệ lên quan hệ Đối tác chiến lược.
ຍາກທີ່ຈະກຳນົດໄດ້ຜົນງານພົ້ນເດ່ັນທີ່ສຸດໃນການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດ, ເພາະວ່າມີຫຼາຍຈຸດທີ່ພົ້ນເດັ່ນໃນການຮ່ວມມືສອງຝ່າຍຫວຽດນາມ-ນິວຊີແລນ ນັບແຕ່ເມື່ອສອງຝ່າຍສ້າງຕັ້ງການພົວພັນທາງການທູດປີ 1975.	Khó có thể xác định được thành tựu nổi bật nhất trong quan hệ hợp tác giữa hai nước, bởi có nhiều điểm nổi bật trong quan hệ hợp tác song phương Việt Nam - New Zealand kể từ khi hai nước thiết lập quan hệ ngoại giao năm 1975.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຖ້າເວົ້າເຖິງປັດໄຈສຳຄັນປະກອບສ່ວນສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ສ້າງພື້ນຖານອັນໝັ້ນຄົງເຂັ້ມແຂງໃຫ້ການພົວພັນສອງປະເທດນັ້ນແມ່ນຕ້ອງເຕື້ອງເຖິງເສົາຄ້ຳການເມືອງ-ການພົວພັນຕ່າງປະເທດ.	Tuy nhiên, khi nói đến yếu tố then chốt góp phần xây dựng lòng tin và xây dựng nền tảng vững chắc cho quan hệ song phương thì phải đề cao các trụ cột trong quan hệ chính trị - đối ngoại.
ທ່ານ ຈິ້ງດິ່ງຢູງ ຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ພົບປະກັບປະທານສະພາແຫ່ງຊາດນິວຊີແລນ ໃນການຢ້ຽມຢາມປີ 2019.	Phó Thủ tướng Nguyễn Tấn Dũng tiếp Chủ tịch Quốc hội New Zealand trong chuyến thăm năm 2019.
ພາບ: baochinhphu.vn.	Ảnh: baochinhphu.vn.
ໃນໄລຍະປະມານ 5 ປີມໍ່ໆມານ້ີ, ການຢ້ຽມຢາມເຊິ່ງກັນ ແລະກັນຂອງຄະນະຜູ້ແທນຂັ້ນສູງລະຫວ່າງສອງປະເທດເປັນໜ້າຮັບຮູ້, ຄື: ການຢ້ຽມຢາມນິວຊີແລນ ຢ່າງເປັນທາງການຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ (ເດືອນມີນາ 2018);	Trong 5 năm qua, đã ghi nhận các chuyến thăm qua lại của đoàn cấp cao hai nước như: chuyến thăm chính thức New Zealand của Thủ tướng Chính phủ Nguyễn Xuân Phúc (tháng 3/2018);
ການຢ້ຽມຢາມຂອງທ່ານ ຟ້າມບິ່ງມິງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ (ເດືອນພະຈິກ 2016);	Chuyến thăm của đồng chí Phạm Bình Minh, Phó Thủ tướng Chính phủ, Bộ trưởng Bộ Ngoại giao Việt Nam (tháng 11/2016);
ທ່ານ ຈິ້ງດິ່ງຢູງ ຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ (ເດືອນພະຈິກ 2019) ແລະທ່ານ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ (ເດືອນພະຈິກ 2018);	Ông Cảnh Đình Dũng, Phó Thủ tướng Chính phủ Việt Nam (tháng 11 năm 2019) và ông Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam (tháng 11 năm 2018);
...	...
ກົງກັນຂ້າມແມ່ນທ່ານ Jacinda Ardern ນາຍົກລັດຖະມົນຕີນິວຊີແລນ, ພາຍຫຼັງຮັບດຳລົງຕຳແໜ່ງນາຍົກລັດຖະມົນຕີນິວຊີແລນ ໃນທ້າຍເດືອນຕຸລາ 2017 ໄດ້ຮັບຄຳເຊື້ອເຊີນ ແລະເຂົ້າຮ່ວມສັບປະດາຂັ້ນສູງ APEC ຢູ່ນະຄອນດ່ານັ້ງ.	Mặt khác, Thủ tướng New Zealand Jacinda Ardern sau khi nhậm chức Thủ tướng New Zealand vào cuối tháng 10/2017, đã được mời tham dự Hội nghị cấp cao APEC tại Đà Nẵng.
ກ່ອນໜ້ານັ້ນ, ການນຳສອງຝ່າຍກໍ່ໄດ້ດຳເນີນບັນດາການຢ້ຽມຢາມຢ່າງເປັນທາງການເຊິ່ງກັນ ແລະກັນເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 40 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງສອງປະເທດ.	Trước đó, hai nhà lãnh đạo đã tổ chức các chuyến thăm chính thức nhân kỷ niệm 40 năm thiết lập quan hệ ngoại giao giữa hai nước.
ໃນການຢ້ຽມຢາມນິວຊີແລນ ປີ 2018, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຄີຍເວົ້າວ່າການຮ່ວມມືລະຫວ່າງຫວຽດນາມ ແລະນິວຊີແລນ ແມ່ນຄວາມຮຽກຮ້ອງຕ້ອງການຂອງສອງປະເທດ, ຕ່າງຝ່າຍຕ່າງມີຜົນປະໂຫຍດ, ຮ່ວມກັນພັດທະນາ.	Trong chuyến thăm New Zealand năm 2018, Thủ tướng Nguyễn Xuân Phúc từng cho rằng, hợp tác giữa Việt Nam và New Zealand là nhu cầu để hai nước cùng có lợi, cùng phát triển.
45 ປີຜ່ານມານັ້ນແມ່ນໄລຍະທາງທີ່ພິສູດໃຫ້ເຫັນການພັດທະນາຢ່າງຕັ້ງໜ້າຂອງການພົວພັນສອງປະເທດ, ທັງໃນຂອບເຂດສອງຝ່າຍກໍ່ຄືຢູ່ບັນດາເວທີປາໄສພາກພື້ນ ແລະສາກົນ.	45 năm qua là một dấu mốc quan trọng trong sự phát triển của quan hệ song phương, cả ở cấp độ song phương và trên các diễn đàn khu vực và quốc tế.
ສອງຝ່າຍຮັກສາບັນດາກົນໄກຮ່ວມມືສອງຝ່າຍເປັນປະຈຳ, ລວມມີ: ຄະນະກຳມະການປະສົມດ້ານເສດຖະກິດ ແລະການຄ້າ, ການເຈລະຈາການປ້ອງກັນຊາດສອງຝ່າຍ ແລະທາບທາມຄຳເຫັນດ້ານການເມືອງ, ພ້ອມທັງສືບຕໍ່ຮ່ວມມືຢ່າງແໜ້ນແຟ້ນຢູ່ບັນດາເວທີປາໄສຫຼາຍຝ່າຍ ແລະພາກພື້ນ.	Hai bên duy trì thường xuyên các cơ chế hợp tác song phương, bao gồm Ủy ban hỗn hợp kinh tế và thương mại, hội đàm quốc phòng song phương và tham vấn chính trị, cũng như duy trì hợp tác chặt chẽ tại các diễn đàn đa phương và khu vực.
ຖ້າວ່າໃນການພົວພັນຕ່າງປະເທດ, ນິວຊີແລນ ຖືຫວຽດນາມ ແມ່ນປັດໄຈສຳຄັນໃນນະໂຍບາຍສຳລັບພາກພື້ນອາຊີ-ປາຊີຟິກ, ດ້ານເສດຖະກິດ, ນິວຊີແລນ ຕີລາຄາຫວຽດນາມ ແມ່ນຄູ່ຮ່ວມມືທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນ.	Nếu New Zealand coi Việt Nam là nhân tố quan trọng trong chính sách đối với khu vực châu Á - Thái Bình Dương về đối ngoại, về kinh tế thì New Zealand coi Việt Nam là một đối tác tiềm năng.
ວົງເງິນການຄ້າສອງສົ້ນໄດ້ເພີ່ມຂຶ້ນທົບ 3 ເທົ່າໃນ 10 ປີຜ່ານມາ, ຈາກ 320 ລ້ານໂດລາສະຫະລັດໃນປີ 2019 ຂຶ້ນເຖິງກວ່າ 1 ຕື້ໂດລາສະຫະລັດໃນປີ 2018.	Thương mại hai chiều đã tăng gấp ba lần trong 10 năm qua, từ 320 triệu USD vào năm 2019 lên hơn 1 tỷ USD vào năm 2018.
ປະຈຸບັນຫວຽດນາມ ແມ່ນຄູ່ຮ່ວມມືດ້ານການຄ້າໃຫຍ່ໃນທອັບ 20 ຂອງນິວຊີແລນ ແລະແມ່ນປະເທດໃນກຸ່ມອາຊຽນທີ່ບັນລຸລະດັບພັດທະນາໄວທີ່ສຸດໃນການພົວພັນດ້ານການຄ້າກັບນິວຊີແລນ.	Việt Nam hiện là một trong 20 đối tác thương mại hàng đầu của New Zealand và là một trong những nước ASEAN phát triển nhanh nhất về quan hệ thương mại với New Zealand.
ສຳລັບການຮ່ວມມືດ້ານປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບກໍ່ມີບັນດາບາດກ້າວພັດທະນາພໍສົມຄວນ.	Đối với hợp tác quốc phòng, an ninh có nhiều tiến bộ đáng kể.
ສອງຝ່າຍໄດ້ລົງນາມໂຄງການດຳເນີນງານຫວຽດນາມ-ນິວຊີແລນ ກ່ຽວກັບການຮ່ວມມືດ້ານປ້ອງກັນຊາດ 2018-2021, ຂໍ້ຕົກລົງຜັນຂະຫຍາຍການບຳລຸງສ້າງ ແລະຮ່ວມມືຮັກສາສັນຕິພາບ, ກໍ່ຄືແລກປ່ຽນຄະນະປ້ອງກັນຊາດຂັ້ນສູງເປັນປະຈຳ.	Hai bên đã ký Kế hoạch hành động Việt Nam-New Zealand về hợp tác quốc phòng giai đoạn 2018-2021, thỏa thuận thúc đẩy xây dựng và hợp tác hòa bình, trao đổi thường xuyên các ủy ban quốc phòng cấp cao.
