ກປ.ອອນໄລ - ວັນທີ 29 ມິຖຸນາ, ທ່ານ ຫງວຽນທ້ຽນເຍິນ, ກໍາມະການກົມການເມືອງ, ເລຂາພັກນະຄອນໂຮ່ຈີມິນ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Pranay Verma ເອກອັກຄະລັດຖະທູດອິນເດຍ ປະຈໍາ ຫວຽດນາມ.	Sở Ấn Độ tháng 6, Sở Politani của Politano
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນທ້ຽນເຍິນ ໃຫ້ຮູ້ວ່າ ນະຄອນໂຮ່ຈີມິນ ໄດ້ມີການພົວພັນຮ່ວມມືຍາວນານກັບອິນເດຍ ໃນຫຼາຍຂົງເຂດ, ຄື: ການສຶກສາ-ບຳລຸງກໍ່ສ້າງ;	Lễ tân, Nguyễn Yi Minh có sự hợp tác lâu dài với Ấn Độ ở Ấn Độ, như: Nghiên cứu - Bảo trì - Tiền tệ
ກະສິກໍາເຕັກໂນໂລຢີສູງ;	Trang trại công nghệ cao;
ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ, ການທ່ອງທ່ຽວ...	Công nghệ thông tin, du lịch ...
ທ່ານ ຫງວຽນທ້ຽນເຍິນ ສະເໜີໃຫ້ຝ່າຍອິນເດຍ ຈະພິຈາລະນາສ້າງຕັ້ງສູນຄົ້ນຄວ້າການຢາຢູ່ນະຄອນໂຮ່ຈີມິນ;	Thủ tướng Nguyễn Tấn Dũng cung cấp cho Ấn Độ để xem xét việc thành lập một trung tâm truyền giáo dược liệu tại Thành phố Hồ Chí Minh;
ພ້ອມທັງເຊື່ອໝັ້ນວ່າໃນໄລຍະຈະມາເຖິງ, ການພົວພັນຮ່ວມມືລະຫວ່າງສອງຝ່າຍໃນບັນດາຂົງເຂດຈະພັດທະນາຢ່າງແຮງກວ່າ.	Nó cũng được thuyết phục rằng trong giai đoạn tới, sự hợp tác giữa hai bên trong các lĩnh vực sẽ phát triển mạnh mẽ hơn.
ທ່ານ ຫງວຽນທ້ຽນເຍິນ ເລຂາພັກນະຄອນໂຮ່ຈີມິນ ຕ້ອນຮັບທ່ານ Pranay Verma ເອກອັກຄະລັດຖະທູດອິນເດຍ ປະຈຳ ຫວຽດນາມ.	Prime Minh nhận Đại sứ Ấn Độ cho Đại sứ Ấn Độ đến Đại sứ Ấn Độ tại Việt Nam.
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ສ່ວນທ່ານ Pranay Verma ກໍ່ສະແດງຄວາມປິຕິຊົມຊື່ນຕໍ່ການພັດທະນາໃນການພົວພັນຮ່ວມມືລະຫວ່າງອິນເດຍ ແລະຫວຽດນາມ, ຂອບໃຈການນໍານະຄອນໂຮ່ຈີມິນ ທີ່ໄດ້ໜູນຊ່ວຍເພື່ອຊຸກຍູ້ການພົວພັນຮ່ວມມືລະຫວ່າງອິນເດຍ ແລະນະຄອນໂຮ່ຈີມິນ.	Pranay Verma cũng đã cho thấy sự phục hồi của Ấn Độ và Việt Nam, Hồng Kông, Thành phố Hồ Chí Minh.
ທ່ານ Pranay Verma ໃຫ້ຮູ້ວ່າ ບັນດາວິສາຫະກິດອິນເດຍ ມີຄວາມສົນໃຈທີ່ສຸດຕໍ່ການລົງທຶນຢູ່ຫວຽດນາມ, ໃນນັ້ນມີນະຄອນໂຮ່ຈີມິນ, ກ່ຽວກັບບັນດາຂົງເຂດເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ, ພະລັງງານຂຽວ, ການຢາ...	Danh sách Panay Verma quan tâm nhất đến công nghệ thông tin, doanh nghiệp xanh, điện xanh, thuốc ...
ແລະປາດຖະໜາຢາກໃຫ້ບັນດາວິສາຫະກິດຫວຽດນາມ, ໃນນັ້ນມີວິສາຫະກິດຂອງນະຄອນໂຮ່ຈີມິນ ໄປລົງທຶນຢູ່ອິນເດຍ.	Và Aspire cho các doanh nghiệp Việt Nam, trong đó đầu tư doanh nghiệp thành phố Hồ Chí Minh vào Ấn Độ.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
