ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 7 ກໍລະກົດ, ໄດ້ດຳເນີນກອງປະຊຸມເຈົ້າໜ້າທີ່ອາວຸໂສດ້ານປ້ອງກັນຊາດເປີດກວ້າງ (ADSOM+).	Sáng ngày 7/7, Hội nghị quan chức cấp cao quốc phòng mở rộng (ADSOM +) đã được tổ chức.
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam đã đến dự và phát biểu chỉ đạo buổi gặp mặt.
ທ່ານພົນໂທ ຫງວຽນຈີ໊ວິ້ງ ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເປັນປະທານກອງປະຊຸມ.	Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng Việt Nam chủ trì buổi làm việc.
ເຂົ້າຮ່ວມກອງປະຊຸມຄັ້ງນີ້ຍັງມີຫົວໜ້າ ADSOM+ ຂອງ 9 ປະເທດອາຊຽນ ແລະ 8 ປະເທດບວກ ລວມມີ: ລັດເຊຍ, ຈີນ, ອາເມລິກາ, ຍີ່ປຸ່ນ, ສ.ເກົາຫຼີ, ອົດສະຕາລີ, ນິວຊີແລນ ແລະອິນເດຍ.	Tham dự còn có ADSOM + lãnh đạo của 9 nước ASEAN và 8 nước, bao gồm Nga, Trung Quốc, Hoa Kỳ, Nhật Bản, Hàn Quốc, Úc, New Zealand và Ấn Độ.
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam phát biểu tại buổi làm việc.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພົນເອກ ໂງຊວນລິກ ເນັ້ນໜັກວ່າ ບົນເນື້ອໃນຈິດໃຈ “ສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການຮັບມື ຂອງປີອາຊຽນ 2020, ໃນໄລຍະຜ່ານມາ, ອາຊຽນ ແລະບັນດາຄູ່ຮ່ວມມື ຍາມໃດກໍ່ເປັນເຈົ້າການມີມາດຕະການຮັບມືຢ່າງເໝາະສົມກັບສະພາບການຕົວຈິງ, ຜັນຂະຫຍາຍບັນດາການເຄື່ອນໄຫວທາງໄກຢ່າງມີປະສິດທິຜົນ.	Phát biểu chỉ đạo Hội nghị, Thượng tướng Ngô Xuân Liên nhấn mạnh, trên tinh thần “gắn bó chặt chẽ và đồng sở hữu ASEAN 2020, trong thời gian qua, ASEAN và các đối tác đã luôn có những biện pháp hành động phù hợp với tình hình thực tế, triển khai hiệu quả lâu dài. các hoạt động kỳ hạn.
ພ້ອມທັງຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງແພດທະຫານອາຊຽນ ໃນໄລຍະຜ່ານມາ ທີ່ໄດ້ຈັດຕັ້ງການຝຶກຊ້ອມທາງໄກກ່ຽວກັບການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ປະສົບຜົນສໍາເລັດ.	Ông cũng ca ngợi những nỗ lực của các bác sĩ quân y ASEAN trong thời gian qua để tiến hành thành công các cuộc diễn tập dài hạn về phòng chống và kiểm soát IQ-19.
ນີ້ແມ່ນກະທໍາທີ່ແທດຈິງ, ປະກອບສ່ວນຫັນຜົນກອງປະຊຸມສຸດຍອດພິເສດອາຊຽນ ກ່ຽວກັບການຮັບມືກັບພະຍາດໂຄວິດ-19 ແລະຖະແຫຼງການຮ່ວມຂອງລັດຖະມົນຕີປ້ອງກັນປະເທດບັນດາປະເທດອາຊຽນ ກ່ຽວກັບການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນການຮັບມືກັບພະຍາດໂຄວິດ-19 ໃຫ້ປະກົດຜົນເປັນຈິງ.	Đây là hành động thiết thực, góp phần hiện thực hóa Hội nghị cấp cao đặc biệt ASEAN về phạm vi bảo hiểm-19 và Tuyên bố chung của các Bộ trưởng Quốc phòng ASEAN về hợp tác quốc phòng trong phạm vi bảo vệ-19.
ທ່ານພົນເອກ ໂງຊວນລິກ ຖືວ່າ ກອງປະຊຸມທາງໄກ ADSOM+ ຈະຊ່ວຍໃຫ້ບັນດາປະເທດມີການຕີລາຄາຢ່າງຮອບດ້ານ ກ່ຽວກັບແງ່ມູມດ້ານປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ປະກອບສ່ວນປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ຊ່ວຍບັນດາປະເທດຫຍັບມໍ່ເຂົ້າໃກ້ກັນກວ່າ, ຊຸກຍູ້ການຮ່ວມມືເພື່ອຮັບມືກັບບັນດາສິ່ງທ້າທາຍລວມ, ພ້ອມທັງປະຕິບັດວຽກງານກະກຽມໃຫ້ແກ່ ADMM+ ເຊິ່ງຄາດຄະເນວ່າຈະຈັດຂຶ້ນໃນເດືອນຕຸລາ ຈະມາເຖິງ ຢູ່ຫວຽດນາມ.	Thượng tướng Ngô Xuân Lik tin tưởng Cuộc họp từ xa ADSOM + sẽ giúp các nước có đánh giá toàn diện về các mặt quốc phòng, an ninh, góp phần nâng cao lòng tin, giúp các nước xích lại gần nhau hơn, thúc đẩy hợp tác để đáp ứng những thách thức phía trước.
ທ່ານພົນໂທ ຫງວຽນຈີ໊ວິ້ງ ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng phát biểu chỉ đạo buổi gặp mặt.
