ກປ.ອອນໄລ - ກອງປະຊຸມນະໂຍບາຍຄວາມໝັ້ນຄົງ ຄັ້ງທີ 17 (ASPC-17) ໄດ້ດໍາເນີນໃນວັນທີ 8 ກໍລະກົດ ຕາມຮູບແບບກອງປະຊຸມທາງໄກ.	Sáng ngày 7/7, Hội nghị quan chức cấp cao quốc phòng mở rộng (ADSOM +) đã được tổ chức.
ນີ້ແມ່ນເວທີປາໄສຂັ້ນສູງຂຶ້ນກັບຊ່ອງທາງການຮ່ວມມືດ້ານປ້ອງກັນຊາດໃນຂອບເຂດເວທີປາໄສພາກພື້ນອາຊຽນ (ARF) ດ້ວຍການເຂົ້າຮ່ວມຂອງບັນດາຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ຫຼື ທຽບເທົ່າ ພ້ອມກັບບັນດາເຈົ້າໜ້າທີ່ປ້ອງກັນຊາດທີ່ມາຈາກ 27 ສະມາຊິກ ARF.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam đã đến dự và phát biểu chỉ đạo buổi gặp mặt.
ASPC ໄດ້ຫັນເປັນທາງການ, ກາຍເປັນການເຄື່ອນໄຫວປະຈໍາປີຂອງ ARF ນັບແຕ່ປີ 2004 ເປັນຕົ້ນມາ.	Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng Việt Nam chủ trì buổi làm việc.
ASPC ມີບັນດາເປົ້າໝາຍຫຼັກແມ່ນເພີ່ມທະວີການເຂົ້າຮ່ວມຂອງບັນດາເຈົ້າໜ້າທີ່ປ້ອງກັນຊາດ ARF ແລະການຮ່ວມມືກ່ຽວກັບບັນດາມາດຕະການກໍ່ສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈໃນຂົງເຂດການທະຫານໃນຂອບເຂດ ARF;	Tham dự còn có ADSOM + lãnh đạo của 9 nước ASEAN và 8 nước, bao gồm Nga, Trung Quốc, Hoa Kỳ, Nhật Bản, Hàn Quốc, Úc, New Zealand và Ấn Độ.
ເປີດຊ່ອງທາງເຈລະຈາ ແລະແລກປ່ຽນລະຫວ່າງບັນດາເຈົ້າໜ້າທີ່ປ້ອງກັນຊາດ, ບັນດານັກການທູດ, ບັນດາຊ່ຽວຊານຄົ້ນຄວ້າການທະຫານໃໝ່ຕື່ມອີກ, ຊຸກຍູ້ຄວາມໄວ້ເນື້ອເຊື່ອໃຈ ແລະເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນລະຫວ່າງບັນດາເຈົ້າໜ້າທີ່ປ້ອງກັນຊາດ;	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam phát biểu tại buổi làm việc.
ພ້ອມທັງປັບປຸງ, ຍົກສູງຖານະບົດບາດ ແລະທີ່ຕັ້ງຂອງ ARF ຂຶ້ນຕື່ມ.	Ảnh: qdnd.vn.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມ ASPC ຢູ່ຫວຽດນາມ ໃນເດືອນພຶດສະພາ 2010.	Phát biểu chỉ đạo Hội nghị, Thượng tướng Ngô Xuân Liên nhấn mạnh, trên tinh thần “gắn bó chặt chẽ và đồng sở hữu ASEAN 2020, trong thời gian qua, ASEAN và các đối tác đã luôn có những biện pháp hành động phù hợp với tình hình thực tế, triển khai hiệu quả lâu dài. các hoạt động kỳ hạn.
ພາບ: admm.vn.	Ông cũng ca ngợi những nỗ lực của các bác sĩ quân y ASEAN trong thời gian qua để tiến hành thành công các cuộc diễn tập dài hạn về phòng chống và kiểm soát IQ-19.
ເຊິ່ງແມ່ນພາກສ່ວນອົງປະກອບຂອງ ARF, ASPC ເຄົາລົບບັນດາລະບຽບຫຼັກການ: ຕັດສິນໂດຍອີງໃສ່ຄວາມເຫັນດີເຫັນພ້ອມ, ເຂົ້າຮ່ວມຢ່າງມີຄວາມສະເໝີພາບ, ເໝາະສົມກັບທຸກຝ່າຍ.	Đây là hành động thiết thực, góp phần hiện thực hóa Hội nghị cấp cao đặc biệt ASEAN về phạm vi bảo hiểm-19 và Tuyên bố chung của các Bộ trưởng Quốc phòng ASEAN về hợp tác quốc phòng trong phạm vi bảo vệ-19.
ບັນດາການປຶກສາຫາລືຂອງ ASPC ຕ້ອງເໝາະສົມກັບບັນດາຫຼັກການພື້ນຖານທີ່ກົດໝາຍສາກົນໄດ້ຮັບຮອງ ກໍຄືການພົວພັນລະຫວ່າງບັນດາປະເທດ ເຊິ່ງໄດ້ກຳນົດໄວ້ໃນກົດບັດສະຫະປະຊາຊາດ;	Thượng tướng Ngô Xuân Lik tin tưởng Cuộc họp từ xa ADSOM + sẽ giúp các nước có đánh giá toàn diện về các mặt quốc phòng, an ninh, góp phần nâng cao lòng tin, giúp các nước xích lại gần nhau hơn, thúc đẩy hợp tác để đáp ứng những thách thức phía trước.
ພ້ອມທັງມີຄວາມສະເໝີຕົ້ນສະເໝີປາຍກັບບັນດາຫຼັກການຂອງ ARF, ລວມມີການເຄົາລົບອະທິປະໄຕແຫ່ງຊາດ, ຜືນແຜ່ນດິນອັນຄົບຖ້ວນ ແລະບໍ່ແຊກແຊງເຂົ້າວຽກງານພາຍໃນຂອງກັນ.	Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng phát biểu chỉ đạo buổi gặp mặt.
ໂຄງການດຳເນີນງານຂອງ ASPC ໄດ້ຕົກລົງຮັບຮອງເອົາຜ່ານຄວາມເຫັນດີເຫັນພ້ອມ ແລະກອງປະຊຸມໂດຍປະເທດສະມາຊິກອາຊຽນ ບໍລິຫານ.	Ảnh: qdnd.vn.
ກອງປະຊຸມດຳເນີນມາໄດ້ 16 ຄັ້ງແລ້ວ, ASPC ໄດ້ຕີລາຄາວ່າແມ່ນພວມຫັນປ່ຽນຈາກການເຈລະຈານະໂຍບາຍໄປເປັນການຮ່ວມມືໃນບັນດາຂົງເຂດລະອຽດ ແລະກ່ຽວຂ້ອງເຖິງທຸກຂົງເຂດຮ່ວມມືບຸລິມະສິດຂອງ ARF ຄື: ຕ້ານການກໍ່ການຮ້າຍ, ອາດຊະຍາກຳຂ້າມຊາດ, ຄວາມໝັ້ນຄົງທາງທະເລ...	Tại buổi làm việc, Trung tướng Nguyễn Chí Vịnh bày tỏ tin tưởng mỗi nước sẽ chung sức, chung lòng diệt trừ bệnh đậu mùa-19.
ໃນໂລກທີ່ນັບມື້ນັບອີງໃສ່ເຊິ່ງກັນ ແລະກັນ, ສັນຕິພາບ, ຜົນປະໂຫຍດຂອງປະເທດ-ຂອງຊາດຫວຽດນາມ ໄດ້ຕິດພັນສະໜິດແໜ້ນກັບສັນຕິພາບ, ຄວາມໝັ້ນຄົງ, ສະຖຽນລະພາບຂອງພາກພື້ນ ແລະໃນໂລກ.	Nắm bắt được điều đó, Bộ Quốc phòng Việt Nam quyết định tổ chức Diễn đàn Quốc phòng và Quân sự ASEAN theo kế hoạch.
ການຮ່ວມມືດ້ານປ້ອງກັນຊາດໄດ້ກຳນົດວ່າແມ່ນໜຶ່ງໃນບັນດາປັດໄຈສຳຄັນ ເພື່ອຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Theo đó, hội nghị từ xa ADSOM + này không phải là sự thay thế cho hội nghị ADSOM +, dự kiến được tổ chức vào cuối tháng 8 năm 2020.
ເພາະສະນັ້ນ, ຫວຽດນາມ ມີແຜນນະໂຍບາຍເປີດກວ້າງການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດທັງຢູ່ລະດັບສອງຝ່າຍ ແລະຫຼາຍຝ່າຍ, ເຂົ້າຮ່ວມນັບມື້ນັບເປັນເຈົ້າການ, ຕັ້ງໜ້າເຂົ້າໃນຊ່ອງທາງການຮ່ວມມືດ້ານປ້ອງກັນຊາດຄື ASPC.	Nếu tình hình dịch tả-19 tiếp tục diễn biến xấu, Bộ Quốc phòng Việt Nam sẽ thông báo để các nước tổ chức ADSOM + toàn diện hơn và đảm bảo an toàn cho các đại biểu sang Việt Nam.
ປີ 2020, ໃນຊ່ອງທາງການປ້ອງກັນຊາດ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ກຳນົດບຸລິມະສິດຊຸກຍູ້, ເພີ່ມທະວີຄວາມສາມັກຄີພາຍໃນກຸ່ມ, ເຮັດໃຫ້ການພົວພັນລະຫວ່າງອາຊຽນ ກັບບັນດາຄູ່ຮ່ວມມືເລິກເຊິ່ງກວ່າອີກ, ຊອກຫາບັນດາຮູບການຮ່ວມມືໃໝ່, ມີລັກສະນະແທດຈິງ, ມີປະສິດທິຜົນ, ຮັບໃຊ້ຜົນປະໂຫຍດລວມຂອງອາຊຽນ, ດ້ວຍຈິດໃຈສຳເລັດຜົນຂອງປີປະທານອາຊຽນ 2020 ແມ່ນຜົນສຳເລັດລວມຂອງອາຊຽນ.	Trung tướng Nguyễn Chí Vịnh mong muốn được lắng nghe các sáng kiến hợp tác của các nước ASEAN và các đối tác để có thể triển khai các sáng kiến này dù trực tiếp hay từ xa.
ຕໍ່ໜ້າສິ່ງທ້າທາຍຍ້ອນພະຍາດໂຄວິດ-19 ກໍ່ຂຶ້ນ, ນັບແຕ່ຕົ້ນປີຈົນມາຮອດປະຈຸບັນ, ພາຍໃຕ້ການເປັນປະທານຂອງຫວຽດນາມ ໃນຖານະຕຳແໜ່ງປະທານອາຊຽນ 2020, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດອາຊຽນ ແລະລະຫວ່າງອາຊຽນ ກັບບັນດາຄູ່ຮ່ວມມືໄດ້ສະແດງໃຫ້ເຫັນຢ່າງຖືກຕ້ອງຕາມເນື້ອໃນຈິດໃຈຫົວຂໍ້ຂອງປີອາຊຽນ 2020 ແມ່ນ “ສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການຮັບມື , ໃນນັ້ນຕ້ອງໄດ້ເວົ້າເຖິງການຈັດຕັ້ງກອງປະຊຸມວົງແຄບລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ (ADMM ວົງແຄບ), ກອງປະຊຸມເຈົ້າໜ້າທີ່ອາວຸໂສດ້ານປ້ອງກັນຊາດອາຊຽນ (ADSOM), ກອງປະຊຸມເຈົ້າໜ້າທີ່ອາວຸໂສດ້ານປ້ອງກັນຊາດອາຊຽນເປີດກວ້າງແບບທາງໄກ (ADSOM+)...	Bởi: Trần Huyền
ທີ່ປະສົບຜົນສຳເລັດຢ່າງຈົບງາມ.	 ...
ໃນສະພາບການດັ່ງກ່າວ, ເລື່ອງກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ, ບົນພື້ນຖານການທາບທາມຄຳເຫັນກັບບັນດາປະເທດ, ຕັດສິນໃຈຈັດຕັ້ງກອງປະຊຸມ ASPC ແບບທາງໄກຄັ້ງທໍາອິດນັ້ນແມ່ນສະແດງໃຫ້ເຫັນຄວາມມານະພະຍາຍາມເພີ່ມທະວີປະສິດທິຜົນການເຄື່ອນໄຫວ ກໍຄືການຖືເປັນສຳຄັນ, ສະຫງວນບຸລິມະສິດສູງໃຫ້ແກ່ຊ່ອງທາງການຮ່ວມມືການປ້ອງກັນຊາດໃນຂອບເຂດ ARF ທີ່ມີຄວາມສໍາຄັນທີ່ສຸດນີ້.	Trong bối cảnh đó, Bộ Quốc phòng Việt Nam trên cơ sở tham khảo ý kiến của các nước, đã quyết định tổ chức Hội nghị cấp cao ASPC lần thứ nhất một cách đồng bộ nhằm thể hiện nỗ lực nâng cao hiệu quả hoạt động cũng như ưu tiên và ưu tiên lĩnh vực quan trọng này của Hợp tác quốc phòng.
ພວກເຮົາເຊື່ອໝັ້ນວ່າ ASPC-17 ຈະປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມ, ຜ່ານນັ້ນສືບຕໍ່ປະກອບສ່ວນສໍາຄັນເຂ້ົາໃນການປັບປຸງທີ່ຕັ້ງຂອງ ARF ຄືດັ່ງເວທີປາໄສເຈລະຈາດ້ານການເມືອງ ແລະຄວາມໝັ້ນຄົງຫຼາຍຝ່າຍທາງການ, ມີຄວາມສຳຄັນແຖວໜ້າຢູ່ພາກພື້ນອາຊີ-ປາຊີຟິກ.	Chúng tôi tin tưởng rằng ASPC-17 sẽ thành công vang dội, qua đó tiếp tục đóng góp đáng kể vào việc nâng cao vị thế của ARF như một diễn đàn đối thoại chính trị và an ninh đa phương, trọng tâm là khu vực Châu Á - Thái Bình Dương.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
