ຂ່າວ ຈາກ ເຊ ອຸນ, ວັນ ທີ13 ກໍລະກົດ, ສ.	Tin tức từ Seoul, ngày 13 tháng 7, Israel.
ເກົາ ຫລີ່ ເພີ່ມ ຄວາມ ເຂັ້ມງວດໃນ ການ ປ້ອງ ກັນ ເຊື້ອ ພະຍາດໂຄ ວິດ-19 ດ້ວຍ ການ ໃຫ້ ຜູ້ ທີ່ ມາ ຈາກປະ ເທດທີ່ ມີ ຄວາມ ສ່ຽງ ສູງ ໄດ້ ແກ່: ບັງ ກລາ ເທດ, ປາ ກິດ ສະຖານ, ກາ ຊັກ ສະຖານ ແລະກຽກກິດ ສະຖານ ຕ້ອງ ສົ່ງ ໃບຮັບ ຮອງຢືນຢັນ ວ່າມີ ຜົນ ກວດ ເຊື້ອ ໂຄ ວິດ-19 ເປັນ ຜົນ ລົບຈາກ ການກວດດ້ວຍ ວິທີ PCR ຫລືກວດ ຫາ DNA ຂອງ ເຊື້ອພະຍາດຫລັງ ມີຈຳນວນ ຜູ້ ຕິດ ເຊື້ອ ເດີນທາງເຂົ້າມາ ເພີ່ມ ຂຶ້ນຢ່າງ ຕໍ່ ເນື່ອງ.	Hàn Quốc siết chặt phòng chống KIO-19 bằng cách cho phép người dân từ các quốc gia có nguy cơ cao như Bangladesh, Pakistan, Kazakhstan và Kyrgyzstan nộp giấy chứng nhận xét nghiệm HIV. Life-19 là kết quả âm tính của xét nghiệm PCR hoặc DNA sau khi số lượng tăng ổn định. của những người bị nhiễm bệnh.
ໃບຮັບ ຮອງ ດັ່ງກ່າວ ຈະ ຕ້ອງອອກ ໂດຍໂຮງໝໍ ຫລືສູນ ທົດ ລອງ ທີ່ ກຳນົດ ໂດຍ ສະຖານທູດ ສ.	Chứng chỉ phải được cấp bởi phòng thí nghiệm hoặc phòng thí nghiệm do Đại sứ quán Hàn Quốc chỉ định.
ເກົາຫລີ ພາຍ ໃນ 48 ຊົ່ວ ໂມງ ກ່ອນ ອອກເດີນທາງ ແລະຈະ ມີ ໃບຮັບ ຮອງ ວ່າ ປອດ ເຊື້ອ ພະຍາດ ແລ້ວ.	Hàn Quốc trong vòng 48 giờ trước khi khởi hành và sẽ được chứng nhận không có mầm bệnh.
ສ.	ส.
ເກົາຫລີ ໄດ້ ສັ່ງ ໃຫ້ ຖ້ຽວ ບິນ ປົກກະຕິຈາກ 4 ປະ ເທດ ທີ່ ມີ ຄວາມ ສ່ຽງ ສູງ ດັ່ງກ່າວຈຳກັດ ຈຳນວນຜູ້ ໂດຍສານ ໄວ້ ພຽງ 60% ຂອງ ຖ້ຽວ ບິນ.	Hàn Quốc đã yêu cầu các chuyến bay thường xuyên từ bốn quốc gia có nguy cơ cao, giới hạn số lượng hành khách ở mức 60%.
ສ່ວນ ຜູ້ ທີ່ ເດີນທາງ ໄປ ຍັງ ປະ ເທດທີ່ ມີ ການລະບາດ ສູງກໍ່ ຕ້ອງ ຜ່ານ ຂັ້ນຕອນເຂົ້າປະ ເທດເມື່ອ ກັບ ໄປ ຍັງ ສ.	Những người đi du lịch đến các nước có nguy cơ cao phải làm thủ tục nhập cảnh khi trở về nước.
ເກົາຫລີ.	Korea.
ພາບປະກອບຈາກ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່ອນ ໜ້າ ນີ້ໄດ້ ໃຊ້ ລະບຽບ ກັກ ກັນ ເຂົ້ມງວດຕໍ່ ຜູ້ ເດີນທາງ ມາ ຈາກປາ ກິດ ສະຖານ ແລະບັງ ກລາ ເທດ ມາ ໄລຍະ ໜຶ່ງ ແລ້ວ ແລະໄດ້ ຢຸດ ອອກ ວີ ຊາ ແລະຢຸດ ຮັບ ຖ້ຽວ ບິນ ບໍ່ ປະຈຳ ຈາກ ທັງ ສອງ ປະ ເທດມາຕັ້ງ ແຕ່ ວັນ ທີ 23 ມິຖຸນາ ຜ່ານ ມາ.	Trước đó, nó đã áp đặt các hạn chế nghiêm ngặt đối với du khách từ Pakistan và Bangladesh, đồng thời đã ngừng cấp thị thực và chấp nhận các chuyến bay thẳng từ cả hai quốc gia kể từ ngày 23/6.
ເນື້ອໃນ: ຂປລ.	Nội dung:
