ກປ.ອອນໄລ - ຫວ່າງແລ້ວນີ້, ສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ (ສປຊ) ໄດ້ຮັບຟັງທູດພິເສດຂອງທ່ານເລຂາທິການໃຫຍ່, ທ່ານ Mr.	Hội đồng Bảo an Liên hợp quốc kêu gọi Tổng thư ký Liên hợp quốc Ban Ki-moon giải quyết vấn đề
Mahamat Saleh Annadif ຫົວໜ້າຄະນະປະຕິບັດງານ ສປຊ ປະຈຳ ມາລີ (MINUSMA) ລາຍງານສະພາບການ ແລະສະແດງຄວາມວິຕົກກັງວົນຕໍ່ບັນດາຄວາມເຄັ່ງຕຶງດ້ານການເມືອງຫວ່າງແລ້ວນີ້ຢູ່ມາລີ.	Mahamat Saleh Annadif, người đứng đầu Nhóm công tác của Liên hợp quốc về Mali (MINUSMA), báo cáo về tình hình và bày tỏ quan ngại về những căng thẳng chính trị gần đây ở Mali.
ສະພາຄວາມໝັ້ນຄົງ ສປຊ ປຶກສາຫາລືກ່ຽວກັບສະພາບການຢູ່ມາລີ.	Hội đồng Bảo an Liên hợp quốc thảo luận về tình hình ở Mali
ພາບ: ຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ສປຊ.	Ảnh: Phái đoàn Việt Nam tại LHQ
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ດັ້ງດີ່ງກຸ໊ຍ ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ສປຊ ແບ່ງປັນກັບນັກປາຖະກະຖາ ແລະບັນດາປະເທດສະມາຊິກສະພາຄວາມໝັ້ນຄົງກ່ຽວກັບສະພາບການຢູ່ມາລີ;	Phát biểu tại buổi tiếp, Đại sứ Đặng Đình Quý, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc, chia sẻ quan điểm với các thành viên Hội đồng Bảo an về tình hình Mali;
ຢັ້ງຢືນສະໜັບສະໜູນເອກະລາດ, ອະທິປະໄຕ ແລະຜືນແຜ່ນດິນອັນຄົບຖ້ວນຂອງມາລີ;	Khẳng định độc lập, chủ quyền và toàn vẹn lãnh thổ của Mali;
ຮຽກຮ້ອງໃຫ້ມີການເຈລະຈາລະຫວ່າງບັນດາຝ່າຍເພື່ອແກ້ໄຂຄວາມແຕກຕ່າງກັນໃນປະຈຸບັນ.	Kêu gọi đối thoại giữa các bên để giải quyết những bất đồng hiện tại.
ພ້ອມທັງເນັ້ນໜັກເຖິງການສືບຕໍ່ປະຕິບັດຂໍ້ຕົກລົງສັນຕິພາບໃນປີ 2015 ຢ່າງຄົບຖ້ວນ;	Ông cũng nhấn mạnh sự cần thiết phải thực hiện đầy đủ hiệp định hòa bình trong năm 2015;
ສະເໜີມີບັນດາມາດຕະການຮັບປະກັນຄວາມປອດໄພໃຫ້ແກ່ສາມັນຊົນມາລີ, ພິເສດແມ່ນແມ່ຍິງ ແລະເດັກນ້ອຍ;	Luôn áp dụng các biện pháp an ninh cho người dân Mali, đặc biệt là phụ nữ và trẻ em;
ສະໜັບສະໜູນບົດບາດຂອງ ສປຊ, MINUSMA, ສະຫະພາບອາຟະລິກາ, ECOWAS ແລະ ອີຢູ ໃນການຮັກສາສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ມາລີ.	Ủng hộ vai trò của Liên hợp quốc, MINUSMA, Liên minh châu Phi, ECOWAS và EU trong việc duy trì hòa bình và ổn định ở Mali.
ໂດຍ: ກວຽດເຕິມ.	Bởi: Việt Full.
