ກປ.ອອນໄລ - ທ່ານ Douglas Foo ຕີລາຄາສູງຕໍ່ເລື່ອງຫວຽດນາມ ໄດ້ປະຕິບັດການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ໄດ້ເປັນຢ່າງດີ...	Douglas Foo ca ngợi những nỗ lực phòng chống và kiểm soát tốt thuốc Kovid-19 của Việt Nam
ວັນທີ 1 ສິງຫາ, ຮ່ວມທຸລະກິດ ບໍລິສັດ Sakae Holdings (ສິງກະໂປ) ແລະບໍລິສັດລົງທຶນ SSF ຈໍາກັດໄດ້ມີເອກະສານສະເໜີໜູນຊ່ວຍອຸປະກອນການແພດ ແລະເຄື່ອງໃຊ້ທີ່ຈຳເປັນໃນການຕ້ານພະຍາດໂຄວິດ-19 ໃຫ້ນະຄອນດ່ານັ້ງ ແລະເອກະສານແບ່ງປັນຂອງທ່ານ Douglas Foo, ຫົວໜ້າໂຮງໝໍ Khoo Teck Puat (ໂຮງໝໍສາທາລະນະໃຫຍ່ທີ່ສຸດຂອງສິງກະໂປ, ສັງກັດບໍລິສັດ Sakae Holdings), ກ່ຽວກັບບັນດາບົດຮຽນໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ຂອງສິງກະໂປ ໃນໄລຍະຜ່ານມາ.	Ngày 1/8, công ty liên doanh Sakae Holdings (Singapore) Công ty đầu tư tài liệu giới hạn SSF cung cấp thiết bị hỗ trợ và vật tư y tế cần thiết để chống lại dịch bệnh tại thành phố Clovis -19 Đà Nẵng và tài liệu chia sẻ của ông Douglas Foo, trưởng bệnh viện Khoo Teck Puat (bệnh viện lớn nhất Singapore sở hữu công ty Sakae Holdings), với bài học phòng chống dịch bệnh Clovis -19 Singapore trong quá khứ.
ໂຮງໝໍຊົ່ວຄາວ ໄດ້ສ້າງຂຶ້ນຢູ່ສູນການແພດຮວ່າວາງ ກະກຽມຮັບຄົນເຈັບຕິດເຊື້ອພະຍາດໂຄວິດ-19.	Tại Trung tâm Y tế Hòa Vang đã dựng một mái che tạm thời để chuẩn bị cho bệnh nhân nhiễm HIV-19.
ພາບ: vov.vn.	Ảnh: vov.vn.
ຕາມທ່ານ Douglas Foo ແລ້ວ ສອງປັດໄຈສໍາຄັນທີ່ສຸດເພື່ອແກ້ໄຂວິກິດການພະຍາດໂຄວິດ-19 ແມ່ນຈິດໃຈປະຊາຊົນ ແລະຄວາມກຽມພ້ອມຂອງຂະແໜງສາທາລະນະສຸກ.	Theo Douglas Foo, hai yếu tố quan trọng nhất để giải quyết cuộc khủng hoảng Kovid-19 là tinh thần của cộng đồng và sự chuẩn bị về sức khỏe.
ເພື່ອຮັກສາຈິດໃຈປະຊາຊົນໃຫ້ເປັນປົກກະຕິ, ລັດຖະບານສິງກະໂປ ໄດ້ປະຕິບັດບັນດາມາດຕະການ, ຄື: ບໍ່ປະໃຫ້ປະຊາຊົນຫວາດຫວັ່ນເສຍຂວັນ, ມີການກະທໍາຢ່າງວ່ອງໄວ ແລະຍາມໃດກໍ່ອັບເດດຂໍ້ມູນຂ່າວສານໃຫ້ປະຊາຊົນມີຄວາມອຸ່ນອ່ຽນໃຈ.	Để giữ cho tinh thần công chúng bình thường, Chính phủ Singapore đã thực hiện các biện pháp như không đe dọa công chúng, hành động nhanh chóng và luôn cập nhật thông tin để công chúng yên tâm.
ຄຽງຂ້າງນັ້ນ, ຂະແໜງສາທາລະນະສຸກ ຕ້ອງແຍກປ່ຽວ, ຄົ້ນຫາການສຳຜັດຢ່າງຮີບດ່ວນ.	Đồng thời, ngành y tế cần cách ly, khẩn trương tìm người liên hệ.
ພ້ອມກັນນັ້ນ, ປະຊາຊົນຄວນປະຕິບັດຂໍ້ກຳນົດເວັ້ນໄລຍະຫ່າງທາງສັງຄົມຢ່າງເຂັ້ມງວດ, ນັບທັງເມື່ອຄົບກຳນົດເວລາແຍກປ່ຽວ...	Đồng thời, người dân cần chấp hành nghiêm túc việc miễn giảm khoảng cách xã hội kể cả khi hết thời hạn cách ly ...
ຕາມການແບ່ງປັນຂອງທ່ານ Douglas Foo, ບັນດາມາດຕະການ, ບົດຮຽນທີ່ສິງກະໂປ ໄດ້ນໍາໃຊ້ຂ້ອນຂ້າງຕິດແທດກັບສະພາບຕົວຈິງຂອງບັນດາມາດຕະການຕ້ານພະຍາດໂຄວິດ-19 ຢູ່ຫວຽດນາມໃນປະຈຸບັນ.	Theo ông Douglas Foo, các biện pháp và bài học kinh nghiệm của Singapore có liên quan mật thiết đến thực trạng các biện pháp kiểm soát dịch bệnh ở Việt Nam hiện nay.
ທ່ານ Douglas Foo ຕີລາຄາສູງຕໍ່ເລື່ອງຫວຽດນາມ ໄດ້ປະຕິບັດການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ໄດ້ເປັນຢ່າງດີ, ພິເສດແມ່ນໃນການແຍກປ່ຽວບັນດາກໍລະນີຕິດເຊື້ອພະຍາດໂຄວິດ-19 ແລະບັນດາກໍລະນີມີທີ່ໄດ້ສໍາຜັດກັບຜູ້ຕິດເຊື້ອພະຍາດໂຄວິດ-19, ການຄົ້ນຫາຜູ້ທີ່ໄດ້ສຳຜັດກັບພະຍາດ.	Douglas Foo khen ngợi Việt Nam đã thực hiện tốt công tác phòng, chống bệnh IQ-19, đặc biệt trong việc cách ly những trường hợp mắc bệnh IQ-19 và những người đã tiếp xúc với IQ-19, đồng thời tìm ra những người đã tiếp xúc với căn bệnh này.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
