ຄະນະກຳມະການປະຊາຊົນນະຄອນ ດ່ານັ້ງ ໄດ້ມີເອກະສານກ່ຽວກັບການສ້າງຕັ້ງໜ່ວຍປະຕິບັດງານໂຄວິດ-19 ໃນຊຸມຊົນ.	UBND TP Đà Nẵng đã có văn bản về việc thành lập Đơn vị hoạt động cộng đồng-19 tại cộng đồng.
ວັນທີ 02 ສິງຫາ, ຄະນະກຳມະການປະຊາຊົນນະຄອນດ່ານັ້ງ ໄດ້ມີເອກະສານກ່ຽວກັບການສ້າງຕັ້ງໜ່ວຍປະຕິບັດງານໂຄວິດ-19 ໃນຊຸມຊົນ.	Ngày 2/8, UBND TP Đà Nẵng có văn bản về việc thành lập đơn vị hoạt động cộng đồng 19.
ຕາມນັ້ນແລ້ວ, ບັນດາເມືອງໄດ້ສ້າງຕັ້ງໜ່ວຍປະຕິບັດງານໂຄວິດ-19 ຢູ່ຊຸມຊົນ, ສົມທົບກັບພະແນກສາທາລະນະສຸກ ເປີດຊຸດຝຶກອົບຮົບ, ແນະນຳ, ຜັນຂະຫຍາຍການຕິດຕາມ, ຕິດຕາມອາການສຸຂະພາບປະຊາຄົມຢ່າງຮີບເຮັ່ງ.	Theo đó, các quận, huyện đã thành lập đơn vị vận hành 19 cộng đồng, phối hợp với Sở Y tế triển khai hàng loạt chương trình đào tạo, hướng dẫn, triển khai và tiếp cận cộng đồng.
(ປະຕິບັດການແຍກຫ່າງທາງສັງຄົມ)	(Thực hiện phân tách xã hội)
ພາຍຫຼັງມີຜູ້ຕິດເຊື້ອໂຄວິດ-19 2 ຄົນໃນບໍລິເວນນະຄອນ ບວນມາທວດ, ຄະນະກຳມະການປະຊາຊົນແຂວງ ດັ໊ກລັ໊ກ ກໍ່ໄດ້ປະຕິບັດການແຍກຫ່າງສັງຄົມໃນບໍລິເວນນະຄອນ ບວນມາທວດ ເປັນເວລາ 14 ວັນ, ເລີ່ມແຕ່ເວລາ 0 ໂມງຂອງວັນທີ 03 ສິງຫາ 2020 ຮອດວັນທີ 16 ສິງຫາ 2020.	Sau khi hai trường hợp nhiễm Kovi-19 được báo cáo ở Buôn Ma Thuật, Ủy ban nhân dân tỉnh Douglas đã tiến hành cách ly xã hội 14 ngày tại Buen Ma Thuật, từ 0 giờ sáng ngày 3 tháng 8 năm 2020 đến ngày 16 tháng 8 năm 2020.
ຕອນຄ່່ຳວັນທີ 02 ສິງຫາ, ຄະນະຊີ້ນຳການປ້ອງກັນ, ຕ້ານເຊື້ອໂຄວິດ-19 ແຂວງຮ່ານາມ ໄດ້ປະກາດເອກະສານຊີ້ນຳກ່ຽວກັບການປ້ອງກັນ, ຕ້ານເຊື້ອໂຄວິດ-19 ທີ່ກ່ຽວຂ້ອງເຖິງຄົນເຈັບທີ 620 (ຕາແສງ ລາມຮະ, ນະຄອນ ຟຸລິ໊) ເຊິ່ງກະຊວງສາທາລະນະສຸກຫວຽດນາມ ປະກາດໃນຕອນບ່າຍວັນທີ 02 ສິງຫາ.	Chiều ngày 2/8, Ban Phòng, chống HIV-19 tỉnh Hà Nam đã công bố Hướng dẫn phòng, chống HIV-19 liên quan đến 620 bệnh nhân (xã Lâm Hạ, TP. Phả) đã được Bộ này công bố. của Y tế vào chiều ngày 2/8.
ຕາມນັ້ນແລ້ວ, ກໍ່ຢຸດຕິການເຄື່ອນໄຫວຊົ່ວຄາວໃນບາງຂົງເຂດດຳເນີນທຸລະກິດການບໍລິການໃນບໍລິເວນແຂວງນັບແຕ່ເວລາ 7 ໂມງຂອງວັນທີ 03 ສິງຫາ 2020 ຈົ່ນຮອດເວລາມີແຈ້ງການໃໝ່.	Theo đó, việc tạm dừng hoạt động một số lĩnh vực kinh doanh dịch vụ trên địa bàn tỉnh kể từ 7h ngày 3/8/2020 cho đến thời điểm có thông báo mới.
ກະຊວງສາທາລະນະສຸກຫວຽດນາມ ຫາກໍ່ປະກາດມີຜູ້ຕິດເຊື້ອພະຍາດໂຄວິດ-19 7 ຄົນ ເຊິ່ງລ້ວນແຕ່ເປັນສະມາຊິກໃນຄອບຄົວດຽວກັນຢູ່ເທດສະບານເມືອງ ຮ່າລາມ, ເມືອງແທັງບິ່ງ, ແຂວງກວ໋າງນາມ.	Bộ Y tế Việt Nam vừa công bố 19 trường hợp mắc bệnh tả, tất cả đều thuộc cùng một gia đình tại huyện Hà Lam, huyện Thanh Bình, tỉnh Quảng Nam.
ບັນດາຄົນເຈັບດັ່ງກ່າວແມ່ນຖືກຕິດແປດຈາກຜູ້ຕິດເຊື້ອຄົນທີ 522, ເຊິ່ງມີອາຍຸ 67 ປີ, ແມ່ນຜົວ, ພໍ່ ແລະ ພໍ່ຕາ, ພໍ່ປູ່ຂອງບັນດາສະມາຊິກໃນຄອບຄົວ.	Bệnh nhân bị nhiễm virus thứ 522 là một người đàn ông 67 tuổi là chồng, cha và ông nội của một thành viên trong gia đình.
ນັບແຕ່ວັນທີ 3 ສິງຫາ, ອໍານາດການປົກຄອງແຂວງ ກວ໋າງນາມ ໄດ້ຕົກລົງປິດບໍລິເວນຄຸ້ມຖະໜົນທີ່ມີເຮືອນຂອງຄອບຄົວດັ່ງກ່າວ.	Ngày 3/8, các cơ quan chức năng tỉnh Quảng Nam đồng ý đóng cửa khu phố nơi gia đình này sinh sống.
ຕໍ່ໜ້າສະພາບການຜັນແປສັບສົນຂອງໂລກລະບາດໂຄວິດ-19, ຂະແໜງການທ່ອງທ່ຽວນະຄອນເທື່ອທຽນ-ເຫວ້ ໄດ້ປະຕິບັດບັນດາຂໍ້ກໍານົດຂອງແຂວງກ່ຽວກັບການປ້ອງກັນ, ສະກັດກັ້ນໂລກລະບາດຢ່າງເຂັ້ມງວດ.	Trước tình hình phức tạp của dịch Khowit-19, ngành du lịch tỉnh Thừa Thiên-Huế đã thực hiện nghiêm túc các quy định của tỉnh về công tác phòng, chống dịch.
ປັດຈຸບັນ, ທາງແຂວງກໍຢຸດຕິບັນດາການເຄື່ອນໄຫວດໍາເນີນທຸລະກິດຂອງບັນດາຮ້ານບັນເທິງ;	Hiện chính quyền tỉnh đã đình chỉ hoạt động kinh doanh của các điểm vui chơi giải trí;
ບັງຄັບປະຊາຊົນຕ້ອງໃສ່ຜ້າອັດປາກໃນເວລາອອກໄປຂ້າງນອກ ແລະຢູ່ສະຖານທີ່ສາທາລະນະ.	Mọi người bắt buộc phải đeo khẩu trang khi ra ngoài và ở những nơi công cộng.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
