ກປ.ອອນໄລ - ການພັດທະນາຂອງອາຊຽນ ແມ່ນວິວັດທະນາການກ້າວໄປເຖິງຄວາມໜັກແໜ້ນໝັ້ນແກ່ນເທື່ອລະກ້າວ.	KR Online - Sự phát triển của ASEAN là sự phát triển từng bước đến cốt lõi.
ອາຊຽນ ຍາມໃດກໍ່ໄດ້ຮັບຄວາມເອົາໃຈໃສ່ ແລະຄວາມປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືຈາກບັນດາປະເທດ ແລະອົງການຈັດຕັ້ງສາກົນ.	ASEAN luôn nhận được sự quan tâm và mong muốn thúc đẩy hợp tác từ các nước và các tổ chức quốc tế.
ນັ້ນແມ່ນບັນດາເນື້ອໃນທີ່ທ່ານ ຫງວຽນແຮວ່ງນໍາ ເອກອັກຄະລັດຖະທູດຫວຽດນາມ ປະຈໍາ ອາຊຽນ ໄດ້ແບ່ງປັນ.	Đây là những nội dung được Nguyễn Hoàng chia sẻ với Đại sứ Việt Nam tại ASEAN.
ນັກຂ່າວ: ຂໍຮຽນທ່ານເອກອັກຄະລັດຖະທູດ, ບັນດາອົງການຈັດຕັ້ງໃນພາກພື້ນມີຄວາມໝາຍຄືແນວໃດຕໍ່ຖານະຕໍາແໜ່ງຂອງແຕ່ລະປະເທດ?	PV: Thưa Đại sứ, các tổ chức khu vực nhìn nhận thế nào về vị thế của mỗi nước?
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນແຮວ່ງນໍາ: ອາດເວົ້າໄດ້ວ່າ, ປັດຈຸບັນ, ທ່າອ່ຽງເຊື່ອມຕໍ່ຫຼາຍຊັ້ນ, ຫຼາຍໃຈກາງແມ່ນທ່າອ່ຽງທ່ົວໄປຢູ່ພາກພື້ນ ແລະໃນໂລກ, ໂດຍອີງໃສ່ຜົນປະໂຫຍດຂອງແຕ່ລະປະເທດ.	Đại sứ Nguyễn Haeng Nam: Có thể nói, hiện nay, xu hướng đa tầng, đa trung tâm là phổ biến trong khu vực và trên thế giới, tùy thuộc vào lợi ích của mỗi quốc gia.
ເມື່ອພວກເຮົາເຂົ້າຮ່ວມບໍ່ວ່າໃນອົງການຈັດຕັ້ງໃດ, ຖານະຕໍາແໜ່ງຂອງປະເທດຊາດຈະເພີ່ມຂຶ້ນ.	Khi chúng ta tham gia vào bất kỳ tổ chức nào, vị thế của quốc gia sẽ tăng lên.
ຖ້າແຍກອອກຕ່າງຫາກ, ປະເທດໃດກໍ່ຈະປະສົບກັບຄວາມຫຍຸ້ງຍາກເມື່ອແກ້ໄຂບັນຫາຂັ້ນພາກພື້ນ ແລະທົ່ວໂລກ.	Một cách riêng biệt, bất kỳ quốc gia nào cũng sẽ gặp khó khăn trong việc giải quyết các vấn đề toàn cầu và khu vực.
ນັກຂ່າວ: ພາຍຫຼັງເຫດການອັງກິດ ເອົາຄວາມເຫັນຂອງປະຊາຊົນກ່ຽວກັບເລື່ອງຖອນຕົວອອກຈາກສະຫະພາບເອີລົບ (ອີຢູ) ໄດ້ມີຫຼາຍຄົນຖືວ່າ ທ່າອ່ຽງຫັນເປັນພາກພື້ນພວມຖືກຜົນສະທ້ອນຢ່າງຫຍໍ້ທໍ້, ແທນທີ່ນັ້ນລັດທິຊົນຊາດເພີ່ມຂຶ້ນສູງ.	Phóng viên: Sau khi Anh rút khỏi Liên minh châu Âu (EU), nhiều người cho rằng xu hướng khu vực hóa là kết quả, hơn là sự gia tăng chủ nghĩa dân tộc.
ທ່ານເອກອັກຄະລັດຖະທູດມີແນວຄວາມຄິດເຫັນຄືແນວໃດກ່ຽວກັບຂໍ້ສັງເກດນັ້ນ?	Đại sứ có ý kiến gì về nhận xét đó?
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນແຮວ່ງນໍາ: ບັນຫາທີ່ເກີດຂຶ້ນຢູ່ອີຢູ ອາດຈະເລີ່ມມາຈາກຫຼາຍສາຍເຫດ.	Đại sứ Nguyễn Haeng: Các vấn đề ở EU có thể do nhiều nguyên nhân.
ເມື່ອທຽບໃສ່ກັບອີຢູແລ້ວ, ອາຊຽນ ມີຄວາມແຕກຕ່າງກັນຫຼາຍຢ່າງ, ອາຊຽນແມ່ນອົງການຈັດຕັ້ງໃນພາກພື້ນທີ່ພັດທະນາເທື່ອລະກ້າວ.	So với EU, ASEAN rất khác, ASEAN là một tổ chức khu vực từng bước phát triển.
