ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 5 ສິງຫາ, ພິທີມອບ-ຮັບຢາປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ໂດຍກູບາ ອຸປະຖໍາໃຫ້ແກ່ຫວຽດນາມ ໄດ້ດໍາເນີນຢູ່ຮ່າໂນ້ຍ.	Chiều 5/8, tại Hà Nội đã diễn ra lễ bàn giao vắc xin Cuba-19 cho Việt Nam.
ເຂົ້າຮ່ວມພິທີ, ຝ່າຍຫວຽດນາມ ມີທ່ານພົນໂທ ຫງວຽນຈີວິ້ງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ;	Về phía Việt Nam có Trung tướng Nguyễn Chí Vịnh, Thứ trưởng Bộ Quốc phòng;
ຜູ້ຕາງໜ້າບັນດາອົງການທີ່ກ່ຽວຂ້ອງຂອງກະຊວງປ້ອງກັນປະເທດ ແລະກະຊວງການຕ່າງປະເທດ.	Đại diện các cơ quan hữu quan của Bộ Quốc phòng và Bộ Ngoại giao.
ສ່ວນຝ່າຍກູບາ ມີທ່ານນາງ Lianys Torres Rivera ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອຳນາດເຕັມແຫ່ງ ສ.ກູບາ ປະຈໍາ ຫວຽດນາມ ພ້ອມກັບຜູ້ຕາງໜ້າພະນັກງານສະຖານທູດກູບາ ປະຈໍາ ຫວຽດນາມ.	Đoàn đại biểu Cuba có Đại sứ đặc mệnh toàn quyền nước Cộng hòa Cuba tại Việt Nam Lianys Torres Rivera và đại diện Đại sứ quán Cuba tại Việt Nam.
ທ່ານພົນໂທ ຫງວຽນຈີວິ້ງ ກ່າວຮັບຢາປ້ອງກັນ, ຕ້ານເຊື້ອພະຍາດໂຄວິດ-19 ໂດຍກູບາ ອຸປະຖໍາ.	Trung tướng Nguyễn Chí Vịnh nhận vắc xin Cuba-19
ພາບ: ວັນຫຽວ.	Ảnh: Văn Hiếu
ກ່າວຄໍາເຫັນທີ່ພິທີ, ທ່ານພົນໂທ ຫງວຽນຈີວິ້ງ ເນັ້ນໜັກວ່າ ນັບແຕ່ເມື່ອເລີ່ມແຜ່ລະບາດພະຍາດໂຄວິດ-19, ພັກ, ລັດ ແລະກອງທັບກູບາ ໄດ້ສະແດງໃຫ້ເຫັນແຈ້ງຈິດໃຈກຽມພ້ອມຮ່ວມມື, ໜູນຊ່ວຍຫວຽດນາມ ຮັບມືກັບເຊື້ອພະຍາດຢ່າງແຮງ.	Phát biểu tại buổi lễ, Trung tướng Nguyễn Chí Vịnh nhấn mạnh, kể từ khi đại dịch năm 1919 bùng phát, Đảng, nhà nước và quân đội Cuba luôn sẵn sàng hợp tác, giúp đỡ Việt Nam đối phó với dịch.
ບົນພື້ນຖານນັ້ນ, ສອງຝ່າຍໄດ້ຈັດຕັ້ງກອງປະຊຸມທາງໄກຫຼາຍຄັ້ງເພື່ອແບ່ງປັນບົດຮຽນກ່ຽວກັບການປ້ອງກັນ, ຕ້ານເຊື້ອພະຍາດ.	Trên cơ sở đó, hai bên đã tổ chức nhiều cuộc gặp gỡ từ xa để chia sẻ các bài học về công tác phòng, chống dịch bệnh.
ພ້ອມກັບຈໍານວນຢາດັ່ງກ່າວ, ຄະນະຊ່ຽວຊານສາທາລະນະສຸກກູບາ ກໍ່ໄດ້ມາຫວຽດນາມ.	Cùng với số thuốc, một đoàn y tế của Cuba đã đến Việt Nam.
ປະຈຸບັນນີ້, ເຖິງວ່າພວມປະຕິບັດການແຍກປ່ຽວຖືກຕາມກໍານົດກໍ່ຕາມ, ບັນດາຊ່ຽວຊານເຫຼົ່ານີ້ຍັງແລກປ່ຽນ, ແບ່ງປັນບົດຮຽນທາງໄກກັບບັນດາທ່ານໝໍເສນາຮັກຫວຽດນາມ ກ່ຽວກັບການຮັບມືກັບເຊື້ອພະຍາດເປັນປະຈຳ.	Hiện tại, dù đã trải qua quá trình cách ly thường xuyên nhưng các chuyên gia này vẫn thường xuyên trao đổi bài học với các chức sắc Việt Nam về cách đối phó với dịch bệnh.
ບັນດາຊ່ຽວຊານກູບາ ຢັ້ງຢືນກຽມພ້ອມໄປຍັງເຂດແຜ່ລະບາດເຊື້ອພະຍາດເພື່ອຄຽງບ່າຄຽງໄຫຼ່ພ້ອມກັບບັນດາທ່ານໝໍຫວຽດນາມ ພາຍຫຼັງໄລຍະແຍກປ່ຽວ.	Các chuyên gia Cuba khẳng định sẵn sàng tới vùng bùng phát dịch để sát cánh cùng đoàn Việt Nam sau thời gian bị cô lập.
