ກປ.ອອນໄລ - ວົງເງິນສົ່ງອອກເຄື່ອງເຟີນີເຈີ ແລະເຄື່ອງປ່າຂອງດົງຂອງຫວຽດນາມໃນ 7 ເດືອນຕົ້ນປີ 2020 ຍັງເພີ່ມຂຶ້ນ.	Xuất khẩu đồ gỗ và lâm sản ngoài gỗ của Việt Nam trong 7 tháng đầu năm 2020 vẫn đang trên đà tăng.
ນີ້ແມ່ນຂໍ້ມູນເຊິ່ງກະຊວງກະສິກໍາ ແລະພັດທະນາຊົນນະບົດຫວຽດນາມ ປະກາດເມື່ອວັນທີ 6 ສິງຫາ.	Đây là thông tin được Bộ Nông nghiệp và Phát triển Nông thôn Việt Nam công bố ngày 6/8.
ລະອຽດແມ່ນ, ມູນຄ່າສົ່ງອອກເຄື່ອງເຟີນີເຈີ ແລະເຄື່ອງປ່າຂອງດົງປະເພດຕ່າງໆບັນລຸ 6,5 ຕື້ໂດລາສະຫະລັດ, ເພີ່ມຂຶ້ນ 6,7% ເມື່ອທຽບໃສ່ໄລຍະດຽວກັນຂອງປີ 2019.	Trong đó, giá trị xuất khẩu đồ gỗ và lâm sản ngoài gỗ đạt 6,5 tỷ đô la Mỹ, tăng 6,7% so với cùng kỳ năm 2019.
ໃນຂະນະນັ້ນ, ວົງເງິນສົ່ງອອກບາງປະເພດສິນຄ້າອື່ນຂອງຂະແໜງກະສິກໍາກໍ່ຫຼຸດລົງຍ້ອນຜົນກະທົບຈາກພະຍາດໂຄວິດ-19: ມູນຄ່າສົ່ງອອກຜະລິດຕະພັນກະເສດປະເພດຕ່າງໆບັນລຸ 10,37 ຕື້ໂດລາສະຫະລັດ, ຫຼຸດລົງ 4%;	Đồng thời, giá trị xuất khẩu của một số mặt hàng nông sản khác giảm do ảnh hưởng của dịch bệnh - 19: Giá trị xuất khẩu nông sản các loại đạt 10,37 tỷ đô la Mỹ, giảm 4%;
ມູນຄ່າສົ່ງອອກການລ້ຽງສັດບັນລຸ 213 ລ້ານໂດລາສະຫະລັດ, ຫຼຸດລົງ 24,9%;	Xuất khẩu chăn nuôi đạt 213 triệu đô la Mỹ, giảm 24,9%;
ມູນຄ່າສົ່ງອອກສິນໃນນໍ້າບັນລຸ 4,38 ຕື້ໂດລາສະຫະລັດ, ຫຼຸດລົງ 6,4% ເມື່ອທຽບໃສ່ໄລຍະດຽວກັນຂອງປີ 2019.	Giá trị xuất khẩu thủy sản đạt 4,38 tỷ USD, giảm 6,4% so với cùng kỳ năm 2019.
ເຄື່ອງເຟີນີເຈີ ແລະເຄື່ອງປ່າຂອງດົງແມ່ນປະເພດສິນຄ້າສົ່ງອອກສໍາຄັນຂອງຫວຽດນາມ.	Đồ gỗ và lâm sản ngoài gỗ là mặt hàng xuất khẩu chính của Việt Nam.
ພາບ: kinhdoanhvaphattrien.vn.	Ảnh: kinhdoanhvaphattrien.vn.
ຄືແນວນັ້ນ, ວົງເງິນສົ່ງອອກຜະລິດຕະພັນກະເສດ, ເຄື່ອງປ່າຂອງດົງ, ສິນໃນນໍ້າໃນເດືອນກໍລະກົດປີ 2020 ບັນລຸ 3,4 ຕື້ໂດລາສະຫະລັດ, ຍົກຍອດມູນຄ່າສົ່ງອອກໃນ 7 ເດືອນຕົ້ນປີ 2020 ບັນລຸປະມານ 22,31 ຕື້ໂດລາສະຫະລັດ, ຫຼຸດລົງ 2,8% ເມື່ອທຽບໃສ່ໄລຍະດຽວກັນຂອງປີ 2019.	Như vậy, lượng xuất khẩu nông sản, lâm sản ngoài gỗ và thủy hải sản tháng 7 năm 2020 đạt 3,4 tỷ đô la Mỹ, nâng giá trị xuất khẩu 7 tháng đầu năm 2020 đạt khoảng 22,31 tỷ đô la Mỹ, giảm 2,8% so với sang cùng kỳ năm 2019.
ໃນປັດຈຸບັນ, ປະເພດສິນຄ້າເຄື່ອງເຟີນີເຈີ ແລະເຄື່ອງປ່າຂອງດົງໄດ້ຮັບຄວາມຫວັງວ່າ ເປັນ “ສິ່ງທີ່ກາງຕໍ່ ປະກອບສ່ວນຊົດເຊີຍໃຫ້ແກ່ການຫຼຸດລົງຂອງສິນຄ້າປະເພດອື່ນກ່ຽວກັບວົງເງິນສົ່ງອອກປີ 2020 ໃຫ້ທົ່ວຂະແໜງກະສິກໍາ.	Hiện tại, đồ gỗ và lâm sản ngoài gỗ được kỳ vọng sẽ là “trung gian góp phần làm giảm các loại hàng xuất khẩu khác trong khối lượng xuất khẩu năm 2020 của toàn ngành nông nghiệp.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
