ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 17 ສິງຫາ, ໄດ້ດໍາເນີນກອງປະຊຸມສຸດຍອດບັນດາປະທານສະພາແຫ່ງຊາດຍິງສາກົນ.	Chiều ngày 17/8, tại Hội nghị thượng đỉnh các nữ diễn giả nghị viện quốc tế đã được tổ chức.
ກອງປະຊຸມ ໂດຍສະຫະພັນລັດຖະສະພາສາກົນ (IPU) ສົມທົບກັບສະພາແຫ່ງຊາດ ສ.	Cuộc họp do Liên minh Nghị viện Quốc tế (IPU) kết hợp với Quốc hội tổ chức.
ໂອຕຣິດ ແລະສະຫະປະຊາຊາດ ຈັດຕັ້ງຕາມຮູບແບບກອງປະຊຸມທາງໄກ ດ້ວຍຫົວຂໍ້ “ການນໍາພາຂອງແມ່ຍິງທີ່ສະພາແຫ່ງຊາດ ໃນສະພາບພະຍາດໂຄວິດ-19 ແລະການຟື້ນຟູພາຍຫຼັງເຊື້ອພະຍາດ.	Áo và Liên hợp quốc đã tổ chức một hội nghị từ xa về chủ đề "Phụ nữ trong Quốc hội trong bối cảnh của bệnh-19 và phục hồi sau bệnh".
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ທີ່ກອງປະຊຸມ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngên phát biểu chỉ đạo kỳ họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ປຶກສາຫາລືທາງໄກກ່ຽວກັບຫົວເລື່ອງສະເພາະ 1: “ຍົກສູງຄວາມສາມາດຄວບຄຸມວິກິດການຂຶ້ນລະດັບສູງໃໝ່ , ດ້ວຍການເປັນປະທານຂອງທ່ານນາງ Fawzia Zainal, ປະທານສະພາຜູ້ແທນ Bahrain, ຕາງໜ້າໃຫ້ສະພາແຫ່ງຊາດຫວຽດນາມ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໃຫ້ຮູ້ວ່າ: ຫວຽດນາມ ຍາມໃດກໍຊຸກຍູ້ບັນດາບຸລິມະສິດກ່ຽວກັບໂຄງການດໍາເນີນງານ ແລະບັນດາຂໍ້ລິເລີ່ມຂອງຫວຽດນາມ ທີ່ກ່ຽວຂ້ອງເຖິງແມ່ຍິງ ແລະເດັກຍິງ, ພິເສດແມ່ນໃນສະພາບວິກິດການດ້ານການແພດໃນທົ່ວໂລກ ພ້ອມກັບຜົນຮ້າຍຢ້ອນຫຼັງຈາກໄພທໍາມະຊາດ ແລະການປ່ຽນແປງຂອງດິນຟ້າອາກາດ.	Thảo luận về khoảng cách đến chủ đề vì 1: "Khả năng kiểm soát khủng hoảng lên một tầm cao mới, với món quà của bà Fawzia Zainal, Chủ tịch Dân biểu Bahrain, đại diện Quốc hội Việt Nam, Chủ tịch Nguyễn Kim Tài chính Việt Nam cho rằng Việt Nam luôn đẩy mạnh ưu tiên các chương trình, sáng kiến liên quan đến phụ nữ và trẻ em gái, đặc biệt là trong lĩnh vực y tế trước hậu quả của thiên tai và thay đổi thời tiết.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ເນັ້ນໜັກວ່າ: ການຊຸກຍູ້ຄວາມສະເໝີພາບລະຫວ່າງຍິງ-ຊາຍ ແລະການມອບສິດໃຫ້ແກ່ແມ່ຍິງຍາມໃດກໍແມ່ນນະໂຍບາຍສະເໝີຕົ້ນສະເໝີປາຍຂອງລັດຫວຽດນາມ.	Bà Nguyễn Thị Kim Ngên nhấn mạnh: “Thúc đẩy bình đẳng giới và trao quyền cho phụ nữ luôn là chính sách của Việt Nam.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຖືວ່າ, ຕ້ອງປັບປຸງຂອບນະໂຍບາຍກົດໝາຍເພື່ອຊຸກຍູ້ຄວາມສະເໝີພາບລະຫວ່າງຍິງ-ຊາຍ, ມອບສິດໃຫ້ແກ່ແມ່ຍິງ, ປົກປ້ອງຜົນປະໂຫຍດອັນຊອບທໍາຂອງແມ່ຍິງໃນສັງຄົມ, ໂດຍສະເພາະແມ່ນໃນສະພາບການເກີດວິກິດການດ້ານການແພດໃນທົ່ວໂລກ, ໄພທໍາມະຊາດ.	Theo Chủ tịch Quốc hội, chúng ta cần hoàn thiện khuôn khổ pháp lý để thúc đẩy bình đẳng giới, trao quyền cho phụ nữ và bảo vệ lợi ích hợp pháp của phụ nữ trong xã hội, nhất là trong bối cảnh khủng hoảng y tế và thiên tai toàn cầu.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ເນັ້ນໜັກເຖິງຂໍ້ສະເໜີຕ້ອງເພີ່ມທະວີບັນດາການເຄື່ອນໄຫວລັດຖະສະພາ, ນິຕິບັນຍັດ, ຕິດຕາມກວດກາການໜູນຊ່ວຍຍົກສູງຄວາມສາມາດຂອງແມ່ຍິງ, ກຽມພ້ອມຮັບມືກັບພະຍາດໂຄວິດ-19 ແລະຊຸກຍູ້ບົດບາດນໍາພາຂອງແມ່ຍິງໃນບັນດາກໍລະນີສຸກເສີນ.	Bà Nguyễn Thị Kim Ngen nhấn mạnh sự cần thiết phải tăng cường hoạt động của quốc hội và lập pháp, giám sát việc thực hiện trao quyền cho phụ nữ, sẵn sàng đối phó với đố-19 và tăng cường vai trò lãnh đạo của phụ nữ trong các trường hợp khẩn cấp.
ສິ້ນສຸດບົດກ່າວປາໄສ, ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ສະເໜີໃຫ້ສືບຕໍ່ເປີດກວ້າງການຮ່ວມມືຫຼາຍຝ່າຍທາງຊ່ອງນິຕິບັນຍັດ ແລະບໍລິຫານ, ປະກອບສ່ວນຍົກສູງແຫຼ່ງກໍາລັງ, ແບ່ງປັນບົດຮຽນ ແລະພຶດຕິກໍາຕົວຈິງໃນການປະຕິບັດຄວາມສະເໝີພາບລະຫວ່າງຍິງ-ຊາຍ ມຸ່ງໄປເຖິງບັນລຸໄດ້ບັນດາເປົ້າໝາຍພັດທະນາແບບຍືນຍົງ.	Kết luận bài phát biểu, Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng đề nghị tiếp tục mở rộng hợp tác đa phương trong lĩnh vực lập pháp và hành chính, góp phần tăng cường nguồn lực, chia sẻ bài học và kinh nghiệm thực hiện bình đẳng giới để đạt được các mục tiêu đề ra.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
