ກປ.ອອນໄລ - ວັນທີ 18 ສິງຫາ, ສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ (ສປຊ) ໄດ້ປະຊຸມປຶກສາຫາລືກ່ຽວກັບສະພາບການຢູ່ເຢເມນ.	Ngày 18/8, Hội đồng Bảo an Liên hợp quốc đã nhóm họp để thảo luận về tình hình Yemen.
ບັນດາສະມາຊິກສະພາຄວາມໝັ້ນຄົງ ສປຊ ໄດ້ແບ່ງປັນການຕີລາຄາຂອງບັນດານັກປາຖະກະຖາ, ກ່າວປະນາມສະພາບໃຊ້ຄວາມຮຸນແຮງຕໍ່ສາມັນຊົນ ແລະເດັກນ້ອຍ;	Các thành viên Hội đồng Bảo an Liên hợp quốc chia sẻ quan điểm, lên án tình trạng bạo lực đối với dân thường và trẻ em;
ສະແດງຄວາມສະໜັບສະໜູນເອກະລາດ, ອະທິປະໄຕ ແລະຜືນແຜ່ນດິນອັນຄົບຖ້ວນຂອງເຢເມນ;	Thể hiện độc lập, chủ quyền và toàn vẹn lãnh thổ của Yemen;
ເນັ້ນໜັກເຖິງການປະຕິບັດຂໍ້ຕົກລົງ Stockholm ແລະຂໍ້ຕົກລົງ Riyadh ຢ່າງຄົບຖ້ວນ;	Nhấn mạnh việc thực hiện đầy đủ Thỏa thuận Stockholm và Thỏa thuận Riyadh;
ຮຽກຮ້ອງເພີ່ມອຸປະຖຳໃຫ້ເຢເມນ ເພື່ອຮັກສາບັນດາໂຄງການມະນຸດສະທຳ ແລະຊ່ວຍເຢເມນ ປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19.	Kêu gọi tăng cường hỗ trợ Yemen để duy trì các chương trình nhân đạo và giúp Yemen ngăn chặn, chống lại Kovi-19.
ບັນດາປະເທດກໍ່ເນັ້ນໜັກເຖິງໄພພິບັດສິ່ງແວດລ້ອມຂອງກໍາປັ່ນ Safer ແລະແລກປ່ຽນກ່ຽວກັບເລື່ອງກຸ່ມນັກຊ່ຽວຊານຂອງ ສປຊ ຕ້ອງໄດ້ສຳຜັດກັບກໍາປັ່ນໃນທັນທີ.	Các nước cũng nêu rõ các nguy cơ đối với môi trường của con tàu An toàn hơn và trao đổi quan điểm về việc các chuyên gia Liên hợp quốc cần liên hệ với con tàu ngay lập tức.
ສະພາຄວາມໝັ້ນຄົງ ສປຊ ປະຊຸມປຶກສາຫາລືກ່ຽວກັບສະພາບການຢູ່ເຢເມນ.	Hội đồng Bảo an LHQ triệu tập để thảo luận về tình hình ở Yemen
ພາບ: dangcongsan.vn.	Ảnh: dangcongsan.vn.
ທ່ານ ດັ້ງດີ່ງກຸ໊ຍ ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ສປຊ ກ່າວຄໍາເຫັນສະແດງຄວາມວິຕົກກັງວົນຕໍ່ສະພາບການຢູ່ເຢເມນ ນັບມື້ນັບຮ້າຍແຮງ;	Đặng Đình Quý, Đại sứ Việt Nam tại Liên hợp quốc bày tỏ quan ngại trước tình hình ngày càng xấu đi ở Yemen;
ສະໜັບສະໜູນແຜນການສັນຕິພາບ 3 ຈຸດຂອງທູດພິເສດເລຂາທິການໃຫຍ່ກ່ຽວກັບເຢເມນ;	Bổ sung Đặc phái viên của Tổng Thư ký về Kế hoạch Hòa bình Yemen;
ສ້າງເງື່ອນໄຂ ແລະບໍ່ກີດຂວາງບັນດາການເຄື່ອນໄຫວມະນຸດສະທໍາ;	Tạo điều kiện và không cản trở hoạt động nhân đạo;
ເນັ້ນໜັກເຖິງພັນທະປົກປ້ອງສາມັນຊົນ, ເປັນຕົ້ນແມ່ນແມ່ຍິງ ແລະເດັກນ້ອຍ.	Nhấn mạnh nghĩa vụ bảo vệ người dân, đặc biệt là phụ nữ và trẻ em.
ທ່ານ ດັ້ງດີ່ງກຸ໊ຍ ກໍ່ແລກປ່ຽນກ່ຽວກັບບັນດາສິ່ງກີດຂວາງໃນການປະຕິບັດຂໍ້ຕົກລົງ Stockholm, ຂໍ້ຕົກລົງ Riyadh ແລະຄໍາໝັ້ນສັນຍາຂອງບັນດາຝ່າຍຢູ່ເຢເມນ;	Ông cũng trao đổi về những vướng mắc đối với việc thực hiện Thỏa thuận Stockholm, Thỏa thuận Riyadh và cam kết của các bên tại Yemen;
ຮຽກຮ້ອງບັນດາຝ່າຍສືບຕໍ່ປຶກສາຫາລື ແລະກ້າວໄປເຖິງມາດຕະການການເມືອງຮອບດ້ານດ້ວຍບົດບາດເປັນຜູ້ໄກ່ເກ່ຍຂອງ ສປຊ.	Ông kêu gọi các bên tiếp tục tham vấn và hướng tới các biện pháp chính trị toàn diện với vai trò hòa giải của Liên hợp quốc.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
