ກປ.ອອນໄລ - ຕາມຂໍ້ມູນຈາກຄະນະຈັດຕັ້ງ ແລະຄະນະກໍາມະການຂອງລາຍການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນທີ່ , ທີມລົດຕັງຂອງຕັດຈີກິດສະຕັງ ຢືນອັນດັບທີ 1 ໃນການແຂ່ງຂັນຄັ້ງທີ 2 ຂອງຮອບຄັດເລືອກລາຍການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນທີ່ ທີ່ດໍາເນີນໃນວັນທີ 28 ສິງຫາ ຢູ່ສະຫະພັນລັດເຊຍ.	KRĐ Online - Theo Ban tổ chức cuộc thi “Xe tăng cơ động”, đội xe tăng của Tat Ji Kistang đã giành vị trí nhất bảng thứ hai của vòng loại “Xe tăng cơ động” diễn ra vào ngày 28/8 tại Nga.
ທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ຢືນອັນດັບທີ 3 ໃນການແຂ່ງຂັນດັ່ງກ່າວ.	Đội xe tăng Quân đội nhân dân Việt Nam đứng thứ ba toàn đoàn.
ສາຍ 2 ໃນຮອບຄັດເລືອກລາຍການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນທີ່ ໄດ້ແບ່ງເປັນ 2 ກຸ່ມ.	Đội hình 2 ở vòng loại “Xe cơ động được chia thành 2 nhóm.
ກຸ່ມ 1 ລວມມີທີມຂອງບັນດາປະເທດ: ຫວຽດນາມ, ມຽນມາ, Ossetia ໃຕ້, ກາຕາ;	Nhóm 1 gồm các đội Việt Nam, Myanmar, Nam Ossetia, Qatar;
ກຸ່ມ 2 ລວມມີທີມຂອງບັນດາປະເທດ: ລາວ, ອັບຄາເຊຍ, ກົງໂກ, ຕັດຈີກິດສະຕັງ.	Nhóm 2 gồm các đội Lào, Abkhazia, Congo, Georgia.
ພາຍຫຼັງໜ່ວຍປະຈໍາລົດຕັງທີ 2 ຂອງກຸ່ມ 2, ສາຍ 2 ປະຕິບັດສໍາເລັດການແຂ່ງຂັນຂອງຕົນ, ຄະນະຈັດຕັ້ງ ແລະຄະນະກໍາມະການ ໄດ້ດໍາເນີນການປະຊຸມ.	Sau khi đội 2 của Cụm 2, Đội 2 hoàn thành phần thi của mình, ban tổ chức và trực ban tổ chức họp.
ໜ່ວຍປະຈໍາລົດຕັງຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ປະຕິບັດບົດຍິງທີ 1.	Xe tăng của Quân đội nhân dân Việt Nam thực hiện loạt bắn đầu tiên.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຜົນປະກົດວ່າ, ທີມລົດຕັງຂອງຕັດຈີກິດສະຕັງ ຢືນອັບດັບທີ 1, ທີມລົດຕັງຂອງລາວ ຢືນອັນດັບທີ 2, ທີມລົດຕັງຂອງຫວຽດນາມ ຢືນອັນດັບທີ 3.	Kết quả chung cuộc, đội xe tăng của ông Tat Ji Kistang xếp thứ nhất, đội xe tăng của ông xếp thứ hai và đội xe tăng của Việt Nam xếp thứ ba.
ການຈັດອັນດັບທີ 4,5,6,7 ແມ່ນມຽນມາ, ກົງໂກ, Ossetia ໃຕ້ ແລະກາຕາ ຕາມລໍາດັບ.	Myanmar, Congo, Nam Ossetia và Qatar lần lượt xếp thứ 4, 5, 6 và 7.
ເປັນອັນວ່າ, ພາຍຫຼັງການແຂ່ງຂັນ 2 ຄັ້ງ, ທົມລົດຕັງຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ຢືນອັນດັບທີ 2 ຊົ່ວຄາວດ້ວຍເວລາທັງໝົດແມ່ນ 1 ໂມງ 6 ນາທີ 26 ວິນາທີ, ຖັດຈາກທີມຕັດຈີກິດສະຕັງ.	Kết quả, sau hai lượt trận, Quân đội Nhân dân Việt Nam đứng thứ nhì với tổng thời gian 1 giờ 6 phút 26 giây, sau đồng đội.
ໜ່ວຍປະຈໍາລົດຕັງຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ປະຕິບັດສໍາເລັດການແຂ່ງຂັນ.	Đơn vị xe tăng Quân đội nhân dân Việt Nam hoàn thành chặng đua.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນວັນທີ 29 ສິງຫາ ຈະດຳເນີນການແຂ່ງຂັນຄັ້ງຕໍ່ໄປໃນສາຍ 2 ເຊິ່ງມີ 6 ທີມເຂົ້າຮ່ວມ, ໃນນັ້ນ, ກຸ່ມ 1 ລວມມີ: ຫວຽດນາມ, ມຽນມາ, ກາຕາ.	Ngày 29/8, trận đấu tiếp theo ở tuyến 2 sẽ diễn ra với 6 đội tham dự, gồm nhóm 1: Việt Nam, Myanmar, Qatar.
ກຸ່ມ 2 ລວມມີ: ລາວ, ກົງໂກ, ຕັດຈີກິດສະຕັງ.	Nhóm 2 gồm: Lào, Congo, Giggsstang.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
