ບັນດາສະມາຊິກຄະນະເຈລະຈາຂອງສະຫະພາບເອີລົບ ໄດ້ໄປຍັງນະຄອນຫຼວງ ລອນດອນ ຂອງ ອັງກິດ ໃນວັນທີ 7 ກັນຍາ ເພື່ອເລີ່ມຕົ້ນການເຈລະຈາຮອບທີ 8 ລະຫວ່າງ ສະຫະພາບເອີລົບ (EU) ແລະ ລາຊະອານາຈັກອັງກິດ ກ່ຽວກັບຂໍ້ຕົກລົງຫຼັງ Brexit.	Thành viên đàm phán Liên minh châu Âu đã đến thủ đô Anh của Anh thứ 8 Anh và Vua Anh của Brexit.
ທ່ານ David Frost ຜູ້ຕາງໜ້າ ອັງກິດ ແລະ ທ່ານ Michel Barnier ຂອງ EU ເຂົ້າຮ່ວມການເຈລະຈາຂໍ້ຕົກລົງໄລຍະຫຼັງ Brexit.	Đại diện David Frost Urok và Michel Barnier of EU đã tham dự các cuộc đàm phán Post Brexit.
(ພາບ: Reuters)	Ảnh: Reuters)
ຕາມແຜນການທີ່ໄດ້ຮັບຄວາມເຫັນດີເປັນເອກະພາບຈາກສອງຝ່າຍແລ້ວ, ຮອບເຈລະຈາຄັ້ງນີ້ຈະສິ້ນສຸດລົງໃນວັນທີ 11 ກັນຍາ, ດ້ວຍເປົ້າໝາຍບັນລຸໄດ້ບາງບາດກ້າວບຸກທະລຸໃນບັນດາບັນຫາທີ່ພວມຕົກເຂົ້າສູ່ສະພາບຈົນຕາແຈ.	Theo kế hoạch, hai phần này sẽ kết thúc vào ngày 11 tháng 9, với một số phần tuân thủ vấn đề rơi xuống góc.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ກ່ອນທີ່ຈະເລີ່ມຕົ້ນຮອບເຈລະຈາ, ບັນດາຄວາມວິຕົກກັງວົນກ່ຽວກັບກໍລະນີ “Brexit ບໍ່ບັນລຸໄດ້ຂໍ້ຕົກລົງ ໄດ້ກັບຄືນມາອີກຄັ້ງ.	Tuy nhiên, trước khi bắt đầu các cuộc đàm phán, mối quan tâm của các trường hợp "Brexit đã không đạt được thỏa thuận được trả lại.
ໃນວັນທີ 7 ກັນຍາ, ຫ້ອງການນາຍົກລັດຖະມົນຕີ ອັງກິດ ໄດ້ປະກາດແຈ້ງການຂອງທ່ານ ນາຍົກລັດຖະມົນຕີ ອັງກິດ Boris Johnson ຢ່າງເປັນທາງການດ້ວຍການຖະແຫຼງທີ່ວ່າ ລາຊະອານາຈັກ ອັງກິດ ແລະ EU ຕ້ອງບັນລຸໄດ້ຂໍ້ຕົກລົງກ່ອນວັນທີ 15 ຕຸລາ, ຖ້າບໍ່ບັນລຸໄດ້ ສອງຝ່າຍຕ້ອງປຶກສາຫາລືກ່ຽວກັບວິທີການອື່ນ.	Vào ngày 7 tháng 9, Văn phòng Thủ tướng Anh công bố Thủ tướng Boris Borison và The Bilaterality phải thảo luận về hai bên.
ຕໍ່ໜ້າບັນດາການຜັນປ່ຽນດັ່ງກ່າວ, ທ່ານ Michel Barnier ຫົວໜ້າຄະນະເຈລະຈາ ຂອງສະຫະພາບ ເອີລົບ ໃຫ້ຮູ້ວ່າ:	Trước những lượt này, Michel Barnier Head of the Union đàm phán:
“ໃນເດືອນຕຸລາປີ 2019 , ທ່ານນາຍົກລັດຖະມົນຕີ ອັງກິດ Boris Johnson ໄດ້ເຊັນຖະແຫຼງການດ້ານການເມືອງທີ່ກຳນົດແຜນຮ່າງໃຫ້ແກ່ບັນດາການເຈລະຈາ.	Vào tháng 10 năm 2019, Thủ tướng Boris Johnson đã ký một tuyên bố chính trị về một kế hoạch cho các cuộc đàm phán.
ໃນຖະແຫຼງການນັ້ນ, ທ່ານໄດ້ໃຫ້ຄຳໝັ້ນສັນຍາຈະພ້ອມກັບສະຫະພາບເອີລົບ, ຮັບຮອງເອົາສົນທິສັນຍາສະບັບໜຶ່ງທີ່ຕໍ່ສູ້ຕ້ານຄືນທຸກໆການແກ້ງແຍ່ງທີ່ບໍ່ມີຄວາມສະເໝີພາບ.	Trong tuyên bố đó, bạn đã cam kết với Liên minh châu Âu, được chấp nhận một cuộc kháng chiến cho các đêm.
ເພາະສະນັ້ນ, ພວກຂ້າພະເຈົ້າພຽງແຕ່ຮຽກຮ້ອງວ່າ ບັນດາຄຳໝັ້ນສັນຍາດ້ານການເມືອງທີ່ໄດ້ຍົກອອກມາຈາກທ່ານນາຍົກລັດຖະມົນຕີ ອັງກິດ Boris Johnson ຈະໄດ້ຮັບການປະຕິບັດດ້ານນິຕິກຳໃນສົນທິສັນຍາຢ່າງຄົບຖ້ວນ.	Do đó, chúng tôi chỉ yêu cầu cam kết chính trị đối với Thủ tướng Anh Borison sẽ được thực hiện hành động pháp lý.
ແຫຼ່ງຄັດຈາກ vovworld.vn.	Quy mô từ vovworld.vn.
