ກປ.ອອນໄລ - ທ້າຍອາທິດຜ່ານມາ, ຢູ່ນະຄອນຫຼວງປາຣີ ຂອງປະເທດຝຣັ່ງ, ສູນວັດທະນະທໍາຫວຽດນາມ ປະຈໍາຝຣັ່ງ ໄດ້ສົມທົບກັບບັນດາຄູ່ຮ່ວມມື ຈັດງານວາງສະແດງດ້ວຍຫົວຂໍ້: “ກິມເວິນກ່ຽວ ແລະບັນດາສະບັບແປເປັນພາສາຕ່າງປະເທດ ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງວັນຄ້າຍວັນເກີດຂອງນັກກະວີຜູ້ຍິ່ງໃຫຍ່ ຫງວຽນຢູ ຄົບຮອບ 255 ປີ ແລະວັນເຖິງແກ່ມໍລະນະກໍາຂອງທ່ານຄົບຮອບ 200 ປີ.	Pháp cuối tuần, ở thủ đô của Pháp, và ngày của số vụ đàm định của số lượng.
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນທຽບ ແລະທ່ານນາງເອກອັກຄະລັດຖະທູດ ເຈິ່ນທິຮວ່າງມາຍ ພ້ອມກັບບັນດານັກຄົ້ນຄວ້າຊາວຝຣັ່ງ ທີ່ພິທີໄຂງານວາງສະແດງ ໃນວັນທີ 12 ກັນຍາ 2020.	Đại sứ Nguyễn Xuân Hoàng cùng với nhà nghiên cứu Pháp tại Lễ Lễ ngày 12 tháng 9 năm 2020.
ພາບ: nhandan.com.vn.	Ảnh: nhandan.com.vn.
ງານວາງສະແດງໄດ້ແນະນໍາບົດກະວີເລື່ອງກ່ຽວ ດ້ວຍສະບັບແປເປັນພາສາຕ່າງປະເທດນັບຫຼາຍສິບສະບັບ ແລະໄດ້ພິມອອກເປັນຫຼາຍພາສາໃນໂລກ ຄື: ພາສາອັງກິດ, ຝຮັ່ງ, ລັດເຊຍ, ເອຢິບ, ມົງໂກນ, ເຊັກໂກ...	Triển lãm đã đề xuất một phiên bản của một ngôn ngữ nước ngoài thành các ngôn ngữ nước ngoài đếm thế giới và đã in một số ngôn ngữ trên thế giới, Nga, Séc ...
ງານວາງສະແດງດັ່ງກ່າວໄດ້ດຶງດູດການເຂົ້າຮ່ວມຂອງນັກຮຽນຮູ້, ປັນຍາຊົນຊາວຝຣັ່ງ ກໍຄືຊາວຫວຽດນາມ ອາໄສຢູ່ຝຣັ່ງ ເປັນຈໍານວນຫຼວງຫຼາຍ.	Triển lãm thu hút sự tham gia của học sinh, trí tuệ Pháp là một số lượng lớn Pháp.
ເລື່ອງກ່ຽວ ທີ່ແປອອກມາເປັນຫຼາຍພາສາໄດ້ແນະນໍາຢູ່ງານວາງສະແດງ.	Nhiều ngôn ngữ được giới thiệu được khuyến nghị tại triển lãm.
ພາບ: nhandan.com.vn.	Ảnh: nhandan.com.vn.
ທ່ານນາງ ເຈິ່ນທິຮວ່າງມາຍ, ເອກອັກຄະລັດຖະທູດຫວຽດນາມ ປະຈໍາ UNESCO ໃຫ້ຮູ້ວ່າ: “ງານວາງສະແດງຄັ້ງນີ້ແມ່ນໂອກາດເພື່ອໃຫ້ພວກເຮົາອາໄລຫານັກກະວີ ທີ່ສາມາດເວົ້າໄດ້ວ່າແມ່ນນັກກະວີຜູູ້ຍິ່ງໃຫຍ່ທີ່ສຸດຂອງພື້ນຖານວັນນະຄະດີຫວຽດນາມ, ເປັນນັກກະວີຜູ້ຍິ່ງໃຫຍ່ທີ່ສຸດ.	Hoàng Hoàng, UNESCO, "triển lãm là một cơ hội để nói rằng thơ vĩ đại nhất của thơ Việt Nam, thơ hay nhất.
ໃນປີ 2013, ຢູ່ UNESCO ກໍໄດ້ອອກມະຕິສະບັບໜຶ່ງດ້ວຍເນື້ອໃນວ່າຈະພ້ອມກັບຫວຽດນາມ ຈັດຕັ້ງການສະເຫຼີມສະຫຼອງວັນຄ້າຍວັນເກີດຂອງນັກກະວີຜູ້ຍິ່ງໃຫຍ່ ຫງວຽນຢູ ຄົບຮອບ 250 ປີຢູ່ສໍານັກງານຂອງ UNESCO ກໍຄືທົ່ວທຸກແຫ່ງຫົນໃນໂລກ.	Năm 2013, tại UNESCO cũng được phát hành bởi bối cảnh của nhà thơ vĩ đại Nguyễn Thynano, tại thế giới của thế giới.
ໜຶ່ງໃນບັນດາຜູ້ທີ່ໄດ້ບັນທຶກໄວ້ໃນບັນຊີລາຍຊື່ເພື່ອພ້ອມກັນສະເຫຼີມສະຫຼອງວັນຄ້າຍວັນເກີດຢູ່ UNESCO ແມ່ນຕ້ອງເປັນຜູ້ທີ່ໄດ້ມີການປະກອບສ່ວນຫຼາຍຢ່າງພໍສົມຄວນຕໍ່ກັບພື້ນຖານວັດທະນະທໍາ, ພື້ນຖານການສຶກສາ ກໍຄືວິທະຍາສາດໃນໂລກ ແລະນັກກະວີ ຫງວຽນຢູ ຂອງພວກເຮົາແມ່ນໜຶ່ງໃນຈຳນວນນັ້ນ	Một trong những người đã ghi lại danh sách để ăn mừng sinh nhật tại UNESCO hàng ngày, cơ bản đa nghiên cứu của chúng tôi
ຄາດວ່າ, ງານວາງສະແດງຈະດຳເນີນໄປຈົນໝົດເດືອນກັນຍາ ຈຶ່ງອັດລົງ.	Dự kiến, chương trình sẽ chạy qua tháng Chín.
ໂດຍ: ໄຊຊະນະ.	Bởi: chiến thắng.
