ກປ.ອອນໄລ - ວັນທີ 20 ກັນຍາ ເປັນຂີດໝາຍໄລຍະທາງ 43 ປີແຫ່ງ ຫວຽດນາມ ເຂົ້າເປັນສະມາຊິກຂອງສະຫະປະຊາຊາດຢ່າງເປັນທາງການ.	Ngày 20/9 đánh dấu kỷ niệm 43 năm ngày Việt Nam chính thức gia nhập Liên hợp quốc.
ໃນໄລຍະທາງນັ້ນ, ຂີດໝາຍຂອງຫວຽດນາມ ນັບມື້ນັບໄດ້ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງກ່ຽວກັບການຕັ້ງໜ້າເປັນເຈົ້າການປະກອບສ່ວນເຂົ້າໃນການເຄື່ອນໄຫວຂອງອົງການຫຼາຍຝ່າຍໃຫຍ່ທີ່ສຸດໃນໂລກ.	Trong khi đó, vai trò của Việt Nam ngày càng rõ nét trong việc cam kết đóng góp vào các hoạt động của tổ chức đa phương lớn nhất thế giới.
ຫັນຄໍາໝັ້ນສັນຍາເປັນການກະທໍາທີ່ແທດຈິງ	Biến một lời hứa thành hiện thực
ນັບແຕ່ເມື່ອເຂົ້າເປັນສະມາຊິກ ສປຊ, ຫວຽດນາມ ມີຄວາມສະເໝີຕົ້ນສະເໝີປາຍຕໍ່ທັດສະນະຍົກສູງບົດບາດຂອງ ສປຊ ແລະລັດທິຫຼາຍຝ່າຍ, ຊຸກຍູ້ການເຄົາລົບກົດບັດ ສປຊ, ກົດໝາຍສາກົນ, ການພົວພັນສະເໝີພາບ, ການຮ່ວມມືພັດທະນາລະຫວ່າງບັນດາປະເທດ ແລະສິດຕັດສິນຊີ້ຂາດຊາຕາຂອງບັນດາຊົນຊາດດ້ວຍຕົນເອງ, ຄັດຄ້ານການກະທໍາກົດຂີ່, ຮຸກຮານ, ຂວ້ຳບາດຝ່າຍດຽວໃນການພົວພັນສາກົນ.	Kể từ khi trở thành thành viên Liên hợp quốc, Việt Nam cam kết đề cao vai trò của Liên hợp quốc và chủ nghĩa đa phương, thúc đẩy tôn trọng Hiến chương Liên hợp quốc, luật pháp quốc tế, quan hệ bình đẳng, hợp tác phát triển giữa các quốc gia và quyền dân tộc tự quyết.
ນັ້ນກໍ່ແມ່ນບັນດາຄໍາໝັ້ນສັນຍາຢ່າງແຮງຂອງຫວຽດນາມ, ສໍາຄັນກວ່າແມ່ນ ຫວຽດນາມ ໄດ້ ແລະກໍາລັງປະຕິບັດບັນດາຄໍາໝັ້ນສັນຍາດັ່ງກ່າວດ້ວຍບັນດາການກະທໍາທີ່ລະອຽດໃນຕະຫຼອດວິວັດການເຂົ້າຮ່ວມກົນໄກຫຼາຍຝ່າຍນີ້.	Đây là những cam kết mạnh mẽ của Việt Nam, quan trọng hơn, Việt Nam đã và đang thực hiện những cam kết này bằng những hành động chi tiết trong suốt quá trình phát triển của cơ chế đa phương này.
ຫວຽດນາມ ຕັ້ງໜ້າປະກອບສ່ວນເຂົ້າໃນບັນດາການເຄື່ອນໄຫວຮັກສາສັນຕິພາບຂອງ ສປຊ.	Việt Nam dự định đóng góp vào hoạt động gìn giữ hòa bình của Liên hợp quốc
ພາບ: ມີ້ແຮ້ງ.	Ảnh: Mi Haeng.
ພ້ອມກັນນັ້ນ, ຫວຽດນາມ ກໍ່ຕັ້ງໜ້າປະຕິບັດບັນດາເປົ້າໝາຍ, ໂຄງການເຄື່ອນໄຫວຂອງ ສປຊ ແລະບັນລຸໄດ້ຜົນງານຢ່າງຕັ້ງໜ້າ.	Đồng thời, Việt Nam cam kết thực hiện các mục tiêu, chương trình, hoạt động của Liên hợp quốc và đạt được kết quả.
ສປຊ ແລະປະຊາຄົມສາກົນ ຕີລາຄາວ່າ ຫວຽດນາມແມ່ນແບບຢ່າງທີ່ປະສົບຜົນສໍາເລັດໃນການປະຕິບັດບັນດາເປົ້າໝາຍພັດທະນາສະຫັດສະວັດ ແລະແມ່ນປະເທດທີ່ມີຄວາມຕັດສິນໃຈ, ປະຕິບັດໂຄງການດໍາເນີນງານ 2030 ກ່ຽວກັບການພັດທະນາແບບຍືນຍົງ ແລະຂໍ້ຕົກລົງປາຣີ ກ່ຽວກັບ ການປ່ຽນແປງຂອງດິນຟ້າອາກາດຢ່າງເຂັ້ມງວດ.	Liên hợp quốc và cộng đồng quốc tế coi Việt Nam là hình mẫu để đạt được các Mục tiêu Phát triển Thiên niên kỷ và là quốc gia quyết tâm thực hiện Chương trình nghị sự 2030 về Phát triển bền vững và Thỏa thuận Paris về Biến đổi khí hậu.
ຫວຽດນາມ ກໍ່ຕັ້ງໜ້າຊຸກຍູ້ບັນດາຂໍ້ລິເລີ່ມປັບປຸງ ສປຊ, ພິເສດໄດ້ຮັບການຕີລາຄາວ່າແມ່ນໜຶ່ງໃນບັນດາປະເທດນໍາໜ້າໃນການຜັນຂະຫຍາຍຂໍ້ລິເລີ່ມ “ເຫັນດີເປັນເອກະພາບຕໍ່ການກະທໍາ ຂອງ ສປຊ ເພື່ອແນໃສ່ເພີ່ມປະສິດທິຜົນການເຄື່ອນໄຫວຂອງ ສປຊ ຢູ່ຂັ້ນລະດັບຊາດ.	Việt Nam cam kết ủng hộ các sáng kiến cải cách của Liên hợp quốc, đặc biệt được coi là một trong những quốc gia đi đầu trong việc thực hiện “Đồng thuận hành động của Liên hợp quốc nhằm tăng hiệu quả hoạt động của Liên hợp quốc ở cấp quốc gia.
ດ້ວຍບັນດາການປະກອບສ່ວນຂອງຕົນ, ຫວຽດນາມ ໄດ້ຮັບຄວາມໄວ້ວາງໃຈເລືອກຕັ້ງເຂົ້າຫຼາຍຕໍາແໜ່ງ, ອົງການສໍາຄັນຂອງ ສປຊ ແລະບັນລຸໄດ້ຫຼາຍ “ຂີດໝາຍຫວຽດນາມ ຢູ່ບັນດາອົງການ, ຄື: ສະພາຄວາມໝັ້ນຄົງ ສປຊ, ສະພາສິດທິມະນຸດ ສປຊ, ສະພາເສດຖະກິດ-ສັງຄົມ (ECOSOC).	Với những đóng góp của mình, Việt Nam đã giành được nhiều tín nhiệm và bầu cử vào nhiều cơ quan quan trọng của Liên hợp quốc và đạt được nhiều “mục tiêu ở Việt Nam, trong đó có Hội đồng Bảo an Liên hợp quốc, Hội đồng Nhân quyền Liên hợp quốc và Hội đồng Kinh tế - Xã hội (ECOSOC).
