ກປ.ອອນໄລ - ໃນຂອບເຂດກອງປະຊຸມປຶກສາຫາລືລວມຂັ້ນສູງຂອງສະມັດຊາໃຫຍ່ ສປຊ ສະໄໝທີ 75 ເຊິ່ງດໍາເນີນແຕ່ວັນທີ 22-29 ກັນຍາ 2020 ຢູ່ນິວຢອກ, ອາເມລິກາ, ວັນທີ 25 ກັນຍາ 2020, ທ່ານ ຫງວຽນຝຸຈ້ອງ ເລຂາທິການໃຫຍ່, ປະເທດປະເທດຫວຽດນາມ ໄດ້ສົ່ງສານເຖິງກອງປະຊຸມ.	Bộ trưởng Big Nguyễn Tôn, Việt Nam, Tổng Bí thư Tổng thư ký, Nguyễn Tấn Sang, 2020)
ໃນສານ, ທ່ານ ຫງວຽນຝຸຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຊົມເຊີຍຕໍ່ຫົວຂໍ້ຂອງກອງປະຊຸມຄັ້ງນີ້ແມ່ນ “ອະນາຄົດທີ່ພວກເຮົາປາດຖະໜາ, ສປຊ ທີ່ພວກເຮົາຕ້ອງການ: ຢັ້ງຢືນຄືນໃໝ່ຄໍາໝັ້ນສັນຍາລວມຕໍ່ກັບລັດທິຫຼາຍຝ່າຍ-ຮັບມືກັບພະຍາດໂຄວິດ-19 ຜ່ານການກະທໍາຫຼາຍຝ່າຍຢ່າງມີປະສິດທິຜົນ.	Tại tòa án, Chủ tịch Trương Trimi, Chủ tịch Trương Trimi, Tương lai chúng tôi muốn: Điều hướng, thông qua với đa phương.
ທ່ານ ຫງວຽນຝຸຈ້ອງ ຖືວ່າກົນໄກຫຼາຍຝ່າຍທົ່ວໂລກ ແລະພາກພື້ນຕ້ອງໄດ້ຮັບການເຄົາລົບ ແລະເສີມຂະຫຍາຍ.	Nguyễn Thị đã cố gắng nhiều bữa tiệc và khu vực phải được tôn trọng và nâng cao.
ກົດບັດ ສປຊ ແລະບັນດາຫຼັກການພື້ນຖານຂອງກົດໝາຍສາກົນຕ້ອງໄດ້ຮັບການເຊີດຊູ ແລະຊຸກຍູ້ຄືບັນດາບັນທັດຖານແຫ່ງການປະພຶດຂອງບັນດາປະເທດໃຫຍ່ ແລະນ້ອຍໃນການພົວພັນສາກົນຍຸກປັດຈຸບັນ.	LOT LOC LOC và các nguyên tắc cơ bản của luật pháp quốc tế phải tích cực và khuyến khích như luật hành vi của quan hệ quốc tế hiện tại và nhỏ.
ບົນຈິດໃຈນັ້ນ, ທ່ານ ຫງວຽນຝຸຈ້ອງ ເນັ້ນໜັກວ່າ: ຫວຽດນາມ ຮຽກຮ້ອງໃຫ້ຍົກເລີກບັນດາມາດຕະການຂວ້ຳບາດພຽງລໍາພັງຝ່າຍດຽວທີ່ສົ່ງຜົນສະທ້ອນເຖິງການພັດທະນາເສດຖະກິດ-ສັງຄົມຂອງປະເທດ ແລະຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນຢູ່ບັນດາປະເທດ, ໃນນັ້ນມີບັນດາມາດຕະການທີ່ກໍາລັງຈັດວາງຕໍ່ກູບາ.	Được xuất bản, Việt Nam kêu gọi hủy bỏ xã hội của đất nước, người dân của các quốc gia, trong số Cuba.
ທ່ານ ຫງວຽນຝຸຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ສົ່ງສານເຖິງກອງປະຊຸມປຶກສາຫາລືລວມຂັ້ນສູງຂອງສະມັດຊາໃຫຍ່ອົງການ ສປຊ ສະໄໝທີ 75.	Tổng thư ký nói Nguyễn Tấn Sang, Chủ tịch Bí thư Tổng thống, Chủ tịch Tổng thống Tổng thống Tổng thống
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ຫງວຽນຝຸຈ້ອງ ຖືວ່າພະຍາດໂຄວິດ-19 ແມ່ນຄໍາກ່າວເຕືອນອັນເລິກເຊິ່ງ, ເລັ່ງລັດໂລກໃຫ້ຄໍາໝັ້ນສັນຍາ ແລະຮ່ວມແຮງຮ່ວມໃຈກະທໍາຢ່າງແຮງກວ່າອີກເພື່ອຊຸກຍູ້ການພັດທະນາແບບຍືນຍົງ, ກວມລວມ ແລະມີມະນຸດສະທໍາ.	Nguyễn Summaly nói Nguyễn Tijuay, lời nhắc toàn cầu về sự hứa hẹn và hợp tác toàn cầu.
ໃນຖານະເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021, ຫວຽດນາມ ຈະສືບຕໍ່ມານະພະຍາຍາມຊຸກຍູ້ການເຈລະຈາ, ຫຼຸດຜ່ອນຄວາມເຄັ່ງຕຶງ, ສູ້ຢັນກັນ, ຊອກຫາມາດຕະການຍຸຕິທໍາ, ສົມເຫດສົມຜົນເພື່ອແກ້ໄຂບັນດາບັນຫາສັນຕິພາບ, ຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນ ແລະໃນໂລກ;	Khi Ủy ban không thường xuyên thông thường Liên Hợp Quốc 2020-2021, Việt Nam tiếp tục khôi phục hòa bình, tổng hợp, an toàn và trên thế giới;
ຊຸກຍູ້ລັດທິຫຼາຍຝ່າຍ, ເຄົາລົບກົດໝາຍສາກົນ, ກົດບັດ ສປຊ;	Khuyến khích các mối quan hệ nước ngoài, tôn trọng luật pháp quốc tế, thẻ un
ເພີ່ມທະວີການຮ່ວມມືລະຫວ່າງ ສປຊ ກັບບັນດາອົງການຈັດຕັ້ງພາກພື້ນ, ພິເສດແມ່ນອາຊຽນ.	Nâng cao sự hợp tác của Liên Hợp Quốc với các tổ chức khu vực, đặc sản là ASEAN.
