ກປ.ອອນໄລ - ສະຖານທູດຫວຽດນາມ ປະຈໍາ ຮຸ່ງກາຣີ ຫາກໍ່ຈັດງານລ້ຽງສະເຫຼີມສະຫຼອງວັນຊາດຫວຽດນາມ ຄົບຮອບ 75 ປີ.	Đại sứ quán Việt Nam tại Hungary vừa tổ chức tiệc kỷ niệm 75 năm ngày Việt Nam giành độc lập.
ເຂົ້າຮ່ວມງານລ້ຽງ, ທ່ານ Gyula Nagy ຜູ້ຕາງໜ້າສະມາຄົມມິດຕະພາບຮຸ່ງກາຣີ-ຫວຽດນາມ ໄດ້ອວຍພອນຫວຽດນາມ ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງວັນຊາດຫວຽດນາມ ຄົບຮອບ 75 ປີ.	Tham dự tiệc, Gyula Nagy, đại diện Hội Hữu nghị Hungary-Việt Nam đã đến chúc mừng Việt Nam nhân kỷ niệm 75 năm ngày Việt Nam giành độc lập.
ຕີລາຄາສູງບັນດາຜົນງານທີ່ພົ້ນເດ່ັນຂອງຫວຽດນາມ ໃນການສ້າງສາປະເທດຊາດ ແລະເຊື່ອມໂຍງເຂົ້າກັບສາກົນໃນຊຸມປີມໍ່ໆມານີ້, ທ່ານ Gyula Nagy ໄດ້ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອເຫັນວ່າການພົວພັນຮ່ວມມືລະຫວ່າງຫວຽດນາມ ແລະຮຸ່ງກາຣີ ນັບມື້ນັບໄດ້ຮັບການຮັດແໜ້ນໃນທຸກຂົງເຂດ.	Đánh giá cao những thành tựu nổi bật của Việt Nam trong công cuộc xây dựng đất nước và hội nhập quốc tế trong thời gian qua, bà Gyula Nagy bày tỏ hài lòng về quan hệ hợp tác ngày càng phát triển giữa Việt Nam và Hungary trên mọi lĩnh vực.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມງານລ້ຽງ.	Các đại biểu tham dự buổi tiệc.
ພາບ: ມາຍແອງ.	Ảnh: Mai Anh
ກ່າວຄໍາເຫັນທີ່ງານລ້ຽງ, ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຕ໊ຽນທຶກ ໄດ້ຫວນຄືນປະຫວັດສາດ 75 ປີແຫ່ງການກຳເນີດ ແລະພັດທະນາຂອງຫວຽດນາມ ແລະບັນດາຜົນງານທາງການທູດທີ່ສຳຄັນ ເຊິ່ງຫວຽດນາມ ບັນລຸໄດ້ໃນໄລຍະມໍ່ໆມານີ້ບົນພື້ນຖານໄດ້ຮັບຄວາມເຊື່ອໝັ້ນ ແລະສະໜັບສະໜູນຢ່າງໃຫຍ່ຫຼວງຈາກປະຊາຄົມສາກົນ.	Phát biểu tại buổi tiệc, Đại sứ Nguyễn Tiến Thức nhắc lại lịch sử 75 năm hình thành và phát triển của Việt Nam và những thành tựu ngoại giao Việt Nam đã đạt được trên cơ sở ghi nhận và ủng hộ to lớn của cộng đồng quốc tế.
ທ່ານ Gyula Nagy ຕາງໜ້າສະມາຄົມມິດຕະພາບຮຸ່ງກາຣີ-ຫວຽດນາມ ຖ່າຍຮູບເປັນທີ່ລະນຶກພ້ອມກັບທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຕ໊ຽນທຶກ.	Gyula Nagy, đại diện Hội Hữu nghị Hungary-Việt Nam chụp ảnh lưu niệm cùng Đại sứ Nguyễn Tiến Túc.
ພາບ: ມາຍແອງ.	Ảnh: Mai Anh
ປີ 2020 ແມ່ນປີສະເຫຼີມສະຫຼອງການສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງສອງປະເທດ ຄົບຮອບ 70 ປີ ແລະສະເຫຼີມສະຫຼອງການຍົກລະດັບການພົວພັນ ຫວຽດນາມ-ຮຸ່ງກາຣີ ຂຶ້ນເປັນຄູ່ຮ່ວມມືຮອບດ້ານ ຄົບຮອບ 2 ປີ.	Năm 2020 đánh dấu 70 năm thiết lập quan hệ ngoại giao giữa hai nước và hai năm nâng cấp quan hệ Việt Nam - Hungary lên quan hệ Đối tác toàn diện.
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຕ໊ຽນທຶກ ຢັ້ງຢືນວ່າ ການສະໜັບສະໜູນ ເຊິ່ງລັດຖະບານ ແລະປະຊາຊົນຮຸ່ງກາຣີ ສະຫງວນໃຫ້ຫວຽດນາມ ໃນຕະຫຼອດໄລຍະສ້າງສາ ແລະພັດທະນາປະເທດຊາດ ຍາມໃດລັດຖະບານ ແລະປະຊາຊົນຫວຽດນາມ ກໍ່ຈະເຄົາລົບ ແລະຈົດຈໍາຕະຫຼອດໄປ.	Đại sứ Nguyễn Tiến Tuk khẳng định, Chính phủ và nhân dân Việt Nam sẽ luôn trân trọng và ghi nhớ sự ủng hộ mà Chính phủ và nhân dân Hungary đã dành cho Việt Nam trong suốt chặng đường xây dựng và phát triển đất nước.
ໃນໄລຍະຈະມາເຖິງ, ສອງຝ່າຍຈະສືບຕໍ່ເພີ່ມທະວີການພົວພັນຮ່ວມມືໃນທຸກຂົງເຂດ ແລະຊຸກຍູ້ບັນດາການຢ້ຽມຢາມ, ການເຮັດວຽກຂອງການນໍາຂັ້ນສູງ ກໍ່ຄືບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນລະຫວ່າງສອງປະເທດ.	Trong giai đoạn tới, hai bên tiếp tục tăng cường hợp tác trên các lĩnh vực và khuyến khích các chuyến thăm, làm việc của lãnh đạo cấp cao cũng như các bộ, ban, ngành, địa phương giữa hai nước.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
