ບຳລຸງສ້າງພະນັກງານ;	Đào tạo nhân viên;
ເຮັດສຳເລັດຂອບການຮ່ວມມື;	Hoàn thiện khuôn khổ hợp tác;
ການຮ່ວມມືເຫຼົ່າທັບ, ເຫຼົ່າຮົບ;	Hiệp đồng binh chủng, chiến trường;
ເຕັກນິກການທະຫານ, ຄົ້ນຄວ້າວິທະຍາສາດໃນຂອບເຂດສູນເຂດຮ້ອນຫວຽດນາມ-ລັດເຊຍ;	Kỹ thuật quân sự, nghiên cứu khoa học trong trung tâm nhiệt đới Việt - Nga;
ການແພດທະຫານ, ການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ;	Hoạt động y tế, quân sự, gìn giữ hòa bình của Liên hợp quốc;
ການຮ່ວມມືຢູ່ບັນດາເວທີປາໄສຫຼາຍຝ່າຍ;	Hợp tác tại các diễn đàn đa phương;
ການແຂ່ງຂັນການທະຫານ, ວັດທະນະທຳ-ສິລະປະກອງທັບ...	Hội thi Văn nghệ Quân đội, Văn hóa-Quân đội ...
ປະກອບສ່ວນປະຕິບັດປີຫວຽດນາມ ເຄື່ອນໄຫວຢູ່ລັດເຊຍ ແລະປີລັດເຊຍ ເຄື່ອນໄຫວຢູ່ຫວຽດນາມ ໃຫ້ສຳເລັດ	Góp phần hoàn thành Năm Việt Nam tại Nga và Năm Nga tại Việt Nam
ບົນພື້ນຖານສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອເວົ້າລວມ ແລະການຮ່ວມມືດ້ານປ້ອງກັນຊາດທີ່ດີງາມເວົ້າສະເພາະ, ຄະນະກອງທັບປະຊາຊົນຫວຽດນາມ ທີ່ໄປເຂົ້າຮ່ວມ Army Games ໄດ້ສະແດງໃຫ້ເຫັນການສະໜັບສະໜູນຕໍ່ບັນດາການເຄື່ອນໄຫວຫຼາຍຝ່າຍໂດຍກະຊວງປ້ອງກັນປະເທດສະຫະພັນລັດເຊຍ ຈັດຕັ້ງ, ຈາກນັ້ນປະກອບສ່ວນຮັດແໜ້ນນ້ຳໃຈມິດຕະພາບລະຫວ່າງກອງທັບສອງປະເທດຂຶ້ນຕື່ມ.	Trên cơ sở quan hệ hữu nghị truyền thống và hợp tác quốc phòng tốt đẹp, Quân đội nhân dân Việt Nam (PLA) tham gia Hội thao Quân đội đã thể hiện sự ủng hộ đối với các hoạt động đa phương do Bộ Quốc phòng Nga tổ chức.
ໃນຂະນະທີ່ Army Games ຜ່ານການຈັດຕັ້ງມາ 6 ຄັ້ງນັ້ນ, ຄະນະກອງທັບປະຊາຊົນຫວຽດນາມ ກໍ່ໄດ້ເຂົ້າຮ່ວມ 3 ຄັ້ງຢ່າງຕໍ່ເນື່ອງ ນັບແຕ່ການເຂົ້າຮ່ວມຄັ້ງທຳອິດແມ່ນໃນປີ 2018.	Trong khi Đại hội Thể thao Quân đội đã được tổ chức sáu lần, thì Quân đội Nhân dân Việt Nam đã ba lần liên tiếp tham dự kể từ lần đầu tiên vào năm 2018.
ພິທີແຫ່ທຸງຫວຽດນາມ ທີ່ພິທີໄຂ Army Games 2020.	Lễ diễu hành cờ Việt Nam tại Lễ khai mạc Army Games 2020
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຕ້ອງເວົ້າວ່າ, ເຖິງວ່າເງື່ອນໄຂສະໜາມແຂ່ງຂັນ, ອາວຸດ, ອຸປະກອນເຕັກນິກຝຶກແອບພາຍໃນປະເທດມີຄວາມແຕກຕ່າງກັນຫຼາຍເມື່ອທຽບໃສ່ກັບສະພາບຕົວຈິງການແຂ່ງຂັນກໍ່ຕາມ, ແຕ່ວ່າຈຳນວນທີມຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ທີ່ໄປເຂົ້າຮ່ວມ Army Games ໄດ້ເພີ່ມຂຶ້ນຢ່າງບໍ່ຢຸດຢັ້ງ.	Phải nói rằng, mặc dù điều kiện sân vận động, vũ khí, trang thiết bị tập luyện trong nước rất khác so với thực tế thi đấu nhưng số lượng các đội tuyển của Quân đội nhân dân Việt Nam tham gia Hội thao Quân đội vẫn tăng đều.
ຈາກ 3 ທີມ ໃນປີ 2018 ແລະ8 ທີມໃນປີກາຍ, ກອງທັບປະຊາຊົນຫວຽດນາມ ທີ່ໄປເຂົ້າຮ່ວມ Army Games 2020 ແມ່ນມີຈຳນວນນັກກິລາຫຼາຍກວ່າ.	Từ 3 đội năm 2018 và 8 đội năm ngoái, Quân đội nhân dân Việt Nam tham dự Đại hội Thể thao Quân đội 2020 có số lượng vận động viên đông hơn.
ປີນີ້, ໄດ້ຮັບການເຫັນດີຈາກນາຍົກລັດຖະມົນຕີ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ໄດ້ຕົກລົງຈັດສົ່ງຄະນະກອງທັບປະຊາຊົນຫວຽດນາມ ເຂົ້າຮ່ວມ 11 ລາຍການແຂ່ງຂັນ, ໃນນັ້ນມີຫຼາຍທີມໄດ້ເຂົ້າຮ່ວມແຂ່ງຂັນເປັນຄັ້ງທຳອິດ.	Năm nay, được sự đồng ý của Thủ tướng Chính phủ, Quân ủy Trung ương, Bộ Quốc phòng đã đồng ý cử Quân đội nhân dân Việt Nam tham gia 11 môn thi đấu, trong đó có nhiều đội lần đầu tiên tham gia.
ທ່ານພົນຕີ ໂງມິງຕ໊ຽນ, ຮອງຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ ເນັ້ນໜັກທີ່ Army Games 2020 ວ່າ “ສິ່ງນີ້ໄດ້ຢັ້ງຢືນວ່າ ຫວຽດນາມ ຖືເປັນສຳຄັນການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານກັບສະຫະພັນລັດເຊຍ, ໃນນັ້ນການຮ່ວມມືດ້ານປ້ອງກັນຊາດ ແມ່ນເສົາຄ້ຳສຳຄັນ, ປະກອບສ່ວນເຂົ້າໃນການດຳເນີນປີຫວຽດນາມ ເຄື່ອນໄຫວຢູ່ລັດເຊຍ ແລະປີລັດເຊຍເຄື່ອນໄຫວ ຢູ່ຫວຽດນາມ 2019-2020 ໄດ້ສໍາເລັດຜົນເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 70 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງສອງປະເທດ.	Đại tướng Ngô Minh Tiến, Phó Tổng Tham mưu trưởng QĐND Việt Nam nhấn mạnh tại Hội thao Quân đội 2020: “Điều này khẳng định Việt Nam coi trọng quan hệ Đối tác chiến lược toàn diện với Liên bang Nga, trong đó quan trọng là hợp tác quốc phòng. trụ cột.
ເລື່ອງຫວຽດນາມ ໄດ້ເປັນເຈົ້າການເຂົ້າຮ່ວມບັນດາເຫດການລະດັບສາກົນ, ຄື: Army Games ໄດ້ປະກອບສ່ວນປັບປຸງການພົວພັນມິດຕະພາບລະຫວ່າງຫວຽດນາມ ກັບບັນດາປະເທດ, ໃນນັ້ນມີສະຫະພັນລັດເຊຍ, ພ້ອມທັງເຊີດຊູຮູບພາບ, ອິດທິພົນຊື່ສຽງຂອງກອງທັບປະຊາຊົນຫວຽດນາມ ວິລະຊົນ, ເປັນກຳລັງຫຼວງ, ຍອດຢ້ຽມ, ທັນສະໄໝເທື່ອລະກ້າວ.	Việt Nam đã đăng cai tổ chức một số sự kiện quốc tế như Hội thao Quân đội, góp phần phát triển quan hệ hữu nghị giữa Việt Nam với các nước, trong đó có Liên bang Nga, nâng cao hình ảnh, uy tín của Quân đội nhân dân Việt Nam anh hùng.
