ກປ.ອອນໄລ - ກອງປະຊຸມແມ່ນການເຄື່ອນໄຫວທີ່ນອນໃນຂອບເຂດປີຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020...	KPR Online - Đại hội là hoạt động trong khuôn khổ nhiệm kỳ Việt Nam làm chủ tịch ASEAN 2020 ...
ຕອນບ່າຍວັນທີ 5 ຕຸລາ, ຢູ່ຮ່າໂນ້ຍ, ໂດຍໄດ້ຮັບການມອບສິດຈາກລັດຖະມົນຕີ, ຫົວໜ້າຫ້ອງວ່າການລັດຖະບານ, ກົມຄວບຄຸມລະບຽບການບໍລິຫານ ໄດ້ເປັນປະທານຈັດກອງປະຊຸມ ຄັ້ງທີ 2 ໃນລະບົບກອງປະຊຸມທາງໄກເຄືອຂ່າຍປະຕິບັດຂໍ້ກຳນົດອາຊຽນ-ອົງການຮ່ວມມື ແລະພັດທະນາເສດຖະກິດ (OECD) ຄັ້ງທີ 6 ປີ 2020, ດ້ວຍຫົວຂໍ້ “ນໍາໃຊ້ເຄື່ອງມືດີຈີຕອນເພື່ອສ້າງຂໍ້ກຳນົດທີ່ເໝາະສົມກັບພຶດຕິກໍາຕົວຈິງ.	Chiều 5/10, tại Hà Nội, thừa ủy quyền của Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ, Vụ Điều hành đã chủ trì cuộc họp lần thứ hai Mạng lưới Tổ chức Hợp tác và Phát triển Kinh tế ASEAN (OECD) để triển khai Kế hoạch sửa đổi lần thứ sáu năm 2020.
ກອງປະຊຸມດັ່ງກ່າວແມ່ນການເຄື່ອນໄຫວນອນໃນຂອບເຂດປີຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງເປັນປະທານ ອາຊຽນ 2020.	Hội nghị thượng đỉnh là một phần trong nỗ lực của Việt Nam để chủ trì ASEAN 2020.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທີ່ກອງປະຊຸມ, ທ່ານ ຫງວຽນເທ໊ຈູງ ສະມາຊິກໜ່ວຍປະຕິບັດງານຂອງຄະນະກຳມະການແຫ່ງຊາດກ່ຽວກັບລັດຖະບານເອເລັກໂຕນິກ ແບ່ງປັນວ່າ ທີໜຶ່ງ, ນັ້ນແມ່ນບົດບາດໜູນຊ່ວຍການບໍລິຫານຂະແໜງສາທາລະນະສຸກ.	Tại buổi làm việc, ông Nguyễn Thế Trường, Ủy viên Ủy ban Quốc gia về Chính phủ điện tử chia sẻ, vai trò của quản lý hành chính y tế.
ທີສອງແມ່ນບົດບາດໜູນຊ່ວຍການສື່ສານ.	Thứ hai là vai trò của giao tiếp.
ທີສາມແມ່ນ, ຍົກສູງກໍາລັງຄວາມສາມາດຂອງຂະແໜງສາທາລະນະສຸກ.	Thứ ba, tăng cường năng lực của ngành y tế.
ບັນຫາສໍາຄັນຕື່ມອີກແມ່ນການນໍາໃຊ້ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານໂດຍກົງເພື່ອຄວບຄຸມ ແລະສະກັດກັ້ນ, ຄົ້ນພົບ, ແຍກປ່ຽວ, ແບ່ງເຂດຄວບຄຸມພະຍາດໂຄວິດ-19.	Một vấn đề quan trọng khác là việc sử dụng công nghệ thông tin trực tiếp để kiểm soát và ngăn chặn, phát hiện, cô lập và phân giới các vùng kiểm soát dịch bệnh Kovid-19.
ນີ້ແມ່ນຍຸດທະສາດ ເຊິ່ງພວກຂ້າພະເຈົ້າປະຕິບັດຢ່າງຕໍ່ເນື່ອງໃນ 9 ເດືອນຜ່ານມາໃນສະພາບການພະຍາດໂຄວິດ-19 ກັບຄືນມາລະບາດຮອບ 2 ຢູ່ຫວຽດນາມ.	Đây là chiến lược mà chúng tôi đã theo đuổi suốt 9 tháng qua trong bối cảnh trường hợp bệnh tả-19 thứ hai tái phát tại Việt Nam.
ໂດຍ: ກວຽດເຕິມ.	Bởi: Việt Full.
