ກປ.ອອນໄລ - ບັນດາບາດເຈັບຢູ່ຜິວໜັງ, ບັນດາພະຍາດທີ່ເກີດຂຶ້ນຢູ່ເຂດນໍ້າຖ້ວມ...	KP Online - Thương tích ngoài da, bệnh tật vùng lũ ...
ໄດ້ຮັບການປິ່ນປົວ ແລະໃຫ້ຄໍາປຶກສາຢ່າງສຸດຈິດສຸດໃຈຈາກບັນດາແພດທະຫານ, ບັນດາຢຸກຢາໄດ້ຮັບຕາມໃບສັ່ງຢາປິນປົ່ວ ແລະຕ້ານພະຍາດພາຍຫຼັງພາຍຸ, ນໍ້າຖ້ວມ...	Được các bác sĩ quân y tận tình điều trị, tư vấn cấp thuốc, kê đơn thuốc chống suy nhược cơ thể sau bão, lũ ...
ໂດຍບໍ່ຕ້ອງເສຍຄ່າເຮັດໃຫ້ທຸກຄົນຮູ້ສຶກອຸ່ນອ່ຽນໃຈ.	Miễn phí làm cho mọi người cảm thấy an toàn.
ນັກຂ່າວຂອງໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ມີໜ້າຢູ່ເຂດຖືກນໍ້າຖ້ວມໜັກໃນເມືອງເລະຖຸຍ, ເມືອງກວາງນິງ, ແຂວງກວາງບິ່ງ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບາງຮູບພາບທີ່ສວຍງາມກ່ຽວກັບແພດທະຫານກັບປະຊາຊົນຢູ່ເຂດນໍ້າຖ້ວມ.	Phóng viên Thông tấn xã Quân đội nhân dân Việt Nam vùng lũ huyện Lệ Thủy, Quảng Ninh, tỉnh Quảng Bình xin giới thiệu một số hình ảnh đẹp về quân y và người dân vùng lũ.
ບັນດາແພດໝໍທະຫານກວດພະຍາດ, ແຈກຢຸກຢາໃຫ້ແກ່ປະຊາຊົນຕາແສງລົກຖຸຍ, ເມືອງເລະຖຸຍ.	Các bác sĩ quân y chẩn đoán bệnh và cấp phát thuốc cho người dân xã Lok Thủy, huyện Lệ Thủy.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທ່ານໝໍ ເດື່ອງມິງຕ໊ວນ,ໂຮງໝໍສູນກາງກອງທັບ 108 ກວດຕາໃຫ້ພໍ່ຕູ້ ຫງວຽນຮືວເຍີມ (ອາຍຸ 75 ປີ) ທີ່ຕາແສງເຕີນນິງ, ເມືອງກວາງນິງ (ແຂວງກວາງບິ່ງ).	Ông Dương Minh Tuấn, Bệnh viện Trung ương Quân đội 108 khám bệnh cho Cụ ông Nguyễn Hữu Yêm (75 tuổi) ở xã Tân Ninh, huyện Quảng Ninh (tỉnh Quảng Bình).
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທ່ານໝໍ ຫວູວັນດຶກ, ໂຮງໝໍສູນກາງ 108 ກວດພະຍາດໃຫ້ແກ່ເດັກນ້ອຍທີ່ບ້ານຫງວຽດອ໊າງ, ຕາແສງເຕິນນິງ, ເມືອງກວາງນິງ.	Ths.Bs Vũ Văn Đức, Bệnh viện Trung ương Quân đội 108, chẩn đoán bệnh cho trẻ em ở thôn Nguyệt Áng, xã Tân Ninh, huyện Quảng Ninh.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ກອງການແພດສໍາຮອງ, ຫ້ອງພະລາທິການ, ທະຫານເຂດ 4 ສີດຢາຂ້າເຊື້ອເຮືອນຊານຂອງປະຊາຊົນໃນຕາແສງລົກຖຸຍ, ເມືອງເລະຖຸຍ.	Quân y Dự bị, Phòng Tham mưu, Bộ đội Khu 4 phun thuốc diệt cỏ nhà dân tại xã Lậu Thủy, huyện Lệ Thủy.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ປະຊາຊົນປິຕິຊົມຊື່ນເມື່ອໄດ້ຮັບການກວດພະຍາດ ແລະຮັບຢາຈາກກໍາລັງແພດທະຫານ.	Người dân vui mừng khi được quân y chẩn đoán, cấp thuốc.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
