ກປ.ອອນໄລ - ວັນທີ 7 ພະຈິກ, ຢູ່ຈັດຕຸລັດແດງ, ລັດເຊຍ ໄດ້ວາດພາບບັນດາຮູບພາບກ່ຽວກັບການສວນສະໜາມຄັ້ງປະຫວັດສາດປີ 1941.	Ngày 7/11, tại Quảng trường Đỏ, Nga đã vẽ những bức tranh về công viên lịch sử năm 1941.
ບັນດາອຸປະກອນການທະຫານ ໃນຍຸກສະໄໝ ໂຊວຽດ, ບັນດາຮູບຈໍາລອງໄດ້ວາງສະແດງທີ່ກ່ຽວຂ້ອງເຖິງການສວນສະໜາມ ທີ່ໄດ້ແນະນໍາເຖິງປະຊາຊົນນະຄອນຫຼວງມົດສະກູ.	Các thiết bị quân sự từ thời Liên Xô và bản sao của một công viên đã được giới thiệu với người dân Moscow.
ໃນສະພາບການພະຍາດໂຄວິດ-19 ຍັງບໍ່ທັນຄວບຄຸມໄດ້ນັ້ນ, ອົງການປົກຄອງນະຄອນຫຼວງມົດສະກູ ຕົກລົງຍົກເລີກບັນດາກິດຈະກໍາສະເຫຼີມສະຫຼອງຂະໜາດໃຫຍ່ກ່ຽວກັບພິທີສວນສະໜາມຄັ້ງປະຫວັດສາດປີ 1941 ໃນປີ 2020.	Với căn bệnh ngoài tầm kiểm soát, Moscow đã đồng ý hủy bỏ lễ kỷ niệm công viên lịch sử năm 1941 vào năm 2020.
ໃນສະພາບການພະຍາດໂຄວິດ-19 ຍັງບໍ່ທັນຄວບຄຸມໄດ້, ລັດເຊຍ ຍັງພະຍາຍາມຈັດຕັ້ງບັນດາກິດຈະກໍາສະເຫຼີມສະຫຼອງພິທີສວນສະໜາມປີ 1941 ໃນການຄວບຄຸມດ້ານການແພດຢ່າງເຄັ່ງຄັດ.	Với căn bệnh ngoài tầm kiểm soát Quito-19, Nga vẫn đang nỗ lực tổ chức các hoạt động kỷ niệm Lễ làm vườn năm 1941 trong sự kiểm soát y tế nghiêm ngặt.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ບັນດາອາວຸດຍຸດໂທປະກອນ, ພາຫະນະສູ້ຮົບທີ່ນໍາໃຊ້ໃນສົງຄາມປົກປັກຮັກສາປະເທດຊາດທີ່ຍິ່ງໃຫຍ່ ໄດ້ວາງສະແດງຢູ່ຈັດຕຸລັດແດງ.	Các loại vũ khí, đạn dược và phương tiện được sử dụng trong Chiến tranh Vệ quốc vĩ đại được trưng bày tại Quảng trường Đỏ.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ບັນດາເລື່ອງລາວທີ່ກ່ຽວຂ້ອງເຖິງພິທີສວນສະໜາມ ໄດ້ວາດພາບຜ່ານຮູບຈໍາລອງຂະໜາດໃຫຍ່.	Những câu chuyện liên quan đến lễ cúng vườn được miêu tả trên quy mô lớn.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ວັນທີ 7 ພະຈິກ 1941, ໂຊວຽດ ໄດ້ຈັດຕັ້ງພິທີສວນສະໜາມໃນຈັດຕຸລັດແດງ ເພື່ອສະເຫຼີມສະຫຼອງ 24 ປີແຫ່ງການປະຕິວັດເດືອນ ຕຸລາ ປະສົບຜົນສໍາເລັດ.	Ngày 7/11/1941, Liên Xô tổ chức lễ cầu vườn tại Quảng trường Đỏ để kỷ niệm 24 năm Cách mạng Tháng Mười thành công.
ການສວນສະໜາມ ດໍາເນີນໃນສະພາບອາກາດບໍ່ດີ ແລະ ຟາດຊິດ ເຢຍລະມັນ ກໍາລັງບຸກເຂົ້າໃກ້ນະຄອນຫຼວງ.	Cuộc điều tra thực địa được thực hiện trong điều kiện thời tiết xấu và quân phát xít Đức đang tiến gần thủ đô.
