ກປ.ອອນໄລ - ໃນຂອບເຂດກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແລະບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງ, ຕອນບ່າຍວັນທີ 12 ພະຈິກ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ເປັນປະທານກອງປະຊຸມສຸດຍອດ ອາຊຽນ - ຍີ່ປຸ່ນ ຄັ້ງທີ 23 ຜ່ານລະບົບທາງໄກ.	Hội nghị thượng đỉnh ASEAN 3 và cuộc họp liên quan, Nguyễn Xuân Phúc
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເປັນປະທານກອງປະຊຸມສຸດຍອດອາຊຽນ - ຍີ່ປຸ່ນ ຄັ້ງທີ 23.	Thủ tướng Nguyễn Xuân Phúc là chủ tịch của ASEAN 23 - Nhật Bản
ພາບ: qdnd.vn	Ảnh: QĐND.VN.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ຢັ້ງຢືນວ່າ ຍາມໃດ ຍີ່ປຸ່ນ ກໍ່ແມ່ນຄູ່ຮ່ວມມືທີ່ໄວ້ເນື້ອເຊື່ອໃຈຂອງອາຊຽນ, ປະກອບສ່ວນຢ່າງຕັ້ງໜ້າໃຫ້ແກ່ການເຈລະຈາ, ການຮ່ວມມືເພື່ອສັນຕິພາບ, ສະຖຽນລະພາບ ແລະວັດທະນາຖາວອນຢູ່ພາກພື້ນ.	Phát biểu tại cuộc họp, Thủ tướng Nguyễn Xuân Phúc khẳng định quan hệ đối tác ủy thác của ASEAN, chủ động, ổn định cho hòa bình, ổn định và khu vực.
ທ່ານກໍ່ເນັ້ນໜັກວ່າ ມີຄວາມເປັນກຽດທີ່ສຸດທີ່ໄດ້ດໍາລົງບົດບາດເປັນປະເທດປະສານງານການພົວພັນລະຫວ່າງອາຊຽນ - ຍີ່ປຸ່ນ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ ຫວຽດນາມ ຈະສົມທົບກັບຍີ່ປຸ່ນ ແລະບັນດາປະເທດອາຊຽນຢ່າງແໜ້ນແຟ້ນ ເພື່ອເປີດກ້ວາງ ແລະເຮັດໃຫ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງຝ່າຍເລິກເຊິ່ງກວ່າອີກ.	Ông tập trung là danh dự nhất, Nhật Bản, phối hợp của Việt Nam về xây dựng và hợp tác giữa hai đối tác sâu nhất.
ທ່ານ Suga Yoshihide ນາຍົກລັດຖະມົນຕີຍີ່ປຸ່ນ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Thủ tướng Nhật Bản Suga Yoshihide cho biết cuộc họp.
ພາບ: qdnd.vn	Ảnh: QĐND.VN.
ສ່ວນທ່ານ Suga Yoshihide ນາຍົກລັດຖະມົນຕີຍີ່ປຸ່ນ ຊີ້ແຈ້ງວ່າ ພະຍາດໂຄວິດ-19 ແມ່ນວິກິດການທີ່ບໍ່ເຄີຍມີມາກ່ອນ ເຊິ່ງຍີ່ປຸ່ນ “ປາດຖະໜາຢາກພ້ອມກັບອາຊຽນ ຜ່ານຜ່າດ້ວຍຖານະແມ່ນເພື່ອນມິດ ແລະຄູ່ຮ່ວມມືທີ່ສະເໝີພາບ.	Thủ tướng Nhật Bản Suga Yoshihide được thông báo rằng cuộc khủng hoảng Nhật Bản đã có trong tay ASEAN, với một cuộc khủng hoảng thân thiện bằng nhau.
ທ່ານ Suga Yoshihide ຖະແຫຼງວ່າ ຍີ່ປຸ່ນ ຈະໜູນຊ່ວຍ ສູນອາຊຽນ ວ່າດ້ວຍການຊ່ວຍເຫຼືອສຸກເສີນ ຂະແໜງສາທາລະນະສຸກ ແລະ ພະຍາດແຜ່ລະບາດ ຢ່າງສຸດຂີດ.	Yoshihide nói rằng Nhật Bản sẽ hỗ trợ Trung tâm ASEAN trong việc giúp đỡ sức khỏe khẩn cấp và khẩn cấp khẩn cấp.
ທ່ານ ຢັ້ງຢືນວ່າ ຍີ່ປຸ່ນ ສະໜັບສະໜູນເອກະສານທັດສະນະຂອງອາຊຽນ ກ່ຽວກັບມະຫາສະໝຸດອິນເດຍ-ປາຊີຟິກ (AOIP), ທ່ານ Suga Yoshihide ຖືວ່າ AOIP ໄດ້ສະແດງອອກທັດສະນະຢ່າງແຮງ ເພື່ອຊຸກຍູ້ອຳນາດກົດໝາຍ, ການເປີດອົກເປີດໃຈ, ກະຈ່າງແຈ້ງ ແລະກວມລວມປຽບເໝືອນດັ່ງຫຼັກການໃຫ້ແກ່ບັນດາການກະທໍາຂອງອາຊຽນ.	Bạn xác nhận rằng Nhật Bản hỗ trợ thái độ của ASEAN trên Thái Bình Dương, được tạo ra, được tạo ra với ASEAN ASEM.
ໂດຍ: ທະນາພອນ.	Đăng bởi: vườn ươm.
