ກປ.ອອນໄລ - ບົດກ່າວປາໄສປິດກອງປະຊຸມຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ	Thủ tướng Nguyễn Xuân Phúc phát biểu bế mạc cuộc gặp người đồng cấp Việt Nam Nguyễn Phú Trọng
ຊົມເຊີຍແຂກຜູ້ມີກຽດເຂົ້າຮ່ວມພິທີປິດກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ແລະບັນດາກອງປະຊຸມຂັ້ນສູງທີ່ກ່ຽວຂ້ອງ.	Xin chúc mừng các vị khách quý đã tham dự lễ bế mạc Hội nghị Cấp cao ASEAN lần thứ 37 và các Hội nghị cấp cao liên quan.
"ສະໜິດຕິດພັນ ແລະເປັນເຈົ້າການຮັບມື", ໂດຍຜ່ານຜ່າສິ່ງກີດຂວາງກ່ຽວກັບກາລະເທສະ, ທັງຮູບການຈັດຕັ້ງ, ພວກເຮົາມີການເຮັດວຽກຢ່າງມີປະສິດຕິຜົນ.	“Liên thông, chủ động”, vượt qua những rào cản của đất nước, cả về mặt tổ chức, chúng ta phải làm việc hiệu quả.
ການນຳບັນດາປະເທດອາຊຽນ ໄດ້ແລກປ່ຽນ, ເຫັນດີ ແລະເປັນເອກະພາບຫຼາຍມາດຕະການທີ່ຂ້ຽວຂາດ, ແທດຈິງ ເພື່ອຊຸກຍູ້ການຮ່ວມມືຮັບມື ແລະຜ່ານຜ່າສິ່ງທ້າທາຍຕ່າງໆເຊິ່ງອາຊຽນ ຕ້ອງປະເຊີນໜ້າ, ໃນນັ້ນມີພະຍາດໂຄວິດ - 19, ຮັກສາທ່າຮ່ວມມື ແລະວາງອອກບັນດາກໍານົດທິດໃຫຍ່ເພື່ອໃຫ້ປະຊາຄົມອາຊຽນ ພັດທະນາໃຫ້ນັບມື້ນັບໝັ້ນຄົງເຂັ້ມແຂງ, ກາຍເປັນແກນສານຂອງພາກພື້ນ.	Các nước ASEAN đã trao đổi, nhất trí và nhất trí về một số biện pháp quyết liệt, thiết thực nhằm thúc đẩy hợp tác giải quyết và khắc phục những thách thức mà ASEAN phải đối mặt, trong đó có vấn đề Kavkaz năm 1919.
ກໍ່ໃນບັນດາກອງປະຊຸມຄັ້ງນີ້, ພວກເຮົາໄດ້ເຫັນດີເປັນເອກະພາບຫຼາຍບັນຫາທີ່ສຳຄັນເພື່ອສ້າງກຳລັງໜູນໃໝ່ໃຫ້ແກ່ການພົວພັນອາຊຽນກັບບັນດາຄູ່ຮ່ວມມື, ຢືນຢັນຄໍາໝັ້ນສັນຍາຢ່າງແຮງຕໍ່ການຮ່ວມມືຫຼາຍຝ່າຍກໍ່ຄືຮ່ວມສຳພັນ ແລະຫັນເສດຖະກິດເປັນເສລີ.	Tại các cuộc họp này, chúng tôi đã nhất trí nhiều vấn đề quan trọng nhằm tăng cường nguyện vọng quan hệ giữa ASEAN với các đối tác, tái khẳng định cam kết mạnh mẽ đối với hợp tác đa phương cũng như hợp tác và tự do hóa kinh tế.
ແບ່ງປັນທັດສະນະກ່ຽວກັບບັນດາບັນຫາຢູ່ພາກພື້ນ ແລະສາກົນທີ່ຫາກໍ່ພົ້ນເດັ່ນຂຶ້ນ, ພວກເຮົາເຫັນດີເປັນເອກະພາບນຳກັນວ່າບົດບາດໃຈກາງຂອງອາຊຽນ ຄວນໄດ້ຮັບການຮັກສາ ແລະສືບຕໍ່ເສີມຂະຫຍາຍ, ຊຸກຍູ້ການໂອ້ລົມສົນທະນາ, ການຮ່ວມມື, ສະກັດກັ້ນການປະທະກັນ, ສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ສ້າງໂຄງປະກອບພາກພື້ນທີ່ເປີດກວ້າງ, ໂປ່ງໃສ, ກວມລວມ ແລະອີງຕາມກົດໝາຍ.	Chia sẻ quan điểm về các vấn đề quốc tế và khu vực đang nổi lên, chúng tôi nhất trí rằng vai trò trung tâm của ASEAN cần được duy trì và nâng cao hơn nữa, thúc đẩy đối thoại, hợp tác, ngăn ngừa xung đột, xây dựng lòng tin, xây dựng cấu trúc khu vực cởi mở, minh bạch và chia sẻ.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ມອບຄ້ອນຕີອາຊຽນໃຫ້ແກ່ເອກອັກຄະລັດຖະທູດບຣູໄນ ປະຈໍາ ຫວຽດນາມ - ປະເທດເປັນປະທານອາຊຽນ 2021.	Thủ tướng Nguyễn Xuân Phúc trao chiếc búa ASEAN cho Đại sứ Brunei tại Việt Nam, chủ trì ASEAN 2021.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ປີ 2020 ແມ່ນປີທີ່ເຕັມໄປດ້ວຍສິ່ງທ້າທາຍດ້ວຍຫຼາຍວຽກງານທີ່ສຸດໃນສະພາບພະຍາດໂຄວິດ - 19 ມີການຜັນແປສັບສົນຢ່າງຢ່າງ.	Năm 2020 là một năm đầy thách thức với nhiều công việc nhất là bối cảnh của bệnh - 19 với quá trình chuyển đổi hết sức phức tạp.
ພາຍຫຼັງກວ່າ 5 ທົດສະວັດແຫ່ງການສ້າງຕັ້ງ ແລະພັດທະນາ, ອາຊຽນ ສືບຕໍ່ຢັ້ງຢືນກຳລັງແຮງແຫ່ງຄວາມສາມັກຄີ, ສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງ ແລະຄວາມສາມາດໃນການຮັບມືຢ່າງມີໄຫວພິບກັບບັນດາສິ່ງທ້າທາຍ.	Sau hơn 5 thập kỷ hình thành và phát triển, ASEAN tiếp tục khẳng định sức mạnh đoàn kết, tự cường và khả năng phục hồi khi đối mặt với nghịch cảnh.
ມີຫຼາຍລັດຖະນະໂຍບາຍທີ່ສໍາຄັນໄດ້ຮັບຄວາມເຫັນດີເປັນເອກະພາບທີ່ກອງປະຊຸມ:	Một số chính sách chính đã được nhất trí thông qua tại cuộc họp:
