ຫວຽດນາມ ຊຸກຍູ້ການຫັນແນວຄວາມຄິດກ່ຽວກັບ ADMM+ ໃຫ້ປະກົດຜົນເປັນຈິງ	Việt Nam khuyến khích biến khái niệm ADMM + thành hiện thực
ໂດຍຮັບຮູ້ຢ່າງຈະແຈ້ງກ່ຽວກັບຄວາມສຳຄັນຍຸດທະສາດຂອງ ADMM+ ຕໍ່ກັບໂຄງປະກອບຄວາມໝັ້ນຄົງພາກພື້ນ, ຫວຽດນາມ ໄດ້ເປັນເຈົ້າການເຂົ້າຮ່ວມ, ປະກອບສ່ວນຢ່າງຕັ້ງໜ້າເຂົ້າໃນກົນໄກນີ້, ປະກອບສ່ວນສ້າງສັນ, ຮັກສາສະພາບແວດລ້ອມສັນຕິພາບ, ສະຖຽນລະພາບ ແລະການຮ່ວມມືເພື່ອໃຫ້ອາຊຽນ ພັດທະນາວັດທະນາຖາວອນ.	Nhận thức được tầm quan trọng chiến lược của ADMM + đối với cấu trúc an ninh khu vực, Việt Nam đã tham gia tích cực vào cơ chế này, góp phần tạo dựng môi trường hòa bình, ổn định và hợp tác vì sự phát triển bền vững của ASEAN.
ທ່ານ ສຈ.	GS.
Carl Thayer ສັງກັດມະຫາວິທະຍາໄລ New South Wales (ອົດສະຕາລີ) ໄດ້ເນັ້ນໜັກເມື່ອຕອບສໍາພາດຕໍ່ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມວ່າ “ຫວຽດນາມ ໄດ້ຊຸກຍູ້ແນວຄວາມຄິດສ້າງຕັ້ງ ADMM+ ແລະຈັດຕັ້ງກອງປະຊຸມ ADMM+ ຄ້ັງທີ 1 ຢູ່ຮ່າໂນ້ຍ ໃນປີ 2010 ປະສົບຜົນສຳເລັດ.	Carl Thayer của Đại học New South Wales (Australia) cho biết trong cuộc phỏng vấn với QĐND Việt Nam: “Việt Nam ủng hộ ý tưởng thành lập ADMM + và tổ chức thành công hội nghị ADMM + đầu tiên tại Hà Nội năm 2010.
ໃນຕົວຈິງແລ້ວ, ແນວຄວາມຄິດກ່ຽວກັບ ADMM+ ທີ່ອາຊຽນ ຍົກອອກມາແຕ່ກອງປະຊຸມ ADMM-1 ຢູ່ມາເລເຊຍ (ປີ 2006) ແລະສືບຕໍ່ໄດ້ປັບປຸງຜ່ານບັນດາກອງປະຊຸມ ADMM-2 ຢູ່ສິງກະໂປ (ປີ 2007), ADMM-3 ຢູ່ໄທ (ປີ 2009).	Trên thực tế, khái niệm về ADMM + được ASEAN nêu ra từ ADMM-1 ở Malaysia (2006) và được cải thiện hơn nữa thông qua ADMM-2 ở Singapore (2007), ADMM-3 ở Thái Lan (2009).
ຮອດປີ 2010, ໃນບົດບາດປະທານອາຊຽນ, ຫວຽດນາມ ໄດ້ຕັ້ງໜ້າຊຸກຍູ້ເພື່ອໃຫ້ກອງປະຊຸມ ADMM-4 ຮັບຮອງເອົາເອກະສານນິຍາມ “ADMM+ (ໂດຍຫວຽດນາມ ແລະສິງກະໂປ ຮ່ວມກັນຮຽບຮຽງ) ແລະ “ADMM+: ກົນໄກ ແລະພາກສ່ວນ (ໂດຍສິງກະໂປ ແລະໄທ ຮ່ວມກັນຮຽບຮຽງ), ສ້າງສຳເລັດບັນດາພື້ນຖານນິຕິກຳສຳຄັນສຸດທ້າຍເພື່ອຮັບປະກັນໃຫ້ ADMM+ ປະກົດຜົນເປັນຈິງ.	Đến năm 2010, với vai trò chủ trì ASEAN, Việt Nam sẽ thúc đẩy ADMM-4 thông qua các định nghĩa “ADMM + (do Việt Nam và Singapore cùng soạn thảo) và“ ADMM +: Cơ chế và các Bên (do Singapore và Thái Lan cùng soạn thảo ), và hoàn thiện các nguyên tắc ADM.
ກອງປະຊຸມ ADMM-4 ມີຄວາມໄວ້ເນື້ອເຊື່ອໃຈມອບໃຫ້ຫວຽດນາມ ຈັດຕັ້ງກອງປະຊຸມ ADMM+ ຄັ້ງທີ 1 ຂຶ້ນ.	ADMM-4 là vấn đề đáng tin cậy để Việt Nam đăng cai tổ chức ADMM + đầu tiên.
ຫວຽດນາມ ໄດ້ຈັດຕັ້ງກອງປະຊຸມ ADMM+ ຄັ້ງທີ 1 ປະສົບຜົນສໍາເລັດດ້ວຍການຮັບຮອງເອົາ 5 ຂົງເຂດຮ່ວມມືບູລິມະສິດ, ລວມມີ: ໜູນຊ່ວຍມະນຸດສະທຳ ແລະກູ້ຊ່ວຍໄພພິບັດ, ຄວາມໝັ້ນຄົງທາງທະເລ, ການແພດທະຫານ, ຕ້ານການກໍ່ການຮ້າຍ, ບັນດາການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ.	Việt Nam đã đăng cai tổ chức thành công ADMM + lần thứ nhất với việc thông qua 5 lĩnh vực hợp tác ưu tiên, bao gồm viện trợ nhân đạo và cứu trợ thảm họa, an ninh hàng hải, quân y, chống khủng bố và hoạt động gìn giữ hòa bình.
ຢູ່ ADMM+ ຄັ້ງທີ 2 ທີ່ຈັດຂຶ້ນຢູ່ ບຣູໄນ ໃນປີ 2013, ຕາມຫົວຂໍ້ທີ່ຫວຽດນາມ ສະເໜີ, ກອງປະຊຸມໄດ້ຮັບຮອງເອົາຂົງເຂດບູລິມະສິດຮ່ວມມືທີ 6 ແມ່ນການເກັບກູ້ ແລະທຳລາຍລະເບີດບໍ່ທັນແຕກເພື່ອມະນຸດສະທຳ.	Tại ADMM + lần thứ hai tổ chức tại Brunei năm 2013, chủ đề Việt Nam đã được thông qua.
ປີ 2013, ເປັນຄັ້ງທຳອິດທີ່ຫວຽດນາມ ໄດ້ຈັດສົ່ງກຳລັງໄປເຂົ້າຮ່ວມການຝຶກຊ້ອມການໜູນຊ່ວຍມະນຸດສະທຳ ແລະກູ້ຊ່ວຍໄພພິບັດສົມທົບກັບການແພດທະຫານຢູ່ບຣູໄນ.	Năm 2013, lần đầu tiên Việt Nam cử quân đội sang Brunei Darussalam diễn tập nhân đạo, cứu trợ thảm họa kết hợp quân y.
ນັບແຕ່ນັ້ນຈົນມາຮອດປະຈຸບັນ, ຫວຽດນາມ ລ້ວນແຕ່ໄດ້ຈັດສົ່ງກຳລັງໄປເຂົ້າຮ່ວມການຝຶກຊ້ອມໃນຂອບເຂດ ADMM+ ຢ່າງຄົບຖ້ວນ ແລະມີຄວາມຕັ້ງໜ້າທີ່ສຸດ.	Kể từ đó, toàn bộ Việt Nam đã cử quân đội tham gia cuộc tập trận ADMM + một cách toàn diện và đầy tham vọng.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
