ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 8 ມັງກອນ, ໜັງສືພິມກອງທັບປະຊາຊົນ ໄດ້ຈັດກອງປະຊຸມສະຫຼຸບວຽກງານໂຄສະນາການຕ່າງປະເທດປີ 2020.	KPR Online - Sáng 8/1, Báo Quân đội nhân dân tổ chức Hội nghị tổng kết công tác đối ngoại năm 2020.
ທ່ານພັນເອກພິເສດ ດວ່ານຊວນໂບ້, ຫົວໜ້າບັນນາທິການໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ເປັນປະທານກອງປະຊຸມ.	Đặc công Đại tá Đào Xuân Bộ, Tổng Biên tập Báo Quân đội nhân dân Việt Nam chủ trì buổi gặp mặt.
ທ່ານພັນເອກພິເສດ ດວ່ານຊວນໂບ້ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Đại tá Đặc công Đào Xuân Bộ phát biểu chỉ đạo Đại hội.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໃນປີ 2020, ໜັງສືພິມກອງທັບປະຊາຊົນ ໄດ້ຍູ້ແຮງ ແລະປະຕິບັດວຽກງານໂຄສະນາບັນດາເຫດການສໍາຄັນຂອງປະເທດ, ບັນດາການເຄື່ອນໄຫວພົວພັນຕ່າງປະເທດທີ່ພົ້ນເດັ່ນຂອງການນໍາພັກ, ລັດ, ກະຊວງປ້ອງກັນປະເທດ;	Năm 2020, Báo Quân đội nhân dân tăng cường thực hiện công tác tuyên truyền về các sự kiện trọng đại của đất nước, các hoạt động đối ngoại nổi bật của Đảng, Nhà nước và Bộ Quốc phòng;
ບັນດາເຫດການໃນປີຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງປະທານອາຊຽນ 2020 ແລະສະມາຊິກບໍ່ຖາວອນຂອງສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021;	Các sự kiện trong nhiệm kỳ Việt Nam làm Chủ tịch ASEAN 2020 và Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc 2020-2021;
ຫວຽດນາມ ເຂົ້າຮ່ວມກໍາລັງຮັກສາສັນຕິພາບ ສປຊ ໄດ້ເປັນຢ່າງດີ...	Việt Nam tham gia lực lượng gìn giữ hòa bình của Liên hợp quốc
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ກໍ່ໄດ້ສົມທົບກັບກົມພົວພັນຕ່າງປະເທດ, ກະຊວງປ້ອງກັນປະເທດ ຈັດຕັ້ງສໍາເລັດການເສັງຂຽນດ້ວຍຫົວຂໍ້ “ປະເທດລັດເຊຍ ໃນດວງໃຈຂ້າພະເຈົ້າ ປີ 2020 ແລະການໂອ້ລົມສົນທະນາດ້ວຍຫົວຂໍ້ “70 ປີແຫ່ງການຮ່ວມມືບໍາລຸງສ້າງຫວຽດນາມ-ໂຊວຽດ/ສະຫະພັນລັດເຊຍ: ຂີດໝາຍຂ້າມເວລາ , ໂຄສະນາເຜີຍແຜ່ງານແຂ່ງຂັນກິລາການທະຫານສາກົນ (Army Games) 2020 ສໍາເລັດຜົນ, ສ້າງຄວາມປະທັບໃຈອັນເລິກເຊິ່ງຕໍ່ກັບເພື່ອນຜູ້ ອ່ານທັງພາຍໃນ ແລະຕ່າງປະເທດ.	Quân đội nhân dân Việt Nam đã phối hợp với Bộ Ngoại giao, Bộ Quốc phòng hoàn thành bài thi viết chủ đề “Nước Nga trong trái tim tôi vào năm 2020” và phần thảo luận chuyên đề “70 năm hợp tác Việt - Xô”.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມຖ່າຍຮູບລວມ.	Các đại biểu tham dự buổi chụp ảnh chung.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
