ກ່າວໃນກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດ ຄັ້ງທີ XI ຂອງພັກປະຊາຊົນປະຕິວັດລາວ, ສະຫາຍ ທອງລຸນ ສີສຸລິດ ກຳມະການກົມການເມືອງສູນກາງພັກ, ນາຍົກລັດຖະມົນຕີລາວ ກ່າວວ່າໂດຍປະຕິບັດແຜນພັດທະນາເສດຖະກິດ-ສັງຄົມ 5 ປີ ຄັ້ງທີ IX (2021-2025) ແມ່ນຢູ່ໃນໄລຍະທີ່ມີຫລາຍເຫດການສໍາຄັນທັງພາຍໃນ ແລະຕ່າງປະເທດ ເຊິ່ງຈະກາຍເປັນທ່າແຮງ ແລະໂອກາດໃນການບັນລຸເປົ້າໝາຍການພັດທະນາຂອງ ສປປ ລາວ, ເຊິ່ງປັດໄຈທີ່ຈະຊຸກ ຍູ້ການພັດທະນາໃນ 5 ປີ ຕໍ່ໜ້າ ຄື: ປະຊາກອນໜຸ່ມ, ຄວາມອຸດົມຮັ່ງມີຂອງຊັບພະຍາກອນທໍາມະຊາດ ແລະທີ່ຕັ້ງພູມສັນຖານຂອງ ສປປ ລາວ ແລະ ຄວາມຮຸ່ງເຮືອງຂອງທະວີບອາຊີ.	KR Online - Việt Nam đã chứng minh cách đối phó hiệu quả với Kovi-19 ngay cả khi không có vắc xin.
ສະຫາຍ ທອງລຸນ ສີສຸລິດ ໃຫ້ ຮູ້ ຕື່ມ ວ່າ: ໂດຍລວມແລ້ວ ສປປ ລາວ ມີທ່າແຮງໄດ້ປຽບດ້ານທີ່ຕັ້ງພູມສັນຖານທີ່ຢູ່ໃກ້ຄຽງກັບບັນດາປະເທດທີ່ເສດຖະກິດມີການຂະຫຍາຍຕົວດີ, ເຊິ່ງຈະກາຍເປັນຖານການພັດທະນາທີ່ໝັ້ນຄົງ ແລະແຫ ລ່ງສົ່ງເສີມກໍາລັງແຮງງານໜຸ່ມທີ່ມີອາຍຸຕ່ໍາກວ່າ 25 ປີ ກວມເຖິງ 60% ຂອງພົນລະເມືອງເຮັດໃຫ້ສາມາດປະກອບສ່ວນເຂົ້າໃນການພັດທະນາໄດ້.	Đây là lưu ý mới nhất về ứng phó của Việt Nam với bệnh tả-19 của Helge Berger, trợ lý Giám đốc Quỹ Tiền tệ Quốc tế (IMF) phụ trách khu vực Châu Á - Thái Bình Dương.
ພ້ອມກັນນີ້, ເສດຖະກິດຂອງ ສປປ ລາວ ໃນໄລຍະຜ່ານມາແມ່ນມີຄວາມໝັ້ນທ່ຽງ, ຂະແໜງພະລັງງານສະອາດຍັງມີທ່າແຮງບົ່ມຊ້ອນຫລາຍ, ພື້ນທີ່ດິນທີ່ເໝາະສົມໃນການເຮັດກະສິກໍາ ແລະດິນແດນທີ່ອຸດົມສົມບູນທີ່ເປັນຊັບສິນອັນມີຄ່າສາມາດກາຍເປັນແຫລ່ງພື້ນຖານໃໝ່ຂອງການເຕີບໂຕ ແລະສ້າງວຽກເຮັດງານທໍາໃນຕໍ່ໜ້າ.	Trong một bài báo đăng trên tờ báo The Print của Ấn Độ, Helge Berger đã ca ngợi công trình chống Kovit-19 của Việt Nam, đồng thời cho rằng “chìa khóa” thành công của Việt Nam là các biện pháp nghiêm ngặt để cô lập, phân tích và truy tìm nguồn gốc bệnh ngay lập tức.
ສະຫາຍ ທອງລຸນ ສີສຸລິດ ກ່າວຕື່ມວ່າ: ໃນຊຸມປີຕໍ່ໜ້າ, ປະເທດເຮົາຍັງສືບຕໍ່ມີສະຖຽນລະພາບທາງດ້ານການເມືອງ, ມີຄວາມສະຫງົບ, ມີຄວາມເປັນລະບຽບຮຽບຮ້ອຍທາງສັງຄົມ, ປະຊາຊົນບັນດາເຜົ່າມີຄວາມເຊື່ອໝັ້ນຕໍ່ແນວທາງນະໂຍບາຍ ແລະການນໍາຂອງພັກ-ລັດ, ຕັ້ງໜ້າປະກອບສ່ວນເຂົ້າໃນການສ້າງສາພັດທະນາປະເທດຊາດ	Nguồn ảnh: Thông tấn xã Việt Nam
ສະຫາຍ ທອງລຸນ ສີສຸລິດ ກ່າວປາໄສທີ່ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດ ຄັ້ງທີ XI ຂອງພັກປະຊາຊົນປະຕິວັດລາວ.	Một số tờ báo của Pháp đã ghi nhận Việt Nam là một trong những quốc gia ở châu Á có thể kiểm soát hiệu quả Kovi-19.
ພາບ: lnr.org.la.	Yếu tố đầu tiên làm nên thành công của Việt Nam là do Việt Nam đã rút ra được nhiều bài học kinh nghiệm về phòng, chống dịch bệnh Kovid-19 do phải đối phó với dịch tay chân miệng, sốt xuất huyết ...
ເພື່ອໃຫ້ສາມາດບັນລຸຈຸດໝາຍ ແລະທິດທາງໜ້າທີ່ລວມຂອງແຜນພັດທະນາເສດຖະກິດ-ສັງຄົມແຫ່ງຊາດ 5 ປີ ຄັ້ງທີ IX (2021-2025), ລັດ ຖະ ບານໄດ້ກໍານົດ 6 ເປົ້າ ໝາຍໃຫຍ່, ຈຸດໝາຍລວມ, ທິດທາງ ແລະແຜນວຽກຈຸດສຸມ ຄື: 1) ເສດຖະກິດແຫ່ງຊາດຂະຫຍາຍຕົວຢ່າງຕໍ່ເນື່ອງ, ມີຄຸນນະພາບ, ໝັ້ນທ່ຽງ ແລະຍືນຍົງ;	Và hệ thống chăm sóc sức khỏe dự phòng đã có từ rất lâu.
2) ຊັບພະຍາກອນມະນຸດມີຄຸນນະພາບສູງຂຶ້ນ ທີ່ສາມາດຕອບສະ ໜອງຄວາມຕ້ອງການຂອງພັດທະນາ, ມີຄວາມສາມາດຄົ້ນຄວ້າ ແລະນໍາໃຊ້ວິທະຍາສາດ-ເຕັກໂນໂລຊີ ເພື່ອຍົກສູງປະສິດທະພາບ ແລະສ້າງມູນຄ່າເພີ່ມການຜະລິດ ແລະການບໍລິການ;	Việt Nam đã đóng cửa biên giới với Trung Quốc ngay sau khi vụ nổ Kovi-19 bùng phát, và kết quả là Việt Nam đã ngăn chặn sự bùng phát.
3) ຊີວິດການເປັນຢູ່ທາງດ້ານວັດຖຸ ແລະຈິດໃຈຂອງປະຊາຊົນ ໄດ້ຮັບການຍົກລະດັບໃຫ້ດີຂຶ້ນເທື່ອລະກ້າວ;	Biện pháp quan trọng nhất là tách biệt người nước ngoài nhập cư vào Việt Nam.
4) ປົກປັກຮັກສາສິ່ງແວດລ້ອມໃຫ້ມີຄວາມສົມດຸນ ແລະຫ ລຸດຜ່ອນຄວາມສ່ຽງຈາກໄພພິບັດຕ່າງໆ;	Do việc kiểm soát dịch bệnh Kovi-19 và đóng cửa thành phố trong 3 tháng, nền kinh tế Việt Nam sẽ không suy giảm vào năm 2020 và Việt Nam là một trong những quốc gia trên thế giới có tốc độ tăng trưởng 2,9%.
5) ການສ້າງພື້ນຖານໂຄງລ່າງ ທີ່ມີຄວາມເຂັ້ມແຂງ, ນໍາໃຊ້ທ່າແຮງ, ກາລະໂອກາດທີ່ຕັ້ງ, ເຂົ້າຮ່ວມຂະບວນການຮ່ວມມື ແລະການເຊື່ອມໂຍງກັບພາກພື້ນ ແລະສາກົນຢ່າງເປັນເຈົ້າການ ແລະ 6) ການຄຸ້ມຄອງ-ບໍລິຫານລັດມີປະສິດທິພາບ, ສັງຄົມມີຄວາມສະເໝີພາບ, ຍຸຕິທໍາ ແລະໄດ້ຮັບການປົກປ້ອງຕາມທິດການປົກຄອງດ້ວຍກົດໝາຍທີ່ສັກສິດ ແລະເຂັ້ມງວດ.	Bởi: Trần Huyền
ຂ່າວ: ຂປລ.	 ...
