ກປ.ອອນໄລ - ວັນທີ 28 ມັງກອນ, ກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ກ້າວເຂົ້າສູ່ມື້ເຮັດວຽກທີ 3.	Ngày 28/1, Đại hội đại biểu toàn quốc lần thứ 13 của Đảng bước sang ngày làm việc thứ ba.
ໃນວາລະປະຊຸມຕອນເຊົ້າ, ບັນດາຜູ້ແທນເຮັດວຽກທີ່ຫໍປະຊຸມ, ສືບຕໍ່ປຶກສາຫາລືເອກະສານຂອງກອງປະຊຸມໃຫຍ່.	Phiên làm việc buổi sáng, các đại biểu làm việc tại Hội quán, tiếp tục thảo luận về tài liệu hội nghị.
ທ່ານ ເວືອງດິ່ງເຫວ້, ກໍາມະການກົມການເມືອງ, ເລຂາພັກນະຄອນຮ່າໂນ້ຍ ຕາງໜ້າໃຫ້ຄະນະປະທານບໍລິຫານວາລະປະຊຸມ.	Đồng chí Vương Đình Huệ, Ủy viên Ban Chính trị, Bí thư Thành ủy Hà Nội phát biểu chỉ đạo Đại hội.
ວາລະປະຊຸມປຶກສາຫາລືບັນດາເອກະສານຂອງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ທີ່ຫໍປະຊຸມ ໃນວັນທີ 28 ມັງກອນ 2021.	Chương trình thảo luận các văn kiện Đại hội Đảng lần thứ 13 sẽ được tổ chức vào ngày 28/01/2021.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຕອນບ່າຍວັນທີ 28 ມັງກອນ, ກອງປະຊຸມໃຫຍ່ ເຮັດວຽກທີ່ຫໍປະຊຸມກ່ຽວກັບວຽກງານບຸກຄະລາກອນຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XIII.	Chiều 28/1, Đại hội đã họp Hội nghị lần thứ 13 Ban Cán sự Đảng Trung ương.
ທ່ານ ເຈິ່ນກ໊ວກເວື້ອງ, ກໍາມະການກົມການເມືອງ, ຜູ້ປະຈໍາການຄະນະເລຂາທິການ ໄດ້ຕາງໜ້າໃຫ້ຄະນະປະທານບໍລິຫານວາລະປະຊຸມ.	Đồng chí Trần Quốc Vượng, Ủy viên Ban Chính trị, Ủy viên Ban Bí thư, đại diện Chủ tịch Ban Chấp hành.
ທ່ານ ຟ້າມມິງຈິ໊ງ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ, ຫົວໜ້າຄະນະຈັດຕັ້ງສູນກາງ ໄດ້ຕາງໜ້າຄະນະປະທານ ຂຶ້ນກ່າວບົດລາຍງານຂອງຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XII ກ່ຽວກັບວຽກງານບຸກຄະລາກອນຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XIII.	Đồng chí Phạm Minh Cảnh, Ủy viên Ban Chính trị, Bí thư Trung ương Đảng, Trưởng Ban Tổ chức Trung ương trình bày tờ trình của Ban Chấp hành Trung ương Đảng khóa XII về công tác nhân sự Ban Chấp hành Trung ương Đảng khóa XII. Ủy ban.
ກອງປະຊຸມໄດ້ປຶກສາຫາລື ແລະລົງຄະແນນສຽງຮັບຮອງເອົາຈຳນວນກໍາມະການຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XIII ແມ່ນ 200 ຄົນ, ລວມມີສະມາຊິກສົມບູນ 180 ຄົນ ແລະສະມາຊິກສໍາຮອງ 20 ຄົນ.	Hội nghị đã thảo luận và biểu quyết thông qua số lượng Ủy viên Ban Chấp hành Trung ương Đảng khóa XIII là 200 Ủy viên, trong đó có 180 Ủy viên chính thức và 20 Ủy viên dự khuyết.
ວັນທີ 29 ມັງກອນ, ກອງປະຊຸມສືບຕໍ່ເຮັດວຽກ.	Ngày 29/1, cuộc họp tiếp tục làm việc.
ໂດຍ: ກວຽດເຕິມ.	Bởi: Việt Full.
