ກປ.ອອນໄລ - ວັນທີ 30 ມັງກອນ 1950, ຫວຽດນາມ ແລະໂຊວຽດ ໄດ້ສ້າງຕັ້ງການພົວພັນທາງການທູດຢ່າງເປັນທາງການ.	KPR Online - Ngày 30/1/1950, Việt Nam và Liên Xô chính thức thiết lập quan hệ ngoại giao.
ໃນໄລຍະ 71 ປີຜ່ານມາ, ການພົວພັນລະຫວ່າງສອງປະເທດຫວຽດນາມ ແລະໂຊວຽດ/ສະຫະພັນລັດເຊຍ ສືບຕໍ່ພັດທະນາຢ່າງແຮງ, ຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ, ສົມກັບມູນເຊື້ອມິດຕະພາບ, ຄວາມສະໜິດຕິດພັນທີ່ມີມາແຕ່ດົນນານລະຫວ່າງສອງປະເທດ.	71 năm qua, quan hệ Việt Nam - Liên Xô / Liên bang Nga tiếp tục phát triển mạnh mẽ, vượt qua mọi khó khăn, thách thức, phù hợp với quan hệ hữu nghị lâu đời và gắn bó giữa hai nước.
ພາຍຫຼັງການປະຕິວັດເດືອນສິງຫາສໍາເລັດຜົນ, ປະເທດສາທາລະນະລັດ ປະຊາທິປະໄຕ ຫວຽດນາມ ກຳເນີດ, ປະທານໂຮ່ຈີມິນ ໄດ້ສະແດງຄວາມປາດຖະໜາຢາກໃຫ້ຫວຽດນາມ ໄດ້ເປັນເພື່ອນມິດກັບບັນດາປະເທດປະຊາທິປະໄຕ, ພິເສດແມ່ນສ້າງຕັ້ງການພົວພັນທາງການທູດກັບໂຊວຽດ.	Sau khi Cách mạng Tháng Tám thành công, Chủ tịch Hồ Chí Minh bày tỏ mong muốn Việt Nam thân thiện với các nước dân chủ, nhất là thiết lập quan hệ ngoại giao với Liên Xô.
ວັນທີ 30 ມັງກອນ 1950, ຫວຽດນາມ ແລະໂຊວຽດ ໄດ້ສ້າງຕັ້ງການພົວພັນທາງການທູດຢ່າງເປັນທາງການ.	Ngày 30/1/1950, Việt Nam và Liên Xô chính thức thiết lập quan hệ ngoại giao.
ເລີ່ມແຕ່ນີ້ເປັນຕົ້ນໄປ, ຫວຽດນາມ-ໂຊວຽດ ໄດ້ສົ່ງເສີມການພົວພັນສອງຝ່າຍດ້ວຍການລົງນາມ ແລະປະຕິບັດບັນດາສັນຍາໃນຫຼາຍຂົງເຂດການຮ່ວມມື, ຄື: ການເມືອງ, ການທະຫານ, ການສຶກສາ-ກໍ່ສ້າງ...	Kể từ đây, quan hệ Việt-Xô ngày càng được củng cố bằng việc ký kết và thực hiện các thỏa thuận trên nhiều lĩnh vực hợp tác, bao gồm chính trị, quân sự, giáo dục và xây dựng.
ດ້ວຍການຊ່ວຍເຫຼືອຂອງໂຊວຽດ, ປະຊາຊົນຫວຽດນາມ ຈຶ່ງຍາດໄດ້ເອກະລາດ ແລະທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ.	Với sự giúp đỡ của Liên Xô, nhân dân Việt Nam đã giành được độc lập, đất nước thống nhất.
ຍ້ອນການຊ່ວຍເຫຼືອດ້ານສິນເຊື່ອ ແລະເຕັກນິກຂອງໂຊວຽດ, ຫຼາຍກິດຈະກຳພັດທະນາເສດຖະກິດ, ວັດທະນະທໍາ, ສັງຄົມໄດ້ສ້າງຂຶ້ນຢູ່ຫວຽດນາມ, ພົ້ນເດັ່ນແມ່ນ: ໂຄງການຮັກສາສົບໄວ້ຍາວນານ ແລະກໍ່ສ້າງສຸສານປະທານໂຮ່ຈີມິນ, ຫໍວັດທະນະທໍາມິດຕະພາບຫວຽດ-ໂຊ, ໂຮງໝໍມິດຕະພາບຫວຽດ-ໂຊ (ປະຈຸບັນແມ່ນໂຮງໝໍມິດຕະພາບ), ຂົວທັງລອງ, ໂຮງງານເຂື່ອນໄຟຟ້ານໍ້າຕົກຮວ່າບີ່ງ...	Nhờ sự hỗ trợ kỹ thuật và tín dụng của Liên Xô, nhiều hoạt động phát triển kinh tế, văn hóa và xã hội đã được thiết lập ở Việt Nam, trong đó có Lăng Chủ tịch Hồ Chí Minh và Lăng Hữu nghị Việt - So, Tòa nhà Hữu nghị Việt - So, Cầu Dài.
ສິ່ງເຫຼົ່ານີ້ໄດ້ສະແດງໃຫ້ເຫັນການຊ່ວຍເຫຼືອຢ່າງສຸດອົກສຸດໃຈຂອງພັກ, ປະຊາຊົນໂຊວຽດທີ່ມີຕໍ່ກິດຈະການສ້າງສາປະເທດຫວຽດນາມ.	Những điều này thể hiện sự ủng hộ hết lòng của Đảng, nhân dân Liên Xô đối với công cuộc xây dựng đất nước Việt Nam.
ວັນທີ 16 ມິຖຸນາ 1994, “ສົນທິສັນຍາວ່າດ້ວຍຫຼັກການພື້ນຖານຂອງການພົວພັນມິດຕະພາບລະຫວ່າງ ສສ ຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ເຊິ່ງສອງຝ່າຍໄດ້ລົງນາມຢູ່ນະຄອນຫຼວງມົດສະກູ, ໄດ້ສ້າງພື້ນຖານຢ່າງໝັ້ນແກ່ນເພື່ອໃຫ້ສອງປະເທດຍົກການພົວພັນສອງຝ່າຍຂຶ້ນເປັນ “ຄູ່ຮ່ວມມືຍຸດທະສາດ (ເດືອນມີນາ 2001) “ຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານ (ເດືອນກໍລະກົດ 2012).	Ngày 16/6/1994, Hiệp ước về những nguyên tắc cơ bản của hữu nghị giữa nước Cộng hòa xã hội chủ nghĩa Việt Nam và Liên bang Nga được hai bên ký kết tại Mátxcơva đã đặt nền móng cho hai nước nâng tầm quan hệ song phương lên “Đối tác chiến lược (Tháng 3 năm 2001) Đối tác Chiến lược (Tháng 3 năm 2001) ”.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໃນການພົບປະກັບທ່ານ Vladimir Putin ປະທານາທິບໍດີລັດເຊຍ ເນື່ອງໃນໂອກາດທ່ານໄປຢ້ຽມຢາມສະຫະພັນລັດເຊຍ ຢ່າງເປັນທາງການ (ເດືອນພຶດສະພາ 2019).	Thủ tướng Nguyễn Xuân Phúc hội kiến Tổng thống Liên bang Nga Vladimir Putin trong chuyến thăm chính thức Liên bang Nga (tháng 5 năm 2019).
ພາບ: chinhphu.vn.	Ảnh: chinhphu.vn.
