ກປ.ອອນໄລ - ຮອງປະທານຜູ້ທີ 1 ສະພາຕໍ່າສ.	KP Online - Phó Chủ tịch thứ nhất của Hạ viện
ເຊັກໂກ ໃຫ້ຂໍ້ສັງເກດວ່າ ພັກ ແລະລັດຖະບານຫວຽດນາມ ໄດ້ມີຜົນສໍາເລັດອັນໃຫຍ່ຫຼວງໃນການນໍາປະເທດເພີ່ມທະວີການເຊື່ອມໂຍງ ແລະຍົກສູງຖານະບົດບາດໃນເວທີສາກົນ.	Cộng hòa Séc ghi nhận Đảng và Chính phủ Việt Nam đã có nhiều thành tích trong việc đưa đất nước hội nhập sâu rộng hơn, nâng cao vị thế trên trường quốc tế.
ບົດບາດນໍາພາຂອງພັກກອມມູນິດຫວຽດນາມ ນັບມື້ນັບໄດ້ຮັບການຢັ້ງຢືນຜ່ານຫຼາຍຜົນງານເຊິ່ງຫວຽດນາມ ບັນລຸໄດ້ໃນທຸກຂົງເຂດ, ຄື: ເສດຖະກິດ-ສັງຄົມ ກໍ່ຄືຍົກສູງຖານະບົດບາດໃນເວທີສາກົນ.	Vai trò lãnh đạo của Đảng Cộng sản Việt Nam ngày càng được ghi nhận qua nhiều thành tựu đạt được trên mọi lĩnh vực, trong đó có sự phát triển kinh tế - xã hội và vươn lên trên trường quốc tế.
ນີ້ແມ່ນຄຳຢັ້ງຢືນຂອງທ່ານ Vojtech Filip, ຮອງປະທານຜູ້ທີ 1 ສະພາຕໍ່າສ.	Điều này đã được xác nhận bởi Vojtech Filip, Phó Chủ tịch thứ nhất của Hạ viện.
ເຊັກໂກ, ປະທານພັກກອມມູນິດເຊັກໂກ-Morava (KSČM).	Séc, Chủ tịch Đảng Cộng sản Séc-Morava (KSČM).
ທ່ານ Vojtech Filip, ຮອງປະທານຜູ້ທີ 1 ສະພາຕໍ່າສ.	Vojtech Filip, Phó Chủ tịch thứ nhất của Hạ viện
ເຊັກໂກ, ປະທານພັກກອມມູນິດເຊັກໂກ-Morava (KSČM) ຕອບສຳພາດ.	Séc, Chủ tịch Đảng Cộng sản Séc-Morava (KSČM) trả lời phỏng vấn.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຕາມທ່ານ Vojtech Filip ແລ້ວ, ປະຈຸບັນ ຫວຽດນາມ ພວມມີລະດັບເຕີບໂຕເສດຖະກິດສູງບໍ່ພຽງແຕ່ຢູ່ພາກພື້ນອາຊີຕາເວັນອອກສ່ຽງໃຕ້ເທົ່ານັ້ນ ຫາກຍັງຢູ່ໃນໂລກອີກດ້ວຍ, ສາມາດກາຍເປັນຮູບແບບເພື່ອໃຫ້ຫຼາຍປະເທດຮໍ່າຮຽນຕາມ.	Theo Vojtech Filip, Việt Nam hiện đang có tốc độ tăng trưởng kinh tế cao không chỉ trong khu vực Đông Nam Á mà còn trên thế giới, có thể trở thành hình mẫu để nhiều nước học hỏi.
ປີ 2020, ຫວຽດນາມ ບໍ່ພຽງແຕ່ດໍາລົງຕໍາແໜ່ງເປັນສະມາຊິກບໍ່ຖາວອນຂອງສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດເທົ່ານັ້ນ ຫາກຍັງດຳລົງຕຳແໜ່ງຢູ່ໃນຄະນະກໍາມະການ, ອົງການຈັດຕັ້ງອື່ນໆຂອງສາກົນ ກໍ່ຄືພາກພື້ນອີກດ້ວຍເປັນຕົ້ນແມ່ນເປັນປະທານອາຊຽນ.	Đến năm 2020, Việt Nam không chỉ là thành viên không thường trực của Hội đồng Bảo an Liên hợp quốc mà còn là thành viên của các ủy ban, tổ chức quốc tế và khu vực khác, trong đó có Chủ tịch ASEAN.
ຖານະບົດບາດຂອງຫວຽດນາມ ໃນເວທີສາກົນໄດ້ຮັບການຕີລາຄາສູງບໍ່ພຽງແຕ່ຢູ່ບັນດາປະເທດໃນກຸ່ມສັງຄົມນິຍົມໃນເມື່ອກ່ອນເທົ່ານັ້ນ ຫາກຍັງສໍາລັບບັນດາປະເທດຕາເວັນຕົກອີກດ້ວຍ.	Vai trò của Việt Nam trên trường quốc tế được đánh giá cao không chỉ ở các nước xã hội chủ nghĩa trước đây mà cả ở phương Tây.
ທ່ານ Vojtech Filip ແບ່ງປັນວ່າ ທຸກໆວັນທ່ານເອົາໃຈໃສ່ຕິດຕາມການຜັນແປຂອງເຫດການການເມືອງສໍາຄັນນີ້, ພ້ອມທັງສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກກອມມູນິດຫວຽດນາມ ພວມດໍາເນີນໄປຢ່າງຖືກຕ້ອງຕາມແຜນການທີ່ໄດ້ກະກຽມຢ່າງລະອຽດ.	Vojtech Filip chia sẻ, hàng ngày ông đều chú ý đến diễn biến của sự kiện chính trị quan trọng này, đồng thời bày tỏ vui mừng vì Đại hội đại biểu toàn quốc lần thứ 13 của Đảng Cộng sản Việt Nam đang diễn ra theo đúng kế hoạch.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
