ກປ.ອອນໄລ - ວັນທີ 3 ກຸມພາ, ທົ່ວພັກ, ທົ່ວປວງຊົນທັງຊາດ, ທົ່ວກອງທັບເຮົາພ້ອມກັນສະເຫຼີມສະຫຼອງ 91 ປີແຫ່ງວັນສ້າງຕັ້ງພັກກອມມູນິດຫວຽດນາມ ຢ່າງເບີກບານມ່ວນຊື່ນ.	Ngày 3/2, toàn Đảng, toàn dân, toàn quân sẽ kỷ niệm 91 năm Ngày thành lập Đảng Cộng sản Việt Nam.
ປະຊາຊົນຫວຽດນາມ ມີຄວາມເອກອ້າງທະນົງໃຈຕໍ່ປະຫວັດສາດອັນສະຫງ່າງາມຂອງພັກ ທີ່ໄດ້ເພີ່ມເຕີມໃຫ້ແກ່ຂີດໝາຍໃໝ່ຈາກຜົນສຳເລັດຢ່າງຈົບງາມຂອງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ, ຈາກຜົນງານ, ໂສມໜ້າຂອງປະເທດພາຍຫຼັງ 35 ປີແຫ່ງການປ່ຽນແປງໃໝ່.	Nhân dân Việt Nam tự hào về lịch sử vẻ vang của Đảng, tô thắm thêm thành công của Đại hội đại biểu toàn quốc lần thứ 13 của Đảng, thành tựu của đất nước sau 35 năm đổi thay.
ລະດູບານໃໝ່ກ່ອນໜ້ານີ້ 91 ປີ, ການກຳເນີດຂອງພັກກອມມູນິດຫວຽດນາມ ໄດ້ເປັນຂີດໝາຍບາດລ້ຽວທີ່ຍິ່ງໃຫຍ່ຂອງການປະຕິວັດຫວຽດນາມ, ເປັນການເປີດສາກໃຫ້ແກ່ການຕັດສິນໃຈຕໍ່ວິວັດການຕໍ່ສູ້ປະຕິວັດ, ຍາດເອົາເອກະລາດ, ອິດສະຫຼະພາບມາໃຫ້ປະເທດຊາດ, ປະກອບສ່ວນຢ່າງຕັ້ງໜ້າຕໍ່ພາລະກິດແຫ່ງການຕໍ່ສູ້ເພື່ອສັນຕິພາບ: ເອກະລາດແຫ່ງຊາດ ແລະຄວາມກ້າວໜ້າຂອງມວນມະນຸດ.	91 năm trước mùa xuân, sự ra đời của Đảng Cộng sản Việt Nam đã đánh dấu một bước ngoặt của cách mạng Việt Nam, mở đầu cho cuộc đấu tranh cách mạng giành độc lập, tự do của dân tộc.
ການກຳເນີດຂອງພັກກອມມູນິດຫວຽດນາມ ແມ່ນຜົນງານແຫ່ງການສົມທົບລັດທິມາກ-ເລນິນ ໃສ່ກັບຂະບວນການກຳມະກອນ ແລະຂະບວນການຮັກຊາດຫວຽດນາມ.	Sự ra đời của Đảng Cộng sản Việt Nam là kết quả của sự kết hợp chủ nghĩa Mác - Lê-nin với phong trào công nhân và phong trào yêu nước Việt Nam.
ພັກໄດ້ກໍ່ຕັ້ງ, ນຳພາ ແລະຫຼໍ່ຫຼອມດ້ວຍຜູ້ນຳຫງວຽນອ໊າຍກ໊ວກ-ໂຮ່ຈີມິນ.	Đảng do lãnh tụ Nguyễn Ái Quốc-Hồ Chí Minh sáng lập, lãnh đạo và định hình.
ພັກສູ້ຊົນຢ່າງອົງອາດກ້າແກ່ນເພື່ອຜົນປະໂຫຍດຂອງຊົນຊັ້ນ, ຂອງຊາດ ແລະຂອງການພັດທະນາປະເທດຊາດຢ່າງບໍ່ຢຸດຢັ້ງ, ຍາມໃດກໍ່ສົມເປັນກອງກຳລັງນຳໜ້າຂອງຊົນຊັ້ນກຳມະກອນ, ປະຊາຊົນຜູ້ອອກແຮງງານ ແລະຊາດຫວຽດນາມ.	Đảng dũng cảm phấn đấu vì lợi ích của giai cấp, của dân tộc và sự phát triển không ngừng của dân tộc, luôn đi đầu trong sự nghiệp của giai cấp công nhân, nhân dân lao động và của dân tộc Việt Nam.
ພາຍໃຕ້ການນຳພາຂອງພັກ, ປະຊາຊົນຫວຽດນາມ ໄດ້ກ້າວຂຶ້ນຢ່າງແຮງ ແລະເຂັ້ມແຂງໃນເສັ້ນທາງເອກະລາດແຫ່ງຊາດ ແລະລັດທິສັງຄົມນິຍົມ, ສ້າງຫຼັກໝາຍທີ່ຮຸ່ງເຮືອງເຫຼືອງເຫຼື້ອມ, ສ້າງປະຫວັດສາດທີ່ອົງອາດກ້າຫານຂອງຊາດຫວຽດນາມ.	Dưới sự lãnh đạo của Đảng, nhân dân Việt Nam đã có những bước tiến dài trên con đường độc lập dân tộc và chủ nghĩa xã hội, dựng nên những trụ cột vẻ vang và dựng nên trang sử hào hùng của dân tộc Việt Nam.
ພາບປະກອບຄັດຈາກ: tuyengiao.vn.	Hình minh họa: tuyengiao.vn.
ດ້ວຍແນວທາງການເມືອງທີ່ຖືກຕ້ອງ, ສະຫຼາດສ່ອງໃສ, ຢຶດໝັ້ນ, ພັກຍາມໃດກໍ່ຖືລັດທິມາກ-ເລນິນ, ແນວຄິດໂຮ່ຈີມິນ ເປັນພື້ນຖານດ້ານແນວຄິດ, ເປັນເຂັມທິດໃຫ້ແກ່ການກະທຳ.	Với đường lối chính trị đúng đắn, sáng suốt, sáng suốt, Đảng luôn coi chủ nghĩa Mác - Lê-nin, tư tưởng Hồ Chí Minh là cơ sở tư tưởng, là la bàn cho hành động.
ປັບປຸງຄວາມສາມັກຄີ, ຄວາມເປັນເອກະພາບ, ຄວາມຜູກພັນກັບປະຊາຊົນ, ຖືປະຊາຊົນເປັນໃຈກາງ...	Nâng cao sự đoàn kết, thống nhất, gắn bó với nhân dân, lấy nhân dân làm trung tâm ...
ພາລະກິດແຫ່ງການປະຕິວັດຂອງປະເທດຫວຽດນາມ ທັງໝົດໂດຍພັກລິເລີ່ມ, ນຳພານັ້ນຍາມໃດກໍ່ໄດ້ຮັບຄວາມເຫັນດີເຫັນພ້ອມ, ຕອບສະໜອງ, ຕັ້ງໜ້າເຂົ້າຮ່ວມຈາກປະຊາຊົນ.	Nhiệm vụ cách mạng Việt Nam do Đảng khởi xướng luôn nhận được sự đồng tình, hưởng ứng và tham gia của các tầng lớp nhân dân.
