ກປ.ອອນໄລ - ລະດູບານໃໝ່ນີ້, ທ່ານພົນຕີ ຟ້າມຕວນ ມີອາຍຸ 74 ປີ.	Thượng tướng Phạm Tuân hưởng thọ 74 tuổi vào mùa xuân năm nay.
ທ່ານເກີດປີ 1947, ທີ່ແຂວງຖ໋າຍບິ່ງ;	Ông sinh năm 1947 tại tỉnh Thái Bình;
ປີ 1967 ທ່ານໄດ້ກາຍເປັນນັກບິນສູ້ຮົບຂອງທະຫານອາກາດປະຊາຊົນຫວຽດນາມ.	Năm 1967, ông trở thành phi công chiến đấu của Không quân Nhân dân Việt Nam.
ຄ່ຳຄືນວັນທີ 27 ທັນວາ 1972, ລາວເປັນນັກບິນຜູ້ທຳອິດທີ່ຍິງເຮືອບິນ B-52 ຕົກ.	Đêm 27/12/1972, anh là phi công đầu tiên bắn rơi chiếc B-52.
ປີ 1977, ລາວໄດ້ໄປຮຽນຢູ່ວິທະຍາຄານທະຫານອາກາດ Gagarin (ໂຊວຽດ) ຫຼັງຈາກນັ້ນຫັນເປັນນັກບິນອາວະກາດ.	Năm 1977, ông học tại Học viện Không quân Gagarin (Liên Xô) và sau đó trở thành phi hành gia.
ວັນທີ 23 ກໍລະກົດ 1980, ທ່ານພ້ອມກັບນັກອາວະກາດ Gorbatko ບິນຂຶ້ນອາວະກາດ, ກາຍເປັນຊາວຫວຽດນາມ, ຄົນອາຊີທຳອິດບິນຂຶ້ນອາວະກາດ.	Ngày 23/7/1980, ông cùng nhà du hành Gorbatko bay vào vũ trụ, trở thành người Việt Nam, người châu Á đầu tiên bay.
ໃນຊຸມວັນໃກ້ຈະຮອດປີໃໝ່ປະຈໍາຊາດປີ 2021, ທ່ານພົນຕີ ຟ້າມຕວນ ໄດ້ໄປຍັງສຳນັກງານໜັງສືພິມກອງທັບປະຊາຊົນ ເພື່ອເຂົ້າຮ່ວມການໂອ້ລົມສົນທະນາທີ່ມີຫົວຂໍ້ວ່າ "70 ປີແຫ່ງການຮ່ວມມືກໍ່ສ້າງຫວຽດນາມ-ໂຊວຽດ/ສະຫະພັນລັດເຊຍ-ຂີດໝາຍຜ່ານເວລາ".	Trước thềm Tết nguyên đán 2021, Thượng tướng Phạm Tuân đã đến Phòng Báo chí Quân đội nhân dân để tham dự tọa đàm “70 năm Việt Nam - Liên Xô - Nga - Vượt qua thời gian”.
ເຖິງວ່າຂາເບື້ອງດຽວຖືກເຈັບໜ້ອຍດຽວ, ແຕ່ປັນຍາ ແລະສຽງເວົ້າຂອງທ່ານຍັງແຈ້ງດີຢູ່.	Ngay cả khi chỉ bị đau một bên chân, trí tuệ và giọng nói của bạn vẫn rõ ràng.
ທ່ານແມ່ນ "ຜູ້ເປີດສາກ": ຖ້າບໍ່ມີການຊ່ວຍເຫຼືອສຸດຈິດສຸດໃຈຂອງຄູອາຈານໂຊວຽດ, ຈະບໍ່ມີນັກບິນການທະຫານລຸ້ນຕ່າງໆກັບເມືອຮັບໃຊ້ປະເທດໃນຊຸມເດືອນປີແຫ່ງສົງຄາມ.	Các anh là “bệ phóng”: nếu không có sự giúp đỡ tận tình của các thầy cô giáo Liên Xô, các thế hệ phi công quân sự đã không thể trở về phục vụ Tổ quốc trong những năm tháng chiến tranh.
ຕາມທ່ານແລ້ວ, ໃນຊຸມປີທີ່ຫຍຸ້ງຍາກດັ່ງກ່າວ, ການຄັດເລືອກຜູ້ຮຽນນັກບິນແມ່ນຍາກທີ່ສຸດ.	Theo ông, trong những năm khó khăn này, việc tuyển chọn học viên phi công vô cùng khó khăn.
ເວັ້ນເສຍແຕ່ຈິດໃຈ, ເຈດຈໍານົງແລ້ວ, ລະດັບວັດທະນະທໍາ ແລະກໍາລັງກາຍຂອງພວກເຮົາລ້ວນແຕ່ອ່ອນກວ່າປະເທດອື່ນໆ.	Ngoại trừ tinh thần, chủ ý, trình độ văn hóa và thể chất của chúng tôi yếu hơn bất kỳ quốc gia nào khác.
