ບຸນເຕັດຂອງ ຫວຽດນາມ ແມ່ນເຂັ້ມຂົົ້ນໄປດ້ວຍສີສັນຊາດ ແລະ ແມ່ນຈຸດວັດທະນະທຳທີ່ເປັນເອກະລັກສະເພາະຂອງປະຊາຊົນຫວຽດນາມ.	Tết của Việt Nam mang đậm màu sắc dân tộc và là một nét văn hóa đặc sắc của dân tộc Việt Nam.
ທ່ານ Daniel J.	Daniel J.
Kritenbrink ເອກອັກຄະລັດຖະທູດອາເມລິກາ ປະຈຳ ຫວຽດນາມ.	Kritenbrink, Đại sứ Hoa Kỳ tại Việt Nam
ພາບ:ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານ Daniel J.	Daniel J.
Kritenbrink ເອກອັກຄະລັດຖະທູດອາເມລິກາ ປະຈຳ ຫວຽດນາມ ໃຫ້ຮູ້ວ່າ ປີນີ້ແມ່ນປີທີ 4 ເຊິ່ງທ່ານພ້ອມກັບຄອບຄົວໄດ້ຕ້ອນຮັບບຸນເຕັດຢູ່ ຫວຽດນາມ.	Kritenbrink, Đại sứ Hoa Kỳ tại Việt Nam cho biết đây là năm thứ tư ông và gia đình đăng cai tổ chức lễ hội tại Việt Nam.
ປີໃດກໍເຊັ່ນດຽວກັນ, ທ່ານພ້ອມກັບຄອບຄົວກໍເຂົ້າຮ່ວມວຽກງານກະກຽມຕ້ອນຮັບບຸນປີໃໝ່ເປັນຕົ້ນແມ່ນການຫໍ່ເຂົ້າຕົ້ມ, ຢ໊ຽມຊົມສວນດອກຄາຍ, ໄປວັດ ແລະ ທຳພິທີປ່ອຍປາໄນ.	Hàng năm, anh và gia đình đều tham gia các công việc chuẩn bị cho ngày Tết như gói cơm lam, thăm vườn hoa, đi lễ chùa và tổ chức lễ thả cá.
ຕາມທ່ານເອກອັກຄະລັດຖະທູດ Daniel J.	Theo Đại sứ Daniel J.
Kritenbrink ແລ້ວ, ປີ 2020 ແມ່ນປີທີ່ມີຄວາມຫຍຸ້ງຍາກສຳລັບອາເມລິກາ, ຫວຽດນາມ ກໍຄືທົ່ວໂລກແຕ່ທ່ານມີຄວາມປິຕິຊົມຊື່ນເມື່ອໄດ້ມີບັນດາກາລະໂອກາດເພື່ອພ້ອມກັນຮ່ວມມື, ກໍຄືສະແດງໃຫ້ເຫັນກຳລັງແຮງຂອງການພົວພັນຄູ່ຮ່ວມມື.	Theo Kritenbrink, năm 2020 sẽ là một năm khó khăn đối với Hoa Kỳ, Việt Nam và thế giới, nhưng ông rất vui khi có cơ hội làm việc cùng nhau, cũng như thể hiện sức mạnh của mối quan hệ đối tác.
ທ່ານກໍມີຄວາມຕື້ນຕັນໃຈທີ່ປະຊາຊົນ ແລະ ລັດຖະບານຫວຽດນາມ ໄດ້ຊ່ວຍເຫຼືອຜ້າອັດປາກນັບລ້ານອັນກໍຄືອຸປະກອນການແພດເພື່ອຊ່ວຍຮັກສາສຸຂະພາບໃຫ້ແກ່ປະຊາຊົນອາເມລິກາ.	Ông cũng rất ấn tượng về việc nhân dân và chính phủ Việt Nam đã tặng hàng triệu khẩu trang và vật dụng y tế để giúp người Mỹ giữ gìn sức khỏe.
ມາຮອດປັດຈຸບັນ, ບັນດາຂົງເຂດຮ່ວມມືສອງຝ່າຍຄືການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ການຄ້າ, ການພົວພັນແລກປ່ຽນປະຊາຊົນ, ສາທາລະນະສຸກ...	Cho đến nay, các lĩnh vực hợp tác song phương là quốc phòng, an ninh, thương mại, giao lưu nhân dân, y tế ...
ລ້ວນແຕ່ບັນລຸບັນດາບາດກາ້ວກະໂດດຂັ້ນ.	Tất cả chúng đều đã đạt đến những bước phát triển nhảy vọt.
ທ່ານເອກອັກຄະລັດຖະທູດ Daniel J.	Đại sứ Daniel J.
Kritenbrink ຫວັງວ່າ ສອງປະເທດ ຈະສືບຕໍ່ກໍ່ສ້າງ ແລະ ເຮັດໃຫ້ຄວາມໄວ້ເນື້ອເຊື່ອໃຈກໍຄືຄວາມເຄົາລົບເຊິ່ງກັນ ແລະກັນເລິກເຊິ່ງຂຶ້ນຕື່ມ;	Kritenbrink mong muốn hai nước tiếp tục xây dựng và làm sâu sắc hơn nữa sự tin cậy và tôn trọng lẫn nhau;
