ກປ.ອອນໄລ - ລະດູບານໃໝ່ປີສະຫຼູ 2021 ແມ່ນລະດູບານໃໝ່ທີ່ພິເສດທີ່ສຸດ.	KPR Online - Lễ hội mùa xuân năm 2021 là mùa xuân đặc biệt nhất.
ຫວຽດນາມ ຕ້ອນຮັບລະດູບານໃໝ່ໃນສະພາບການໃໝ່.	Việt nam đón xuân mới
ພະຍາດໂຄວິດ-19 ດ້ວຍເຊື້ອໄວຣັດສາຍພັນໃໝ່ນັ້ນ ພວມສ້າງສິ່ງທ້າທາຍຫຼາຍຢ່າງເຊິ່ງຮຽກຮ້ອງໃຫ້ປະເທດ ແລະທົ່ວປວງຊົນທັງຊາດຕ້ອງສາມັກຄີ ແລະເປັນຈິດໜຶ່ງໃຈດຽວກັນເພື່ອຜ່ານຜ່າ.	Virus Kovid-19 đang đặt ra nhiều thách thức đòi hỏi sự đoàn kết của cả quốc gia và dân tộc.
ພວກເຮົາຕ້ອງມານະພະຍາຍາມຫຼາຍກວ່າອີກ, ວາງອອກບັນດາມາດຕະການໃໝ່ເພື່ອທັງປ້ອງກັນ ແລະຕ້ານພະຍາດຢ່າງມີປະສິດທິຜົນ, ທັງພັດທະນາເສດຖະກິດຂອງປະເທດ ແລະຮັບປະກັນຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນ.	Chúng ta phải làm nhiều hơn nữa để đề ra các biện pháp phòng, chống dịch bệnh có hiệu quả, phát triển kinh tế đất nước và bảo đảm an sinh cho nhân dân.
ປີຊວດ 2020 ຜ່ານມາເປັນປີທີ່ເຕັມໄປດ້ວຍຄວາມວິຕົກກັງວົນ, ສິ່ງທ້າທາຍ.	Năm 2020 là một năm đầy lo lắng và thách thức.
ພະຍາດໂຄວິດ-19 ບໍ່ພຽງແຕ່ເຮັດໃຫ້ມີຜູ້ເສຍຊີວິດຫຼາຍກວ່າ 2,4 ລ້ານຄົນເທົ່ານັ້ນ ຫາກຍັງເຮັດໃຫ້ບັນດາພື້ນຖານເສດຖະກິດຖືກຊຸດໂຊມອີກດ້ວຍ.	Coronavirus-19 không chỉ giết chết hơn 2,4 triệu người mà còn tàn phá nền kinh tế.
ບໍ່ພຽງແຕ່ໄດ້ຮັບຜົນກະທົບຈາກພະຍາດ-19 ເທົ່ານັ້ນ ຫາກໃນປີຜ່ານມາ, ຫວຽດນາມ ຍັງປະສົບກັບໄພຝົນຕົກ ນ້ຳຖ້ວມຄັ້ງປະຫວັດສາດຢູ່ພາກກາງ, ເຮັດໃຫ້ປະຊາຊົນເສຍຊີວິດຫຼາຍຄົນ ແລະທຳລາຍວັດຖຸສິ່ງຂອງເສຍຫາຍຢ່າງໜັກໜ່ວງອີກດ້ວຍ.	Không chỉ Việt Nam bị ảnh hưởng bởi căn bệnh 19 tuổi mà năm ngoái, Việt Nam cũng đã trải qua trận mưa lũ lịch sử ở miền Trung khiến nhiều người thiệt mạng và thiệt hại trên diện rộng.
ໂດຍພື້ນຖານແລ້ວ, ປະເທດຫວຽດນາມ ຍັງສາມາດຄວບຄຸມພະຍາດໂຄວິດ-19, ຍັງປົກປ້ອງສຸຂະພາບ ແລະຊີວິດຂອງປະຊາຊົນໄດ້ເປັນຢ່າງດີ.	Về cơ bản, Việt Nam vẫn điều khiển được Kovi-19, đồng thời bảo vệ sức khỏe và tính mạng của người dân.
ເຂດພາກກາງໄດ້ຮັບຜົນເສຍຫາຍຢ່າງໜັກຈາກຝົນຕົກ, ນ້ຳຖ້ວມແຕ່ກໍ່ໄດ້ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຢ່າງວ່ອງໄວ, ເຮັດໃຫ້ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນເປັນປົກກະຕິ.	Miền Trung bị ảnh hưởng nặng nề bởi mưa lũ, nhưng ảnh hưởng của thiên tai đã nhanh chóng được đảo ngược, bình thường hóa cuộc sống của người dân.
ເສດຖະກິດໂລກຖືກຊຸດໂຊມຢ່າງໜັກໜ່ວງ, ແຕ່ເສດຖະກິດຂອງພວກເຮົາຍັງເຕີບໂຕ 2,91% ລອດເຂົ້າໃນທອັບປະເທດທີ່ມີການເຕີບໂຕທາງດ້ານເສດຖະກິດສູງແຖວໜ້າໂລກໃນປີ 2020.	Nền kinh tế thế giới đang trong tình trạng sụt giảm nghiêm trọng, nhưng nền kinh tế nước ta vẫn tăng trưởng với tốc độ 2,91%, vượt qua phần còn lại của thế giới vào năm 2020.
ກໍາລັງຄວາມສາມາດບົ່ມຊ້ອນຂອງປະເທດຊາດ ແລະພະລັງຊີວິດຂອງຊາດບໍ່ພຽງແຕ່ສະແດງໃຫ້ເຫັນໃນຍາມທີ່ພວກເຮົາມີຄວາມສະດວກເທົ່ານັ້ນ, ຫາກຍັງສະແດງອອກຢ່າງຈະແຈ້ງໃນຍາມທີ່ພວກເຮົາຫຍຸ້ງຍາກອີກດ້ວຍ.	Tiềm lực của dân tộc và sức sống của dân tộc không chỉ được thể hiện khi chúng ta an nhàn, mà còn thể hiện rõ nét trong những lúc chúng ta khó khăn.
ພາບປະກອບ: ຮຸ່ງຄວາ	Minh họa: Hùng Khùa
ໃນໄລຍະຫຍຸ້ງຍາກນັ້ນ, ພວກເຮົາຮັບຮູ້ໄດ້ຢ່າງຈະແຈ້ງກວ່າກ່ຽວກັບລັກສະນະດີເລີດ, ຄວາມດີງາມຂອງລະບອບສັງຄົມນິຍົມ.	Trong giai đoạn khó khăn đó, chúng ta càng nhận thức rõ hơn những phẩm chất, phẩm chất tốt đẹp của chủ nghĩa xã hội.
ພວກເຮົາບໍ່ໄດ້ໃຫ້ໃຜຖືກປະໄວ້ຢູ່ເບື້ອງຫຼັງ.	Chúng tôi đã không bỏ lại bất cứ ai phía sau.
