ກປ.ອອນໄລ - ປີ 2020, ດ້ວຍການເປັນເສນາທິການຢ່າງຊັດເຈນ, ທັນການຂອງຂະແໜງເສນາຮັກ, ວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ບັນລຸໄດ້ບັນດາໝາກຜົນສຳຄັນ, ຈຳກັດໂລກພະຍາດແຜ່ລະບາດເຂົ້າກອງທັບຕ່ຳທີ່ສຸດ.	Miễn phí - 2020, với một căn bệnh chính xác, chính xác, truy cập và từ bỏ bệnh.
ຄຽງຂ້າງນັ້ນ, ຂະແໜງເສນາຮັກ ຍັງແມ່ນກຳລັງຫຼັກແຫຼ່ງແກ່ນສານຂອງກອງທັບເຂົ້າຮ່ວມຢ່າງຕັ້ງໜ້າພ້ອມກັບທົ່ວປະເທດເພື່ອສະກັນກັ້ນ ແລະຕ້ານໂລກພະຍາດຢູ່ບັນດາທ້ອງຖິ່ນ.	Bên cạnh, ngành này cũng là nguồn chính của quân đội đã tham dự đất nước cùng với đất nước cho một địa phương.
ຕໍ່ໜ້າການຜັນແປສັບສົນຂອງພະຍາດໂຄວິດ-19, ພວກຂ້າພະເຈົ້າ ມີການແລກປ່ຽນກັບທ່ານພົນຈັດຕະວາ, ຮສຈ, ປອ ຫງວຽນຊວນກຽນ, ຫົວໜ້າກົມເສນາຮັກ, ກົມໃຫຍ່ພະລາທິການກ່ຽວກັບບັນດາມາດຕະການປ້ອງກັນ, ຕ້ານໂລກພະຍາດຂອງກອງທັບໃນໄລຍະຈະມາເຖິງ.	Trước sự chuyển đổi quảng cáo, chúng ta phải chia sẻ với Mumbersham, Nguyễn Điền Sienan, Chống Giám đốc Quân đội.
ນັກຂ່າວ: ຂໍຮຽນສະຫາຍ, ຕໍ່ໜ້າການຜັນແປຢ່າງສັບສົນຂອງໂລກພະຍາດໂຄວິດ-19, ກົມເສນາຮັກ ໄດ້ເປັນເສນາທິການກັບຂັ້ນເທິງຜັນຂະຫຍາຍບັນດາມາດຕະການໃດແດ່?	Nhà báo: Yêu cầu một giả kim thuật phức tạp, trước thế giới, bộ phận giới tính của Tổng cục?
ທ່ານພົນຈັດຕະວາ ຫງວຽນຊວນກຽນ: ດ້ວຍພາລະບົດບາດແມ່ນອົງການປະຈຳການຂອງຄະນະຊີ້ນຳປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ກະຊວງປ້ອງກັນປະເທດ, ກົມເສນາຮັກ ຍາມໃດກໍ່ກຳແໜ້ນການຜັນແປຂອງສະພາບການ, ເປັນເສນາທິການກັບຂັ້ນເທິງຢ່າງທັນການເພື່ອຊີ້ນຳ, ນຳພາທົ່ວກອງທັບຜັນຂະຫຍາຍບັນດາມາດຕະການປ້ອງກັນ, ຕ້ານໂລກພະຍາດ.	Melland Nguyễn Đàm: Với vai trò là tuyên bố về hướng dẫn phòng thủ, chống thế hệ, chống lại các thế hệ, chống lại bệnh tật.
ເມື່ອມີກໍລະນີຕິດເຊື້ອພະຍາດໂຄວິດ-19 ລາຍໃໝ່, ຊີ້ນຳການຈັດຕັ້ງການຊອກຫາບ່ອນແຜ່ລະບາດຢ່າງວ່ອງໄວ, ແຍກປ່ຽວ, ຈຳກັດບໍລິເວນ, ຕ້ານພະຍາດ;	Khi trường hợp bị nhiễm bệnh, sản xuất, chỉ đạo tổ chức, châu chấu, chống lại khu vực;
ຊີ້ນຳກຳລັງ, ເພີ່ມທະວີພາຫະນະ, ວັດຖຸອຸປະກອນ, ຢາໃຫ້ດ່ານໜ້າຕ້ານໂລກພະຍາດ...	Lực lượng chỉ đạo, tăng phương tiện, vật liệu thiết bị, liều lượng để ngang, bệnh ...
ເສນາຮັກກອງພັນໃຫຍ່ 125 (ກອງບັນຊາການທະຫານແຂວງຫ໋າຍເຢືອງ, ທະຫານເຂດ 3) ກວດສຸຂະພາບໃຫ້ພົນລະເມືອງທີ່ພວມແຍກຕົວຢູ່ກົມກອງ).	Sienaries 125 (Chỉ huy bến cảng Bayaire, 3) Kiểm tra sức khỏe cung cấp một công dân cho quận bảo vệ).
ພາບ: ຝູ໊ເຊີນ.	Ảnh: kéo được mời.
ໃນໄລຍະຜ່ານມາ, ກົມເສນາຮັກ ໄດ້ປະກາດໃຊ້ບັນດາເອກະສານຊີ້ນຳ, ແນະນຳທົ່ວກອງທັບຜັນຂະຫຍາຍບັນດາມາດຕະການປ້ອງກັນ, ຕ້ານພະຍາດ;	Trong quá khứ, một bộ phận đáng yêu, các tập tin lái, giới thiệu Quân đội trong toàn Quân đội, Kháng chiến;
ຊອກຫາກໍລະນີທີ່ໄດ້ສຳຜັດກັບຜູ້ຕິດເຊື້ອພະຍາດ SARS-CoV-2;	Tìm trường hợp nhiễm bệnh SARS-COV-2;
