ວົງເງິນການຄ້າເດືອນມັງກອນ ປີ 2021 ຂອງລາວ ບັນລຸໄດ້ປະມານ 975 ລ້ານໂດລາສະຫະລັດ.	Kim ngạch thương mại của Lào trong tháng 1 năm 2021 đạt khoảng 975 triệu đô la Mỹ.
ໃນນັ້ນ, ວົງເງິນການສົ່ງອອກບັນລຸໄດ້ 482 ລ້ານໂດລາສະຫະລັດ ເພີ່ມຂຶ້ນຈາກ 468 ລ້ານໂດລາສະຫະລັດ ໃນເດືອນທັນວາປີ 2020, ຂະນະທີ່ວົງເງິນການນໍາເຂົ້າບັນລຸໄດ້ 492 ລ້ານໂດລາສະຫະລັດ ຫຼຸດລົງຈາກ 546 ລ້ານໂດລາສະຫະລັດໃນເດືອນທັນວາ ປີ 2020 ແລະນໍາເຂົ້າເກີນດຸນປະມານ 10 ລ້ານໂດລາສະຫະລັດ.	Trong đó, xuất khẩu đạt 482 triệu USD, tăng so với mức 468 triệu USD của tháng 12/2020, trong khi nhập khẩu đạt 492 triệu USD, giảm so với mức 546 triệu USD của tháng 12/2020 và thặng dư khoảng 10 triệu USD.
ອີງຕາມເວັບໄຊສູນຂໍ້ມູນຂ່າວສານດ້ານການຄ້າຂອງ ສປປ ລາວ ໃຫ້ຮູ້ວ່າ: ວົງເງິນການການສົ່ງອອກມີປະມານ 482 ລ້ານໂດລາສະຫະລັດ, ສິນຄ້າສົ່ງອອກຫຼັກມີ: ມັນຕົ້ນບັນລຸປະມານ 56 ລ້ານໂດລາສະຫະລັດ, ຄຳແທ່ງບັນລຸປະມານ 56 ລ້ານໂດລາສະຫະລັດ, ແຮ່ທອງ ບັນລຸ 49 ລ້ານໂດລາສະຫະລັດ.	Theo website của Trung tâm Thông tin Thương mại CHDCND Lào, kim ngạch xuất khẩu khoảng 482 triệu đô la Mỹ, các mặt hàng xuất khẩu chủ yếu là: sắn khoảng 56 triệu đô la Mỹ, vàng miếng khoảng 56 triệu đô la Mỹ, quặng vàng khoảng 49 triệu đô la Mỹ. .
ນອກນັ້ນ, ກໍມີໝາກກ້ວຍບັນລຸ 23 ລ້ານໂດລາສະຫະລັດ, ຢາງພາລາ ບັນລຸ 15 ລ້ານໂດລາສະຫະລັດ, ເຄື່ອງນຸ່ງຫົ່ມ ບັນລຸ 15 ລ້ານໂດລາສະຫະລັດ, ຊິ້ນສ່ວນກ້ອງບັນທຶກພາບ ບັນລຸ 14 ລ້ານໂດລາສະຫະລັດ, ກາເຟບໍ່ທັນໄດ້ປຸງແຕ່ງ ບັນລຸ 13 ລ້ານໂດລາສະຫະລັດ, ນໍ້າຕານ ບັນລຸ 10 ລ້ານໂດລາສະຫະລັດ ແລະຢາສູບບັນລຸປະມານ 3 ລ້ານໂດລາສະຫະລັດ.	Ngoài ra, còn có 23 triệu đô la Mỹ chuối, 15 triệu đô la Mỹ cao su, 15 triệu đô la Mỹ quần áo, 14 triệu đô la Mỹ linh kiện máy ảnh, 13 triệu đô la Mỹ cà phê chưa nấu chín, 10 triệu đô la Mỹ đường và 3 triệu đô la Mỹ vào thuốc lá.
ພາບປະກອບຈາກ: nhandan.com.vn	Minh họa bởi: nhandan.com.vn
ບັນດາປະເທດທີ່ ສປປ ລາວ ສົ່ງອອກຫຼັກລວມມີ: ຈີນ ບັນລຸ 167 ລ້ານໂດລາສະຫະລັດ, ຫວຽດນາມ ບັນລຸ 121 ລ້ານໂດລາສະຫະລັດ, ໄທ ບັນລຸ 89 ລ້ານໂດລາສະຫະລັດ, ອິນເດຍ ບັນລຸ 14 ລ້ານໂດລາສະຫະລັດ ແລະ ຍີ່ປຸ່ນ ບັນລຸ 7 ລ້ານໂດລາສະຫະລັດ.	Các nước xuất khẩu chính của CHDCND Lào là: Trung Quốc đạt 167 triệu đô la Mỹ, Việt Nam đạt 121 triệu đô la Mỹ, Thái Lan đạt 89 triệu đô la Mỹ, Ấn Độ đạt 14 triệu đô la Mỹ và Nhật Bản đạt 7 triệu đô la Mỹ.
ສ່ວນສິນຄ້ານໍາເຂົ້າຫຼັກມີ: ເຫຼັກ ແລະເຄື່ອງທີ່ເຮັດດ້ວຍເຫຼັກ, ເຫຼັກກ້າມີມູນຄ່າປະມານ 42 ລ້ານໂດລາສະຫະລັດ;	Các mặt hàng nhập khẩu chính là: thép và các sản phẩm từ thép, trị giá xấp xỉ 42 triệu USD;
ຮອງມາແມ່ນນ້ຳມັນກາຊວນບັນລຸ 38 ລ້ານໂດລາສະຫະລັດ, ພາຫະນະທາງບົກ (ນອກຈາກລົດຈັກ, ລົດໄຖ) ບັນລຸ 35 ລ້ານໂດລາສະຫະລັດ, ອຸປະກອນກົນຈັກ (ນອກຈາກເຄື່ອງກົນຈັກພາຫະນະ) ບັນລຸ 35 ລ້ານໂດລາສະຫະລັດ, ເຄື່ອງໄຟຟ້າ ແລະອຸປະກອນໄຟຟ້າບັນລຸ 24 ລ້ານໂດລາສະຫະລັດ ແລະສິນຄ້າອື່ນໆອີກ.	Tiếp theo là dầu diesel với 38 triệu USD, phương tiện đường bộ (không bao gồm xe máy và máy kéo) là 35 triệu USD, thiết bị cơ khí (không bao gồm xe có động cơ) là 35 triệu USD, thiết bị điện và điện tử là 24 triệu USD và các mặt hàng khác .
ບັນດາປະເທດທີ່ ສປປ ລາວ ນໍາເຂົ້າຫຼັກມີ: ໄທ ບັນລຸ 266 ລ້ານໂດລາສະຫະລັດ, ຈີນ ບັນລຸ 115 ລ້ານໂດລາສະຫະລັດ, ຫວຽດນາມ ບັນລຸ 59 ລ້ານໂດລາສະຫະລັດ, ຍີ່ປຸ່ນ ບັນລຸ 7 ລ້ານໂດລາສະຫະລັດ ແລະອາເມລິກາ ບັນລຸ 13 ລ້ານໂດລາສະຫະລັດ.	Các nước nhập khẩu chính của CHDCND Lào là: Thái Lan đạt 266 triệu đô la Mỹ, Trung Quốc đạt 115 triệu đô la Mỹ, Việt Nam đạt 59 triệu đô la Mỹ, Nhật Bản đạt 7 triệu đô la Mỹ và Hoa Kỳ đạt 13 triệu đô la Mỹ.
ວົງເງິນການຄ້າຂອງ ສປປ ລາວ ເດືອນມັງກອນປີ 2021 ແມ່ນຍັງບໍ່ກວມເອົາມູນຄ່າການສົ່ງອອກໄຟຟ້າ.	Khối lượng thương mại của CHDCND Lào trong tháng 1 năm 2021 không bao gồm giá trị xuất khẩu điện.
ໂດຍ: ເສດຖະກິດການຄ້າ.	Theo: Kinh tế thương mại.
