ກປ.ອອນໄລ - ຢູ່ບໍລິເວນແຂວງຫາຍເຢືອງ ມີກວ່າ 14.000 ວິສາຫະກິດດ້ວຍຜູ້ອອກແຮງງານກວ່າ 350.000 ຄົນ.	KR Online - Trên địa bàn tỉnh Hải Dương có hơn 14.000 doanh nghiệp với hơn 350.000 lao động.
ຜ່ານມາ, ຍ້ອນພະຍາດໂຄວິດ-19 ດັ່ງນັ້ນ ວິສາຫະກິດບາງແຫ່ງຕ້ອງໄດ້ຢຸດເຄື່ອນໄຫວຊົ່ວຄາວ.	Trước đây, do dịch bệnh Kovid-19, một số doanh nghiệp phải tạm ngừng hoạt động.
ນັບແຕ່ວັນທີ 27 ກຸມພາ, ວິສາຫະກິດບາງແຫ່ງໄດ້ເລີ່ມເຄື່ອນໄຫວຄືນໃໝ່, ປະຕິບັດເປົ້າໝາຍຄວບຄູ່: ທັງພັດທະນາການຜະລິດ, ດໍາເນີນທຸລະກິດ, ທັງປ້ອງກັນ, ຕ້ານພະຍາດ.	Từ ngày 27/2, một số doanh nghiệp đã hoạt động trở lại, theo đuổi mục tiêu kép: phát triển sản xuất, kinh doanh, phòng, chống dịch bệnh.
ວັນທີ 2 ມີນາ, ທ່ານ ຟ້າມຊວນທັງ ເລຂາພັກແຂວງຫາຍເຢືອງ ໄດ້ລົງກວດກາວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດຢູ່ວິສາຫະກິດບາງແຫ່ງ: ທ່ານໄດ້ຢັ້ງຢືນວ່າ ທາງແຂວງສືບຕໍ່ປະຕິບັດບັນດາມາດຕະການປ້ອງກັນ, ຕ້ານພະຍາດຢ່າງຂ້ຽວຂາດ, ພ້ອມທັງແກ້ໄຂຄວາມຫຍຸ້ງຍາກໃຫ້ແກ່ວິສາຫະກິດ, ຜັນຂະຫຍາຍບັນດາໜ້າທີ່ພັດທະນາເສດຖະກິດ-ສັງຄົມ.	Ngày 2/3, đồng chí Phạm Xuân Thắng, Bí thư Tỉnh ủy Hải Dương đã đi kiểm tra công tác phòng, chống dịch bệnh tại một số doanh nghiệp.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ວິວັດການຜະລິດ, ດໍາເນີນທຸລະກິດ, ບັນດາວິສາຫະກິດຍາມໃດກໍ່ຕ້ອງຮັກສາລະບຽບການ "5K" ຢ່າງເຂັ້ມງວດ ເພື່ອປ້ອງກັນ, ຕ້ານພະຍາດ...	Tuy nhiên, trong quá trình phát triển của sản xuất, kinh doanh, các doanh nghiệp phải luôn duy trì nghiêm ngặt các quy định “5K” để phòng, chống dịch bệnh ...
ກວດກາສຸຂະພາບ, ຂ້າເຊື້ອໃຫ້ແກ່ຄົນ ແລະພາຫະນະເຂົ້າ-ອອກວິສາຫະກິດ.	Kiểm tra sức khoẻ, khử trùng tiêu độc người và phương tiện ra vào doanh nghiệp.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ການນໍາແຂວງຫາຍເຢືອງ ກວດກາໜ່ວຍປອດໄພໂຄວິດ-19 ກ່ຽວກັບວຽກງານຕິດຕາມກວດກາການປ້ອງກັນ, ຕ້ານພະຍາດ.	Lãnh đạo tỉnh Hải Dương kiểm tra đơn vị an ninh Quit-19 về công tác giám sát, phòng chống dịch bệnh.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ບັນດາວິສາຫະກິດກະກຽມກັບອາຫານ ສົ່ງໃຫ້ແຕ່ລະໜ່ວຍຜະລິດ.	Doanh nghiệp chuẩn bị thức ăn và gửi đến từng đơn vị.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຄົນງານໃນບັນດາວິສາຫະກິດປະຕິບັດຄໍາເຕືອນ "5K" ຢ່າງເຂັ້ມງວດ.	Người lao động trong các doanh nghiệp tuân thủ nghiêm ngặt cảnh báo "5K".
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໂດຍ: ດັ້ງເກື່ອງ.	By: Dang Cuong.
