ກປ.ອອນໄລ - ປະຈຸບັນ ອັງກິດ ແມ່ນຄູ່ຮ່ວມມືການຄ້າໃຫຍ່ອັນດັບ 3 ຂອງຫວຽດນາມ ຢູ່ເອີລົບ.	Vương quốc Anh hiện là đối tác thương mại lớn thứ ba của Việt Nam tại Châu Âu.
ສິ່ງສຳຄັນກວ່ານ້ັ້ນແມ່ນ, ຕະຫຼາດສິນຄ້າຂອງຫວຽດນາມ ຍັງມີຄວາມສາມາດບົ່ມຊ້ອນໃຫຍ່ຫຼວງຢູ່.	Quan trọng hơn, thị trường hàng hóa của Việt Nam vẫn còn nhiều tiềm năng.
ສັນຍາການຄ້າເສລີຫວຽດນາມ ແລະລາຊະອານະຈັກອັງກິດ (UKVFTA) ເລີ່ມມີຜົນສັກສິດນັບແຕ່ວັນທີ 1 ມັງກອນ 2021 ນັ້ນໄດ້ຮັບຄວາມຫວັງວ່າ ຈະແມ່ນໄມ້ງັດເປີດກວ້າງດ້ານການຄ້າຂອງຫວຽດນາມ ຢູ່ຕະຫຼາດທີ່ເຕັມໄປດ້ວຍຄວາມສາມາດບົ່ມຊ້ອນນີ້.	Hiệp định Thương mại Tự do Việt Nam - Vương quốc Anh (UKVFTA) có hiệu lực từ ngày 1/1/2021 được kỳ vọng sẽ tạo đòn bẩy cho tiềm năng thương mại của Việt Nam tại thị trường tiềm năng này.
ຄວາມສາມາດເຕີບໂຕດ້ານການຄ້າຍັງໃຫຍ່ຫຼວງຢູ່	Tiềm năng tăng trưởng thương mại vẫn còn rất lớn
ນັບແຕ່ຕົ້ນປີ 2021, ການສົ່ງອອກເຂົ້າສານຂອງຫວຽດນາມ ໄດ້ຮັບຂ່າວດີເມື່ອເຂົ້າສານຫອມ 60 ໂຕນທຳອິດຂອງວິສາຫະກິດຫວຽດນາມ ໄດ້ສົ່ງອອກໄປຍັງອັງກິດ ຕາມ UKVFTA.	Kể từ đầu năm 2021, xuất khẩu gạo của Việt Nam đón nhận một tin vui, khi 60 tấn gạo thơm đầu tiên của các doanh nghiệp Việt Nam đã được xuất khẩu sang Anh theo UKVFTA.
ນີ້ໄດ້ຮັບການຕີລາຄາວ່າແມ່ນສັນຍານຕັ້ງໜ້າຈາກທ່າໄດ້ປຽບເຊິ່ງ UKVFTA ນໍາມາໃຫ້.	Đây được hiểu là một tín hiệu từ sự thuận lợi mà UKVFTA mang lại.
ຍ້ອນວ່າຕາມສັນຍານີ້, ເຂົ້າສານຫອມນຳເຂົ້າຈາກຫວຽດນາມ ຈະໄດ້ປອດພາສີແທນທີ່ຕ້ອງເສຍພາສີໃນລະດັບ 17,4% ຄືກ່ອນໜ້ານີ້.	Theo hiệp định, gạo thơm của Việt Nam sẽ được miễn thuế thay vì đánh thuế 17,4% như trước đây.
ຕາມທ່ານ ໂດ໋ຮ່ານາມ ຮອງປະທານສະມາຄົມສະບຽງອາຫານຫວຽດນາມ (VFA) ແລ້ວ, ກ່ອນໜ້ານີ້ປະລິມານເຂົ້າສານສົ່ງອອກຂອງຫວຽດນາມ ເຂົ້າອັງກິດບໍ່ຫຼາຍຍ້ອນວ່າຕ້ອງເສຍພາສີລະດັບສູງ.	Theo ông Đỗ Hà Nam, Phó Chủ tịch Hiệp hội Lương thực Việt Nam (VFA), thời gian qua xuất khẩu gạo của Việt Nam sang Anh thấp do bị áp thuế cao.
ຍ້ອນເຫດນັ້ນ, ເລື່ອງໄດ້ຫຼຸດຜ່ອນພາສີຕາມຄຳໝັ້ນສັນຍາຂອງ UKVFTA ຈະແມ່ນກາລະໂອກາດໃຫຍ່ ເພື່ອໃຫ້ຂະແໜງເຂົ້າສານຫວຽດນາມ.	Do đó, việc cắt giảm thuế theo hiệp định UKVFTA sẽ là cơ hội lớn cho gạo Việt Nam.
ສິ່ງດັ່ງກ່າວຊ່ວຍເຂົ້າສານຫວຽດນາມ ມີກຳລັງແກ່ງແຍ້ງດີກວ່າເມື່ອທຽບໃສ່ບັນດາປະເທດຮ່ວມສົ່ງອອກເຂົ້າສານຫອມເຂົ້າຕະຫຼາດອັງກິດຄືໄທ.	Điều này giúp gạo Việt Nam có sức cạnh tranh hơn so với các nước xuất khẩu gạo khác vào thị trường Anh như Thái Lan.
ການຜະລິດເຂົ້າສານຢູ່ບໍລິສັດຫຸ້ນສ່ວນກຸ່ມບໍລິສັດໂລກເຈີ່ຍ.	Sản xuất gạo tại Global Jia Group.
ພາບ: ມິງດຶກ.	Ảnh: Minh Đức
ກະຊວງອຸດສາຫະກຳ ແລະການຄ້າ ໃຫ້ຮູ້ວ່າ, ເຖິງວ່າຖືກຜົນກະທົບຢ່າງຮ້າຍແຮງຈາກພະຍາດໂຄວິດ-19, ຍອດວົງເງິນການຄ້ານໍາເຂົ້າ-ສົ່ງອອກລະຫວ່າງສອງປະເທດຄາດວ່າຍັງບັນລຸໄດ້ 5,55 ຕື້ໂດລາສະຫະລັດ ໃນປີ 2020.	Theo Bộ Công Thương, bất chấp ảnh hưởng nặng nề của trận động đất-19, tổng kim ngạch thương mại giữa hai nước dự kiến đạt 5,55 tỷ USD vào năm 2020.
ໃນນັ້ນ, ການສົ່ງອອກຂອງຫວຽດນາມ ໄປສູ່ຕະຫຼາດອັງກິດ ບັນລຸ 4,88 ຕື້ໂດລາສະຫະລັດ, ການນຳເຂົ້າບັນລຸ 670 ລ້ານໂດລາສະຫະລັດ.	Trong đó, xuất khẩu của Việt Nam sang Anh đạt 4,88 tỷ đô la Mỹ và nhập khẩu đạt 670 triệu đô la Mỹ.
ແຕ່ວ່າ, ລະດັບເຕີບໂຕນີ້ຍັງບໍ່ທັນສ່ອງແສງຢ່າງຖືກຕ້ອງຄວາມສາມາດບົ່ມຊ້ອນຂອງຕະຫຼາດອັງກິດໄດ້ເທື່ອ.	Tuy nhiên, tốc độ tăng trưởng này vẫn chưa phản ánh chính xác tiềm năng của thị trường Anh.
ປະຈຸບັນ, ຄວາມສາມາດຮ່ວມມືໃນຂົງເຂດການຄ້າລະຫວ່າງສອງປະເທດຍັງໃຫຍ່ຫຼວງຢູ່, ເມື່ອມູນຄ່າສິນຄ້າຫວຽດນາມ ສົ່ງອອກສູ່ອັງກິດ ກວມພຽງ 1% ຍອດວົງເງິນນຳເຂົ້າຂອງອັງກິດ ແລະມູນຄ່າສິນຄ້ານຳເຂົ້າຂອງຫວຽດນາມ ກວມພຽງ 0,17% ມູນຄ່າສິນຄ້າອັງກິດສົ່ງອອກສູ່ໂລກ.	Hiện nay, tiềm năng hợp tác trong lĩnh vực thương mại giữa hai nước còn rất lớn, khi giá trị hàng hóa xuất khẩu của Việt Nam sang Anh chỉ chiếm 1% tổng kim ngạch nhập khẩu của Anh và giá trị hàng hóa nhập khẩu của Việt Nam chỉ chiếm 0,17%. giá trị xuất khẩu của Anh ra thế giới.
ໃນຂົງເຂດລົງທຶນ, ອັງກິດມີ 400 ໂຄງການຍັງມີຜົນສັກສິດລົງທຶນເຂົ້າຫວຽດນາມ, ດ້ວຍຍອດຈຳນວນທຶນຈົດທະບຽນບັນລຸ 3,6 ຕື້ໂດລາສະຫະລັດ, ຢືນອັນດັບທີ 16 ໃນຈຳນວນ 137 ປະເທດ ແລະເຂດແຄວ້ນທີ່ມີໂຄງການລົງທຶນຢູ່ຫວຽດນາມ.	Về đầu tư, Vương quốc Anh có 400 dự án đang hoạt động tại Việt Nam, với tổng vốn đăng ký 3,6 tỷ USD, đứng thứ 16/137 quốc gia và vùng lãnh thổ có dự án đầu tư tại Việt Nam.
ຂອບຂະໜາດການລົງທຶນຂອງນັກລົງທຶນອັງກິດ ເຂົ້າຫວຽດນາມ ຍັງບໍ່ທັນສ່ອງແສງຢ່າງຖືກຕ້ອງຄວາມສາມາດບ່ົມຊ້ອນຂອງອັງກິດ - ໜຶ່ງໃນ 5 ປະເທດລົງທຶນອອກສູ່ຕ່າງປະເທດໃຫຍ່ທີ່ສຸດໃນໂລກ (ປະມານ 300 ຕື້ໂດລາສະຫະລັດ), ທັງແມ່ນປະເທດທີ່ດຶງດູດການລົງທຶນຈາກຕ່າງປະເທດໃຫຍ່ທີ່ສຸດຢູ່ໂລກ.	Quy mô đầu tư của Anh vào Việt Nam chưa được phản ánh đúng tiềm năng của Vương quốc Anh - một trong năm nhà đầu tư nước ngoài lớn nhất thế giới (khoảng 300 tỷ USD), đồng thời là nhà đầu tư nước ngoài lớn nhất thế giới.
ສິນຄ້າຫຼາຍປະເພດມີທ່າໄດ້ປຽບໃນການສົ່ງອອກ	Nhiều mặt hàng có lợi thế xuất khẩu
ເມື່ອອັງກິດ ອອກຈາກສະຫະພາບເອີລົບ (EU), ບັນດາບຸລິມະສິດຈາກສັນຍາການຄ້າເສລີຫວຽດນາມ-ອີຢູ (EVFTA) ຈະບໍ່ໄດ້ນຳໃຊ້ຢູ່ຕະຫຼາດອັງກິດ.	Một khi Vương quốc Anh rời Liên minh Châu Âu (EU), các ưu tiên của Hiệp định Thương mại Tự do Việt Nam - Liên minh Châu Âu (EVFTA) sẽ không áp dụng đối với thị trường Anh.
ເພາະສະນັ້ນ, ເລື່ອງ UKVFTA ໄດ້ຮັບການລົງນາມ ແລະປະຕິບັດຈະຮັບປະກັນໃຫ້ການຄ້າສອງຝ່າຍລະຫວ່າງຫວຽດນາມ ແລະອັງກິດ ບໍ່ຖືກຕັດຕອນ.	Do đó, việc ký kết và thực hiện UKVFTA sẽ đảm bảo thương mại song phương giữa Việt Nam và Vương quốc Anh không bị gián đoạn.
ໜ້າສົນໃຈແມ່ນ UKVFTA ສືບທອດບັນດາຄໍາໝັ້ນສັນຍາທີ່ລະບຸໃນ EVFTA ໂດຍພື້ນຖານດ້ວຍການດັດປັບທີ່ຈໍາເປັນເພື່ອຮັບປະກັນເໝາະສົມກັບຂອບເຂດການຄ້າສອງຝ່າຍລະຫວ່າງຫວຽດນາມ ແລະອັງກິດ.	Điều thú vị là UKVFTA về cơ bản tuân theo các điều khoản quy định trong EVFTA với những điều chỉnh cần thiết để đảm bảo phù hợp với phạm vi thương mại song phương giữa Việt Nam và Vương quốc Anh.
ໃນນັ້ນ, ກ່ຽວຂ້ອງເຖິງໄລຍະເວລາຫຼຸດຜ່ອນ ແລະປອດພາສີ, ພາຍຫຼັງ 6 ປີນັບແຕ່ UKVFTA ມີຜົນສັກສິດ, ສຳລັບສິນຄ້າຫວຽດນາມ, ອັງກິດຈະລົບລ້າງພາສີນຳເຂົ້າຕໍ່ກັບ 99,2% ຈໍານວນໝວດພາສີ.	Về thời gian cắt giảm và miễn thuế, sau 6 năm kể từ khi UKVFTA có hiệu lực, đối với hàng hóa Việt Nam, Vương quốc Anh sẽ xóa bỏ thuế nhập khẩu với 99,2% thuế hải quan.
ສະນັ້ນ, UKVFTA ໄດ້ຮັບຫວັງວ່າ ຈະຊຸກຍູ້ການພົວພັນດ້ານການຄ້າ, ການລົງທຶນລະຫວ່າງຫວຽດນາມ-ອັງກິດ ໃນຊຸມປີຈະມາເຖິງ.	Do đó, UKVFTA được kỳ vọng sẽ thúc đẩy thương mại và đầu tư giữa Việt Nam và Vương quốc Anh trong những năm tới.
ພິເສດ, ບັນດາກາລະໂອກາດ ແລະຜົນປະໂຫຍດໃຫຍ່ທີ່ສຸດໂດຍສັນຍານຳມາໃຫ້ນັ້ນແມ່ນຊຸກຍູ້ການສົ່ງອອກບັນດາປະເພດສິນຄ້າຕົ້ນຕໍຂອງຫວຽດນາມ.	Đặc biệt, cơ hội và lợi ích lớn nhất mà hiệp định mang lại là thúc đẩy xuất khẩu các mặt hàng chủ lực của Việt Nam.
UKVFTA ໄດ້ຮັບການຕີລາຄາວ່າແມ່ນກາລະໂອກາດເພີ່ມຄວາມສາມາດແກ່ງແຍ້ງຢ່າງແຮງໃຫ້ບັນດາວິສາຫະກິດຫວຽດນາມ.	UKVFTA được coi là cơ hội để tăng khả năng cạnh tranh của các doanh nghiệp Việt Nam.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ກະຊວງອຸດສາຫະກຳ ແລະການຄ້າຕີລາຄາວ່າ ກໍ່ເຊັ່ນດຽວກັບບັນດາຕະຫຼາດອື່ນຢູ່ອີຢູ, ອັງກິດແມ່ນປະເທດທີ່ມີຮົ້ວກີດຂວາງເຄັ່ງຄັດທີ່ສຸດສຳລັບຜະລິດຕະພັນນຳເຂົ້າ, ໂດຍສະເພາະແມ່ນຜະລິດຕະພັນສະບຽງອາຫານ, ທັນຍາຫານ.	Tuy nhiên, Bộ Công Thương cho rằng, cũng giống như các thị trường khác trong EU, Anh là quốc gia có nhiều rào cản khắt khe nhất đối với nhập khẩu gạo, đặc biệt là lương thực và ngũ cốc.
ລາຍລະອຽດແມ່ນມາດຕະຖານກ່ຽວກັບຄວາມປອດໄພດ້ານອາຫານ, ຮັບປະກັນສິ່ງແວດລ້ອມ...	Chi tiết là tiêu chuẩn an toàn thực phẩm, bảo vệ môi trường ...
ເພື່ອຂຸດຄົ້ນ UKVFTA ໃຫ້ມີປະສິດທິຜົນຮຽກຮ້ອງວິສາຫະກິດຕ້ອງມານະພະຍາຍາມຈົນສຸດຄວາມສາມາດຂອງຕົນໃນການຄົ້ນຄວ້າຕະຫຼາດ, ປ່ຽນແປງໃໝ່ການພັດທະນາຜະລິດຕະພັນ, ຕອບສະໜອງມາດຕະຖານ ແລະຄວາມນິຍົມຂອງຜູ້ອຸປະໂພກບໍລິໂພກອັງກິດ, ສືບຕໍ່ຍົກສູງລະດັບຄວາມຮູ້ດ້ານການຄ້າເພື່ອສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈໃຫ້ລູກຄ້າ.	Để tận dụng UKVFTA một cách hiệu quả, các doanh nghiệp phải nỗ lực hết sức để nghiên cứu thị trường, chuyển trọng tâm sang phát triển sản phẩm, đáp ứng các tiêu chuẩn và sở thích của người tiêu dùng Vương quốc Anh, đồng thời tiếp tục nâng cao kiến thức thương mại để xây dựng lòng tin của khách hàng.
ທ່ານ ຫວູດຶກຢາງ, ປະທານສະມາຄົມຕ່ຳແຜ່ນຕັດຫຍິບ ຖືວ່າ, ຄວາມຕ້ອງການໃນປີ 2021-2022 ກ່ຽວກັບບັນດາຜະລິດຕະພັນຕ່ໍາແຜ່ນຕັດຫຍິບ, ອຸປະໂພກບໍລິໂພກຈະເພີ່ມຂຶ້ນ, ເຖິງຢ່າງໃດກໍ່ຕາມ, ເພື່ອສ້າງຄວາມສະດວກໃຫ້ແກ່ການສົ່ງອອກເຂົ້າຕະຫຼາດນີ້, ວິສາຫະກິດຕ້ອງເອົາໃຈໃສ່ຫຼາຍເຖິງຕົ້ນກຳເນີດຜະລິດຕະພັນກໍ່ຄືບັນດາຮ້ົວກີດຂວາງດ້ານເຕັກນິກ.	Theo ông Vũ Đức Giang, Chủ tịch Hiệp hội Dệt may, nhu cầu tiêu thụ hàng dệt may trong giai đoạn 2021-2022 sẽ tăng cao, tuy nhiên, để xuất khẩu gạo sang thị trường này được thuận lợi, các doanh nghiệp cần quan tâm hơn nữa đến các xuất xứ và kỹ thuật sản xuất.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຕາມທ່ານ ໂດ໋ຮ່ານາມ, ເມື່ອຕະຫຼາດມີຮົ້ວກີດຂວາງຍິ່ງເຄັ່ງຄັດຍິ່ງຫຼາຍເທົ່າໃດ, ວິສາຫະກິດຍິ່ງຕ້ອງມານະພະຍາຍາມເທົ່ານັ້ນ ແລະນັ້ນກໍ່ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ຂະແໜງສິນຄ້າສ້າງໂຄງປະກອບຄືນໃໝ່ຕາມທິດພັດທະນາແບບຍືນຍົງ.	Tuy nhiên, theo ông Đỗ Hà Nam, thị trường càng có nhiều rào cản thì doanh nghiệp càng phải đến và cơ hội cho ngành hàng tái cơ cấu theo hướng phát triển bền vững.
ພະຍານຫຼັກຖານແມ່ນເພື່ອໝູນໃຊ້ບັນດາ FTA ເວົ້າລວມເປັນຢ່າງດີ, ຫຼາຍວິສາຫະກິດໃນຂະແໜງເຂົ້າສານສົ່ງອອກຂອງຫວຽດນາມ ໄດ້ເປັນເຈົ້າການຮ່ວມສຳພັນກັບບັນດາທ້ອງຖິ່ນເພື່ອປູກເຂົ້າຮັບປະກັນຄວາມປອດໄພດ້ານອາຫານ, ຫຼີກລ່ຽງການໃຊ້ຢາປາບສັດຕູພືດເພື່ອຕອບສະໜອງຄວາມຕ້ອງການຂອງຕະຫຼາດ.	Bằng chứng là để thực thi toàn diện các FTA, nhiều doanh nghiệp xuất khẩu gạo Việt Nam đã hợp tác với địa phương để trồng lúa đảm bảo an toàn thực phẩm, tránh sử dụng thuốc bảo vệ thực vật để đáp ứng nhu cầu thị trường.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
