ກປ.ອອນໄລ - ວັນທີ 4 ມີນາ, ທີ່ກອງປະຊຸມຄັ້ງປະຖົມມະເລີກຄະນະກຳມະການຮ່ວມມືພັດທະນາອາຊຽນ-ຝະລັ່ງ (AF-DPC) ໄດ້ດໍາເນີນຜ່ານລະບົບທາງໄກ.	Ủy ban Phát triển chung ASEAN-Pháp (AF-DPC) đã tổ chức cuộc họp khai mạc vào ngày 4 tháng 3.
ທີ່ກອງປະຊຸມ, ຝ່າຍຝະລັ່ງ ໄດ້ຢັ້ງຢືນການຖືເປັນສຳຄັນການຮ່ວມມືກັບອາຊຽນ ແລະເນັ້ນໜັກວ່າ ອາຊຽນ ສວມບົດບາດສຳຄັນໃນການຮັກສາຄວາມໝັ້ນຄົງດ້ານການເມືຶອງ ແລະເສດຖະກິດຂອງພາກພື້ນ ແລະປາດຖະໜາຢາກເຂົ້າຮ່ວມວິວັດການໂດຍອາຊຽນ ນຳພາຢ່່າງເລິກເຊິ່ງ ແລະກວ້າງຂວາງກວ່າ.	Tại cuộc gặp, phía Pháp tái khẳng định tầm quan trọng của hợp tác với ASEAN và nhấn mạnh ASEAN đóng vai trò quan trọng trong việc duy trì ổn định chính trị, kinh tế ở khu vực và mong muốn tham gia vào sự phát triển do ASEAN dẫn dắt một cách sâu rộng hơn.
ຫວຽດນາມ ໄດ້ຕາງໜ້າບັນດາປະເທດອາຊຽນ ຂໍສະແດງຄວາມຊົມເຊີຍ ແລະຕີລາຄາສູງຕໍ່ເລື່ອງຝະລັ່ງ ກາຍເປັນຄູ່ຮ່ວມມືພັດທະນາຂອງອາຊຽນ, ຂອບອົກຂອບໃຈຕໍ່ການໜູນຊ່ວຍຂອງຝະລັ່ງທີ່ສະຫງວນໃຫ້ບັນດາປະເທດອາຊຽນ ຜ່ານອົງການພັດທະນາຝະລັ່ງ (AFD) ໃນ 25 ປີຜ່ານມາ, ພິເສດໃນບັນດາຂົງເຂດເຊື່ອມໂຍງເສດຖະກິດພາກພື້ນ, ການສຶກສາ, ສິ່ງ ແວດລ້ອມ ແລະການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ເພີ່ມທະວີລະບອບລະບຽບການ/ສ້າງກຳລັງຄວາມສາມາດ.	Việt Nam thay mặt các nước ASEAN khen ngợi Pháp đã trở thành đối tác phát triển của ASEAN, cảm ơn sự hỗ trợ của Pháp đối với các nước ASEAN thông qua Cơ quan Hợp tác và Phát triển Pháp (AFD) trong 25 năm qua.
ກອງປະຊຸມຄັ້ງປະຖົມມະເລີກ ຄະນະກຳມະການຮ່ວມມືພັດທະນາອາຊຽນ-ຝະລັ່ງ (AF-DPC) ໄດ້ດໍາເນີນຜ່ານລະບົບທາງໄກ.	Cuộc họp khai mạc của Ủy ban Hợp tác Phát triển ASEAN-Pháp (AF-DPC) được tổ chức từ xa.
ພາບ: baoquocte.vn.	Ảnh: baoquocte.vn.
ອາຊຽນ ກໍ່ສະເໜີຝະລັ່ງ ເພີ່ມທະວີການຮ່ວມມືໃນບັນດາຂົງເຂດຫັນເປັນດີຈີຕອນ, ການທ່ອງທ່ຽວ ແລະການພົບປະແລກປ່ຽນວັດທະນະທຳ, ການສຶກສາດ້ານເຕັກນິກ, ພ້ອມທັງໜູນຊ່ວຍບັນດາກົນໄກ ແລະຂໍ້ລິເລີ່ມອື່ນໆຂອງອາຊຽນ, ຄືເຄືອຂ່າຍນະຄອນອັດສະລິຍະອາຊຽນ (ASCN).	ASEAN cũng tìm cách tăng cường hợp tác trong các lĩnh vực số hóa, du lịch và trao đổi văn hóa, giáo dục kỹ thuật, cũng như hỗ trợ các cơ chế và sáng kiến khác của ASEAN, chẳng hạn như Mạng lưới các thành phố thông minh ASEAN (ASCN).
ກ່ຽວກັບທິດທາງຮ່ວມມືໃນໄລຍະຈະມາເຖິງ, ສອງຝ່າຍເຫັນດີເປັນເອກະພາບພ້ອມກັນມານະພະຍາຍາມຍູ້ແຮງການຮ່ວມມືຢ່າງແທດຈິງໃນບັນດາຂົງເຂດທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ, ພ້ອມທັງກຳນົດ ແລະສຸມໃສ່ຜັນຂະຫຍາຍບາງຂົງເຂດທີ່ໃຫ້ບູລິມະສິດໃນສະພາບການປະຈຸບັນ.	Về phương hướng hợp tác trong tương lai, hai bên nhất trí sẽ cùng nhau tăng cường hợp tác thiết thực trên các lĩnh vực cùng quan tâm, cũng như xác định và tập trung thực hiện một số lĩnh vực ưu tiên trong bối cảnh hiện nay.
ແມ່ນໜຶ່ງໃນບັນດາປະເທດສະມາຊິກຂອງສະຫະພາບເອີລົບ (EU), ຝະລັ່ງ ເຂົ້າຮ່ວມ ແລະສະໜັບສະໜູນການພົວພັນຄູ່ຮ່ວມມືເຈລະຈາອາຊຽນ-ອີຢູ.	Là một trong những quốc gia thành viên của Liên minh châu Âu (EU), Pháp tham gia và củng cố quan hệ Đối tác Đối thoại ASEAN-EU.
ຄຽງຄູ່ກັນນັ້ນ, ຝະລັ່ງ ກໍ່ເອົາໃຈໃສ່ພັດທະນາການພົວພັນຮ່ວມມືໂດຍກົງກັບອາຊຽນ.	Đồng thời, Pháp coi trọng phát triển quan hệ hợp tác trực tiếp với ASEAN.
ກອງປະຊຸມລັດຖະມົນຕີການຕ່າງປະເທດອາຊຽນ ຄັ້ງທີ 53 ໂດຍຫວຽດນາມເປັນປະທານ (ກັນຍາ 2020) ໄດ້ເຫັນດີເປັນເອກະພາບຮັບຮອງເອົາຝະລັ່ງ ແມ່ນຄູ່ຮ່ວມມືພັດທະນາຂອງອາຊຽນ, ໄດ້ສ້າງຂີດໝາຍແຫ່ງບາດກ້າວພັດທະນາໃໝ່ໃນການພົວພັນລະຫວ່າງສອງຝ່າຍ, ພ້ອມທັງເປີດກາລະໂອກາດຮ່ວມມືຫຼາຍຢ່າງໃນໄລຍະຈະມາເຖິງ.	Hội nghị Bộ trưởng Ngoại giao ASEAN (AEMM) lần thứ 53 do Việt Nam chủ trì (tháng 9/2020) nhất trí công nhận Pháp là đối tác phát triển của ASEAN, đặt dấu mốc phát triển quan hệ song phương và mở ra nhiều cơ hội hợp tác trong tương lai.
ຄາດວ່າ, ກອງປະຊຸມ ຄັ້ງທີ 2 ຄະນະກຳມະການຮ່ວມມືພັດທະນາອາຊຽນ-ຝະລັ່ງ ຈະຈັດຕັ້ງໃນປີ 2022.	Dự kiến, cuộc họp lần thứ hai của Ủy ban Hợp tác Phát triển ASEAN-Pháp sẽ được tổ chức vào năm 2022.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
