ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 8 ມີນາ, ກອງປະຊຸມ ຄັ້ງທີ 2, ຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XIII ໄດ້ໄຂຂຶ້ນຢູ່ນະຄອນຫຼວງຮ່າໂນ້ຍ ຢ່າງສົມກຽດ.	Sáng 8/3, Ban Chấp hành Trung ương Đảng khóa XIII họp Hội nghị lần thứ hai tại Hà Nội.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ເປັນປະທານ ແລະມີບົດກ່າວປາໄສສຳຄັນໄຂກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước chủ trì cuộc họp và có bài phát biểu quan trọng.
ທ່ານ ຫງວຽນຊວນຟຸກ, ກໍາມະການກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີຫວຽດນາມ, ຕາງໜ້າໃຫ້ກົມການເມືອງບໍລິຫານວາລະໄຂກອງປະຊຸມ.	Đồng chí Nguyễn Xuân Phúc, Ủy viên Bộ Chính trị, Thủ tướng Chính phủ thay mặt Bộ Chính trị chủ trì cuộc họp.
ຕອນເຊົ້າ, ຄະນະບໍລິຫານງານສູນກາງພັກ ໄດ້ເຮັດວຽກຢູ່ສະໂມສອນ.	Buổi sáng, Trung ương Đảng làm việc tại câu lạc bộ.
ທ່ານ ຫວໍວັນເຖື໋ອງ, ກໍາມະການກົມການເມືອງ, ຜູ້ປະຈໍາການຄະນະເລຂາທິການ ຂຶ້ນກ່າວບົດລາຍງານຂອງກົມການເມືອງກ່ຽວກັບລາຍການເຮັດວຽກຂອງຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XIII.	Đồng chí Võ Văn Thưởng, Ủy viên Cục Chính trị, Ủy viên Ban Bí thư trình bày báo cáo của Cục Chính trị về chương trình công tác của Ban Chấp hành Trung ương Đảng khóa XII.
ຫຼັງຈາກນັ້ນ, ຄະນະບໍລິຫານງານສູນກາງພັກ ດໍາເນີນການປຶກສາຫາລືຢູ່ໜ່ວຍກ່ຽວກັບລາຍການເຮັດວຽກຂອງຄະນະບໍລິຫານງານສູນກາງພັກ ຊຸດທີ XIII.	Sau đó, Ban Chấp hành Trung ương Đảng đã họp thảo luận về các mặt công tác của Ban Chấp hành Trung ương Đảng khóa XIII.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ກ່າວຄໍາເຫັນໄຂກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước phát biểu tại buổi gặp mặt.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນວັນດຽວກັນ, ຄະນະບໍລິຫານງານສູນກາງພັກ ເຮັດວຽກຢູ່ສະໂມສອນ.	Cùng ngày, Trung ương Đảng đã làm việc tại câu lạc bộ.
ທ່ານ ຫວໍວັນເຖື໋ອງ, ກໍາມະການກົມການເມືອງ, ຜູ້ປະຈໍາການຄະນະເລຂາທິການ, ຕາງໜ້າໃຫ້ກົມການເມືອງບໍລິຫານກອງປະຊຸມ.	Đồng chí Võ Văn Thưởng, Ủy viên Cục Chính trị, Ủy viên Ban Bí thư thay mặt Cục Chính trị chủ trì buổi làm việc.
ທ່ານ ຟ້າມມິງຈິ໊ງ, ກໍາມະການກົມການເມືອງ, ຫົວໜ້າຄະນະຈັດຕັ້ງສູນກາງ ຂຶ້ນກ່າວບົດລາຍງານຂອງກົມການເມືອງກ່ຽວກັບການຈັດວາງບຸກຄະລາກອນຮັບຜິດຊອບບາງຕຳແໜ່ງການນໍາອົງການແຫ່ງລັດຊຸດທີ XIV, ອາຍຸການ 2016-2021;	Đồng chí Phạm Minh Cảnh, Ủy viên Ban Chính trị, Trưởng Ban Tổ chức Trung ương trình bày tờ trình của Ban Chính trị về việc triển khai nhân sự lãnh đạo Ban Tổ chức T.Ư 14, nhiệm kỳ 2016 - 2021;
ຊຸດທີ XV, ອາຍຸການ 2021-2026.	Dòng XV, độ tuổi 2021-2026.
ຫຼັງຈາກນັ້ນ, ຄະນະບໍລິຫານງານສູນກາງພັກ ປຶກສາຫາລືຢູ່ໜ່ວຍກ່ຽວກັບການຈັດວາງບຸກຄະລາກອນບາງຕຳແໜ່ງການນໍາອົງການແຫ່ງລັດ ຊຸດທີ XIV, ອາຍຸການ 2016-2021;	Sau đó, Ban Chấp hành Trung ương Đảng đã họp về việc triển khai một số nhân sự lãnh đạo Ban Tổ chức T.Ư 14, nhiệm kỳ 2016 - 2021;
ຊຸດທີ XV, ອາຍຸການ 2021-2026.	Dòng XV, độ tuổi 2021-2026.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
