ຫວ່າງແລ້ວນີ້, ກອງປະຊຸມກຸ່ມຮັບຜິດຊອບການລີເລີ່ມເຊື່ອມໂຍງອາຊຽນ (IAI) ຄັ້ງທີ 63 ໄດ້ຈັດຂຶ້ນຜ່ານທາງວິດີໂອ.	Trong khi đó, Hội nghị Sáng kiến ASEAN (IAI) lần thứ 63 đã được tổ chức qua video.
ທ່ານຫງວຽນຮ່າຍບັງ ເອກອັກຄະລັດຖະທູດຫົວໜ້າຝ່າຍຫວຽດນາມ ປະຈຳອາຊຽນ ເປັນຫົວໜ້າໄດ້ເປັນເຈົ້າພາບຈັດກອງປະຊູມພາຍໃຕ້ບົດບາດການເປັນປະທານຝ່າຍ IAI ໃນປີ 2021.	Đại sứ Việt Nam tại ASEAN Nguyễn Hải Bằng đã chủ trì cuộc họp dưới sự chủ trì của IAI vào năm 2021.
ກອງປະຊຸມລະດັບຜູ້ຕາງໜ້າປະຈຳບັນດາປະເທດອາຊຽນ ນີ້ ໄດ້ທົບທວນຄືນກ່ຽວກັບການຜັນຂະຫຍາຍບັນດາໂຄງການໃນ IAI ແລະ ການສະເໜີບັນດາວິທີການແກ້ໄຂບັນຫາຕ່າງໆ ເພື່ອຍົກສູງປະສິດພາບໃນການປະຕິບັດ ບັນດາແຜນການດຳເນີນງານຂອງ IAI ຂຶ້ນຕື່ມ.	Phái đoàn ASEAN đã rà soát việc thực hiện các dự án IAI và đề xuất các giải pháp nhằm tăng cường hiệu quả của Kế hoạch hành động IAI.
ໃນນັ້ນ ລວມມີການປະຕິບັດແຜນການ IAI ປະສົບຜົນສຳເລັດ ໃນໄລຍະທີ 3 (2016-2020) ແລະ ການເລີ່ມຜັນຂະຫຍາຍແຜນການດຳເນີນງານ IAI ໃນໄລຍະ 4 (2021-2025) ທ່ີຫາກໍຮັບຮອງເມື່ອທ້າຍປີ 2020.	Chúng bao gồm việc thực hiện thành công Kế hoạch IAI giai đoạn 3 (2016-2020) và bắt đầu thực hiện Kế hoạch hành động IAI giai đoạn 4 (2021-2025) vừa được phê duyệt vào cuối năm 2020.
ກອງປະຊຸມກຸ່ມຮັບຜິດຊອບການລີເລີ່ມເຊື່ອມໂຍງອາຊຽນ (IAI) ຄັ້ງທີ 63 ໄດ້ຈັດຂຶ້ນຜ່ານທາງວິດີໂອ.	Cuộc họp Sáng kiến Hội nhập ASEAN (IAI) lần thứ 63 được tổ chức qua video.
ພາບ: ຈູວັນ	Ảnh: Ju Van
ໄລ່ເຖິງປັດຈຸບັນ, ໄດ້ມີ 22/26 ສະບັບໃນການດຳເນີນງານແຜນການ IAI ໃນໄລຍະ 3 (2016-2020) ທ່ີໄດ້ຜັນ ຂະຫຍາຍ (ກວມເອົາ 84,6%) ໃນ 5 ຂົງເຂດຍຸດທະສາດກ່ຽວກັບສະບຽງອາຫານ ແລະ ກະສິກຳ, ຫັນການຄ້າ ໃຫ້ມີຄວາມສະດວກ, ບັນດາວິສາຫະກິດຂະໜາດນ້ອຍ ແລະ ຂະໜາດກາງ, ການສຶກສາອົບຮົມ, ສຸຂະພາບ ສາທາລະນະ.	Đến nay, 22/26 vấn đề đã được thực hiện trong quá trình thực hiện IAI giai đoạn 3 (2016 - 2020) đã được thực hiện (chiếm 84,6%) trong 5 lĩnh vực chiến lược về nông nghiệp thực phẩm, tạo thuận lợi thương mại, doanh nghiệp vừa và nhỏ, giáo dục, y tế và giáo dục.
ປັດຈຸບັນມີ 127 ໂຄງການໄດ້ຮັບຮອງ ແລະ ພວມຜັນຂະຫຍາຍໂດຍມີມູນຄ່າເກືອບ 31 ລ້ານໂດລາສະຫະລັດ.	Hiện có 127 dự án đã được phê duyệt và đang triển khai với giá trị gần 31 triệu USD.
ໄລ່ເຖິງກ່ອນມື້ສິ້ນສຸດແຜນການດຳເນີນງານ IAI ໃນໄລຍະ 3 ໃນເດືອນ 7-2021, ຈະມີເພີ່ມຕື່ມອີກ 7 ໂຄງການ ເພື່ອແກ້ໄຂ 4 ແຜນການດຳເນີນງານທ່ີບໍ່ທັນໄດ້ຜັນຂະຫຍາຍ.	Trước khi kết thúc Kế hoạch Hành động IAI cho giai đoạn 3 vào tháng 7-2021, sẽ có thêm bảy dự án để giải quyết bốn kế hoạch hành động ngoài kế hoạch.
ໃນກອງປະຊຸມນີ້ , IAI ຍັງໄດ້ຮັບຮອງ 17 ໂຄງການໃໝ່ໃນກອບແຜນການດຳເນີນງານ IAI ໃນໄລຍະ 4 ປີ 2021-2025, ໃນນັ້ນມີ 16 ໂຄງການໂດຍແມ່ນ ສິງກະໂປ ເປັນຜູ້ສະໜັບສະໜູນ ແລະ ໂຄງການໜຶ່ງແມ່ນຂອງ ຍີ່ປຸ່ນ.	Tại cuộc họp này, IAI cũng đã thông qua 17 dự án mới trong khuôn khổ Kế hoạch hành động của IAI giai đoạn 4 năm 2021-2025, trong đó có 16 dự án do Singapore đồng tài trợ và một dự án do Nhật Bản tài trợ.
ຄາດວ່າ ໃນໄລຍະຕໍ່ໜ້າ, ກຸ່ມນີ້ໄດ້ເອກະພາບຈະສືບຕໍ່ໍຊຸກຍູ້ຢ່າງຕັ້ງໜ້າ ເພື່ອຜັນຂະຫຍາຍໄລຍະ 2 ຂອງ ໂຄງການຊ່ວຍເຫຼືອຜັນຂະຫຍາຍແຜນການດຳເນີນງານ IAI ໃນໄລຍະ 4 ໂດຍປະກອບມີອົງການທ່ີປຶກສາແຫ່ງຊາດຂອງບັນດາປະເທດລຸ່ມແມ່ນ້ຳຂອງ (CLMV) ຄື: ກຳປູເຈຍ, ລາວ, ມຽນມາ ແລະ ຫວຽດນາມ ແລະ ເວທີປາໄສປຶກສາຫາລືລະດັບພາກພຶ້ນ.	Dự kiến trong thời gian tới, Tập đoàn sẽ tiếp tục tích cực thúc đẩy triển khai Giai đoạn 2 của Kế hoạch Hành động IAI giai đoạn 4, trong đó có Tổ chức Tư vấn Quốc gia về Hạ nguồn Mê Công (CLMV): Campuchia, Lào, Myanmar và Việt Nam.
