ກປ.ອອນໄລ - ວັນທີ 31 ມີນາ, ກອງປະຊຸມຄະນະກໍາມະການຮ່ວມມືລວມ ອາຊຽນ-ອິນເດຍ ຄັ້ງທີ 21 ໄດ້ດໍາເນີນຜ່ານລະບົບທາງໄກ.	KPR Online - Ngày 31/3, Cuộc họp Ủy ban Hợp tác chung ASEAN-Ấn Độ lần thứ 21 đã được tổ chức từ xa.
ນີ້ແມ່ນກອງປະຊຸມປະຈໍາປີ ເພື່ອແນໃສ່ຕີລາຄາສະພາບການຜັນຂະຫຍາຍການເຄື່ອນໄຫວ ແລະໂຄງການຮ່ວມມືໃນຂອບເຂດການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດອາຊຽນ-ອິນເດຍ.	Đây là cuộc họp thường niên nhằm đánh giá thực trạng các hoạt động và dự án hợp tác trong khuôn khổ quan hệ Đối tác Chiến lược ASEAN-Ấn Độ.
ທ່ານ ຫງວຽນຫ໋າຍບັ່ງ ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ອາຊຽນ ໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມດັ່ງກ່າວ.	Đại sứ Nguyễn Hải Bằng, Trưởng Phái đoàn Việt Nam tại ASEAN, đã tham dự cuộc họp.
ຜູ້ຕາງໜ້າບັນດາປະເທດ ເຂົ້າຮ່ວມກອງປະຊຸມຄະນະກໍາມະການຮ່ວມມືລວມ ອາຊຽນ-ອິນເດຍ ຄັ້ງທີ 21 ຜ່ານລະບົບທາງໄກ.	Đại diện các nước đã tham dự Hội nghị hợp tác chung ASEAN-Ấn Độ lần thứ 21 qua hội nghị từ xa.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທີ່ກອງປະຊຸມ, ບັນດາປະເທດອາຊຽນ ແລະອິນເດຍ ໄດ້ຕີລາຄາກ່ຽວກັບບັນດາໝາກຜົນຕັ້ງໜ້າໃນການຜັນຂະຫຍາຍແຜນການກະທໍາຄູ່ຮ່ວມມື ອາຊຽນ-ອິນເດຍ ເພື່ອສັນຕິພາບ, ພັດທະນາ ແລະວັດທະນາຖາວອນລວມ ໄລຍະ 2016-2020;	Tại cuộc họp, các nước ASEAN và Ấn Độ đã nhận xét về những kết quả đạt được trong việc thực hiện Kế hoạch Hành động Đối tác ASEAN-Ấn Độ vì Hòa bình, Phát triển và Phát triển bền vững giai đoạn 2016-2020;
ພ້ອມທັງເຫັນດີເປັນເອກະພາບເພີ່ມທະວີການຮ່ວມມືແນໃສ່ປະຕິບັດແຜນການກະທໍາໄລຍະໃໝ່ 2021-2025 ຢ່າງມີປະສິດທິຜົນ.	Hai bên cũng nhất trí tăng cường hợp tác nhằm thực hiện có hiệu quả kế hoạch hành động 2021-2025.
ອາຊຽນ ແລະອິນເດຍ ກໍ່ປຶກສາຫາລືບັນດາຂົງເຂດຄວນເພີ່ມທະວີການຮ່ວມມື, ຄື: ຕ້ານກໍ່ການຮ້າຍ, ອາດຊະຍາກໍາຂ້າມຊາດ, ການຮ່ວມມືທາງທະເລ, ການຄ້າ...	ASEAN và Ấn Độ cũng thảo luận về các lĩnh vực tăng cường hợp tác như chống khủng bố, tội phạm xuyên quốc gia, hợp tác hàng hải, thương mại ...
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ຫງວຽນຫ໋າຍບັ່ງ ຕີລາຄາສູງການປະກອບສ່ວນ ແລະການໜູນຊ່ວຍຂອງອິນເດຍ ໃນການຜັນຂະຫຍາຍແຜນການວຽກງານຂໍ້ລິເລີ່ມເຊື່ອມໂຍງອາຊຽນ (IAI) ໄລຍະ III (2016-2020);	Phát biểu tại buổi làm việc, Nguyễn Hải Bằng biểu dương sự đóng góp và hỗ trợ của Ấn Độ trong việc triển khai Kế hoạch Công tác III (2016 - 2020) của Sáng kiến Hội nhập ASEAN (IAI);
ແລະສະເໜີ ອິນເດຍ ສືບຕໍ່ໜູນຊ່ວຍອາຊຽນ ປະຕິບັດແຜນການວຽກງານ IAI ໄລຍະ IV (2021-2025) ທີ່ກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 37 ໄດ້ຮັບຮອງເອົາໃນເດືອນພະຈິກ 2020.	Và Ấn Độ tiếp tục hỗ trợ ASEAN thực hiện Kế hoạch Công tác IAI giai đoạn IV (2021-2025) đã được Hội nghị Cấp cao ASEAN lần thứ 37 thông qua vào tháng 11/2020.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
