ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະພາແຫ່ງຊາດຫວຽດນາມ ເລືອກຕັ້ງຕໍາແໜ່ງການນໍາລັດ ແລະສະພາແຫ່ງຊາດ, ການນໍາບັນດາປະເທດ ສືບຕໍ່ສົ່ງສານມາສະແດງຄວາມຊົມເຊີຍ.	Nhân dịp bầu cử Quốc hội Việt Nam, lãnh đạo hai nước tiếp tục gửi điện mừng.
ທ່ານ Miguel Diaz-Canel ປະທານປະເທດກູບາ ໄດ້ສົ່ງສານຊົມເຊີຍເຖິງທ່ານ ຫງວຽນຊວນຟຸກ ປະທານປະເທດ ແຫ່ງ ສສ ຫວຽດນາມ.	Chủ tịch Cuba Miguel Diaz-Canel chúc mừng Chủ tịch nước CHXHCN Việt Nam Nguyễn Xuân Phúc
ໃນສານຊົມເຊີຍມີຕອນຂຽນວ່າ: “ໃນນາມລັດຖະບານ ແລະປະຊາຊົນກູບາ, ຂ້າພະເຈົ້າ ຂໍສະແດງຄວາມຊົມເຊີຍອັນອົບອຸ່ນ ແລະອວຍພອນໄຊອັນປະເສີດມາຍັງສະຫາຍ ເນື່ອງໃນໂອກາດສະຫາຍ ໄດ້ຮັບເລືອກຕັ້ງໃຫ້ດໍາລົງຕໍາແໜ່ງເປັນປະທານປະເທດ ແຫ່ງ ສສ ຫວຽດນາມ, ປະເທດ ເຊິ່ງ ພວກຂ້າພະເຈົ້າ ໄດ້ສະໜິດຕິດພັນດ້ວຍນໍ້າໃຈໄມຕີຈິດມິດຕະພາບອັນລໍ້າຄ່າ.	“Thay mặt Chính phủ và nhân dân Cuba, tôi xin gửi lời chúc mừng nồng nhiệt và lời chúc tốt đẹp nhất tới Ngài nhân dịp Ngài được bầu làm Chủ tịch nước Cộng hoà xã hội chủ nghĩa Việt Nam, đất nước mà chúng ta gắn bó thân tình.
ເນື່ອງໃນໂອກາດນີ້, ຂ້າພະເຈົ້າ ຢັ້ງຢືນຄວາມປາດຖະໜາຢາກສືບຕໍ່ເພີ່ມທະວີການພົວພັນສອງຝ່າຍກວ່າອີກ, ບົນພື້ນຖານການສະໜັບສະໜູນທີ່ປາສະຈາກເງື່ອນໄຂ, ຄວາມໄວ້ເນື້ອເຊື່ອໃຈດ້ານການເມືອງ ເຊິ່ງກັນ ແລະກັນ ແລະຄວາມສາມັກຄີທີ່ເປັນເອກະລັກສະເພາະໃຫ້ແກ່ການພົວພັນລະຫວ່າງສອງປະເທດພວກເຮົາ.	Nhân dịp này, tôi tái khẳng định mong muốn tăng cường hơn nữa quan hệ hai nước, trên cơ sở trao đổi vô điều kiện, tin cậy lẫn nhau về chính trị và tình đoàn kết độc đáo giữa hai nước.
ທ່ານ ຫງວຽນຊວນຟຸກ ປະທານປະເທດແຫ່ງ ສສ ຫວຽດນາມ ຂຶ້ນປະຕິຍານຕົນຮັບຕໍາແໜ່ງ.	Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam Nguyễn Xuân Phúc tuyên thệ nhậm chức.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ພະບາດສົມເດັດພະບໍລົມມະນຽດແຫ່ງລັດ ກາຕາ Sheikh Tamim Bin Hamad Al-Thani, ຮອງພະບາດສົມເດັດພະບໍລົມມະນຽດແຫ່ງລັດ ກາຕາ Sheikh Abdullah Bin Hamad Bin Khalifa Al-Thani;	Qatar Sheikh Tamim Bin Hamad Al-Thani, Phó thủ tướng Qatar Sheikh Abdullah Bin Hamad Bin Khalifa Al-Thani;
ທ່ານ Milos Zeman ປະທານາທິບໍດີ ເຊັກໂກ;	Ngài Milos Zeman, Tổng thống Cộng hòa Séc;
ທ່ານ Ibrahim Mohamed Solih ປະທານາທິບໍດີ Maldives;	Tổng thống Maldives Ibrahim Mohamed Solih;
ທ່ານ Lim Jock Hoi ເລຂາທິການໃຫຍ່ອາຊຽນ ກໍໄດ້ສົ່ງສານຊົມເຊີຍເຖິງທ່ານ ຫງວຽນຊວນຟຸກ ປະທານປະເທດຫວຽດນາມ.	Tổng Thư ký ASEAN Lim Jock Hoi cũng đã gửi điện mừng tới Chủ tịch nước Nguyễn Xuân Phúc.
ທ່ານ Manuel Marrero Cruz ນາຍົກລັດຖະມົນຕີກູບາ ໄດ້ສົ່ງສານຊົມເຊີຍເຖິງທ່ານ ຟ້າມມິງຈີ້ງ ນາຍົກລັດຖະມົນຕີແຫ່ງ ສສ ຫວຽດນາມ.	Thủ tướng Cuba Manuel Marrero Cruz chúc mừng Thủ tướng Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam Phạm Minh Trinh
ທ່ານນາຍົກລັດຖະມົນຕີ ກູບາ ຢັ້ງຢືນວ່າ “ປາດຖະໜາຢາກປັບປຸງການພົວພັນລະຫວ່າງສອງປະເທດ ກໍຄືພັດທະນາບັນດາໂຄງການໃນອະນາຄົດໃນທຸກຂົງເຂດ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ.	Thủ tướng Cuba khẳng định “mong muốn cải thiện quan hệ giữa hai nước là phát triển các dự án trong tương lai trên tất cả các lĩnh vực mà hai bên cùng quan tâm”.
ທ່ານ Sheikh Khalid Bin Khalifa Bin Abdulaziz Al-Thani ນາຍົກລັດຖະມົນຕີທັງເປັນລັດຖະມົນຕີກະຊວງພາຍໃນແຫ່ງລັດ ກາຕາ;	Sheikh Khalid Bin Khalifa Bin Abdulaziz Al-Thani, Thủ tướng kiêm Bộ trưởng Bộ Nội vụ Qatar;
ທ່ານ Andrej Babis ນາຍົກລັດຖະມົນຕີ ເຊັກໂກ;	Thủ tướng Cộng hòa Séc Andrej Babis;
ທ່ານ Ibrahim Mohamed Solih ປະທານາທິບໍດີ Maldives;	Tổng thống Maldives Ibrahim Mohamed Solih;
ທ່ານ Lim Jock Hoi ເລຂາທິການໃຫຍ່ອາຊຽນ ກໍໄດ້ສົ່ງສານຊົມເຊີຍເຖິງທ່ານ ຟ້າມມິງຈິ້ງ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ.	Tổng Thư ký ASEAN Lim Jock Hoi cũng đã gửi điện mừng tới Thủ tướng Phạm Minh Trinh.
ທ່ານ Esteban Lazo Hernandez ປະທານສະພາແຫ່ງຊາດ ກູບາ ໄດ້ສົ່ງສານຊົມເຊີຍເຖິງທ່ານ ເວືອງດິ່ງເຫວ້ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Chủ tịch Quốc hội Cuba Esteban Lazo Hernandez chúc mừng Chủ tịch Quốc hội Việt Nam Vương Đình Huệ
ໃນສານມີຕອນຂຽນວ່າ: “ການພົວພັນທີ່ມີລັກສະນະປະຫວັດສາດລະຫວ່າງກູບາ ແລະຫວຽດນາມ ແມ່ນສັນຍາລັກທີ່ຍອດຢ້ຽມກ່ຽວກັບນໍ້າໃຈໄມຕີຈິດມິດຕະພາບ, ຄວາມສາມັກຄີ ແລະການຮ່ວມມືທີ່ສະໜິດຕິດພັນໃນການພົວພັນສາກົນ, ສະແດງໃຫ້ເຫັນເຈດຈໍານົງ ແລະຄວາມມຸ່ງມາດປາດຖະໜາຂອງສອງຊາດ ກູບາ ແລະຫວຽດນາມ.	Thông cáo viết: “Quan hệ lịch sử giữa Cuba và Việt Nam là biểu tượng to lớn của tinh thần hữu nghị, đoàn kết và hợp tác chặt chẽ trong quan hệ quốc tế, thể hiện quyết tâm và nguyện vọng của hai dân tộc Cuba và Việt Nam.
ຂ້າພະເຈົ້າ ເຊື່ອໝັ້ນວ່າການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືທີ່ເປັນມູນເຊື້ອລະຫວ່າງສະພາແຫ່ງຊາດສອງປະເທດ ເວົ້າສະເພາະ ແລະລະຫວ່າງສອງປະເທດເວົ້າລວມ ຈະນັບມື້ໄດ້ຮັບການຍູ້ແຮງໃນໄລຍະຈະມາເຖິງ.	Tôi tin tưởng rằng quan hệ hợp tác hữu nghị truyền thống giữa hai Quốc hội nói riêng và giữa hai nước nói chung sẽ được tăng cường trong thời gian tới.
ສ່ວນທ່ານນາງ Valentina Matviyenko ປະທານສະພາສະຫະພັນລັດເຊຍ ກໍໄດ້ສົ່ງສານຊົມເຊີຍເຖິງທ່ານ ເວືອງດິ່ງເຫວ້ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Chủ tịch Quốc hội Liên bang Nga Valentina Matviyenko cũng đã gửi điện mừng tới Chủ tịch Quốc hội Vương Đình Huệ.
ໃນສານຊົມເຊີຍ, ທ່ານນາງປະທານສະພາສະຫະພັນລັດເຊຍ Valentina Matviyenko ຕີລາຄາວ່າ ດ້ວຍປະສົບການໃນຫຼາຍປີທີ່ດໍາລົງຕໍາແໜ່ງຕ່່າງໆ, ທ່ານປະທານສະພາແຫ່ງຊາດ ເວືອງດິ່ງເຫວ້ ຈະປະຕິບັດສໍາເລັດໜ້າທີ່ໃນຖານະຕຳແໜ່ງໃໝ່ຂອງຕົນ;	Trong điện mừng, Người phát ngôn Liên bang Nga Valentina Matviyenko ca ngợi kinh nghiệm nhiều năm đương nhiệm của bà và cho rằng bà sẽ hoàn thành tốt vai trò là đại biểu Quốc hội.
ທ່ານນາງ Valentina Matviyenko ເນັ້ນໜັກວ່າ ສະພາສະຫະພັນລັດເຊຍ ຂອບໃຈທ່ານປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ເວືອງດິ່ງເຫວ້ ທີ່ໄດ້ສະໜັບສະໜູນການພັດທະນາການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດ ແລະເຊື່ອໝັ້ນວ່າການຮ່ວມມືລວມລະຫວ່າງສະພາແຫ່ງຊາດສອງຝ່າຍໃນຫຼາຍປີຜ່ານມາໄດ້ເປັນພື້ນຖານອັນໝັ້ນແກ່ນໃຫ້ແກ່ການພັດທະນາການພົວພັນສອງຝ່າຍ, ກໍຄືການສົມທົບກັນລະຫວ່າງສອງປະເທດຢູ່ເວທີປາໄສສາກົນ, ປະກອບສ່ວນປັບປຸງສະຖຽນລະພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນອາຊີ-ປາຊີຟິກ.	Bà Valentina Matviyenko nhấn mạnh, Hội đồng Liên bang Nga cảm ơn Chủ tịch nước Việt Nam Trương Đình Huệ ủng hộ phát triển quan hệ hợp tác giữa hai nước và tin tưởng rằng sự hợp tác giữa các đảng trong nghị viện trong thời gian qua là cơ sở vững chắc để phát triển quan hệ song phương. sự phối hợp giữa hai nước tại các diễn đàn quốc tế, góp phần cải thiện ổn định và an ninh ở châu Á - Thái Bình Dương.
