ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດລະຫວ່າງ ສສ ຫວຽດນາມ ແລະສ.	Nhân kỷ niệm 45 năm thiết lập quan hệ ngoại giao Việt Nam - Hàn Quốc
ໂຄສຕາ ຣິກາ (24/4/1976 - 24/4/2021), ຕອນເຊົ້າວັນທີ 29 ເມສາ, ທ່ານ ບຸ່ຍແທັງເຊີນ ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ ໄດ້ມີການໂອ້ລົມສົນທະນາຜ່ານລະບົບທາງໄກກັບທ່ານ Rodolfo Solano Quiros ລັດຖະມົນຕີການຕ່າງປະເທດ ແລະການເຫຼື້ອມໃສແຫ່ງ ສ.	Costa Rica (24/4/1976 - 24/4/2021) Sáng 29/4, Bộ trưởng Ngoại giao Việt Nam Bùi Thanh Sơn đã tổ chức hội đàm qua điện thoại với người đồng cấp Việt Nam Rodolfo Solano Quiros.
ໂຄສຕາ ຣິກາ ເພື່ອແລກປ່ຽນກ່ຽວກັບທິດທາງ ແລະມາດຕະການຢ່າງລະອຽດ, ແນໃສ່ເພີ່ມທະວີການພົວພັນມິດຕະພາບ, ການຮ່ວມມືລະຫວ່າງສອງປະເທດ.	Costa Rica để trao đổi quan điểm về phương hướng và biện pháp chi tiết, nhằm tăng cường quan hệ hữu nghị, hợp tác giữa hai nước.
ໃນການໂອ້ລົມສົນທະນາ, ລັດຖະມົນຕີສອງທ່ານໄດ້ສະແດງຄວາມພາກພູມໃຈຕໍ່ການພັດທະນາການພົວພັນຫວຽດນາມ-ໂຄສຕາ ຣິກາ ໃນເກືອບເຄິ່ງສະຕະວັດຜ່ານມາ.	Trong cuộc hội đàm, hai Bộ trưởng bày tỏ tự hào về sự phát triển của quan hệ Việt Nam-Costa Rica trong nửa thế kỷ qua.
ສອງຝ່າຍໄດ້ເຫັນດີເປັນເອກະພາບຊຸກຍູ້ການແລກປ່ຽນຄະນະຜູ້ແທນ ແລະການພົບປະຂັ້ນຕ່າງໆກໍ່ຄືຮັກສາໄວ້ຢ່າງເປັນປະຈໍາ ແລະມີກົນໄກຢ່າງໄຫວພິບກ່ຽວກັບການທາບທາມຄຳເຫັນດ້ານການເມືອງຂັ້ນຮອງລັດຖະມົນຕີການຕ່າງປະເທດສອງປະເທດ.	Hai bên nhất trí khuyến khích trao đổi đoàn và gặp gỡ các cấp, cũng như duy trì cơ chế tham vấn chính trị thường xuyên và linh hoạt ở cấp Thứ trưởng Ngoại giao hai nước.
ລັດຖະມົນຕີສອງທ່ານໄດ້ແລກປ່ຽນກ່ຽວກັບຄວາມສາມາດເຈລະຈາບັນດາຂໍ້ຕົກລົງຮ່ວມມືສອງຝ່າຍ, ໂດຍສະເພາະແມ່ນຂົງເຂດເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນ.	Hai bộ trưởng trao đổi về khả năng đàm phán các hiệp định hợp tác song phương, nhất là trong lĩnh vực kinh tế, thương mại và đầu tư.
ທ່ານ ບຸ່ຍແທັງເຊີນ ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ.	Bộ trưởng Ngoại giao Bùi Thanh Sơn
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານ Rodolfo Solano Quiros ຊົມເຊີຍຫວຽດນາມ ທີ່ມີບັນດາມາດຕະການຮັບມືກັບພະຍາດໂຄວິດ-19 ມີປະສິດທິຜົນ, ຮັກສາໄດ້ທ່າເຕີບໂຕດ້ານເສດຖະກິດ.	Rodolfo Solano Quiros ca ngợi Việt Nam đã có những biện pháp hữu hiệu để chống lại bệnh tả-19, duy trì tăng trưởng kinh tế
ລັດຖະມົນຕີສອງຝ່າຍເຫັນດີເປັນເອກະພາບເພີ່ມທະວີການແບ່ງປັນຂໍ້ມູນ, ອັບເດດກ່ຽວກັບສະພາບການຮັບມືກັບພະຍາດໂຄວິດ-19 ຢູ່ແຕ່ລະປະເທດ;	Hai Bộ trưởng nhất trí tăng cường chia sẻ thông tin, cập nhật tình hình ứng phó với bệnh Dịch tả heo-19 ở mỗi nước;
ສົມທົບກັນຊຸກຍູ້ບັນດາຄວາມມານະພະຍາຍາມຮ່ວມມືສາກົນ, ໃນນັ້ນມີການຜະລິດ ແລະຈໍາໜ່າຍວັກຊິນຢ່າງມີປະສິດທິຜົນ.	Phối hợp các nỗ lực thúc đẩy hợp tác quốc tế, bao gồm cả việc sản xuất và phân phối vắc xin một cách hiệu quả.
